timestamp,author,message
0:00:00,真 黒人 -GIGA,LET'S GOOOOOOOOOOOOOO
0:00:01,Soulbrewer,UNCLE CHUCK LETS GOOOOOOOOOOOOOOOO
0:00:03,Tamers12345,Literally no character besides Bartleby matters bitch
0:00:04,Shiq Mestique,:blue_heart::blue_heart::blue_heart::yellow_heart::yellow_heart::yellow_heart:
0:00:05,skylar ross SpeedPaint's theories👑🎗️,your sonic meeting secret history tails video pls
0:00:07,Blaze the Cat,I’m ready 
0:00:08,Tiki2970 (Ginyu),that number 1 was yellow like bartlebee
0:00:09,roachdogg jr.,5
0:00:09,shiroimaho,here we go IKZ
0:00:10,the awesome man,ALEENA IS CUTE
0:00:13,Tamers12345,That's why he always saves the day
0:00:13,Layne Josephson,NUT INCOMING
0:00:14,Fridge,so true
0:00:14,Shamino Warhen,LET'S GO
0:00:17,Miniature Bigfoot,here we go
0:00:19,Tamers12345,He's the main character
0:00:20,Makoto Ikari,nice
0:00:21,Silver Feral Thunderbird,WOOT
0:00:23,Tiki2970 (Ginyu),Damn
0:00:25,Wizards0nly,UNCLE CHUCK :blue_circle::blue_circle:
0:00:25,Montythegold,will we see the boys
0:00:27,monolyth421,tiny side butt
0:00:30,s0nicfreak,:blue_circle: :blue_circle: 
0:00:32,Forte,yeah go make me a sammich
0:00:34,Miniature Bigfoot,Woman put in her place
0:00:36,Archon,"turning the volume up to 100, the neighbors need to hear this"
0:00:39,Makoto Ikari,Dr Peppers
0:00:39,Luci,based
0:00:39,Silver Feral Thunderbird,LOL
0:00:42,monolyth421,the best pop
0:00:43,MOOSTACHE_ _,sponsorship
0:00:43,Busters,mmm dr peppers
0:00:44,Tamers12345,Bartleby... :virtualhug:
0:00:48,shiroimaho,Bartleby is the best at treating women
0:00:48,Makoto Ikari,OH NO
0:00:49,Salactrien,feet time
0:00:50,Bartleby,:blue_circle::blue_circle::waving_hand:
0:00:54,Tiki2970 (Ginyu),ALEENA :purple_heart:
0:00:56,Busters,That look
0:00:57,Yellowsnow,@Tamers12345 Are Batleby's parents half human?
0:00:58,Diaro,Bartleby was playing
0:00:59,Pitta fat,He didn’t move his mouth
0:01:04,roachdogg jr.,aleena milf
0:01:05,senny,YYYYYYASS
0:01:05,Forte,manic seething
0:01:13,Soulbrewer,aleena :folded_hands:
0:01:13,Shamino Warhen,I thought they hated XBox and only play PS5.
0:01:14,Tiki2970 (Ginyu),N-Nice
0:01:16,Starlit Rain,:blue_circle::blue_circle::waving_hand:
0:01:17,Salactrien,:purple_heart::purple_heart::purple_heart:
0:01:18,Tamers12345,Bartleby isn't sexist. He just knows woman are beneath him
0:01:22,Wizards0nly,:sparkles::sparkles: UNCLE CHUCK :blue_heart::smiling_face_with_heart_eyes:
0:01:22,Makoto Ikari,do my bidding
0:01:22,Ale Titan,premier woohoo!!!
0:01:25,Vert,oh boy
0:01:28,Sven “The Mindtaker” Fletcher,lmao Aleena
0:01:31,Shamino Warhen,Bartleby isn't sexist but he is sexiest 
0:01:32,Layne Josephson,buck breaker aleena
0:01:33,Jo3a5,lol
0:01:33,Ale Titan,:blue_circle::blue_circle::waving_hand:
0:01:33,leeroy newman,frick that guy honestly
0:01:35,Harry AKD,everyone is beneath him
0:01:36,Luci,everyone is beneath Bartleby
0:01:42,harry boothole,she had it coming
0:01:43,Tamers12345,"Damn, a birthday invitation...? Hopefully it's not a trap."
0:01:49,monolyth421,bart leby
0:01:51,Silver Feral Thunderbird,"""he probably won't do it again"""
0:01:51,Fridge,Bartleby is just a pragmatic.
0:01:53,Diaro,haha it'd be funny if bartleby did that to me
