timestamp,author,message
0:00:00,Makoto Ikari,88 people
0:00:01,Logan Locker The Hedgehog Costume Guy,oooo
0:00:04,Caramelpoptart,WATCHIN' IT WITH THE BOOOYYYYYS
0:00:04,Kakaokomanden,The people demand sonic underground
0:00:06,Noodlization,pog
0:00:06,I Quit,OMG
0:00:07,Makoto Ikari,92 people
0:00:09,Makoto Ikari,let's goooo
0:00:09,I Quit,YES
0:00:09,Tamers12345,@Bastard Samurai I don't do commissions but I do take suggestions. You can suggest but I will most likely say no
0:00:09,sooka,TAMERS IM YOUR BIGGEST FAN
0:00:10,MygL,Art is about to happen.
0:00:10,SquidBomb,Woke up just in time
0:00:12,hyrulianeffery,LETS GOOOOOO
0:00:14,VixiO,I came just in time
0:00:15,Boneybones,lets game gamers
0:00:17,Tarahji Cheatham,i can’t wait
0:00:18,LonnyZone,hell ye
0:00:19,Zanzibane,Tamers how do you feel being the best animation channel on youtube
0:00:19,criminal_dearest,Bartleby no brim? :flushed_face:
0:00:28,sublimitykun,Lets facking goooooooooooo
0:00:29,Ronald McFondled,GUNKY POOPS
0:00:31,Logan Locker The Hedgehog Costume Guy,mcd
0:00:33,sooka,Mindy is so hot there
0:00:33,Agitated Riveting,"woah, manic's looking sick"
0:00:40,Haddock,"@Tamers12345 How did Knuckles survive being attacked by Ninjas, I thought his house exploded?"
0:00:43,Makoto Ikari,hot outfits
0:00:47,Hobo Knight,I'm feeling attracted to sonia right now
0:00:47,MeinCouch123,lol tamers
0:00:48,Gookykabooki's SpookakeBookake,dang mcdonalds sounds good
0:00:53,Logan Locker The Hedgehog Costume Guy,she eats i the floors
0:00:54,SquidBomb,"Sonia, no!"
0:00:58,Makoto Ikari,3 second rule
0:00:59,Ronald McFondled,5 second rule
0:00:59,weirdbear,OH DAMN
0:01:05,sooka,God Mindy let me see those bewbs
0:01:05,LonnyZone,knuckles is a pimp
0:01:06,hyrulianeffery,I’m always feeling attracted to Sonja
0:01:08,Tamers12345,@Haddock You'll see eventually :winking_face:
0:01:10,weirdbear,soonic looks really cute ngl
0:01:12,Boneybones,buh-buh-BASED
0:01:12,Kakaokomanden,Thug life
0:01:13,Tarahji Cheatham,sonia will have the corona virus
0:01:16,The Pearsinator,That’s really good animation
0:01:18,Tamers12345,I made sure to make Manic look as bitchen as possible
0:01:22,SquidBomb,"Damn, Sonic's lookin' cute"
0:01:22,Haddock,OMG SONIC LOOKS SO CUTE
0:01:22,Kakaokomanden,Sonic's outfit is really cute
0:01:24,TheShredFaster,lol the wife beater
0:01:24,Gookykabooki's SpookakeBookake,dang that sweater is hot
0:01:25,Coti,sonic looks cute in a sweater tho???
0:01:25,vg,thats a cute sweater
0:01:25,sooka,Awww Sonics sweater
0:01:26,Coti,wtf
0:01:26,MrSTVR,Sonic wearing clothes!
0:01:26,Makoto Ikari,cute outfits
0:01:28,Rusty Shackleford,i LOVE sonic's new outfit
0:01:29,Luci,Sonic is so CUTE
0:01:32,sooka,So cute :smiling_face_with_hearts::smiling_face_with_hearts:
0:01:40,shebi,THIS IS AMAZING LUV U TAMERS:red_heart::red_heart::red_heart::red_heart:
0:01:50,Boneybones,5 mf DOLLARS
0:01:53,Tamers12345,Damn bartleby looks fucking sexy
0:01:54,Mudkip z,poor people are cringe
0:01:58,Makoto Ikari,$5 shopping spree
0:01:59,Tarahji Cheatham,do you use ms paint tamers
0:02:01,The Pearsinator,What happened to Manic?
0:02:04,Logan Locker The Hedgehog Costume Guy,Bartley is cool
0:02:07,TeaLobster,"out of sync, fix it NOW please"
0:02:09,sooka,Damn bartleby
0:02:08,Tamers12345,Bartlebys sweaty holy shit... *wipes sweat off forehead*
0:02:12,Ronald McFondled,he's not missing much
0:02:13,sooka,So hot
0:02:16,PEPER,why is he so sweaty
0:02:17,sooka,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
0:02:17,Agitated Riveting,bartleby is the sex
0:02:22,Haddock,"Bartleby is so sexy, how much would it cost to bottle some of his sweat?"
0:02:24,Gookykabooki's SpookakeBookake,so hot
0:02:27,Kakaokomanden,So thougtful
0:02:28,Makoto Ikari,is this bartleby's poor person cosplay
0:02:28,Rusty Shackleford,goddamn bartleby looking FINE
0:02:29,LonnyZone,what food is sonic gonna get
0:02:30,LarchmontVillageOG,bartleby looks so hot
0:02:31,Hobo Knight,Bartleby looks different today
0:02:38,weirdbear,bartleby lookin like nic cage in con air
0:02:40,hyrulianeffery,
0:02:54,Mudkip z,bartleby is so muscular I'm blushing
0:03:02,Tamers12345,Bartleby just got done from working out after eating at the Olive Garden with his bitch
0:03:08,Luci,:slightly_smiling_face:
0:03:11,MrSTVR,are these the gang's new designs?
0:03:14,weirdbear,:0!! dang bartleby
0:03:15,Logan Locker The Hedgehog Costume Guy,oh wow
0:03:15,PEPER,STICKY HANDS
0:03:16,KOT EBANA ROT,"first time watching a premiere, im so hyped"
0:03:18,Mudkip z,Hot!
0:03:20,Ronald McFondled,lmao
0:03:25,charlieboy,STICKY HANDS
0:03:25,Makoto Ikari,sticky hands
