timestamp,author,message
0:00:00,Stu,"Tamers, stop lying"
0:00:00,Empanada y Gaseosa,5
0:00:01,Empanada y Gaseosa,4
0:00:01,Empanada y Gaseosa,3
0:00:02,Empanada y Gaseosa,2
0:00:04,Boneybones,HERE WE GO
0:00:04,Speedrub Lucas,"love you, daddy tamers"
0:00:04,magnazero,just gonna say that now
0:00:03,PEPER,Damn thats crazy
0:00:03,Empanada y Gaseosa,1
0:00:03,Benetism ,I knew it
0:00:05,cyrus,OMFG
0:00:06,weirdbear,isnt the creator of sonichu a woman?
0:00:06,Michael Misfeldt,I LOVE YOU TAMERS!
0:00:06,Boneybones,""""
0:00:07,Boneybones,!
0:00:08,Leandro S Pereira,OOOO BOI
0:00:09,cyrus,1
0:00:09,Rusty Shackleford,that is a fun fact tamers!
0:00:10,Boneybones,GOOOOOOOOOOOO
0:00:10,LonnyZone,YOSHI
0:00:11,Fuckles The Enchilada,LETS GOOOO
0:00:11,flutter king,ITS TIME
0:00:12,Michael Misfeldt,WOOOOOOO!!!
0:00:12,rat,im ready
0:00:14,Titty.Skittles,1
0:00:14,InkeyS,POGGERS
0:00:15,Empanada y Gaseosa,THANK YOU TAMERS!
0:00:15,LonnyZone,TAMERS IS LORD
0:00:16,Cheese Woman,god bless you tamers12345
0:00:17,Boneybones,THEY MADE A VOW
0:00:17,Dratuski ,OMG
0:00:18,Lapra Roux,E
0:00:18,sacred_land,LETS GOOO
0:00:19,LarchmontVillageOG,YES
0:00:19,weirdbear,!!!!!!!!
0:00:19,PEPER,WHAT
0:00:19,Ethelokia,YEAH
0:00:21,Titty.Skittles,WOOOOO
0:00:22,PEPER,is this intro new!??!?!?
0:00:24,rat,amazing intro as always
0:00:24,UnsaddledCamel,brb tamers my mom says i have to do chores
0:00:25,Fartinator,Sexiest art style on the planet
0:00:27,Stig Archives,epic intro
0:00:27,PompeyHater,Kek
0:00:28,Ethelokia,YESSXSSXXXZZZZSSSSSSS
0:00:31,Boneybones,ITS SONIC
0:00:31,バオバイバー,omg sonia is already so cute
0:00:32,Lapra Roux,omg
0:00:33,Makoto Ikari,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:38,Lapra Roux,Its sonic guys
0:00:40,something celestial,IS SONIC ON THE SCREEN
0:00:42,Tamers12345,damn 177 people are watching. Those are a lot of bitches
0:00:55,Sten 28,:OOOOOOOOOO
0:00:59,Content Consumer,wicked uzi
0:00:59,Benetism ,we deserve all of us tamers
0:01:00,ZardaffronTK,92 likes and it just began
0:01:07,Lapra Roux,nice mega bloks
0:01:10,Ethelokia,Tamers PLEASE FORGIVE ME
0:01:12,CondorJoe,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
0:01:14,Speedrub Lucas,of course We're all here. how could we not?
0:01:17,PEPER,WALMART EXCLUSIVE
0:01:19,LarchmontVillageOG,Uncle Chuck is awesome uncle
0:01:19,Floxinator,PRESS f on every single time sonia needs medical assistance
0:01:19,Zig019,Tamers you are epic
0:01:20,Zach,you just know
0:01:21,American Goblin,BASED
0:01:27,Cheese Woman,Does Sonic and the sonic underground crew love pickles?
0:01:29,Michael Misfeldt,this is really cool!
0:01:29,Boneybones,based
0:01:32,something celestial,BUY IT FOR SONIC BEFORE THEY LOOT IT
0:01:33,Ikari,I wanna make an exclusive music track for an upcoming tamers12345 film
0:01:34,ashley elkins,:two_hearts: we love tamers :two_hearts:
0:01:34,Fuckles The Enchilada,lol
0:01:35,MeinCouch123,perfect
0:01:36,Boneybones,this is me when i listen to SU haters
0:01:37,Haddock,Why are they at the store instead of self-isolaBlahblahblahblah
0:01:39,Empanada y Gaseosa,Anywhere else i can donate besides superchats ?
0:01:40,Simon Hansen,brah...
0:01:40,magnazero,based queen aleena for the win
0:01:44,Lapra Roux,omg parents just dont understand do they????????????
0:01:47,Xevro,damn manic!
0:01:47,バオバイバー,EAGLE GRIP
0:01:47,Tamers12345,Thanks for the donation makoto. I like the blkue and yellow hearts. They remind me of the only good ship in the world
0:01:49,Dratuski ,AWW
0:01:49,Damian Mercado,thicc
0:01:48,Ethelokia,Lmao
