timestamp,author,message
0:00:00,rusty shackleford,:hot_dog:chili dogs at the ready
0:00:01,Tamers12345,They'll change it by the next video if they know what's good for them
0:00:03,Cton95,A lot of stuff from old youtube is was so much better
0:00:04,Hugh Mungous,"The blue and yellow here is aesthetically pleasing, though..."
0:00:04,Wykkyd Mō,I know right
0:00:04,AgileTurtlez,DUDE TAMERS I LOVE YOU
0:00:05,Chia Pet Obamna,The wait is the worst part 
0:00:08,Sven “The Mindtaker” Fletcher,beech
0:00:09,Makoto Ikari,:popcorn::popcorn::popcorn:
0:00:10,Wykkyd Mō,HERE WE GO
0:00:12,Diaro,they better change it
0:00:13,Memerio,:hot_dog::blue_circle::blue_circle:
0:00:14,AgileTurtlez,:blue_circle: :blue_circle: :waving_hand:
0:00:18,Cton95,WOOOOOOOOOOOOOO
0:00:18,Truant,:blue_circle: :blue_circle: :wave: 
0:00:19,Andy N,:blue_circle::blue_circle: :waving_hand:
0:00:20,Connor N,"Sweel Bardonic, I am actually here"
0:00:22,Large Lad,:popcorn:
0:00:23,Andy N,we HERE BABY
0:00:24,Shenanimation,i gotta have MY popcorn when I watch MY movies
0:00:26,NaeNaerVvipen,:blue_circle::blue_circle::waving_hand:
0:00:26,RainbowHoodie,:blue_circle::blue_circle::waving_hand:
0:00:27,JackelZXA,i love popcorn
0:00:28,Chia Pet Obamna,Topical
0:00:28,Deadman Wonderland,yay
0:00:32,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::waving_hand:
0:00:33,Shenanimation,aleena :)
0:00:35,JackelZXA,i shoulda made popcorn for sonic underground
0:00:38,Connor N,praise be to you Tamers
0:00:42,Shép DeathWoods,shes right
0:00:42,Wizards0nly,QUEEN
0:00:45,Tamers12345,Sonic does love his popcorn <3
0:00:46,Shenanimation,hahahahah
0:00:47,Truant,love that sweather sonic is wearing
0:00:47,Large Lad,lmao
0:00:49,Diaro,small isn't enough for sonic LOL
0:00:50,Anomalous Spinal Cord Specimen ΛΔ,SLAY QUEEN
0:00:52,Shenanimation,chuck is so excited
0:00:53,ed e,YOOOOO TAMERRS
0:00:54,Makoto Ikari,lol
0:00:55,JackelZXA,pour butter on aleena's beautiful hair
0:00:57,Qwernst,I agree on the butter. 
0:00:58,Hugh Mungous,CHUCK
0:01:01,Tamers12345,Bartleby probably shoves popcorn up his bitches ass if you know what i mean
0:01:05,Kyogre4870,$200 popcorn? Literally pennies for Bartleby
0:01:08,Arty,she's so cool
0:01:09,Makoto Ikari,cronch
0:01:10,Truant,DRIP
0:01:12,S C,LMAO Chuck was excited for m3gan
0:01:12,Shép DeathWoods,based chuck
0:01:13,Wizards0nly,UNCLE CHUCK
0:01:13,Sven “The Mindtaker” Fletcher,A new Sonia and Aleena outfit. YAY
0:01:14,Makoto Ikari,blush
0:01:15,psittacvsPravvs,that avatar guy lol
0:01:15,RainbowHoodie,???
0:01:17,Shenanimation,haha
0:01:19,Yellowsnow,"sneaking in food, so relatable"
0:01:21,RainbowHoodie,Cute!!
0:01:26,Scarlet Horse,???
0:01:26,Hugh Mungous,SONIA KAWAII-DESU
0:01:27,DrunkServal,Power move
0:01:28,Wizards0nly,:)
0:01:29,WhosThatGuy,Stomp my kidneys bartleyby
0:01:30,JackelZXA,CUTE
0:01:30,Anomalous Spinal Cord Specimen ΛΔ,O_O!!
0:01:30,Andy N,oh my god sonia is so cute
0:01:32,SeggyCute,Dude
0:01:33,Diaro,kawaii!!
0:01:35,Makoto Ikari,MΞGAN
0:01:36,Memerio,babe?
0:01:37,Sven “The Mindtaker” Fletcher,damn
0:01:38,Hugh Mungous,what
0:01:39,Bunnay Boo,Woah there Aleena
0:01:39,Chase Churchill,THIS IS EPIC! TAMERS SAVES LIVES!!!
0:01:39,Wizards0nly,:O
0:01:40,JackelZXA,sonia loves to pay for popcorn
0:01:40,Shép DeathWoods,Hmm
0:01:40,Stumpf_Man,YES
0:01:42,bitc,deserved
0:01:44,Scall0p,Lmao
0:01:48,Cton95,Speaking of Avatar
0:01:51,Shép DeathWoods,stop crying 
0:01:51,Wizards0nly,:D
0:01:53,Shenanimation,holy crap
0:01:54,Makoto Ikari,Hip is dead tho!
0:01:56,Sven “The Mindtaker” Fletcher,haha
0:01:59,AgileTurtlez,I LOVE UNCLE CHUCK
0:01:59,Tamers12345,Avatar sucks
0:01:59,Large Lad,LOL
0:02:00,RainbowHoodie,6 FEET UNDER
0:02:00,Indigoharpy,:blue_circle::blue_circle::waving_hand:
0:02:01,Sven “The Mindtaker” Fletcher,AAAAAYYYYYYYYYYYYY
0:02:04,Chia Pet Obamna,Haha
0:02:04,Diaro,wtf
0:02:05,Andy N,omg THE ROBOT BABY
0:02:05,Memerio,HIP HEDGEHOG
0:02:07,Shenanimation,ITS BARTLEBY
0:02:07,JackelZXA,uncle chuck looks really cute and sexy :)
0:02:08,AgileTurtlez,ITS AN UNCLE CHUCK KINO EPISODE
0:02:09,Hugh Mungous,I thought Hip was dead??
0:02:10,Shenanimation,BARTLEBY IS HERE
0:02:10,Kyogre4870,WHOA
0:02:11,ShadyCat,sexy
0:02:12,Qwernst,"Oh crap, the robot baby."
0:02:13,Cton95,WOOO THE MAN
0:02:14,Mr. Guydude,HERE’S HERE
0:02:15,JackelZXA,YAY
0:02:15,Shép DeathWoods,who
0:02:16,JackelZXA,YAY
0:02:16,Hedgehog,ROBOT BABY HEDGEHOG
0:02:18,JackelZXA,HERE HE IS
0:02:18,S C,BARTLEBY!!!!!!
0:02:20,Truant,BARTLEBY
0:02:21,Beesinmyeyesplshelp,YEEEESSS
0:02:21,RDAalltheway,Now way!!!
0:02:23,Shép DeathWoods,omg is him
0:02:25,Tamers12345,:hot_face:woah...
0:02:29,ed e,thats so hot
0:02:32,Diaro,DAMMNNN
0:02:33,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:02:34,S C,He's hot 
0:02:34,ShadyCat,jellus
0:02:35,Lord Crimson,bartleby is best boi
0:02:35,JackelZXA,i didn't think we'd see bartleby
0:02:36,Andy N,:blue_circle::blue_circle: :waving_hand: hot.....
0:02:38,Tamers12345,Uncle Chuck should take notes
0:02:39,Truant,that guy jumping is me when tamers uploads
0:02:39,Scall0p,Bartleby!!!!!
0:02:44,Beesinmyeyesplshelp,Damn :squinting_face_with_tongue:
0:02:47,Yellowsnow,Long blonde hair... :hot_face:
0:02:47,JPSwim,Peak fiction 
0:02:48,Hugh Mungous,Awful Avatar costume...
0:02:49,Makoto Ikari,shameful display
0:02:59,Bunnay Boo,Bartley looks cute in a dress
0:02:59,Wizards0nly,:(
0:03:00,Memerio,the avatar dude should get pooped on
0:03:01,Andy N,D:
0:03:03,Sven “The Mindtaker” Fletcher,poor Uncle Chuck
0:03:06,Sourscrote97 gaming,LOL
0:03:06,Cton95,Bartle by:hot_face::hot_face::hot_face:
0:03:08,JackelZXA,hahaha
0:03:08,RainbowHoodie,Can’t even compare to Bartleby 
0:03:09,Shép DeathWoods,T-T
0:03:09,Qwernst,Don't bully Uncle Chuck
0:03:10,Diaro,bartleby is savage!!!
0:03:10,Lord Crimson,avatar sucks
0:03:12,Hugh Mungous,Chuck deserves it for trying to steal Bartleby's money in the shower.
0:03:16,Andy N,:c
0:03:18,Hedgehog,poor uncle chuck :disappointed_face: STOP it bartleby
0:03:19,Sourscrote97 gaming,LOL
0:03:20,RainbowHoodie,:blue_circle::blue_circle::waving_hand:
0:03:20,Beesinmyeyesplshelp,everyone laugh at chuck
0:03:21,Truant,damn uncle chuck is getting wrecked
0:03:25,Diaro,DAMN look at bartleby's CAKE
0:03:25,Connor N,dem cheeks
0:03:27,Tamers12345,"Damn, I wish Bartleby would insult me. That would be hot"
0:03:30,Chia Pet Obamna,Uncle Chuck is gonna shoot up the theatre
0:03:34,Richard,CAKED UP
0:03:34,S C,DAMN Bartleby is thicc af
0:03:41,Scall0p,Woah them cheeks on Bartleby
0:03:47,Jack Chu,BASED
0:03:48,Hugh Mungous,WHOA IMAX??
0:03:48,Diaro,sonic is so lucky
0:03:51,Dantendo Style,wow so rich
0:03:53,JackelZXA,:O
0:03:54,Lord Crimson,i would def watch a movie if bartleby was in it
0:03:54,Makoto Ikari,Bartleby could have bought all the seats
0:04:00,RainbowHoodie,:blue_heart::yellow_heart::blue_heart::yellow_heart:
0:04:01,Andy N,awwww bartleby is so kind
0:04:05,Sven “The Mindtaker” Fletcher,:yellow_heart::blue_heart:
0:04:05,Lenny the Ghoul,woah
0:04:05,DrunkServal,aw
0:04:07,Hugh Mungous,Bartleby is so considerate :)
0:04:07,Beesinmyeyesplshelp,He's so understanding :sparkling_heart:
0:04:07,Scall0p,How romantic 
0:04:09,Chase Churchill,"I know you are here, Noah"
0:04:10,Bunnay Boo,Aaaaawww so sweet
0:04:11,Shép DeathWoods,////
0:04:11,ed e,awww
0:04:15,Lord Crimson,hot
0:04:20,JackelZXA,:)
0:04:22,Indigoharpy,:red_heart:
0:04:23,Truant,aw he wants sonic to enjoy time with his family
0:04:23,DrunkServal,they are soo cute
0:04:27,JackelZXA,i was worried bartleby would leave
0:04:27,Shenanimation,hahahah
0:04:30,Sven “The Mindtaker” Fletcher,lmao
0:04:31,Large Lad,KEK
0:04:31,Cton95,Bartleby is such a good bf 
0:04:34,Wizards0nly,huh?!
0:04:34,Makoto Ikari,haters gonna hate
0:04:36,Shép DeathWoods,hes right
0:04:37,Lord Crimson,ew jc Penney
0:04:37,DrunkServal,lolwhat
0:04:39,Diaro,this is sexy af
0:04:39,SeggyCute,???
0:04:39,Connor N,kek
0:04:42,Shép DeathWoods,phil lol
0:04:45,Andy N,this is so hot
0:04:48,Wizards0nly,!!
0:04:51,D R,lmao
0:04:59,NaeNaerVvipen,Bro really works at jc penny
0:05:06,Cton95,MF who the hell voted Avatar
0:05:10,Hugh Mungous,"It's no Target, though."
0:05:14,TurntWolfo,based
0:05:14,Shép DeathWoods,isnt
0:05:15,Makoto Ikari,10th...
0:05:19,RainbowHoodie,??? What anniversary 
0:05:19,Large Lad,LMAO
0:05:21,Yellowsnow,LOL
0:05:21,Cheeseandblood,oh no
0:05:23,Andy N,heartwarming
0:05:23,Scall0p,Avatar 1 was boring and the second one looks like it’s gonna be the same 
0:05:25,Sven “The Mindtaker” Fletcher,wait a minute
0:05:25,S C,if avatar was so good bartleby would be watching it
0:05:28,Hugh Mungous,Uhhhh
0:05:28,SeggyCute,Bro
0:05:28,Scarlet Horse,omg
0:05:28,Diaro,LMAO
0:05:30,Anomalous Spinal Cord Specimen ΛΔ,congrats
0:05:31,Makoto Ikari,little turkish delight
0:05:32,JackelZXA,>tenth
0:05:33,Wizards0nly,what the..
0:05:34,JackelZXA,hahaha
0:05:34,Richard,hey wait up
0:05:35,ShadyCat,awww DAAAAMN ANNIVERSARY?!
0:05:35,RDAalltheway,Oh snap 
0:05:35,Beesinmyeyesplshelp,you know what I was wrong chuck kinda... •\\\\•
0:05:35,DrunkServal,WAIT A DAMN MINUTE
0:05:36,Qwernst,10th Anniversary!?
0:05:38,Truant,10th?
0:05:39,Andy N,those cheeks
0:05:43,Diaro,SOON??
0:05:44,Cheeseandblood,whoa who's coming soon??
0:05:45,Memerio,THE BARDONIC MOVIE
0:05:45,Scarlet Horse,Coming Soon ???????
0:05:51,Sven “The Mindtaker” Fletcher,braaap
0:05:51,Hugh Mungous,Ohhhhh it was an outfit. I thought that the thumbnail had Bartleby naked.
0:05:53,Shép DeathWoods,MOVIE SOON
0:05:54,JackelZXA,bartleby was naked in the thumbnail to not spoil his costume :)
0:05:57,Truant,teaser poster?!
0:05:57,S C,BARDONIC MOVIE
0:06:00,Diaro,that manic fan is just like me!!!
0:06:00,Makoto Ikari,Manic fan
0:06:01,Sven “The Mindtaker” Fletcher,MANIC FANS
0:06:02,Hugh Mungous,MANIC DAKIMAKURA
0:06:03,ShadyCat,"haha, Manic fanboy"
0:06:04,Chia Pet Obamna,Manic Fan
0:06:05,JackelZXA,>manic fan
0:06:06,Tamers12345,:sad_but_relieved_face:I wish I could see that other movie in the back... 
0:06:07,Large Lad,Manicbros...
0:06:08,RainbowHoodie,Typical manic fan
0:06:10,Indigoharpy,manic fanboy
0:06:11,Truant,MANIC BROS
0:06:16,S C,manic fan
0:06:17,Scall0p,That manic guy looks pretty cool
0:06:18,Cton95,Is that a Manic body pillow?
0:06:20,AgileTurtlez,MANIC BROOOOOOOOOOOS
0:06:27,Sven “The Mindtaker” Fletcher,BRIAN WILSON
0:06:28,Diaro,poor bartleby...
0:06:30,Andy N,:C
0:06:32,Chia Pet Obamna,BRIAN WILSON!
0:06:34,Makoto Ikari,strut
0:06:35,Shenanimation,this is so sad.................
0:06:35,Lord Crimson,"no man can teach bartleby a lesson, he is perfect"
0:06:35,Tamers12345,"Typical Manic fans, am I right? :face_with_rolling_eyes:"
0:06:36,Mister Caw,"Ah, I was late!"
0:06:37,Wizards0nly,brian wilson?!?!?!?
0:06:39,Large Lad,zamn
0:06:40,Beesinmyeyesplshelp,:O
0:06:41,Slimy Farts,brian wilson from the beach boys?
0:06:41,RainbowHoodie,Knux!!
0:06:43,bitc,good lord :eyes:
0:06:43,Diaro,nooooooooooo
0:06:45,JackelZXA,nooo
0:06:46,(ФωФ)GoteBoi(ΦωΦ),cake
0:06:47,Yellowsnow,Them cheeks :hot_face:
0:06:48,Hugh Mungous,THAT STRUT
0:06:48,Scarlet Horse,Bartelby NOOOOOOOO
0:06:48,Indigoharpy,amazing
0:06:49,Chia Pet Obamna,Lol @Tamers
0:06:49,Sven “The Mindtaker” Fletcher,KNUCKLES AND ATHAIR
0:06:50,Diaro,LORD
0:06:51,Cton95,Manic's cool. Manic fans are a different story
0:06:56,Bunnay Boo,KNUCKLES
0:06:56,Makoto Ikari,white saviors
0:06:57,Hugh Mungous,Athair come on.
0:07:00,Tamers12345,Damn Bartleby's been doing SQUATS
0:07:01,Diaro,avatar 2 sucks!!!
0:07:02,Truant,hes making manicbros look bad
0:07:02,Shép DeathWoods,eww avatar
0:07:04,Mr. Guydude,Rich people are so oppressed
0:07:05,Slimy Farts,NAWW
0:07:05,Dantendo Style,ugh avatar
0:07:11,JackelZXA,knuckles is pissed at his naked uncle
0:07:11,VIRTUALSHELL,:blue_circle::blue_circle: :waving_hand: 
0:07:11,Cton95,Also hey it's my favorite character Knuckles
0:07:12,Arty,knuckles looks sooo cool
0:07:15,Lord Crimson,avatar sucks
0:07:27,Slimy Farts,based knuckles
0:07:30,S C,How much does bartleby bench?
0:07:30,JackelZXA,echidnas are indigenous...
0:07:32,Tamers12345,Athair needs to stop Has he learned NOTHING from the last video?
0:07:33,Hedgehog,the blue alien people have huge butts like sonic
0:07:37,Connor N,white saviors
0:07:41,psittacvsPravvs,power stance
0:07:42,Scall0p,Nice
0:07:43,Sven “The Mindtaker” Fletcher,Look at that power stance
0:07:44,RainbowHoodie,:blue_circle::blue_circle:
0:07:46,JackelZXA,hahahahaha
0:07:49,Makoto Ikari,Mindy time
0:07:52,Scall0p,:blue_circle::blue_circle::waving_hand:
0:07:54,Hugh Mungous,Heckin' cute and valid...
0:07:57,Dantendo Style,:blue_circle::blue_circle::waving_hand:
0:07:57,Makoto Ikari,all the sisters
0:07:58,Yellowsnow,Mandy!
0:07:59,Indigoharpy,:blue_circle::blue_circle::waving_hand:
0:08:00,Shép DeathWoods,o///o
0:08:01,Memerio,that’s probably why bartleby 
0:08:02,Andy N,MIDNY
0:08:03,TurntWolfo,flora!
0:08:03,AgileTurtlez,:blue_circle: :blue_circle: :waving_hand:
0:08:04,Shenanimation,nuggies
0:08:05,Slimy Farts,:hot_face::hot_face::hot_face:
0:08:08,Tamers12345,God... Sonic is so lucky
0:08:09,Hugh Mungous,FLORA
0:08:10,RainbowHoodie,Flora :blue_heart:
0:08:10,Andy N,FLORA MY LOVE
0:08:11,Diaro,classic outfit!!!
0:08:11,Sven “The Mindtaker” Fletcher,LaTour Sisters?
0:08:15,Makoto Ikari,I want Sprite...
0:08:15,Wizards0nly,:O
0:08:15,Beesinmyeyesplshelp,Mandy :smiling_face_with_heart_eyes::smiling_face_with_hearts:
0:08:17,FlexTrix,FLORA
0:08:17,Truant,flora!
0:08:17,Lenny the Ghoul,flora mi amore
0:08:18,S C,FLORA
0:08:20,Sven “The Mindtaker” Fletcher,"damn, Tamers is spoiling us"
0:08:24,Shép DeathWoods,mmm tendies
0:08:25,Diaro,it's the outfit that shows her cute butt!!!
0:08:25,Hugh Mungous,FLOOOOOOOOOOOOOOOOOOOOOORA LIKES SPRIIIIIIIIIIIIIIIIIIITE
0:08:25,Memerio,FLORA
0:08:27,JackelZXA,flora's wearing her avatar clothes
0:08:29,Scall0p,I’d eat those nuggets 
0:08:31,Andy N,oh my god shes so cute
0:08:32,Indigoharpy,flora!
0:08:33,Chase Churchill,"Tamers12345, How would you feel if I rented a theatre in my city and watched your next premiere?"
0:08:34,Diaro,FLORA BUTT
0:08:39,RDAalltheway,Flora ew :face_vomiting: 
0:08:41,Wizards0nly,a beautiful evening at the cinema......
0:08:42,Scall0p,Cuz I love McDonald’s nuggets
0:08:50,Memerio,nack o’s
