timestamp,author,message
0:00:00,Tiki2970 (Ginyu),SU TIME
0:00:01,Daxma,Back in time! Burrito just finished
0:00:03,JackelZXA,this is so epic bros
0:00:02,Mister Caw,Here we go!
0:00:04,Badtooth,sorry kids. I need to watch the new tamers12345.
0:00:05,Frank Brocker (M.C. Sausage),:blue_circle::blue_circle::waving_hand:
0:00:06,Blondie: Electric Boogaloo,BEST INTRO
0:00:06,Andy N,"nice, i managed to poop right when the episode starts"
0:00:09,Hugh Mungous,TRIPLETS BORN
0:00:10,Cheeseandblood,"Classic intro, love it"
0:00:11,Diaro,Oh my god it's starting!!
0:00:11,👹 gremlin cookie 👹,YESSSSSSS
0:00:11,Bunnay Boo,So ready for some good ole fashion bardonic!
0:00:12,Hugh Mungous,THE THRONE AWAITS
0:00:12,Makoto Ikari,let's gooooooo
0:00:12,Bartleby,:blue_circle::blue_circle::waving_hand:
0:00:13,Diaro,THE INTRO!!
0:00:14,Joe Hardy,tune
0:00:15,robert cox,OH GOD YES
0:00:16,Alice Hernandez,Kino is back on the menu boys
0:00:17,Diaro,THE THRONE AWAITS!
0:00:17,Tiki2970 (Ginyu),Love this classic intro
0:00:17,SeggyCute,:star_struck:
0:00:17,FilmNerd,Love the Genesis cover
0:00:18,Silver Feral Thunderbird,Gal pal time
0:00:18,The Shruggernaut,SUP F BOMBS
0:00:18,TitanFrold888,THEY MADE A VOW
0:00:26,thatnoobnextdoor,Neat.
0:00:26,Tamers12345,Shit I forgot the title intro again lol
0:00:26,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,COOOOM
0:00:26,Youkalottaseeya,I hate Mindy 
0:00:31,Andy N,mindy looks so fine
0:00:33,Mervle,The adaptation we were all waiting for
0:00:32,JackelZXA,when are they going to make a sonic underground game? screw sonic origins!
0:00:33,The Shruggernaut,Stacced
0:00:35,Tiki2970 (Ginyu),Mindy <3
0:00:36,Cheeseandblood,Oh my
0:00:37,Blondie: Electric Boogaloo,HOT
0:00:38,Lenny the Ghoul,JUST MADE IT
0:00:38,Andy N,SO FINE
0:00:40,👹 gremlin cookie 👹,lmao
0:00:41,Mister Caw,lol
0:00:41,TitanFrold888,Lmao
0:00:41,Tiki2970 (Ginyu),Lmao
