timestamp,author,message
0:00:00,Sven “The Mindtaker” Fletcher,BART LEBBY
0:00:01,Sven “The Mindtaker” Fletcher,MY LOVER
0:00:05,Cheeseandblood,:blue_circle::blue_circle::waving_hand:
0:00:05,Kroe Waynes,LETS GO!!!!!
0:00:05,Wykkyd Mō,LEEEEETTTSSSS GOOOOO BOOOYS
0:00:05,Luci,:blue_circle::blue_circle::waving_hand:\
0:00:06,Makoto Ikari,NOTCH
0:00:07,Luci,:blue_circle::blue_circle::waving_hand:
0:00:11,Spicy Applesauce,letss goooooo
0:00:11,Selfcharm,here we go
0:00:12,KrazedDonut,kino incoming
0:00:13,BUMPY WEIRD,:blue_circle::blue_circle::waving_hand:
0:00:13,FilmNerd,:blue_circle::blue_circle::waving_hand:
0:00:14,Selfcharm,yeyeyeye
0:00:15,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:16,Chad,"Got my Monster Energy Zero ultra, got my e621 tab pulled up to queen_aleena_hedgehog , yep, it's tamers time "
0:00:16,Wizards0nly,lol
0:00:16,RDMVidya,:blue_circle::blue_circle::waving_hand:
0:00:19,RainbowHoodie,Made it!
0:00:19,Cton95,I think ym stream might be delayed
0:00:22,Cton95,*my
0:00:23,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:24,The Mighty Xsaros,:blue_circle::blue_circle::waving_hand:
0:00:25,Makoto Ikari,LONG
0:00:29,The Knuckmin,lmao!
0:00:32,that ivy guy,NOTCH MINECRAFT!
0:00:33,Shenanimation,"10 seconds in and this is already ""epic win"""
0:00:40,Kroe Waynes,speedreading required for tamersverse
0:00:41,Makoto Ikari,fat
0:00:41,RainbowHoodie,Mine prolly delayed too
0:00:42,RDMVidya,Oh fod
0:00:44,Kroe Waynes,it's just so dense with info!
0:00:46,Bunnay Boo,LOL
0:00:48,Cheeseandblood,quotes from the gods
0:00:50,Cton95,LMAO big as wall of text for Drake
0:00:52,Highway,2 second drake bell quote
0:00:57,Crafts N Cartoon Pondue,F
0:00:57,Highway,my sides
0:01:01,AleenaEnjoyer,F Sid 
0:01:04,The Knuckmin,"rip, never forget"
0:01:06,RainbowHoodie,RIP
0:01:06,The Mighty Xsaros,:blue_circle::blue_circle::waving_hand:
0:01:06,AnimeGames16,There’s already connections to other episodes!
0:01:07,FilmNerd,Guess I'll have to go back to see what Drake Bell was saying
0:01:10,Kroe Waynes,olives? i thought those were luigi balls
0:01:11,The Mighty Xsaros,Damn
0:01:11,lucasm,Me
0:01:11,Highway,F
0:01:14,Eric Sol,Yo
0:01:15,Wizards0nly,tamers12345
0:01:22,RainbowHoodie,YOOOO
0:01:22,that ivy guy,tamers12345
0:01:23,AnimeGames16,F
0:01:24,Highway,getting meta
