timestamp,author,message
0:00:00,Son of Slop,thank goodness!
0:00:03,Wizards0nly,:orange_heart::green_heart:
0:00:03,Castlebattletoad,nani
0:00:04,VanVeleca,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:00:05,Lenny the Ghoul,HERE WE GO
0:00:05,Scall0p,Tho it be better if it was Sonic and Bartleby’s wedding
0:00:06,AnimeGames16,LET'S GOOOO
0:00:06,Jenny is Dead,I Heehee'd like Michael Jackson for this
0:00:07,Kroe Waynes,here we goooooo :orange_circle::orange_circle::waving_hand:
0:00:07,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:09,Devon,is it bad that im tearing up
0:00:10,Makoto Ikari,gacha
0:00:11,Castlebattletoad,dayum
0:00:11,Shamino Warhen,LET US BE ABOUT THIS
0:00:12,cloudy,WOOOO
0:00:13,RDMVidya,LET'S GOOOO
0:00:13,washaa,JUST IN TIME BABY
0:00:14,James Andrew,@Tamers12345 Death battle did goku vs superman AGAIN! When is Bartelbys turn?
0:00:15,JackelZXA,hecc yes
0:00:15,Shenanimation,woah
0:00:16,Son of Slop,TA MERS TA MERS TA MERS
0:00:17,Muhammed Muhammed,:orange_heart::green_heart::orange_heart::green_heart::orange_heart::green_heart::orange_heart::green_heart::orange_heart::green_heart::orange_heart: I can't believe their big day is finally here! SU bros our main man Manic is gonna do it :green_circle::green_circle::waving_hand:
0:00:18,Makoto Ikari,:ring:
0:00:19,Anthrazite,Jaleel White cameo
0:00:19,"Hisana, The Little Potato",Let's goooooooooooooo
0:00:19,Scall0p,:blue_circle::blue_circle::waving_hand:
0:00:20,ed e,WHAOOOOOOOOOOOOO
0:00:22,Silver Feral Thunderbird,:orange_circle::orange_circle::raising_hands::green_circle::green_circle:
0:00:23,Friki Tiki,new va?
0:00:23,Terminal Illness,There he is!
0:00:25,JackelZXA,i hope something SEXY happens this episode
0:00:27,Devon,seeing my boy manic become a man is pulling on my heart strings
0:00:29,Haddock,whoa
0:00:29,Makoto Ikari,:fire:
0:00:31,Kroe Waynes,"it's green, like him!"
0:00:32,Belicure,sonic is brown
0:00:34,Shenanimation,"i knew someone who did this irl, no joke, not a joke"
0:00:35,madcat789,"Tamers, if I wanted to make fanart, where I can send it to you?"
0:00:36,Wizards0nly,:green_heart::orange_heart::smiling_face_with_hearts:
0:00:37,sooka,Golfing? Isn’t that for rich people 
0:00:37,RainbowHoodie,Damn fancy!
0:00:37,Tamers12345,Oh shit is that the ring Manic is going to propose with
0:00:38,Anthrazite,God damn Sonic's family is poor
0:00:39,Silver Feral Thunderbird,*chef's kiss*
0:00:42,Mints,are they golfing at mar a lago
0:00:42,Friki Tiki,based sonic
0:00:44,AnimeGames16,Love those outfits.
0:00:46,Hedgehog,they play golf now. 
0:00:48,Truant,where did they get the money for the gold clothes
0:00:50,FilmNerd,"Damn, Sonic. Tell us how you really feel"
0:00:50,Devon,its green like manic
0:00:54,Hedgehog,wtf they're rich now
0:00:54,Sven “The Mindtaker” Fletcher,congrats Manic:loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:00:58,Mr. Guydude,Only the best for mindy
0:00:58,Silver Feral Thunderbird,Sonic already being savage lol
0:00:58,Kroe Waynes,i wish youtube reactions included green hearts
0:00:59,Muhammed Muhammed,Good luck manic you can do it
0:01:04,Fuckles The Enchilada,im so happy for manic
0:01:05,Kirsta's Toy Room,You go Manic my dude!!!
0:01:06,manicthehedgehogfannumberonealsoaleenathehedgehog2,sonic is so supportive! hat would he siblings do without him around!?!?
0:01:06,JackelZXA,sonia looks cute wearing golf clothes..
0:01:07,Makoto Ikari,Knuckles and...?
0:01:08,Sven “The Mindtaker” Fletcher,wait a minute
0:01:16,Wizards0nly,Mindy moves in with the sibs :smiling_face_with_hearts:
0:01:16,Makoto Ikari,BARTLEBY?
0:01:17,sooka,bartleby working with Mindy?
0:01:17,RDMVidya,Knuxes why 
0:01:18,Belicure,bartleby why!?!
0:01:19,Agent_Mothman_SE,BARTLEBY NO
0:01:19,cloudy,bartleby???
0:01:19,Haddock,Bartleby...?
0:01:19,Muhammed Muhammed,"wtf, who are those guys in the masks?"
0:01:21,Anthrazite,WHAT
0:01:22,Truant,IS THAT BLINKY
0:01:22,President Cherry,BARTELBY?!
0:01:23,RainbowHoodie,LMAO
0:01:23,FilmNerd,Is that Bartleby?!
0:01:26,JackelZXA,loll
0:01:27,Silver Feral Thunderbird,LMAO
0:01:28,VanVeleca,huh those guys look familiar
0:01:29,Friki Tiki,barleby is a reverse robin hood
0:01:29,Tamers12345,The guy on the left is pretty sexy...
0:01:30,RDMVidya,Bartley pls
0:01:30,Dragonball Almanac,bruh
0:01:32,Olizal ze Ortolan,isn't bartleby rich ?
0:01:35,manicthehedgehogfannumberonealsoaleenathehedgehog2,bartleby doesnt need to steal guys its obviously a red herring
0:01:35,Jenny is Dead,Bartleby would never
0:01:35,Memerio,bartleby buying it to brag to the homeless
0:01:35,JackelZXA,bartleby!!
0:01:36,Mr. Guydude,Who ever could that be?
0:01:36,Mints,thats not bartleby hed never cover his beautiful face
0:01:37,Sven “The Mindtaker” Fletcher,IT'S OBVIOUSLY BARTLEBY'S BROTHER
0:01:39,sooka,That’s interesting 
0:01:39,Pepper0ni96,:orange_circle::orange_circle::leftwards_hand:
0:01:40,avocadic,Bartleby hanging out with Mindy and Knuckles? This is a new development
0:01:41,James Andrew,Did they tell Bartelby this is what poor people do? 
0:01:41,Devon,only bartleby can have butt cheeks that beautiful
0:01:45,DatNeonFox,"Bartleby, Knux and Mindy?? Working together??"
0:01:46,Kroe Waynes,knuckles the cool burglar
0:01:47,Makoto Ikari,LOUD 0_0
0:01:49,RainbowHoodie,It can’t be him…
0:01:53,Haddock,sonic ded
0:01:55,Belicure,ITS HIM
0:01:55,alejokaiser,:red_circle::red_circle::waving_hand:
0:01:55,Silver Feral Thunderbird,This is brilliant already
0:01:56,Sven “The Mindtaker” Fletcher,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:
0:01:56,Liberty,BRAP
0:01:56,VanVeleca,OWEN WILSON???
0:01:57,RDMVidya,BRAAAAAP
0:01:58,Anthrazite,Kek based Manic
0:01:59,RainbowHoodie,GOD
0:02:00,Memerio,wait it’s hedgehog sibling lovers
0:02:00,washaa,is that...
0:02:01,Tamers12345,:face_with_open_mouth:
0:02:01,SomePinkCow,oh my
0:02:02,Mints,:clapping_hands:
0:02:02,AleenaEnjoyer,Holy reverb
0:02:03,RainbowHoodie,HUH?!
0:02:03,Truant,LIGHTNING MCQUEEN
0:02:03,sooka,LIGHTNING MCQUEEN!!
0:02:04,Makoto Ikari,:automobile:
0:02:04,Jenny is Dead,KACHOW
0:02:05,madcat789,LIGHTNING MCQUEEN!
0:02:06,Devon,MCQUEEN
0:02:06,polywuf,whoa
0:02:07,Silver Feral Thunderbird,LMAO
0:02:07,BAVI,THERE HE IS
0:02:08,Terminal Illness,IT'S HIM
0:02:09,Kroe Waynes,KA CHOW
0:02:09,Devon,MCQUEEN
0:02:10,Muhammed Muhammed,:astonished_face:
0:02:11,JackelZXA,everyone's boyfriend/girlfriend teamed up to rob them..
0:02:13,D. Driver,hell yeah
0:02:13,AnimeGames16,LIGHTNING
0:02:14,RedGunt,no fricking way
0:02:14,Olizal ze Ortolan,matter!!!
0:02:15,RainbowHoodie,MATER
0:02:15,manicthehedgehogfannumberonealsoaleenathehedgehog2,vrroom vrom 
0:02:16,Fuckles The Enchilada,ka chow
0:02:17,AnimeGames16,AND MATER
0:02:17,Sven “The Mindtaker” Fletcher,:face_with_open_mouth:
0:02:17,polywuf,ka chow
0:02:17,Silver Feral Thunderbird,KACHOW
0:02:20,Kirby Ate Thanos,Lightning McGROOMER
0:02:20,Devon,MATER
0:02:20,Scall0p,He said the thing 
0:02:20,Yellowsnow,"Sorry I'm late Tamers12345, I had to take a big smelly dump"
0:02:21,Truant,my fav disney characters
0:02:22,Tamers12345,And mater to?! These ar elike celebrity guests
0:02:22,Friki Tiki,Larry the cable guy?!
0:02:23,Scall0p,KA CHOW
0:02:23,Memerio,MATER
0:02:23,Belicure,lightning in that picture
0:02:24,Castlebattletoad,nice race car
0:02:25,DatNeonFox,He’s right
0:02:25,Castlebattletoad,looks cute
0:02:26,RickyWL,lightning has such beautiful lips
0:02:26,FilmNerd,Can't wait for Mater to tell us why we should use Prilosec
0:02:28,JackelZXA,lollll
0:02:29,sooka,Wow…
0:02:30,Pepper0ni96,:blue_circle::blue_circle::leftwards_hand:
0:02:31,President Cherry,Kachoo
0:02:31,Amethyst Rose,I made it!
0:02:31,Silver Feral Thunderbird,Mater is correct
0:02:32,Castlebattletoad,dayum
0:02:32,Kroe Waynes,tow truck dingo
0:02:34,cloudy,KACHOW
0:02:35,Dragonball Almanac,im tryna get in hs exhaust
0:02:38,Sven “The Mindtaker” Fletcher,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
0:02:40,JackelZXA,i like their voices!
0:02:40,Haddock,I thought he died of the corona virus... damn...
0:02:41,VanVeleca,wowie zowie
0:02:41,alejokaiser,:red_circle::red_circle::waving_hand:
0:02:42,Agent_Mothman_SE,They’re like car bardonic
