timestamp,author,message
0:00:00,cloudy,HERE WE GO BOYS
0:00:01,chmess,HERE WE GOOOOOOOOO
0:00:01,yfyo,sleengosisters is it our time......
0:00:03,Anon Pannon,"Tamers12345, when will we get VR Sonic Underground so Sonic can fart in our faces?"
0:00:05,Leonardo352,ITS HAPPENING
0:00:05,Michael Bonner,HERE WE GO!1!1!1!1!1
0:00:05,Sven “The Mindtaker” Fletcher,BLASTOFF
0:00:05,Kroe Waynes,let's gooooooo!
0:00:06,Friki Tiki,white
0:00:06,Wykkyd Mō,white
0:00:08,Montythegold,lets goooooooo
0:00:08,Ayyo-bun,ima go with uncle Chuck for life bby
0:00:09,Martin,KNUX
0:00:09,cloudy,:blue_circle::blue_circle::waving_hand: ITS TIME
0:00:10,washaa,!!!
0:00:10,cloudy,:blue_heart::yellow_heart::blue_heart::yellow_heart:
0:00:11,SeggyCute,White?
0:00:12,Wizards0nly,wow...
0:00:12,Makoto Ikari,:taxi:
0:00:13,Medicant,LETS GOOOOOOOOOOOO
0:00:14,Chase Miller,not yellow
0:00:14,Yoshinator,WOOOOOO
0:00:15,cloudy,BARTLEBY RIGHT OFF THE BAT
0:00:15,Martin,AAA
0:00:17,Michael Bonner,Again big butt
0:00:17,cloudy,this is going to be GOOD
0:00:18,Scall0p,Gray?
0:00:19,Tamers12345,:blue_heart::yellow_heart::blue_heart::yellow_heart:
0:00:20,RDMVidya,There she is
0:00:22,Wykkyd Mō,thicc boi
0:00:27,Lenny the Ghoul,we made it!
0:00:28,Jimmy John Joe Jr.,LETS GO
0:00:29,Wizards0nly,he knows her name?!?!
0:00:29,Makoto Ikari,Bartleby remembers Mindy's name :exploding_head:
0:00:30,Videos for stuff: Probably mostly unlisted,damn Bartleby is caked up
0:00:31,JM,That cab was yellow and it reminded me of bartleby
0:00:37,cloudy,mindy is a bardonic shipper ......
0:00:37,Martin,so generous
0:00:39,Scall0p,Based Mindy 
0:00:39,Lenny the Ghoul,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:39,Semicolon,she's right
0:00:40,Jimmy John Joe Jr.,he remembered mindy's name
0:00:42,Kroe Waynes,mine too mindy!
0:00:43,washaa,he's too kind
0:00:43,James Andrew,Kissass
0:00:44,Chase Miller,Mindy and Bartleby scene? Interesting 
0:00:47,BananaRepublican,Bartelby's house looking kinda small 
0:00:47,Makoto Ikari,:helicopter::sparkles:
0:00:48,Tamers12345,hOT DAMN... The two sexiest characters on screen already...?:face_savoring_food:
0:00:48,cloudy,there is no ship better than bardonic
0:00:48,VanVeleca,:orange_circle::orange_circle::waving_hand:
0:00:50,Sven “The Mindtaker” Fletcher,"Damn, Bartleby is so nice to Mindy"
0:00:52,AnimeGames16,Area 51?!
0:00:59,Wykkyd Mō,oh my
0:01:02,Semicolon,I dont see sonic though
0:01:02,AndyLosHorns,wheres sonic i dont see him?
0:01:04,Sven “The Mindtaker” Fletcher,nice
0:01:06,Makoto Ikari,:helicopter::sparkles::orange_circle::orange_circle:
0:01:06,Martin,hahah
0:01:07,keiichi289,"Uncle Chuck isn't here though, Tamers..."
0:01:08,Muhammed Muhammed,lol mindy's gonna toss those weiners somewhere all right
0:01:08,yfyo,:orange_circle::orange_circle:
0:01:11,RDMVidya,cheeks
0:01:11,Makoto Ikari,Mindy please.
0:01:11,Videos for stuff: Probably mostly unlisted,lol
0:01:12,NutJam,yay tamer
0:01:13,SeggyCute,Bartleby is the most casual elite I’ve ever seen?
0:01:13,Ayyo-bun,he lookin so beautiful
0:01:18,Friki Tiki,Mindy is a fake
0:01:18,Filip Hosna,:waving_hand::blue_circle::blue_circle:
0:01:19,Filip Hosna,:waving_hand::blue_circle::blue_circle:
0:01:19,Filip Hosna,:waving_hand::blue_circle::blue_circle:
0:01:20,Jimmy John Joe Jr.,how is bartleby so generous???
0:01:20,AndyLosHorns,wtf not cool this is bartlebys
0:01:21,washaa,lmao
0:01:22,Ramsel Spamton,:blue_circle::blue_circle::waving_hand:
0:01:25,Wizards0nly,hmmm
0:01:25,Wykkyd Mō,is that alfred?
0:01:26,Videos for stuff: Probably mostly unlisted,when did Sonic get that tattoo?
0:01:27,Tamers12345,Mindy better not break anything or she'll have to pay for it 
0:01:31,washaa,bottomed out that rudder control 
0:01:35,Chase Miller,Sonic's in Bartleby's house. I she allowed?
0:01:36,RDMVidya,6 dollars
0:01:36,Semicolon,:waving_hand::blue_circle::blue_circle:
0:01:38,yfyo,wtf mindy is a traitor......
0:01:39,Kroe Waynes,"oh no mindy, you are not worthy of bartleby's trust!"
0:01:44,Scall0p,She’ll pay for it with her life 
0:01:45,Muhammed Muhammed,"well to be fair, mindy didn't charge any of her customers except manic"
0:01:51,Makoto Ikari,:toilet:
0:01:52,Tamers12345,She's lying... :unamused_face::face_with_rolling_eyes:
0:01:53,cloudy,nice bartleby
0:01:53,Jimmy John Joe Jr.,nice tattoo sonic
0:01:53,Anon Pannon,mindy can't afford a taco from taco bell
0:01:56,RickyWL,"nice to see sonic still has bartleby's b itch tattooed on him, as it should be"
0:01:57,Kroe Waynes,nice artwork of bartleby on that wall
0:02:00,Sven “The Mindtaker” Fletcher,Damn Manic
0:02:01,AnimeGames16,UH OH
0:02:01,RDMVidya,MANIC NO
0:02:01,Semicolon,manic is so cool
0:02:01,keiichi289,"That was so hot, Manic"
0:02:02,Videos for stuff: Probably mostly unlisted,...
0:02:03,Double J,no way
0:02:05,Leonardo352,Manic yes
0:02:08,Austin T,"OH SHIT, PLAGIARISM!?!??"
0:02:11,Wizards0nly,maroon c32148
0:02:14,Ayyo-bun,manic breakin it in
0:02:14,Muhammed Muhammed,damn bartleby has great taste
0:02:16,washaa,manic needs house training 
0:02:16,Ramsel Spamton,They'll break everything
0:02:20,AndyLosHorns,sonic would know the exact color
0:02:20,Makoto Ikari,ownership over another living being
