timestamp,author,message
0:00:00,jloẅ,2
0:00:01,American Goblin,"I shat my pants, no time to go to the bathroom"
0:00:01,Sven “The Mindtaker” Fletcher,GO
0:00:05,Wykkyd Mō,LETS GOOOOOOOO BROOOOOOS
0:00:07,Daxma,HERE WE GO!!!
0:00:07,Haddock,HERE WE GO
0:00:08,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:09,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:10,Alice Hernandez,I am inseminated
0:00:11,Scall0p,:blue_circle::blue_circle::waving_hand:
0:00:13,FuckYouTube,I'm on the toilet personally
0:00:14,cloudy,:blue_circle::blue_circle::waving_hand:
0:00:15,Shenanimation,SQUAWK
0:00:15,Sgt. Sandwich,gotta clap for america
0:00:17,FuckYouTube,a fitting throne
0:00:17,Friki Tiki,best end to my vacation in alaska
0:00:17,Belicure,the hit sonic underground song: Lady liberty better play in this video
0:00:19,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:20,RainbowHoodie,I must be 5 secs behind 
0:00:26,Cton95,Time for peak
0:00:27,Makoto Ikari,entangled
0:00:27,jloẅ,thicc
0:00:29,Scall0p,God bless America 
0:00:29,Spectra,let's go boys I am (is Slingo bro)
0:00:31,Alice Hernandez,wait... is that Bud Light????
0:00:35,Efrain B,
0:00:37,Alice Hernandez,is that Bud Light?
0:00:38,Makoto Ikari,NO
0:00:39,RainbowHoodie,Aww it’s raining…
0:00:44,JackelZXA,oh no it's raining
0:00:48,Deadman Wonderland,no
0:00:49,jloẅ,bud light is American AF!!
0:00:55,RainbowHoodie,No
0:00:58,Belicure,wait isn't that the crippled kid manic made fun of?\
0:00:58,deez nuts,thicc
0:01:03,JackelZXA,i said NO
0:01:05,Shenanimation,which of the many american wars was that
0:01:07,Cton95,Based Mindy's dad
0:01:07,Kakaokomanden,dang 2 whole fireworks
0:01:10,Sven “The Mindtaker” Fletcher,NO
0:01:14,AnimeGames16,Those guys look familiar…
0:01:15,Alice Hernandez,No!
0:01:16,Sven “The Mindtaker” Fletcher,lmao
0:01:18,jloẅ,woof
0:01:19,deez nuts,no
0:01:19,Makoto Ikari,Mercedes
0:01:20,Deth,hmmm
0:01:23,Belicure,silly Mindy's Dad. Ripping off Chuck's clothes
0:01:26,Belicure,YES!!! FLORA!!!
0:01:26,Simon Hansen,What a chad.
0:01:27,RainbowHoodie,No
0:01:27,deez nuts,lmao
0:01:29,Belicure,MY WIFE FLORA!!!
0:01:31,Tamers12345,Mindy's dad favorite war is the second one(WW2)
0:01:32,Kakaokomanden,cute!!
0:01:34,Sven “The Mindtaker” Fletcher,CARAMELDANSEN
0:01:34,Alice Hernandez,kino
0:01:36,JackelZXA,lol
0:01:36,AleenaEnjoyer,CARAMELLDANSEN!
0:01:37,Shenanimation,comfy :)
0:01:37,cloudy,FLORA
0:01:37,Alice Hernandez,cute kino
0:01:41,Belicure,MY TRADWIFE WAIFU FLORA
0:01:42,Haddock,Aww Flora and Sonia are friends :)
0:01:43,AleenaEnjoyer,:D
0:01:44,Alice Hernandez,Flora is my waifu
0:01:44,JackelZXA,manic
0:01:44,Daxma,Mug > A&W
0:01:45,AnikiPlay,fllora
0:01:45,RainbowHoodie,Flora!!!!
0:01:46,I'mHighlyRegarded,Very ominous look there.
0:01:48,AnikiPlay,HELL YE
0:01:48,JackelZXA,oh hey look
0:01:48,AnimeGames16,FLORA!!!
0:01:48,Makoto Ikari,huge
0:01:49,FuckYouTube,sonic slaying
0:01:49,Sven “The Mindtaker” Fletcher,:O
0:01:53,RainbowHoodie,KNUXONIA 
0:01:56,JackelZXA,it's everyone's favorite 
0:01:58,deez nuts,I hate flora
0:01:59,Yellowsnow,Love these frames
0:02:00,Belicure,Flora is love! Flora is life!
0:02:00,alejokaiser,Flora
0:02:02,Alice Hernandez,Flora is so adorable
0:02:03,Kakaokomanden,Poor Mindy..
0:02:03,Shamel Thompson,omg their friends :)
0:02:04,ding dong,flora is deleted but in a good way
0:02:06,Makoto Ikari,I thought Mindy didn't like Sonia tho
0:02:07,Friki Tiki,home depot is most romantic place
0:02:09,AleenaEnjoyer,Flonia love <3
0:02:10,Scall0p,Yes knuxonia
0:02:15,Kakaokomanden,SHE IS CRAZY
0:02:15,JackelZXA,mindy and flora should practice kissing just in case it's important later
0:02:17,Days Of The Weak,i hope flora farts :)
0:02:17,Tamers12345,Damn Sonia is kind of a bitch
0:02:17,Belicure,YES!! ALEENA IS HERE TOO!!!
0:02:18,jloẅ,Holy schnikes
0:02:21,Daxma,Flora is my waifu
0:02:23,Haddock,OATMEAL CREAM PIES?! OH MAN
0:02:25,Haddock,I AM HUNGRY!
0:02:25,RogueKaiser,poor bimbo
0:02:26,Sven “The Mindtaker” Fletcher,LMAO
0:02:30,Shenanimation,it's Aleena :)
0:02:31,JackelZXA,heehee
0:02:32,Makoto Ikari,human knux ._.
0:02:33,FuckYouTube,SNACKS
0:02:33,Alice Hernandez,dried what?
0:02:35,Sven “The Mindtaker” Fletcher,that knuckles
0:02:35,Belicure,MMMMMMMMMMMMMMMMMMMHHHHHHHH
0:02:36,JackelZXA,yay
0:02:39,AnimeGames16,ALEENA :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
0:02:40,Sven “The Mindtaker” Fletcher,NICE
0:02:41,cloudy,whoa knuckles looking a little interesting
0:02:41,Alice Hernandez,>creme pies
0:02:41,Deth,bro
0:02:41,AleenaEnjoyer,DAYM
0:02:42,Cton95,ALEEENA OOH LA LAAAA
0:02:44,Daxma,YES~
0:02:45,Bollard,daaaaayuuuum
0:02:45,Yellowsnow,DAAAAYM
0:02:45,Haddock,whoa... Flora... you brought the whole bakery...
0:02:45,JackelZXA,hahaha
0:02:45,RainbowHoodie,Knux??
0:02:46,Alice Hernandez,shicccccc
0:02:47,JackelZXA,knuckles
0:02:47,RogueKaiser,WOAH
0:02:48,Tamers12345,After everything Mindy did and Sonia treats or like that?
0:02:49,Alice Hernandez,creme pies
0:02:50,AnikiPlay,damn 
0:02:52,deez nuts,thicc
0:02:55,JackelZXA,WOW
0:02:56,RainbowHoodie,GAWD DAMN
0:02:56,Shenanimation,LOL
0:02:57,lucasm,Christ
0:02:57,Deadman Wonderland,yummy
0:03:00,Sven “The Mindtaker” Fletcher,Uh oh
0:03:00,Scall0p,Damn
0:03:14,Alice Hernandez,juicy
0:03:14,Scall0p,Flora Thicc af
0:03:15,AnimeGames16,Uh oh…
0:03:17,deez nuts,thicc
0:03:18,AnikiPlay,GOD
0:03:22,Cton95,Aleena kinda sus rn
0:03:22,AnikiPlay,IS MERCIFUL
0:03:24,Austin T,GOD YES
0:03:24,JackelZXA,hell yeah
0:03:25,Alice Hernandez,lol that small butt
0:03:28,I'mHighlyRegarded,:eyes-pink-heart-shape:
0:03:29,RainbowHoodie,Thicc as a bowl of oatmeal
0:03:35,Kakaokomanden,NO NOT JESUS
0:03:39,Belicure,D:
0:03:39,Austin T,"my ship is sailing, boys"
0:03:43,Diamond in the Sky,Booty slap :hand-pink-waving:
0:03:45,Alice Hernandez,lol babby
0:03:51,Alice Hernandez,lol
0:03:53,Scall0p,Noooooooooo
0:03:53,Breadit,NOOO NOT THE JESUS
0:03:53,Sven “The Mindtaker” Fletcher,lmao
0:03:54,AnimeGames16,NO
0:03:54,Makoto Ikari,pp
0:03:54,JackelZXA,aleena x sonia x flora
0:03:57,deez nuts,lol
0:03:57,JackelZXA,lmao
0:03:57,RainbowHoodie,SACRILEGE 
0:03:59,JackelZXA,oh no
0:04:00,Alice Hernandez,fart joke withing the first 3 minutes
0:04:00,jloẅ,poop before the fire starts
0:04:04,Shenanimation,"""I've been waiting for this"""
0:04:04,Tamers12345,Boys will be boys :slightly_smiling_face:
0:04:06,Friki Tiki,not the blue ranger
0:04:09,Spicy Applesauce,yoooo
0:04:14,Alice Hernandez,that is a nice kitchen
0:04:17,I'mHighlyRegarded,Facts tamers 
0:04:17,Steven Bennett Studios,sup again tames
0:04:26,Shenanimation,why doesn't knuckles recognize his enemy cheeto man
0:04:27,JackelZXA,cute knuckles run
0:04:29,Makoto Ikari,super advanced
0:04:29,RainbowHoodie,Manic and cheese time!!!
0:04:31,Alice Hernandez,wait... those legs on manic... call a doctor!
0:04:39,Sven “The Mindtaker” Fletcher,Devilish
0:04:51,Cton95,W Knuckles as usual
0:05:02,Alice Hernandez,Sonic has a front butt
0:05:02,Cton95,Sonic is right there
0:05:06,Belicure,based sonic
0:05:08,JackelZXA,sonia's shirt is cute
0:05:08,RainbowHoodie,Huh??
0:05:14,Tamers12345,"Root bear, Mac andCheese? Creme pies? With that shit in the house I cans see why he's a fat ass lol"
0:05:14,LiveseyKnight,if you mix the jalepeno and the flamin hot cheeto sauce its hella good
0:05:16,JackelZXA,she doesn't wear underwear...
0:05:17,Makoto Ikari,a qt pie
0:05:19,Your name here,bars
0:05:19,Shép DeathWoods,Women
0:05:20,FuckYouTube,based sonic
0:05:25,Makoto Ikari,some classic scenes!
0:05:27,Shép DeathWoods,indeed
0:05:27,FuckYouTube,2omen
0:05:30,Haddock,Knuckles is such an alpha male
0:05:31,AleenaEnjoyer,LMAOOOOO
0:05:32,AnimeGames16,OOOO DRAMA
0:05:38,Deadman Wonderland,LMAO
0:05:38,Snorlax0912,This is amazing
0:05:39,RogueKaiser,Knuckles didn't do anything wrong
0:05:39,Alice Hernandez,the cell phone is the key to all of this....
0:05:43,JackelZXA,"""knuckles only beats me up to be cute"""
0:05:47,RainbowHoodie,Some best knuxonia highlights 
0:05:49,Steven Bennett Studios,friend abuse
0:05:49,deusexgotyedition,so hot
0:05:49,AnimeGames16,KINO
0:05:49,Videos for stuff: Probably mostly unlisted,lol
0:05:50,Cton95,He's got a point
0:05:54,FuckYouTube,knuckles was justified
0:05:56,Makoto Ikari,VIOLENCE
0:05:56,Cton95,Knux is still cool tho
0:06:01,Sven “The Mindtaker” Fletcher,NO STOP FIGHTING
0:06:05,deez nuts,sonic getting those cheeks clapped
0:06:08,Shép DeathWoods,and shell be pregnant
0:06:10,Friki Tiki,I wish knuckles the cool echidna would beat me up
0:06:10,jloẅ,"hahahaha, best fight scene"
0:06:13,JackelZXA,lol
0:06:14,Tamers12345,I hate when the siblings fight... :(
0:06:15,Scall0p,Slap fight lmao
0:06:16,JackelZXA,rofl
0:06:18,Daxma,"Stand up for yourself Sonia, you deserve to be happy"
0:06:22,Steven Bennett Studios,sibling fight
0:06:22,Alice Hernandez,again the cellphone.... another clue....
0:06:22,CyberCop008,sibling slug
0:06:25,Cton95,This is peak dialogue
0:06:25,Belicure,lmao
0:06:36,Shamel Thompson,lore
0:06:37,JackelZXA,pizza and hot dogs
0:06:37,Haddock,Sonic is kinda mean...
0:06:38,Diaro,lmao
0:06:38,Sven “The Mindtaker” Fletcher,POOT
0:06:39,Kakaokomanden,dang sonic...
0:06:39,Makoto Ikari,lol
0:06:40,Tamers12345,Damn I'm going to cry
0:06:42,Steven Bennett Studios,sonic forgot to wipe
0:06:44,Videos for stuff: Probably mostly unlisted,TriHogs is a good name
0:06:45,RainbowHoodie,Sonic…
0:06:47,AleenaEnjoyer,:(
0:06:48,CyberCop008,Sonic was a Hutt back then
0:06:49,Diaro,Sonic is so selfish
0:06:53,JackelZXA,sonic is in charge
0:06:56,CyberCop008,A fat hutt
0:06:59,Scall0p,Damn sonic 
0:07:01,Makoto Ikari,lmao
0:07:02,Alice Hernandez,its still raining
0:07:07,JackelZXA,sonic is mean...
0:07:08,Diaro,large and in charge
0:07:09,A Goat Head Baby,what'd I miss?
0:07:11,Austin T,owned
0:07:13,Sven “The Mindtaker” Fletcher,:sleepy_face:
0:07:13,Simon Hansen,Didn't share a pizza? Complete narcissist.
0:07:18,RainbowHoodie,Lmao
0:07:26,Shenanimation,that is.. if you still love America...
0:07:27,Sven “The Mindtaker” Fletcher,SLEENGO
0:07:30,Tamers12345,:sad_but_relieved_face:
0:07:33,Cton95,Sonia the goat 
0:07:33,FuckYouTube,everyone knows the thiccer you are the more power you have
0:07:38,deez nuts,yes dingo
0:07:43,RainbowHoodie,SLEET AND DINGO
0:07:44,JackelZXA,woah
0:07:45,AleenaEnjoyer,Awwwwwwweee <3
0:07:45,Haddock,"Sleet and Dingo have a car to bang in, wow..."
0:07:47,FuckYouTube,that's why sonic deserved to be named
0:07:47,Makoto Ikari,based
0:07:48,Scall0p,Sleet and Dingo
0:07:48,AnimeGames16,SLEET AND DINGO
0:07:48,Lunar the Gryphon,I mean Sonic is a bratty bottom :peach:
0:07:48,JackelZXA,sleet and dingo are here too! :)
0:07:49,AleenaEnjoyer,Sleengo :D
0:07:50,Cton95,AYO IT'S THE TWO BEST GAYS TO EVER GAY
0:07:50,Alice Hernandez,they moving up the world
0:07:51,Kakaokomanden,robotnik flexxing
0:07:52,DeShawn Williams,Hi everyone.
0:07:54,Scall0p,Let’s gooooooooo
0:07:55,jloẅ,badass
0:07:56,A Goat Head Baby,woaw
0:08:01,DeShawn Williams,How’s everything going?
0:08:05,Steven Bennett Studios,the depot
0:08:05,CyberCop008,"They should call the country „Sonic“, so the blue blur could love it "
0:08:07,Tamers12345,Woah! Robotnik is dressed like the Joker!
0:08:07,JackelZXA,WOAH
0:08:07,Friki Tiki,rizzotnic
0:08:08,Austin T,DAYUM
0:08:12,JackelZXA,ROBOTNIK IS BALLER
0:08:14,Depresston,I wish I could be as cool as Mark
0:08:15,Alice Hernandez,pimping
0:08:21,Videos for stuff: Probably mostly unlisted,does Deengo have a new voice?
0:08:22,Megaboy in Nob Armour,D A M A G E D
0:08:23,Makoto Ikari,lol
0:08:28,jloẅ,he looks good
0:08:29,Friki Tiki,RIZZOTNIC
0:08:30,JackelZXA,everyone is doing much better since the breakup
0:08:31,Sven “The Mindtaker” Fletcher,FOMO
0:08:31,Haddock,Sleet... calm down...
0:08:36,Shép DeathWoods,wasnt he gay
0:08:36,Tamers12345,Those girls are so fucking sexy HOLY SHIT!
0:08:40,JackelZXA,"""no"""
0:08:40,Shamel Thompson,Since when Robotnik a pimp
0:08:42,Steven Bennett Studios,he be pimpin
0:08:43,RainbowHoodie,Sure robotnic…
0:08:45,Cton95,Robasednik
0:08:46,JackelZXA,roflmao
0:08:47,CyberCop008,Did Robotnik kill Trevor?
0:08:51,Alice Hernandez,Robotnik likes big latina boogy
0:09:00,deez nuts,lol
0:09:03,Bollard,lmao
0:09:04,DeShawn Williams,"I love those girls so much, they are so hot and sexy! :smiling_face_with_heart_eyes::thumbs_up::thumbs_up:"
0:09:09,Kakaokomanden,Dingo is an upstanding guy
0:09:09,A Goat Head Baby,Sleet nooooooooooo
0:09:12,Daxma,Don't let him get to you Sleet
0:09:14,Videos for stuff: Probably mostly unlisted,lol
0:09:15,CyberCop008, Nobody crap on a car now
0:09:16,Bootleg Hatsune Miku,damn robotnik's kinda sexy
0:09:17,RainbowHoodie,dingo nooooo
0:09:18,JackelZXA,hell yeah
0:09:21,Cton95,Dingo nooooooo
0:09:23,A Goat Head Baby,Dingo nooooooooooooooooooo
0:09:30,AnimeGames16,“Rehearsed” LOL
0:09:32,Walta,I LOVE YOU TAMERS IYAAAAAA >////<
0:09:37,deez nuts,thicc
0:09:37,Diaro,dingo should spank robotnik
0:09:39,Belicure,lmmao
0:09:42,Megaboy in Nob Armour,Lmao Dingo at least buy Cs:go skins
0:09:45,Tamers12345,This is what happens when you put your faith in Dingo of all people.
0:09:46,Kakaokomanden,that man is pure evil
0:09:47,Haddock,Robotnik is crazy...
0:09:55,Makoto Ikari,Robotnik is so evil
0:09:57,Alice Hernandez,he has an evil laugh
0:09:59,Shép DeathWoods,clean it jannie
0:10:02,I'mHighlyRegarded,Poor sleet. 
0:10:04,JackelZXA,sleet should get a job somewhere else....
0:10:04,Sven “The Mindtaker” Fletcher,"Trevyrus, too?"
