timestamp,author,message
0:00:00,marina,blue and yellow next to each other true love
0:00:00,Tamers12345,actually the grey-white represents me spiggygee
0:00:06,sooka,YES
0:00:18,Yerm,big ups
0:00:21,64,Battle with the Boys was one of the best cinematic experiances in my life. no way the sonic movie could compete
0:00:21,Scall0p,Epic intro
0:00:25,Makoto Ikari,intro
0:00:25,liostylo,this already looks amazing
0:00:31,sooka,MINDY I LOVE YOU
0:00:33,Tamers12345,damn that guy in the wheelchair is hot lmao
0:00:33,Loneckii,Fattttttt
0:00:39,wren,im so excited too
0:00:39,Content Consumer,mirin
0:00:39,Scall0p,They all Thicc
0:00:40,Tamers12345,Damn Sonics ass is big as f*ck
0:00:41,sooka,OH MINDY I LOVE YOU SO MUCH
0:00:52,Youtube was better before Google bought it,Oh myyyy
0:01:00,Anomalous Spinal Cord Specimen ΛΔ,niiice
0:01:02,liostylo,manic kinda sexy though..........
0:01:02,Makoto Ikari,fugitive!
0:01:06,Scall0p,No one can out Thicc the sonic
0:01:12,Youtube was better before Google bought it,Damn Mindy so sexy
0:01:13,sooka,mindy lookin sexy
0:01:16,jingle,mindy looking thicc today :flushed_face:
0:01:22,Tamers12345,I must be pretty expensive for mindy to always dress in polka dots
0:01:25,sooka,"mundy yes,,,"
0:01:31,Mango,mindy what r you doing with all that cake
0:01:31,Yerm,this is some world building
0:01:33,Makoto Ikari,Mandy
0:01:35,Ron Ragonskivich Media Preservation Hub,uncle chuck x mindys sisters
0:01:38,MeinCouch123,kindergarten oh no
0:01:39,sooka,:red_heart:
0:01:40,sublimitykun,I like dots
0:01:42,バオバイバー,hot
0:01:44,Empanada y Gaseosa,she almost SHAT her pants from laughing
0:01:51,Scall0p,Damn that’s wild
0:01:55,HiggzWasHere,:smiling_face_with_sunglasses:
0:01:56,Content Consumer,which sister has more STD's
0:01:57,sooka,AWWW FLORA
0:02:16,Youtube was better before Google bought it,Hopefully sexy
