timestamp,author,message
0:00:00,Shygal SMB,It’s here!
0:00:00,Makoto Ikari,h0ype
0:00:01,Kakaokomanden,HERE WE GO
0:00:04,MeinCouch123,holy shit
0:00:09,Whang!,Hell yeah
0:00:10,Howard Roark,YES
0:00:11,バオバイバー,god this new intro is so good still
0:00:16,chris r,Ah YES!!!!!!!!!!!
0:00:18,Tamers12345,Here we go bitcheees
0:00:18,SquidBomb,Seal of quality
0:00:21,,YES!!!
0:00:22,RDMVidya,The big nutt
0:00:25,Arin,WAOH
0:00:27,Mondez Charles,hey
0:00:35,Four,yes!11
0:00:39,budgie,he'll yeah
0:00:45,Tamers12345,Damn athair has a big ass haha
0:00:52,Mondez Charles,here we go
0:00:58,MeinCouch123,LOL
0:00:58,Maya Hutchinson (Stelarosa),I swear Tamers is secretly a comedic genius
0:00:59,Accostrophe,nice
0:01:01,Lich,tamers draws the best asses
0:01:07,MeinCouch123,>secretly
0:01:07,Selfcharm,i get $2 for free since I have premium. Here
0:01:09,Content Consumer,secure
0:01:09,Shygal SMB,Nice lock
0:01:10,Speedking,that wont lock ANYTHING
0:01:11,SquidBomb,Dam bike stealing mexicans
0:01:11,dragsib1,"""secretly"""
0:01:13,Brian Griffin,Damn I want a weiner
0:01:17,バオバイバー,cool
0:01:19,Four,lol the lock
0:01:26,Mondez Charles,burger boi
0:01:27,CircularTogetic,beautiful
0:01:41,SquidBomb,Beautiful burger
0:01:44,Connor Spencer,borger
0:01:49,RDMVidya,Bam
0:01:50,DvidTheGnome,damn tamers live
0:01:52,Lich,borgjer
0:01:52,Howard Roark,damn I'm hungry now
0:01:54,eddycatboy,bougers
0:01:54,Maya Hutchinson (Stelarosa),help
0:01:59,Kakaokomanden,Mindy's dad is the best
0:02:00,Shygal SMB,"Ketchup on the bun, what a madman"
0:02:03,SquidBomb,eat a salad
0:02:05,Tamers12345,Damn mindy's dad sure knows how to make a burger
0:02:09,バオバイバー,HAMBURGER
0:02:09,Connor Spencer,hamborger
0:02:12,Tamers12345,That's what's up
0:02:13,Arin,:ok_hand::ok_hand:
0:02:18,DvidTheGnome,she sure does
0:02:19,Maya Hutchinson (Stelarosa),"he sure does tamers, he sure does"
0:02:25,Richard,gorl borger
0:02:30,Lich,TAMERS WOKE
0:02:34,The Gael,based
0:02:35,Shygal SMB,This man is real
0:02:36,Connor Spencer,wow sonic underground is so progressive
0:02:38,EGG ATTACK,:clapping_hands:
0:02:39,DvidTheGnome,thats a strong man
0:02:40,Lich,B A S E D
0:02:42,Mr.Gameplayz179,:slightly_frowning_face:
0:02:42,SquidBomb,USA USA USA
0:02:49,Speedking,tfw not american
0:02:49,RDMVidya,USA USA USA
0:02:51,Arin,PREACH
0:02:55,Iori Minase,USA
0:02:56,DvidTheGnome,super based
0:02:59,SquidBomb,Based Mark
0:02:59,Content Consumer,character tier increase
0:03:01,Connor Spencer,USA
0:03:02,Howard Roark,little commie
0:03:05,DvidTheGnome,smack
0:03:06,CircularTogetic,mERICA.
0:03:08,Brian Griffin,Slap
0:03:11,Mondez Charles,ham burgers:beaming_face_with_smiling_eyes:
0:03:15,My Ass Is Massive,Bartleby’s muscles are fire.
0:03:25,Howard Roark,mindy's dad confirmed veteran
0:03:26,chris r,
0:03:28,Howard Roark,update the wikis
0:03:29,Maya Hutchinson (Stelarosa),wait what
0:03:31,Shygal SMB,A true patriot
0:03:33,Lich,USA USA USA USA USA
0:03:33,SquidBomb,an amazing ass
0:03:35,Tickis,Mindy's dad's a real god damn american hero.
0:03:53,SquidBomb,aleena best girl
0:04:04,MeinCouch123,tamers you always make aleena look cute af
0:04:05,Mondez Charles,oh
0:04:05,Makoto Ikari,spoiler alert
0:04:06,RDMVidya,THICC
0:04:19,Tamers12345,Thanks for the donation. It's really going to help me bring back sonic underground. It's going right into my funds to buy the righs to sonic underground
0:04:22,SquidBomb,tamers' Aleena is cutest
0:04:23,xX_Kawaii_Neko_Xx,o shit
0:04:26,Brian Griffin,Woah hes going in
0:04:32,Makoto Ikari,ATHAIR BRINGING THE HEAT AND THE FAITH
0:04:33,xX_Kawaii_Neko_Xx,ayy
0:04:38,Seymour Butts,tamers's aleena is a qt
0:04:42,SquidBomb,damn manic
0:04:44,chris r,ah yes good luck on getting those rights daddy
0:04:47,Maya Hutchinson (Stelarosa),Tamers are you even real
0:04:48,Shygal SMB,Fight fight fight
0:04:56,RDMVidya,Beef stew
0:04:57,My Ass Is Massive,Sonic Underground season 2 where everyone is Ultra thicc.
0:04:58,Connor Spencer,Yyyyyyyyum
0:04:58,YipOhCo,IM ^ MINUTES LATE
0:05:06,バオバイバー,big ball of sunshine
0:05:07,Kakaokomanden,Stop bullying Knuckles
0:05:16,YipOhCo,6 MINUTES LATEEEEEE
0:05:20,Arin,alina is best wifu
0:05:21,バオバイバー,wow amazing lip sync
0:05:26,Connor Spencer,thats a good mouth
0:05:27,Tamers12345,Knuckles has some plump as lips
0:05:33,YipOhCo,knuckles noooooooooooooo
0:05:37,xX_Kawaii_Neko_Xx,wowie
0:05:39,SquidBomb,I want to be sonic manic and sonia's stepdad!
0:05:56,dragsib1,no
0:05:57,Tamers12345,Tails isn't in sonic underground
0:06:00,xX_Kawaii_Neko_Xx,tails isn't in su
0:06:00,Makoto Ikari,"what is a ""tails"""
0:06:01,SquidBomb,tails doesn't belong in sonic underground
0:06:05,YipOhCo,I like his grandpa way more than him smh
0:06:08,Qe,Tamers whats your opinion on aggressive titty milking
0:06:10,Seymour Butts,who tf is tails
0:06:10,MrTekdude,What is this?
0:06:15,Connor Spencer,tails is weak
0:06:18,Makoto Ikari,omg
0:06:18,Howard Roark,wtf is that jimiken
0:06:24,Tamers12345,I don't know what a tails is. But sonic underground characters do have big butts
0:06:25,YipOhCo,tails is gae
0:06:27,EGG ATTACK,jesus this voice
0:06:28,RDMVidya,RAP BATTLE
0:06:32,バオバイバー,cool new voice actor
0:06:34,Shygal SMB,This animation is tops
0:06:39,YipOhCo,the VOICE
0:06:43,Connor Spencer,RAP TIME
0:06:45,xX_Kawaii_Neko_Xx,su live action when
0:06:47,Maya Hutchinson (Stelarosa),tamers please
0:06:49,SquidBomb,The voice of an angel
0:06:52,YipOhCo,SPIT
0:06:55,Four,what do you use to animate tamers12345?
0:06:58,Makoto Ikari,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:
0:07:00,Content Consumer,cheering rn
0:07:01,Tamers12345,ARE YOU READY MOTHER FUCKERS
0:07:02,Arin,woooo
0:07:05,バオバイバー,i hope the boys show up
0:07:07,Kakaokomanden,HELL YEAH
0:07:08,RDMVidya,WOOOOOO
0:07:09,YipOhCo,WOOOOOOOOOOOOOOOOOOO
0:07:09,Iori Minase,YES
0:07:12,Howard Roark,@Four skill
0:07:12,Maya Hutchinson (Stelarosa),I'm scared
0:07:12,Arin,YASSSS
0:07:12,Lich,WOOOOOOOOOOOOOOOOOO
0:07:12,SNOWMAN,AHHHHHHHHHHHHH
0:07:14,CircularTogetic,Yes i'm READY
0:07:15,The Gael,PRESS S TO SPIT ON TAILS
0:07:15,The Gael,S
0:07:18,dragsib1,Where's Bartleby?
