timestamp,author,message
0:00:00,jingle,Youtube wont put you in rewind but they will make you a timer
0:00:01,Lk Gaggiero,okok 10 second
0:00:01,Chargeman Kenia,UwU
0:00:02,_z0mb1e_,lets goooo
0:00:02,A Goat Head Baby,I'M ABOUT TO BUST MY HARBLE
0:00:03,jingle,cowards
0:00:05,RoachDoggJR,Punches table
0:00:05,Ringle Dingle,oh boy
0:00:08,Makoto Ikari,it is time
0:00:08,hippeman 256 (Spice),better than sonic x
0:00:10,Scall0p,This is an very epic event
0:00:10,Lk Gaggiero,Go
0:00:15,Tamers12345,Damn sighborg I respect you. youm know what's up
0:00:16,HighToDeath,woooo
0:00:17,Hoe,im pregnant
0:00:17,hippeman 256 (Spice),jusus has come
0:00:18,HiggzWasHere,Merry brimbus
0:00:19,Grendel,get the popcorn
0:00:27,Richi fLores Vrea,AAAAAYYYYYYYYY
0:00:28,バオバイバー,oh em gee
0:00:32,Bannus McMannus,:eye::mouth::eye:
0:00:33,jingle,soccer
0:00:36,Bones Malone,sonic pooped himself
0:00:38,Tamers12345,Awww that photo is cute :red_heart:
0:00:41,Makoto Ikari,#1 MOM
0:00:41,Anomalous Spinal Cord Specimen ΛΔ,damn the lore
0:00:42,jingle,she looks hot in a suit ngl
0:00:43,Chipnyu,playing with balls
0:00:48,Martin,those cheeks
0:00:49,hippeman 256 (Spice),perfect for beat meat december a milf
0:00:56,Richi fLores Vrea,xd
0:00:56,Scall0p,Damn they Thicc sonic and manic
0:00:56,Makoto Ikari,alcoholism
0:00:57,Grendel,is that pee?
0:01:00,Ringle Dingle,yeah she does she's doing business
0:01:02,RoachDoggJR,Dayum lol
0:01:08,HiggzWasHere,lol
0:01:10,Richi fLores Vrea,mood
0:01:11,Michael Nunez,not very american at all
0:01:22,バオバイバー,aleena is pretty hot in a suit
0:01:23,Chargeman Kenia,I'm racist
0:01:28,Lk Gaggiero,"aleena is an office worker, damn"
0:01:30,Tamers12345,@Hillary Norris queen aleena doesn't drink pee bitch
0:01:31,Bones Malone,she is
0:01:35,Liquid Lad,milf in a suit
0:01:44,jingle,Can aleena be my mom
0:01:46,Scall0p,Thicc
0:01:47,Ringle Dingle,sonia is cool
0:01:49,Grendel,sorry
0:01:50,Makoto Ikari,participation :trophy:
0:01:53,hippeman 256 (Spice),what was the epic creators inspiration
0:02:03,Liquid Lad,destroyed
0:02:05,Ringle Dingle,she treats them right
0:02:07,Richi fLores Vrea,y is she tooth less
0:02:09,Chillis,haha he pooped himself
0:02:22,Anomalous Spinal Cord Specimen ΛΔ,shes right tho
0:02:24,A Goat Head Baby,lmao
0:02:25,Jo3a5,lol
0:02:31,Scall0p,Yeah
0:02:31,Liquid Lad,BASED
0:02:33,Richi fLores Vrea,OH NOOOO
0:02:39,jingle,@Ringle Dingle is a mexican
0:02:42,HiggzWasHere,DAMN
0:02:43,Grendel,RED PILLED
0:02:44,A Goat Head Baby,WOOOAH
0:02:45,AB CQC,YOOO
0:02:45,Makoto Ikari,bleep
0:02:46,hippeman 256 (Spice),o
0:02:46,Lk Gaggiero,damn straight
0:02:51,jingle,BALD
0:02:51,Scall0p,You tell em girl
0:02:52,バオバイバー,:O
0:02:52,jingle,BALD
0:02:52,Michael Nunez,LEX LUTHOR
0:02:52,hippeman 256 (Spice),nut
0:02:53,jingle,BALD
0:02:54,_z0mb1e_,you tell em
0:02:56,Miimoo,lol
0:02:56,Cascaesque,LEX LUTHER
0:02:56,Makoto Ikari,LEX LUTHOR
0:02:57,Chipnyu,aleena can speak morse code
0:02:58,Martin,:frowning_face_with_open_mouth:
0:03:00,Liquid Lad,THICC
0:03:02,AB CQC,Is that lex luthor
0:03:04,Anomalous Spinal Cord Specimen ΛΔ,pumpkin..
0:03:05,バオバイバー,LEX???????
0:03:05,Ron Ragonskivich Media Preservation Hub,LEX LUTHOR
0:03:05,Jo3a5,Damn
0:03:05,hippeman 256 (Spice),thicc
0:03:12,Chipnyu,thicc thiccthor
0:03:13,_z0mb1e_,Johnny sins?
0:03:14,Anomalous Spinal Cord Specimen ΛΔ,hes connected to the pumpkin bois
0:03:16,MrParkinthedark,This is high stakes drama!
0:03:16,Scall0p,It’s the pumpkin man
0:03:16,Jo3a5,pupkin boy
0:03:23,Swoonis,NEW ARC
0:03:26,hippeman 256 (Spice),Agent 47
0:03:27,バオバイバー,this is too deep already
0:03:28,Athena Medusa,OH GOD THE PUMPKIN MAN
0:03:29,Richi fLores Vrea,OOP
0:03:36,hippeman 256 (Spice),the plot thickens
0:03:38,Felipe Alvarado,NOOOOO
0:03:41,Michael Nunez,IT WAS LEX
0:03:41,Anomalous Spinal Cord Specimen ΛΔ,KMART
0:03:47,HighToDeath,LEX LUTHOR
0:03:54,hippeman 256 (Spice),is it lex or 47
0:03:56,Tamers12345,Damn I wonder why that pumpkin was there and shit
0:03:59,jingle,WHOA
0:04:07,Michael Nunez,wow that lighting
0:04:09,A Goat Head Baby,what pumpkin?
0:04:14,Chargeman Kenia,rip in piss
0:04:15,Hoe,Whats going on
0:04:15,バオバイバー,oh no you can't use that word on youtube
0:04:20,Felipe Alvarado,this is so sad
0:04:21,64,the shading
0:04:24,TheGunConFighter,That could have been anybody
0:04:24,raven's funhouse,watching one handed :)
0:04:26,Tamers12345,:disappointed_face:
0:04:27,バオバイバー,"""okay"""
0:04:31,Hoe,:disappointed_face:
0:04:33,Tamers12345,f
0:04:33,バオバイバー,damn thats a big pen
0:04:34,Richi fLores Vrea,jjba cant beat this
0:04:35,Grendel,F
0:04:36,hippeman 256 (Spice),damm
0:04:39,Michael Nunez,should've got them from walmart
0:04:40,Makoto Ikari,F
0:04:41,Anomalous Spinal Cord Specimen ΛΔ,dude..
0:04:41,HighToDeath,:crying_face:
0:04:44,Hoe,F
0:04:45,Bully,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:04:46,Benetism ,what horrible man
0:04:46,Skyy_Br0wni3s,:pensive_face:
0:04:46,jingle,omg shes wet
0:04:46,Jo3a5,no
0:04:46,Lk Gaggiero,doesn't seem legit to me
0:04:47,Bones Malone,lol
0:04:47,Bully,:loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:04:52,Tamers12345,F
0:04:54,Felipe Alvarado,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:04:55,Hoe,THIS IS SO SAD
0:04:55,Chillis,:disappointed_face:
0:04:55,Sigh,"I'm going to cry, this is just too tragic"
