timestamp,author,message
0:00:00,DocC atFace,"Between MM and Tamers, all the good cartoons are online."
0:00:05,TumbleDown,have you had any videos flagged???
0:00:06,raven's funhouse,im going to pee myself.
0:00:06,g_norm_us,Nut
0:00:06,Rainbow Sugar Tits,Wooooo
0:00:06,Ken12,SONIC X AMY
0:00:07,Smudge,Bardonic > regular bards
0:00:14,Smudge,Aasaaaaaaa
0:00:14,Tamers12345,Youtube is my bitch. One time they took down the world famous video kindergarten days and I forced them to put it back up
0:00:17,xNe14Gax,GOT THE VASELINE READY LAY IT ON ME TAMERS12345
0:00:22,TumbleDown,based
0:00:23,Tamers12345,It's begun...
0:00:48,Rainbow Sugar Tits,Tamers you’re so powerful
0:00:48,Videos for stuff: Probably mostly unlisted,nice
0:00:49,I LOVE SONIC UNDERGROUND,It's already a masterpiece.
0:00:58,Tamers12345,Sonic has really good friends...
0:00:58,Smudge,Where is bartleby?!
0:00:59,Rainbow Sugar Tits,You should run for president
0:01:01,64,knuckles is so smol
0:01:07,MrParkinthedark,This is freakin’ epic!
0:01:08,Videos for stuff: Probably mostly unlisted,Sonic is so sexy here. I can't even imagine what is gonna happen to his big butt cheecks
0:01:09,jingle,they animation looks great
0:01:12,Ringle Dingle,did knuckles get a haircut
0:01:18,xNe14Gax,yeah a nice pair of friends in his pants haha
0:01:19,lisha,sonic lookin dummy thicc
0:01:25,rinanan,Animation looking sexy as hell
0:01:40,Makoto Ikari,it really do be like that
0:01:42,alexa,Yes
0:01:45,Smudge,Shut up sonia
0:01:45,Tamers12345,"Damn, bartleby brought his fucking boys with him"
0:01:52,alexa,I wish I was there rn
0:01:52,cakecakecake1,squad
0:01:54,Ringle Dingle,thats a lot of asians
0:01:55,jingle,bartleby's equipped
0:01:58,I LOVE SONIC UNDERGROUND,Why the hell do we have 114 people watching and only 29 likes EVERYONE LIKE
0:01:59,Smokey's Video Hole,god I wish that were me
0:02:03,Croccultist,Could Bartleby have stopped 9/11 with just his money?
0:02:05,TumbleDown,sonic looking plump
0:02:15,Bones Malone,manic needs to chill
0:02:15,wren,thiccck
0:02:15,Smudge,THE DUALITY OF MEN
0:02:19,raven's funhouse,nice hair m'lord
0:02:21,Makoto Ikari,mussels
0:02:22,Rainbow Sugar Tits,Bartleby’s hot
0:02:23,Loneckii,bartleby is a hunk
0:02:26,jingle,his hair is so pretty
0:02:27,Tamers12345,poor manic... :disappointed_face:
0:02:31,Smudge,WOAH BARTLEBY
0:02:31,Pinkerton,Bartleby is swole
0:02:37,rinanan,Bartleby hunk legend
0:02:38,Miniature Bigfoot,"Damn manic, you're rude"
0:02:38,Ringle Dingle,whoa thats some good shading
0:02:44,Deth,kek
0:02:45,Team5A5K,manic is so crazy bro
0:02:45,Big Business,manic needs to CHILL
0:02:50,raven's funhouse,willie wanka
0:02:57,Tamers12345,I wish bartleby would slap my ass
0:02:58,I LOVE SONIC UNDERGROUND,The list doesn't end.
0:03:03,jingle,me 2
0:03:04,Ringle Dingle,doesnt he already
0:03:05,Makoto Ikari,20k/min
0:03:08,rinanan,me too tamers
0:03:09,alexa,A diamond toilet made of good
0:03:16,Rainbow Sugar Tits,Have you asked him to Tamers?
0:03:19,Tamers12345,Oh shit!
0:03:28,MrParkinthedark,:new_moon_face:
0:03:28,Ringle Dingle,:disappointed_face:
0:03:29,Loneckii,poor manic :^(
0:03:30,Smudge,30 CONTiNeNTS?!
0:03:39,cakecakecake1,:pile_of_poo:
0:03:40,alexa,Notice me tamers:pleading_face:
0:03:41,Tamers12345,Bartleby only slaps sonics ass
0:03:41,TumbleDown,THICC
0:03:44,Miniature Bigfoot,:C
0:03:57,†,hell yes
0:04:02,Bones Malone,didnt know manic was an og... damn
0:04:03,Ringle Dingle,hes so loyal
0:04:04,Rainbow Sugar Tits,Manic’s story is so sad :crying_face:
0:04:06,The Gael,Keady is for broken glass munchers
0:04:08,Chef Chuck,"shut up, minority the hedgehog"
0:04:10,64,Bartleby has mad patientce
0:04:10,Smudge,Woah...
0:04:11,Loneckii,woah...swag
0:04:13,TumbleDown,were the rats
0:04:19,Tamers12345,"Dang, this is deep as shit"
0:04:19,rinanan,manic stans rise up we love lore
0:04:20,MrParkinthedark,That’s an epic crew
0:04:22,Sten 28,Uncle Chuck better get some lines in Tamers12345
0:04:33,Smudge,Bartleby is awesome!
0:04:37,Bad For Health,:call_me_hand:
0:04:38,Bones Malone,watch it tee
0:04:47,jingle,manic lore !
0:04:51,Shmiam,jam alert
0:04:56,Loneckii,sourpls
0:04:57,Smudge,Musical genius!
0:04:57,TumbleDown,song of the year
0:05:01,pale horse,that song sounds badass
0:05:03,Anomalous Spinal Cord Specimen ΛΔ,that song is like 2 years old
0:05:03,Makoto Ikari,big blue
0:05:05,alexa,BIG BLUE:blue_circle:
0:05:07,xNe14Gax,damn
0:05:22,alexa,I’m so turned on rn
0:05:23,Smudge,Woah!!!!! Sexy!!!!
0:05:27,Deth,damn
0:05:27,alexa,:woozy_face::woozy_face::woozy_face:
0:05:28,lisha,:peach::peach::peach:
0:05:28,Bones Malone,unf
0:05:29,cakecakecake1,:face_screaming_in_fear:
0:05:30,Scall0p,Damn
0:05:31,cakecakecake1,:face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear:
0:05:33,†,hot
0:05:34,cakecakecake1,:face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear:
0:05:37,Loneckii,:astonished_face:
0:05:37,jingle,NO SONIC
0:05:38,raven's funhouse,finna take a trip down the marinara trench
0:05:38,Bad For Health,awkward
0:05:39,TumbleDown,damn that was high quality
0:05:40,Miniature Bigfoot,Lol
0:05:42,Mythril,hot
0:05:42,Scall0p,He Thicc
0:05:42,Rainbow Sugar Tits,Wish I was Sonia seeing this in person! UwU
0:05:43,Ringle Dingle,sonic you cheating stop
0:05:46,Stig Archives,yooooo
0:05:46,Zeke Mitchell-Hopmeier,Yum
0:05:48,Smokey's Video Hole,sonia jealous
0:05:53,Tamers12345,damn manic what the fuck?!
0:05:58,Makoto Ikari,:pile_of_poo:
0:05:59,rinanan,Manic out here double cheeked up on a Thursday afternoon
0:06:07,xNe14Gax,mmmmm
0:06:12,Smudge,Manic you poor minority!!!!
0:06:27,g_norm_us,Manic Cringe Moment
0:06:42,xNe14Gax,why is she wearing clothes?
0:06:49,Ringle Dingle,mindy went through some character development shes so nice
0:06:49,Tamers12345,You can do it sonic!
0:06:51,jingle,mindys character development is phenomenal
0:06:57,Walta,thiccc
0:06:59,Scall0p,Go sonic
0:06:59,Bones Malone,lel
0:06:59,Ringle Dingle,shut up thats what i said
0:07:00,Smudge,BIg CHEK
0:07:02,jingle,NOOOOO
0:07:08,Tamers12345,f
0:07:09,rinanan,Manic with the moves tho damn
0:07:12,Loneckii,f
0:07:12,raven's funhouse,nice
0:07:12,Smudge,LOLLlllll
0:07:14,rinanan,f
0:07:14,Pinkerton,Jet Set Sonic
0:07:14,Miniature Bigfoot,Ha. Gross
0:07:16,alexa,F
0:07:18,RDMVidya,f
0:07:18,jingle,MANIC EWWW
0:07:19,Scall0p,Hot
0:07:20,Chef Chuck,"oh man, the sakuga here"
0:07:21,Rainbow Sugar Tits,F
0:07:20,Miniature Bigfoot,F
0:07:23,Makoto Ikari,powerful
0:07:23,MeinCouch123,spock?
0:07:24,pale horse,f
0:07:24,Chef Chuck,so smooth
0:07:25,Scall0p,F
0:07:28,raven's funhouse,corn field tactics
0:07:29,MrParkinthedark,RIP
0:07:31,Team5A5K,f
0:07:34,Bones Malone,f
0:07:34,jingle,f
0:07:34,Smudge,F
0:07:39,cyrus,bruh
0:07:41,dagi,what do manics farts smell like haha
0:07:39,Ringle Dingle,hes fat how could that happen
0:07:42,Makoto Ikari,:burrito:
0:07:40,64,f
0:07:40,xNe14Gax,mmm is that broccoli i smell my dear?
0:07:44,alexa,F
0:07:45,cyrus,f
0:07:50,Tamers12345,lol sonic you cute fatty :red_heart:
0:08:01,g_norm_us,:hedgehog: :dashing_away: :hedgehog:
0:08:03,Anomalous Spinal Cord Specimen ΛΔ,DUDE
0:08:06,Deth,relax knuckles
0:08:07,raven's funhouse,cutest diabetic breathing
0:08:08,Loneckii,jungle juice!
0:08:08,Smudge,Knuckles = comedy genius
0:08:16,Scall0p,Big brain
0:08:18,Ringle Dingle,i hate sonic now
0:08:18,64,THIS MAD LAD
0:08:26,Makoto Ikari,chemistry
0:08:28,Tamers12345,boy can drink that soda pop
0:08:35,rinanan,:smiling_face_with_heart_eyes:
0:08:42,Kess S,knuckles is my favorite character
0:08:48,alexa,SO DA POP
0:08:50,Miniature Bigfoot,Sod-DaPop
0:08:59,Ringle Dingle,is that drake bell
0:09:14,alexa,His eyes changed color
0:09:19,Tamers12345,Drake bell is the heart guy in the thumbnail
0:09:20,Big Iron,Stoooooooooop
0:09:30,xNe14Gax,lmao
0:09:31,Croccultist,What do Manic's farts smell like?
0:09:34,Ringle Dingle,oh sorry how could i be blind
0:09:38,MeinCouch123,based
0:09:47,Rainbow Sugar Tits,No!
0:09:47,Ringle Dingle,2 dollars is nothing how could you
0:09:47,cyrus,WTF
0:09:48,Loneckii,wow....that was badass of sonic
0:09:50,Smudge,Dayum!!!
0:10:00,Makoto Ikari,:fire:
0:10:04,Bad For Health,don't call anybody
0:10:05,jingle,NOOOOOOOOOOOOO
0:10:14,Scall0p,Damn
0:10:14,Tamers12345,Thanks for the 2$. I can almost buy an su dvd with that
0:10:20,Mcdonalds Slopper,tamers is a better animator than egoraptor unironically
0:10:24,jingle,gasp
0:10:25,Rainbow Sugar Tits,Mindy’s our hero!
0:10:27,Makoto Ikari,mindy MVP
0:10:31,Scall0p,Ya leave him alone
0:10:33,xNe14Gax,>not buying zatchbell cards instead
0:10:34,jingle,THATS SO RUDE
0:10:35,Miniature Bigfoot,Oh boy
0:10:36,†,mindy save them!
0:10:48,Scall0p,That’s kinky
0:10:50,Smudge,Hello /v/
0:10:53,Anomalous Spinal Cord Specimen ΛΔ,dayyuuum
0:10:53,240p,sexy
0:11:04,MrParkinthedark,An epic maneuver
0:11:04,64,whoa
0:11:04,Tamers12345,I wish I could do that
0:11:08,Chef Chuck,will nobody root for the stand-up citizen that runs this soda pop joint?
0:11:10,alexa,My eyes hurt in sympathy
0:11:12,Ringle Dingle,but you can
0:11:17,Scall0p,Me too
0:11:17,Smudge,I can do that twice as hard
0:11:18,RDMVidya,smol face
0:11:18,dagi,crush me with those cheeks mindy
0:11:22,Loneckii,its drake!!!
0:11:22,Paperback 112,god this is so epic
0:11:23,Chef Chuck,he merely wants to stop these hedgehooligans from breaking the law!
0:11:26,Smudge,DRAKE BELL!!!!!!
0:11:27,†,an ability we should all cherish
0:11:28,jingle,is that drake bell
0:11:29,Ringle Dingle,WHOA
0:11:31,Scall0p,He sounds hot
0:11:31,Tamers12345,Oh shit it's drake bell!
0:11:33,Ringle Dingle,ITS REALLY HIM!!!!!!!
0:11:34,64,ITS DRAKE BELL!
0:11:37,jingle,its really him !
0:11:48,TumbleDown,damn drake looks sexy
0:11:52,Ringle Dingle,tamers could he say happy birthday to me
0:11:53,pale horse,its actually him...woah....
0:11:57,dagi,take it off drake bell
0:12:01,Bad For Health,how'd you get tv's drake bell?
0:12:01,raven's funhouse,bust my o-ring bell
0:12:04,Shmiam,awesome celeb cameo
0:12:10,alexa,:weary_face:
0:12:14,Smudge,Superb animation
0:12:17,jingle,hes so sexy
0:12:18,Ron Ragonskivich Media Preservation Hub,drake bell is ok but where is professor majorchord
0:12:20,Scall0p,:weary_face::ok_hand:
0:12:20,Ringle Dingle,this reminds me of the scene in trolls
0:12:22,64,wish i was there...
0:12:26,jingle,THEYRE HERE TOO
0:12:27,Croccultist,Will Drake be performing his theme song?
0:12:36,†,damn these 3 dudes are mega thick
0:12:39,Josh Anderson,Hello tamers12345
0:12:41,MeinCouch123,slick
0:12:42,Miniature Bigfoot,Robotnick just wants to have fun
0:12:42,Tamers12345,Oh man. even robotnik is here on valentines day?!
0:12:46,Chef Chuck,OH MY GOOOOOOOD
0:12:49,Loneckii,this voiceacting....damnnnnnn
0:12:51,Deth,lmao
0:12:53,Videos for stuff: Probably mostly unlisted,oh wow
0:12:58,Videos for stuff: Probably mostly unlisted,their voices sounded weird for a second
0:13:01,Videos for stuff: Probably mostly unlisted,what was that about?
0:13:01,alexa,Let’s spell out tamers12345 I’ll start
0:13:04,alexa,T
0:13:12,Videos for stuff: Probably mostly unlisted,A
0:13:17,64,n
0:13:17,rinanan,m
0:13:18,Kess S,mers12345
0:13:22,raven's funhouse,b
0:13:22,Ringle Dingle,e
0:13:24,Videos for stuff: Probably mostly unlisted,wow
0:13:24,alexa,LMAO
0:13:25,Smudge,Yeeeaaahhhh
0:13:26,Anomalous Spinal Cord Specimen ΛΔ,He got the moves
0:13:29,Smudge,Wooooooooo
0:13:34,Scall0p,You go gurl
0:13:38,64,DANGGG
0:13:40,Ringle Dingle,this is too intense this animation
0:13:45,alexa,Bamf
0:13:47,Smudge,Robotnick
0:13:51,I LOVE SONIC UNDERGROUND,He's so EVIL!
0:13:54,Makoto Ikari,enthralled
0:13:58,rinanan,robotnik out here with the moves tho
0:13:58,jingle,HES FLOSSING
0:14:03,raven's funhouse,sick
0:14:03,Loneckii,what a dilf
0:14:07,Ringle Dingle,now thats epic.
0:14:09,Bones Malone,this is too much
0:14:09,Makoto Ikari,rollfloss
0:14:10,Anomalous Spinal Cord Specimen ΛΔ,damn get served
0:14:16,Croccultist,Sure he can floss. But can he do orange justice?
0:14:27,Makoto Ikari,:smiling_face_with_smiling_eyes:
0:14:28,Scall0p,Lucky
0:14:29,†,drake bell x robotnik
0:14:32,alexa,I’m blushing too
0:14:38,Content Consumer,slick
0:14:42,Anomalous Spinal Cord Specimen ΛΔ,hahahaha
0:14:44,Smudge,Hahahahahahahahahaha
0:14:48,alexa,Mmmmm I bet that smelled so good
0:14:52,Scall0p,Funny
0:14:52,Loneckii,sonia got owned
0:14:53,I LOVE SONIC UNDERGROUND,Not as powerful as manic's.
0:14:54,Miniature Bigfoot,An odd place for a table
0:14:58,raven's funhouse,lmoa
0:15:01,Makoto Ikari,lol
0:15:03,Shmiam,LMAO
0:15:05,alexa,
0:15:06,Big Bug,hahaha
0:15:07,Deth,god damn
0:15:09,Bad For Health,i wouldn't finish eating that
0:15:20,alexa,:eye::mouth::eye:
0:15:23,rinanan,BARTLEBY CANT SKATE?
0:15:24,Smudge,Bartleby can’t skate?!?!
0:15:30,alexa,???
0:15:31,Scall0p,:eye::wavy_dash::eye:
0:15:34,Rainbow Sugar Tits,It’s ok if Bartleby can’t skate Ryo
0:15:37,rinanan,Damn the shading on his hair tho
0:15:37,alexa,:eye::tongue::eye:
0:15:39,Makoto Ikari,there's something bartleby can't do? wtf
0:15:44,Team5A5K,Bartleby is good at everything wtf
0:15:44,64,this artwork
0:15:47,Bad For Health,"makes sense, rollerskating is for poors"
0:15:48,dagi,bartlebys hair looks so soft
0:15:50,64,YO
0:15:50,†,bartlebys so inspirational and sexy
0:15:51,pale horse,i guess there are even things the great bartleby can't do
0:15:55,alexa,His hair is so silky smooth
0:16:03,rinanan,what shampoo does Bartleby use damnnn
0:16:05,Rainbow Sugar Tits,Bartleby can still be god like
0:16:06,alexa,Very sexy
0:16:13,Tamers12345,Bartleby can put anything if he puts his mind to it... maybe even skate :winking_face:
0:16:14,Mcdonalds Slopper,i want to take bartleby's member in my mouth
0:16:15,Rainbow Sugar Tits,Some gods can’t skate it’s ok
0:16:20,alexa,Lens flare
0:16:23,xNe14Gax,i am in awe of your ms paint skills
0:16:34,alexa,Yes
0:16:37,Content Consumer,can bartleby be poor if he put his mind to it?
0:16:42,TumbleDown,kawaii
0:16:46,Makoto Ikari,shiny
0:16:46,Smudge,Don’t sell yourself short BBoy!!!
0:16:51,Rainbow Sugar Tits,The bodyguard is so lucky
0:16:59,Ringle Dingle,you cant buy love silyl
0:17:00,Rainbow Sugar Tits,My nose is bleeding too
0:17:00,Scall0p,Yeeeessssssss :weary_face::weary_face::weary_face::weary_face::weary_face::weary_face:
0:17:08,Makoto Ikari,robotwerk
0:17:11,Tamers12345,:disappointed_face:
0:17:11,jingle,robotnik NO
0:17:16,Anomalous Spinal Cord Specimen ΛΔ,Antarctic gold
0:17:18,Smudge,YES
0:17:25,Team5A5K,YOOOOOOO BARTLEBY IS GONNA GO HARD
0:17:29,Rainbow Sugar Tits,:face_with_steam_from_nose:
0:17:30,Smudge,HOLY MOlY
0:17:48,Tamers12345,Oh no... bartleby is mad now
0:17:48,†,meaty
0:17:48,wren,:face_with_steam_from_nose:
0:17:56,cakecakecake1,:frowning_face:
0:17:58,Tamers12345,rip
0:18:01,jingle,DONT FIGHT HIM
0:18:02,Scall0p,Big mistake dingo
0:18:03,Miniature Bigfoot,Dingo is going to get it
0:18:04,Smudge,F
0:18:05,Deth,madlad
0:18:05,Makoto Ikari,:face_with_open_mouth:
0:18:05,rinanan,F
0:18:07,Anomalous Spinal Cord Specimen ΛΔ,WOAH
0:18:08,alexa,Bro
0:18:08,Croccultist,:neutral_face:
0:18:08,cakecakecake1,:face_savoring_food:
0:18:11,240p,F
0:18:11,Team5A5K,F
0:18:12,Loneckii,f
0:18:12,Kök Kkakso,rip
0:18:13,Makoto Ikari,F
0:18:14,Ron Ragonskivich Media Preservation Hub,This is the last time were ever gonna see dingo
0:18:14,pale horse,OH MY GOD
0:18:15,dagi,rip dingo
0:18:16,cakecakecake1,HOLY
0:18:21,Walta,So strong :O
0:18:21,Ringle Dingle,DINGO
0:18:23,alexa,He can do it
0:18:23,Anomalous Spinal Cord Specimen ΛΔ,"I thought Dingo had a chance, how foolish of me"
0:18:23,Scall0p,I told him
0:18:23,Christian Zelaya,f
0:18:24,Videos for stuff: Probably mostly unlisted,is he dead?
0:18:25,Bones Malone,f
0:18:26,wren,ill bet he always comes for him
0:18:27,Ringle Dingle,NOOOOOOOOOOO
0:18:31,cakecakecake1,hes DEAD
0:18:33,Arin,f
0:18:34,xNe14Gax,rip
0:18:37,xNe14Gax,:disappointed_face:
0:18:39,Smudge,LOL
0:18:41,alexa,Re tard
0:18:41,Shmiam,I can't believe dingo fricking dies
0:18:45,Kök Kkakso,its gotta be a spinoff
0:18:45,rinanan,he was a skater boi
0:18:48,Tamers12345,dingo got exactly what he deserves
0:18:53,Makoto Ikari,hype
0:19:00,Ringle Dingle,im so sad though tamers
0:19:02,64,it was justice
0:19:03,Croccultist,poor dingo
0:19:05,Bad For Health,dingo got poor on bartleby
0:19:05,alexa,THE PIT HAIR
0:19:05,dagi,:folded_hands: dingo gone but not forgotten
0:19:17,alexa,AAAAAAAHHH
0:19:20,Makoto Ikari,SPIN
