timestamp,author,message
0:00:00,KubanSigar,At least bartleby is in this 
0:00:02,milli,ITS HAPPENING
0:00:03,Wolfie,i hope there's a sexy uncle chuck scene
0:00:07,Old King Cole,:yt::yt::yt:
0:00:08,Wykkyd Mō,HERE WE GO
0:00:09,Makoto Ikari,hype
0:00:09,Tiki2970 (Ginyu),I like how the 1 is yellow like bartleby
0:00:10,Jo3a5,intro
0:00:12,Tiki2970 (Ginyu),Damn the classic intro
0:00:13,Cton95,"Well, you are the one making them, so really it comes down to you"
0:00:16,Selwing666,wooooooooooo
0:00:21,Ayyo-bun,yeeeeeeeeeeeeeeeeeee
0:00:22,Blondie: Electric Boogaloo,THE CLASSIC INTRO
0:00:24,sooka,Yeeee
0:00:27,Old King Cole,GEMMMM
0:00:28,Tamers12345,I'll be getting a new intro for 2023
0:00:28,Shép DeathWoods,:christmas_tree:
0:00:28,ReconBoy04,Robbie rotten isn't in any tamers videos
0:00:29,Jo3a5,this gonna be good
0:00:33,SLUGBOYS (Blackbrainz),LETS GOOOOOO
0:00:36,Blondie: Electric Boogaloo,CHRISTMIS
0:00:36,Jack Chu,LET'S GOOOOOOOOOOOOOOOOOOOOO
0:00:40,Ayyo-bun,omfg 
0:00:41,MuhammadWorldwide ,TWU
0:00:41,Tamers12345,This old intro is pretty outdated
0:00:44,Cton95,Yeah no it's pa
0:00:47,Tiki2970 (Ginyu),Jared's Pa... he had a hard life...
0:00:50,Silver Feral Thunderbird,"Oh god, I made it just in time!"
0:00:54,ChaosAngel,oh dang
0:00:58,Truant,i cant wait for the new intro
0:01:01,Shenanimation,the new intro will need to remove the Tragic Death from the character lineup
0:01:06,JackelZXA,i love sonic underground
0:01:06,milli,recon should i draw bartleby
0:01:10,Steven Bennett Studios,I'm back
0:01:10,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::dashing_away:
0:01:14,ReconBoy04,he was choked as a young bull
0:01:23,Tamers12345,Jared's pa had good life until now. He's a simple man with a simple life. Like Bartleby
0:01:24,Jo3a5,lmao
0:01:27,Ending E,"If Tamers has a million fans, then I am one of them. If Tamers has one fan, Im THAT FAN. If Tamers has no fans, that means im dead."
0:01:28,Cheeseandblood,gasp he said Sleet
0:01:30,Hjort,damnit im late
0:01:35,Truant,nothing wrong with a simple life
0:01:36,Ayyo-bun,no the old ways are sacred Jared!
0:01:42,SLUGBOYS (Blackbrainz),Damn Pa looks good
0:01:46,Makoto Ikari,rock hard abs
0:01:51,Jo3a5,lmao
0:01:55,Scall0p,Pa is one of my favorite Sonic Underground characters 
0:01:57,KubanSigar,Jared has changed so much as a character 
0:01:57,Cton95,"Hey wait, where's Jared's GF"
0:01:59,MuhammadWorldwide ,Pa is yolked 
0:02:01,Wykkyd Mō,ripped af
0:02:04,Old King Cole,:smiling_face_with_heart_eyes: oh my god he's so muscular
0:02:07,Cton95,There she is nevermind
0:02:08,Tiki2970 (Ginyu),Who tf is that
0:02:08,James Andrew,Jareds a manlet
0:02:13,Shép DeathWoods,who
0:02:22,Hugh Mungous,I know a man who is just like Jarod's Pa IRL in the Deep South. I've worked on his farm. Simple men are powerful men.
0:02:22,Tamers12345,That's raffi from sonic underground
0:02:23,milli,my foots asleep
0:02:25,Old King Cole,"""Jareds a ma- ACK! """
0:02:27,Blondie: Electric Boogaloo,NEW VOICE
0:02:27,Makoto Ikari,lol
0:02:28,RainbowHoodie,LOL
0:02:30,Jo3a5,LMAO
0:02:33,Agus,is she doing black face?
0:02:34,Silver Feral Thunderbird,XD
0:02:35,R.S.,man i sure hope nothing happens to this new character
0:02:37,Selwing666,oh no i feel targeted kinda
0:02:38,Hjort,LOL
0:02:38,avocadic,Tell em Pa
0:02:39,Blondie: Electric Boogaloo,BASED
0:02:43,Bunnay Boo,WTF PAW
0:02:44,Lenny the Ghoul,bros I got a bad feeling about raffi...
0:02:45,Sven “The Mindtaker” Fletcher,LMAO
0:02:47,ReconBoy04,its so late
0:02:50,milli,LOL
0:02:51,Ayyo-bun,keep it pure pa
0:02:52,Tamers12345,@Agus not intentionally
0:02:52,Makoto Ikari,slave
0:02:52,Scall0p,Common Pa W
0:02:54,ReconBoy04,now ik how u feel milli
0:02:55,Ayyo-bun,damn lol
0:02:56,Sven “The Mindtaker” Fletcher,LMAO AGAIN
0:02:59,milli,i think mines like
0:03:03,Wykkyd Mō,crops in the winter?
0:03:05,Truant,love the Muslim representation!
0:03:05,Old King Cole,THISSS
0:03:05,milli,WHAT DOES THAT MEAN??????
0:03:06,TarahjiToons,What’s your views on AQUA TEEN HUNGER FORCE
0:03:07,ChaosAngel,based
0:03:09,R.S.,I can't believe Raffi Isgonadie might not be ok...
0:03:13,Old King Cole,:gem_stone:
0:03:13,Sven “The Mindtaker” Fletcher,oh her name's Sara
0:03:14,Agus,that is good to know 
0:03:15,Blondie: Electric Boogaloo,LOL
0:03:15,Silver Feral Thunderbird,BRUH LMAO
0:03:16,Tiki2970 (Ginyu),Uhhh...
0:03:23,Shép DeathWoods,dam cowboy has nice cheeks
0:03:25,Olizal ze Ortolan,lmao
0:03:27,Hugh Mungous,"If Raffi didn't want to be judged for being Muslim, then he shouldn't be a Muslim."
0:03:29,Jo3a5,LMAO
0:03:29,RainbowHoodie,BARTLEBY
0:03:30,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::sparkles:
0:03:32,Agus,damn 
0:03:33,Tiki2970 (Ginyu),KINO LIMO
0:03:33,ReconBoy04,I've been pretending I'm not racist my whole life
0:03:34,Tamers12345,bartleby! :smiling_face_with_hearts:
0:03:36,Makoto Ikari,finally some sweet Bardonic
0:03:39,KubanSigar,:raising_hands:
0:03:39,milli,i think mines 5 seconds behind
0:03:40,Shenanimation,bartleby lookin' slick
0:03:42,Selwing666,"tbf we dont have rights, thats accurate"
0:03:43,Bunnay Boo,Cute family photo!
0:03:43,Truant,LETS GO
0:03:45,Silver Feral Thunderbird,JESUS-
0:03:47,Cton95,THE LEGEND
0:03:51,Ayyo-bun,oh damn
0:03:51,Polar,Conductor Bartelby gonna run train on sonic
0:03:51,Tiki2970 (Ginyu),Damn that cute outfit on Bartle Bee :yellow_heart:
0:03:52,Wykkyd Mō,YES! BARTLEBY
0:03:52,Lenny the Ghoul,WHOOOOOO
0:03:54,Tamers12345,Damn Bartleby looks kind of sexy in those clothes.....
0:03:58,Steven Bennett Studios,everyones always thicc in his videos lol
0:04:00,Shép DeathWoods,:poultry_leg:
0:04:01,Lenny the Ghoul,BARTLEBY
0:04:02,avocadic,Bartleby looking incredible today!
0:04:09,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle:
