timestamp,author,message
0:00:00,Creature Feature,:partying_face::partying_face::partying_face::partying_face:
0:00:01,headshot519,up up up
0:00:02,Glimmy,its happening
0:00:02,Cumber World,Yes Yes Yeeeeeeeeeeeeeeeeees
0:00:04,Makoto Ikari,aaaaaa
0:00:05,ZibVA,HERE WE GOOOO
0:00:07,Makoto Ikari,very hype
0:00:09,ashley elkins,IM SO EXCITED
0:00:10,LiveseyKnight,AAAAAAAAAA
0:00:11,SmokedRye,We are fans of Underground
0:00:11,2old2steak,hell yeah
0:00:14,Tamers12345,"Damn, I hope uncle chuck is in this shit"
0:00:14,MetalxXx Gear,lets get it
0:00:22,Mark E,same
0:00:22,LonnyZone,LETS GOOO
0:00:25,sstorm0,Yeeeeeeeah!
0:00:26,MetalxXx Gear,THEY ALL WEARING THE SAME COAT HAHAHA
0:00:27,headshot519,:musical_notes:
0:00:29,Miniature Bigfoot,:yellow_heart::blue_heart:
0:00:31,ashley elkins,HIS MOM IS SO SEXY
0:00:35,Enter a name,a little jankly
0:00:36,Tamers12345,"Woah, Bartleby's parents are sexy"
0:00:42,Kakaokomanden,BARTLEBY'S MOM REVEAL
0:00:47,VGfan2012,they look pissed
0:00:48,ZetsubouJohnny,GASP! i NEVER SAW HIS MOM BEFORE
0:00:49,DankG777,new chracter
0:00:49,MetalxXx Gear,tamers i love the dads moustache
0:00:54,sstorm0,OMG HIS MOM
0:00:54,headshot519,lol his mom
0:00:55,Somescrub,Hell yeah
0:00:55,charlieboy,grape jelly :drooling_face:
0:00:59,MetalxXx Gear,haha
0:01:00,NNY,BARTELBYS MOM POG
0:01:08,Makoto Ikari,:map_of_japan:
0:01:10,Daniel Collins,"bruh, this is insane"
0:01:20,ZetsubouJohnny,"She's pretty hot, I wasn't expecting it"
0:01:21,Kakaokomanden,I like his mom already
0:01:23,Creature Feature,hahahahahaha
0:01:25,Tamers12345,They all shop at J. C. Pennies because they're rich
0:01:26,headshot519,dat forehead
0:01:28,VGfan2012,BARTLEBY'S MOM IS GONNA GIVE BARTLEBY COVID
0:01:29,Cumber World,chi lii ching
0:01:30,SpookyAmmo,She’s rite tho
0:01:33,MetalxXx Gear,i love it
0:01:34,Miniature Bigfoot,:crying_face: At least Sonic loves him.
0:01:37,ZetsubouJohnny,look at those DSLs
0:01:41,Kurphy C. Danish,清冲乒乓球
0:01:45,ashley elkins,More like J.C. billions
0:01:55,Tamers12345,I hope they can accept Sonic even though he's poor... :disappointed_face:
0:01:55,Mark E,does that sign say Pee Mountain
0:02:02,NNY,are they dealing with covid top
0:02:05,Mr nobody,Bartleby is too beautiful
0:02:05,MetalxXx Gear,tamers12345 can i ask you a serious question are you going to make anymore AMV your limitless amv video got me thru a really hard time in my llife
0:02:06,Daniel Collins,Applebees is awesome
0:02:14,Kooky,sonic's big butt is absolutely a defining and valuable quality
0:02:20,Gojira908,Spoilers
0:02:33,Cumber World,A PRINCE!!!!!!!!!!!!!
0:02:35,Makoto Ikari,so many subjects and slaves
0:02:36,ashley elkins,Sonic is late eating all the food in the kitchen
0:02:52,MetalxXx Gear,listen old ladyh
0:02:53,Kakaokomanden,You tell him Queen Aleena
0:03:01,Somescrub,What a scam restaurant
0:03:07,Mr nobody,What a karen
0:03:08,VGfan2012,THICC
0:03:10,Noodlization,20 x 4 = 40
0:03:10,Miniature Bigfoot,She's not good at math.
0:03:13,ashley elkins,Wow look at those poors :loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:03:21,Makoto Ikari,(
0:03:21,NNY,yass
0:03:23,charlieboy,freaking uncle chuck
0:03:24,Haddock,"DAMN, I'm Late. FRICK!!"
0:03:25,Miniature Bigfoot,So poor.
0:03:28,Somescrub,lmao
0:03:32,ZibVA,damn uncle chuck :flushed_face:
0:03:34,Kakaokomanden,Classic Chuck
0:03:34,MetalxXx Gear,tamers12345 thank you so much im being serious about ur AMV i watch it almost weekly and share it with all my friends!
0:03:37,Kooky,Uncle Chuck how could you
0:03:39,ZetsubouJohnny,Chuck's pretty badass
0:03:40,Makoto Ikari,based chuck
0:03:41,DankG777,damn!
0:03:41,ashley elkins,Uncle chuck better be happy he’s so sexy so I forgive him
0:03:43,sstorm0,WHY UNCLE CHUCK?
0:03:44,Somescrub,Uncle Chuck more like Uncle Chad
0:03:45,Miniature Bigfoot,"Oh, that zany uncle chuck"
0:03:46,Ix99oblivion,WORTH THE MONEY
0:03:49,MetalxXx Gear,hahahahaha
0:03:54,Makoto Ikari,she deserved it
0:03:59,MetalxXx Gear,LOL
0:04:04,Kooky,patrolled
0:04:04,Bravepotato,"GJ Tamers, It's an excellent episode"
0:04:04,headshot519,hehehehehehehehe he he
0:04:05,MetalxXx Gear,ALOT
0:04:06,VGfan2012,@tamers12345 Is that you laughing?
0:04:10,MetalxXx Gear,
0:04:10,Haddock,Piss...
0:04:11,VGfan2012,HOT
0:04:12,Luci,mmmm...
0:04:13,Cumber World,HAAWt
0:04:13,Somescrub,Lmao
0:04:14,headshot519,rare piss
0:04:14,charlieboy,owned
0:04:15,Noodlization,what
0:04:15,eatmyshorts,bartlebys dad is hot
0:04:17,ZetsubouJohnny,pg13
0:04:21,Mr nobody,Oh dayum
0:04:23,Bunnay Boo,rip
0:04:25,DankG777,new crying sound effect!
0:04:25,ZetsubouJohnny,F
0:04:26,Daniel Collins,delicious
0:04:26,Kakaokomanden,Less than 5 minutes in and the epsiode is already great
0:04:28,Makoto Ikari,sonia is such a crybaby
0:04:32,Ix99oblivion,Yamero!
0:04:33,Anomalous Spinal Cord Specimen ΛΔ,OH SHIIIT
