timestamp,author,message
0:00:00,Devon,"@Tamers12345 dude i see it now, also yellow is next to sonic. referencing their close relationship"
0:00:03,wuzfoz,im ready
0:00:04,Ale Titan,oh boi here we goooo
0:00:11,jay dee,Tamers is my daddy 
0:00:12,ashley elkins,I love you tamers!
0:00:13,Non-Applicable,MY MEMBER IS ENGORGED
0:00:14,IDK,Hi
0:00:16,Makoto Ikari,best intro
0:00:20,Craig The Kid,it's time?
0:00:21,†,HELL YEA
0:00:29,Miller,lets goooooo
0:00:31,unsubscribe,sonic is going to drink drain cleaner and die
0:00:32,Coffee Junkie,daddy has arrived with the goods
0:00:33,kyr,tamers please be my cugar daddy
0:00:34,Tamers12345,Thanks for the $2 Jay I can put that into my saving for an SU dvd
0:00:34,Haddock,I have been edging to Sonic's buttcheeks in the thumbnail for the last three hours.
0:00:35,kyr,sugar
0:00:36,Chicken Exploder,this is so sad
0:00:37,SeaHamster,:blue_circle::blue_circle::waving_hand:
0:00:40,humanlike dog creature,there he is!
0:00:42,The Mighty Xsaros,It's him!
0:00:43,UnsaddledCamel,elevators are scary
0:00:47,Non-Applicable,Sonia and Aleena are my favorite characters
0:00:48,sertdrae,its him
0:00:52,PEPER,GOT HERE JUST IN TIME
0:00:52,Devon,oh my god
0:00:52,Non-Applicable,I think they are the real protagonists
0:00:56,CyberCop008,Festive!
0:00:58,Devon,bartleby looked so cool in that shot
0:00:59,Luci,he
0:01:00,kawasaki776,i can't believe bartleby didn't pack that auditorium. the nerve of some people
0:01:00,Makoto Ikari,:money_with_wings:
0:01:01,DankG777,1 trillion dollars
0:01:02,Luci,s so handsome
0:01:02,mememilkyway,are these the guys from the hatsune miku episode
0:01:12,Fuckles The Enchilada,knux lookin cool
0:01:15,Ale Titan,:buffering:
0:01:15,SeaHamster,they can't handle it
0:01:16,Non-Applicable,THAT BEAUTIFUL CHIN
0:01:17,Chicken Exploder,yoo knuckles fit
0:01:17,Tamers12345,Bartleby is a beautiful man who deserves the best
0:01:23,Craig The Kid,dang look at him
0:01:23,バオバイバー,nice outfits
0:01:23,Oddy,God he turns me on so much
0:01:24,Ale Titan,:skull:
0:01:24,Steven Hotcakes,Chonky
0:01:26,Beef Stroganoff,he looks so good 
0:01:30,Coffee Junkie,plus makoto ikari you Chad you comment on every video
0:01:32,DankG777,:money_with_wings::money_with_wings::money_with_wings:
0:01:33,mememilkyway,gracious hair
0:01:34,SuperSonic 12,@Tamers12345 yes
0:01:38,CyberCop008,Ba'lby grew up to become a visionary!
0:01:39,Haddock,@Tamers12345 Did you do something special when you drew Bartleby here? He looks EXTRA fricken handsome.
0:01:39,Tiki2970 (Ginyu),lol
0:01:41,Don'tCallMeNice,Bartleby looks like Roger Waters
0:01:50,kyr,We live in a society where rich people are being oppressed... 
0:01:51,Makoto Ikari,:peach:
0:01:56,Nilson Sierra Arbizu,Eres lo maximo tamers!!!
0:01:58,The Mighty Xsaros,:blue_circle::blue_circle::waving_hand:
0:01:58,Ale Titan,:fishing_pole:
0:01:58,Non-Applicable,"damn son, how do I get that swole"
0:01:59,True Planet,this is already a beautiful art form
0:02:01,Tamers12345,Bartleby stayed up all morning to put this preesentation together :slightly_smiling_face:
0:02:02,バオバイバー,You mean Roger Waters look like Bartleby
0:02:05,kyr,#RIchLivesMatterMoreTahnEveryoneElse
0:02:06,PEPER,damn tamers the way you draw buttcheeks is reminiscent of picasso
0:02:09,Ale Titan,:money_bag:
0:02:12,Non-Applicable,We love you Bartleby
0:02:18,SeaHamster,look at sonic glowing he's so proud
0:02:19,Luci,I respect a man who know's his American history
0:02:20,バオバイバー,number five
0:02:21,True Planet,bartleby is doing well
0:02:24,CyberCop008,"Look at those vibrant, expressive eyes"
0:02:28,Tamers12345,I don't know who pocasso is @Peper 
0:02:31,Fuckles The Enchilada,bartleby sings better than roger waters
0:02:32,Haddock,How did Bartleby get so rich??
0:02:32,Miniature Bigfoot,made it.
0:02:37,PEPER,some french guy
0:02:38,ChillingtonChillsvile,So ture
0:02:40,Non-Applicable,"It's a type of pasta, tamers"
0:02:43,surnachi,HI TAMERS12345
0:02:45,Makoto Ikari,nice
0:02:48,Luci,BASED
0:02:49,Tamers12345,It took me 3 hours to detail Bartleby hair in that one shot
0:02:49,Beef Stroganoff,my favorite actor!
0:02:50,ChillingtonChillsvile,Nice
0:02:51,sertdrae,JOHNNY DEPP
0:02:51,バオバイバー,YOOOOOO
0:02:57,Serplin Stay Toxic,Pog
0:03:06,Burning quartz,hello based tamers thank you for the kino
0:03:08,Non-Applicable,"it's beautiful, you should be a hairdresser Tamers12345"
0:03:08,†,JOHNNY DEPP
0:03:13,SuperSonic 12,nice detail tamers
0:03:13,Makoto Ikari,hardcore yaoi manga
0:03:14,Craig The Kid,3 hours?
0:03:15,†,DEEP HARDCORE YAOI MANGA
0:03:17,Craig The Kid,darn
0:03:18,ChillingtonChillsvile,only 3 hours you are so skilled doing it that quick
0:03:20,Non-Applicable,BUT CAN I TASTE IT?
0:03:21,Chicken Exploder,100 dollars
0:03:30,PEPER,wow
0:03:31,Devon,no
0:03:32,Haddock,Why doesnt it say 1 trillion??
0:03:33,Makoto Ikari,100
0:03:35,liz!,tamers have you ever seen dumbland by david lynch
0:03:35,Devon,thats 1 trillion
0:03:36,SuperSonic 12,them cheeks thi
0:03:36,バオバイバー,It's a prototype
0:03:36,Tamers12345,@ChillingtonChillsvile I know
0:03:37,sertdrae,thats 1 trillion
0:03:39,Luci,thought it was trillion
0:03:45,バオバイバー,sonia cute
0:03:47,Miniature Bigfoot,Bartleby doesn't even know they make bills that snall.
0:03:48,CyberCop008,What a tushy....:elbowcough:
0:03:54,Devon,its literally 1 trillion
0:03:56,Non-Applicable,When will Bartleby assume his throne as the God-Emperor of Mankind?
0:03:56,elektrowalzer,sonicxbartelby doujin when
0:03:57,Tamers12345,It only said 100 because it was a prototype
0:04:00,Craig The Kid,you make a lot a people thicc
0:04:02,kyr,Bartelby puts the icon in iconic.
0:04:07,CyberCop008,Sonic looks posh!
0:04:07,ChillingtonChillsvile,wow
0:04:07,mememilkyway,AFFAIR WOULD LOVE THAT
0:04:08,Steven Hotcakes,AGHHHH DEATH NOTE DOUJIN
0:04:08,Non-Applicable,LOL
0:04:12,ChillingtonChillsvile,hot
0:04:15,PEPER,no way
0:04:16,Starlit Rain,DEATH NOTE DOUJINSHI
0:04:16,humanlike dog creature,best goody bag ever
0:04:16,バオバイバー,this is all i want
0:04:17,Oddy,yoo he ripped fat farts that he ripped his PANTS
0:04:17,Non-Applicable,Sonia is mai waifu
0:04:20,True Planet,DEATH NOTE DOUJINSHI
0:04:22,Craig The Kid,manic ripped his pants lol
0:04:23,PEPER,sonic and i like the same chocolate
0:04:24,Beef Stroganoff,sounds like a great goodie bag 
0:04:25,Carbage,how did you get these art assets???
0:04:31,what shirt is bigs wearing in this video,Knuckles is so ungrateful
0:04:33,Non-Applicable,DINO TENDIES NAME DROP?
0:04:35,PEPER,KNUCKLES LOOK OUT
