timestamp,author,message
0:00:00,Tired,Damn this is epic
0:00:01,𝓏𝒾𝓁𝒶𝓃𝓉𝓈,youtube bends to the will of the legendary tamers
0:00:01,Mimi Nani,nut
0:00:02,Dr. Face Doctor,LETS GOOOOOOOOOOOO
0:00:05,Shenanimation,I have this playing on a 50 inch tv monitor
0:00:06,T S R L,matrix is for babies
0:00:07,dark matter,HELP MEMNR
0:00:08,AndyLosHorns,0!!!!
0:00:09,Tristan Oyerly,Here we go
0:00:10,†,YESSAA
0:00:11,RDMVidya,LES GOOOO
0:00:12,PEPER,OH MY GODDDDDDD
0:00:16,Memerio,YEAHHHH
0:00:17,PEPER,KNUCKLES
0:00:17,Kyogre4870,BASED
0:00:17,Wizards0nly,kino time...
0:00:19,AndyLosHorns,efir!
0:00:21,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:22,†,WOOO YEAAA
0:00:23,Makoto Ikari,epic
0:00:24,LiveseyKnight,FLORA
0:00:33,Memerio,ROBOTNIK
0:00:35,Shamino Warhen,"Wow, look at this animation. So crisp."
0:00:36,AndyLosHorns,sleet u 
0:00:37,dark matter,is that dr eggman
0:00:38,TitanFrold888,BACKSTORY TIME
0:00:38,Wizards0nly,:snowflake::snowflake::snowflake::snowflake:
0:00:39,PEPER,MANIC
0:00:40,Tired,DAMN THAT MOTION BLUR WTFFFFF
0:00:40,Miniature Bigfoot,"Damn, they're looking fine."
0:00:41,AndyLosHorns,manic
0:00:42,MUSE999,OMG
0:00:46,Ale Titan,MANIX
0:00:46,Dork Bötter,sonic is bri'ish
0:00:48,Miniature Bigfoot,Lol manic
0:00:51,Content Consumer,absolutely spiritual
0:00:53,†,MANIC
0:00:54,RDMVidya,rip manic
0:00:55,Throwplate,lets go boys
0:00:57,tefatcat Real,it begins
0:00:58,Rootator,Always good to see baby Bartleby
0:01:00,RogueKaiser,:disappointed_face:
0:01:00,̇,MANIC!!!
0:01:01,Andrew,cheeks
0:01:01,AndyLosHorns,oh nice a baby prequel love these
0:01:03,Jenny is Dead,baby Bartleby!
0:01:05,Makoto Ikari,:baby:
0:01:05,Armax,"Damn, it's b team tamers12345"
0:01:06,dark matter,kid bardley caked bro
0:01:08,Dragons Tavern,Tamers...I kneel
0:01:10,PEPER,damn bartleby lives in THAT?
0:01:11,Phuck Hugh,Aww
0:01:16,†,omg bartleby is so cute :pleading_face:
0:01:17,Miniature Bigfoot,He clappin' all the way
0:01:21,Miller,tamers is the last real sonic underground fan
0:01:21,TitanFrold888,Bartleby has such a nice house.
0:01:21,Tired,BRO PERSPECTIVE SCALING!!
0:01:24,PEPER,BUTTLEBY????
0:01:24,Mimi Nani,:(
0:01:26,Shenanimation,Buttle
0:01:29,dantas0z,aw i cant :pleading_face:
0:01:30,Videos for stuff: Probably mostly unlisted,why is Sonic on Earth as a baby? didn't he live on Moebius until the planet exploded?
0:01:38,Miniature Bigfoot,It's just a few bucks
0:01:41,̇,buttleby :pensive_face:
0:01:42,koolkulley,damn only that much his parents hate him
0:01:44,Wizards0nly,:pleading_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:01:45,SeggyCute,poor baby
0:01:46,Rootator,Are we going to see Bartleby's mom?
0:01:46,dark matter,dude im actually crying
0:01:47,Shenanimation,they crossed out Love...
0:01:49,polywuf,
0:01:53,Armax,Not a trillion!? awful...
0:01:56,Shenanimation,Woah
0:01:56,AndyLosHorns,woah will of the heavens?|
0:01:57,Memerio,:pensive_face:
0:02:02,TitanFrold888,Can't believe he ONLY got 1 billion dollars for christmas.
0:02:05,Jenny is Dead,"oh no, Bartleby :pleading_face:"
0:02:07,Bradley Burdett,that's awful
0:02:08,American Goblin,"Damn, why does he have to suffer so much"
0:02:09,Billy Boy,Money can't buy your parent's love
0:02:09,Wizards0nly,:sparkles::sparkles::sparkles::sparkles:
0:02:12,Tired,@cybershell13 BRO DROP MORE VIDEOS YOU NERD
0:02:15,Ale Titan,all he wants is to feel loved :_
0:02:16,Unknown Dude,Santa only helps the rich 
0:02:21,Shenanimation,That's the real Santa
0:02:21,AndyLosHorns,santa powerful fart
0:02:21,Makoto Ikari,:santa_claus:
0:02:23,Memerio,the fart
0:02:24,PEPER,santa blessing earth with his holy farts
0:02:24,Andrew,this is going to take a Christmas miracle 
0:02:25,LiveseyKnight,based santa
0:02:25,Miniature Bigfoot,Santa's braps......
0:02:25,DopeBone,hedgehos
0:02:26,†,SANTA!
0:02:27,Kringle,dayum
0:02:29,Jo3a5,santa deniers on suicide watch
0:02:30,Fuckles The Enchilada,beautiful
0:02:30,Armax,Classy reverb fart. Thank you.
0:02:31,RDMVidya,fart noise with reverb 
0:02:31,polywuf,based santa
0:02:33,Mimi Nani,I love your drawings Shen
0:02:34,Pitta fat,THE FIRST BRAP BOYS
0:02:36,Tired,BASED TYPO
0:02:36,koolkulley,hedgehos lol
0:02:39,Alice Hernandez,so comfy 
0:02:42,dantas0z,Appreciated 
0:02:42,Memerio,brapta claus
0:02:43,Shenanimation,Thanks Mimi
0:02:46,Mimi Nani,Also great braps
0:02:50,Wizards0nly,:snowflake::snowflake:COMFY :snowflake::snowflake:
0:02:52,PEPER,man i used to play this song
0:02:52,Ale Titan,uncle Claus
0:02:54,PEPER,i forgot how lol
0:02:57,RDMVidya,chuck is santa
0:03:00,Alice Hernandez,time skipo
0:03:02,Haddock,How did Tamers get the REAL Santa to show up in his cartoon? Amazing...
0:03:06,𝓏𝒾𝓁𝒶𝓃𝓉𝓈,dam mall santa always smells like bud light
0:03:09,American Goblin,THE REAL ONE
0:03:10,AndyLosHorns,smal hand
0:03:18,Billy Boy,She's copping a feel!
0:03:19,Bradley Burdett,crocodile tears
0:03:21,yipkin knights,"God, why did Bartleby's parents leave him such a shack to live in. I bet only 70% of it is plated in gold."
0:03:22,RDAalltheway,"I’m gonna cry today, aren’t I?"
0:03:26,Jenny is Dead,true brotherly love :two_hearts:
0:03:28,RDMVidya,bro moment 
0:03:32,̇,damn :flushed_face:
0:03:34,UUUU,LMAO
0:03:34,Shenanimation,oh my god
0:03:35,MygL,wtfffff
0:03:37,TitanFrold888,LMAO
0:03:37,Almond,oh my god
0:03:37,Mimi Nani,lmaooo
0:03:39,†,OH
0:03:43,Gamble,Lol
0:03:44,Bradley Burdett,what
