timestamp,author,message
0:00:00,Mr. Guydude,10
0:00:02,Marty “MartyD” D.,:blue_circle::blue_circle::waving_hand:
0:00:03,Kroe Waynes,10!
0:00:03,Ayyo-bun,i want the golden man!
0:00:04,Makoto Ikari,INTRO
0:00:05,Hamburgah Cat,:blue_circle::blue_circle::waving_hand:
0:00:06,VanVeleca,HERE WE GO!!!
0:00:07,SeggyCute,blue manic was in the last one
0:00:07,AwkwardAngel,:blue_circle::blue_circle::waving_hand:
0:00:08,Cton95,Absolute peak starts now!
0:00:10,John Gunn,WERE LIVE
0:00:10,Devon,HOLD ONTO YOUR BUTTS!
0:00:11,cloudy,INTRO
0:00:11,king dindu,/go
0:00:12,Kakaokomanden,INTRO HYPE
0:00:12,yfyo,:blue_circle::blue_circle::waving_hand:
0:00:12,AndyLosHorns,badass
0:00:12,Ayyo-bun,aw shiiitttt
0:00:12,Wykkyd Mō,HERE WEEEEEEEE GOOOOIOOOO
0:00:13,Cton95,NEW INTRO LET'S GOOOOOO
0:00:15,Shenanimation,HELL YEAH
0:00:18,cloudy,THIS IS SO GOOD
0:00:18,Sven “The Mindtaker” Fletcher,oh shit new intro
0:00:18,Haddock,OH MY GOD THIS IS EPIC
0:00:19,Shenanimation,NEW OP
0:00:20,Kroe Waynes,"damn, that intro O_____O"
0:00:20,Kakaokomanden,I'M PUMPED
0:00:20,Tamers12345,No it's called Sonic Underground because that's Sonic Manic and Sonia's band name
0:00:21,Ratgraz,@Anthrazite Then there would be no story because every problem would have been solved.
0:00:22,Scall0p,Sleet and Dingo gonna be in this episode which makes it awesome already 
0:00:22,Lenny the Ghoul,NEW INTRO
0:00:22,FilmNerd,Nice way to unwind after getting home from work
0:00:22,Sgt. Sandwich,holy shjiot
0:00:22,Ale Titan,new intro
0:00:23,President Cherry,YOOOO
0:00:23,Tiki2970 (Ginyu),AWESOME OP
0:00:26,DatNeonFox,RAW
0:00:27,AleenaEnjoyer,New intro is sick
0:00:30,cloudy,God bartleby's braps are so hot
0:00:31,Hamburgah Cat,:sign_of_the_horns::moai::sign_of_the_horns:
0:00:34,Makoto Ikari,money's good
0:00:34,Devon,lincoln park lives on through sonic underground
0:00:34,John Gunn,BARTLEBOOTY
0:00:35,yfyo,megan dance 
0:00:36,Scall0p,New intros slaps 
0:00:37,SeggyCute,manic started the band 
0:00:39,Ratgraz,Finally.
0:00:40,Makoto Ikari,BUY BUY BUY
0:00:41,Shenanimation,super aggro crag
0:00:41,Wizards0nly,wow
0:00:42,Anthrazite,BART-LEH-BEE
0:00:43,President Cherry,Get ready for a fresh serving of KINO-PIE
0:00:44,Tamers12345,thanks I made the intro in like 5 minutes because I was bored
0:00:45,Lenny the Ghoul,woah
0:00:46,Kroe Waynes,bartleby
0:00:50,Ayyo-bun,there he is!!!!!!!!!!!
0:00:53,dbzhardcore,Go Silver Snakes!
0:00:53,Kakaokomanden,dialouge 10/10 already
0:00:53,VanVeleca,Oh?
0:00:57,Makoto Ikari,Nope.
0:00:58,SeggyCute,a call back? 
0:00:58,yfyo,lmaoooo
0:01:09,Mr. Guydude,Bardonic forever
0:01:10,Wizards0nly,cinema
0:01:11,Ayyo-bun,nope
0:01:12,Makoto Ikari,it does sound super silly
0:01:13,sadderall,:blue_circle::blue_circle:
0:01:13,Marty “MartyD” D.,KINO
0:01:15,Tamers12345,woah... the scenery here is beautiful. I bet this is Bartleby backyard
0:01:16,D. Driver,battle with the boys much?
0:01:19,yfyo,NOPE
0:01:19,John Gunn,heck yeah that thing was almost impossible
0:01:19,VanVeleca,:blue_circle::blue_circle::waving_hand:
0:01:23,Tiki2970 (Ginyu),I love this imagery
0:01:25,Scall0p,Love these Bardonic moments 
0:01:26,DatNeonFox,"God they’re so cute,.."
0:01:28,Kroe Waynes,those camera angles are so artistic!
0:01:29,SPG 33,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:01:35,Makoto Ikari,Sleengo
0:01:37,VanVeleca,Bartleby is such a wonderful lover
0:01:38,Ratgraz,I relate to Sonic so much.
0:01:42,คкเɠ๏кย เร ς๏๏l,:blue_circle::blue_circle:
0:01:46,Ayyo-bun,bartleby keeping his bitch in check like always
0:01:46,AndyLosHorns,god damn sleet clean up
0:01:47,SeggyCute,sleet wtf bro
0:01:47,Tamers12345,Damn what the fuck is Bartleby going to do? Is he going to buy legends of the hidden temple or some shit? lol
0:01:48,Friki Tiki,anythings possible with bartleby
0:01:48,Devon,SLEET
0:01:49,Scall0p,Yes Sleet
0:01:50,Ayyo-bun,sleet!
0:01:51,VTuber Prince Reinhard Ascart (Stream VODs),dingo is bulking
0:01:55,Scall0p,And Dingo
0:01:56,AwkwardAngel,Sleet yes
0:01:57,Ratgraz,My bois!
0:01:58,Wizards0nly,fruit loops cereal
0:01:58,yfyo,has bartleby been working out more than usual??? wtf
0:01:58,Kakaokomanden,dingo wtf
0:01:58,John Gunn,thiccc
0:01:59,sadderall,powenvy would be jealous
