timestamp,author,message
0:00:00,Coffee Block,hype!
0:00:01,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,T H I C C 
0:00:01,A.C.A Pictures,I want to see the big biscuits do
0:00:02,Lenny the Ghoul,:blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart:
0:00:04,Kwayyernorge,hell yeah
0:00:06,Blondie: Electric Boogaloo,:blue_circle::blue_circle::waving_hand:
0:00:06,Memerio,:blue_circle::blue_circle::waving_hand:
0:00:07,Diaro,BARTLEBY! BARTLEBY! BARTLEBY!
0:00:08,ANIME TRAPS,add more poop eating
0:00:09,Tamers12345,Youtubes new premier intro fucking sucks
0:00:10,Wykkyd Mō,YES!!!
0:00:13,Tiki2970 (Ginyu),UNCLE C :sparkles: :blue_heart: :sparkles:
0:00:13,Nick Hung,tamers begin.
0:00:13,John Smith,hopefully I can manifest being in the sonic underground
0:00:15,Ale Titan,:blue_circle::blue_circle::waving_hand:
0:00:16,Tamers12345,I need to ask them to change it sometime
0:00:18,Kakaokomanden,Uncle Chuck looking fine as always
0:00:19,Sleepyhead,I have no family so this is the only thing I've been able to look forward to today thank you tamers
0:00:24,Homeboi,:blue_circle::blue_circle::waving_hand:
0:00:24,Jo3a5,lmao
0:00:26,Montythegold,tamers12345 how is Thanksgiving
0:00:29,Commisioned,jej
0:00:30,Memerio,Are they going to eat poop instead of cranberry sauce
0:00:30,sooka,So excited 
0:00:31,Blondie: Electric Boogaloo,Is this a Thanksgiving episode?
0:00:32,NoahRules,:blue_circle::blue_circle::waving_hand:
0:00:34,Homeboi,:blue_circle::blue_circle::waving_hand:
0:00:34,ChaosAngel,Queen Aleena My beloved
0:00:36,DopeBone,sneeeeeeeef
0:00:37,NoahRules,SMASH
0:00:37,Mister Caw,"I'm late, sorry Tamers!"
0:00:38,Tamers12345,Cute bathrobe :sparkles:
0:00:39,Wykkyd Mō,I wish Bartleby would buy out YouTube
0:00:41,A.C.A Pictures,unkle chuk
0:00:46,Silver Feral Thunderbird,Omg lmfao
0:00:46,RDMVidya,leashed
0:00:47,Selwing666,Sonic grabbed a snack 
0:00:49,JackelZXA,She has to leash her animals
0:00:50,Tamers12345,That's okay mister caw
0:00:50,Anita Dicknme,Poot
0:00:51,Tiki2970 (Ginyu),Lol
0:00:52,kyr,she's so hot
0:00:52,sooka,Smash as well 
0:00:56,FrozenTangerines,HAPPY THANKSGIVING TAMERS
0:00:57,Jo3a5,lmao
0:01:01,Makoto Ikari,Sonia face
0:01:02,Alice Hernandez,this is based
0:01:02,Kwayyernorge,would so much
0:01:04,MrSmith,theyreleash kids. a little late for that!
0:01:04,Alice Hernandez,single mom
0:01:05,Tiki2970 (Ginyu),Wait was Lex Luthor fired as Aleena's boss?
0:01:05,Shenanimation,hahaha
0:01:06,Commisioned,wtf is she eating
0:01:08,Alice Hernandez,mindy eating bones
0:01:08,Truant,I KNOW sonic loves thanksgiving for all the food he can eat
0:01:09,harry boothole,im eating popcorn right now tamers
0:01:11,psittacvsPravvs,sonia is cute here
0:01:11,JackelZXA,Sonia is mostly behaving because she wants mommy kisses
0:01:12,John Smith,hubba Bubba sonic might get a new daddy
0:01:12,jjmurphy1995,W
0:01:14,Mister Caw,IS Sonia okay?
0:01:15,Silver Feral Thunderbird,Sonia eating dog biscuits
0:01:19,Goldcreeper,sonia's face lmao
0:01:20,leeroy newman,oh aleena... drunk again
0:01:20,Wykkyd Mō,dog milkbones
0:01:22,Bowb,sonic is so cool
0:01:23,Tiki2970 (Ginyu),Cute Uncle C. butt°
0:01:27,Diaro,sonia is so cute!!!!
0:01:27,Memerio,daddy chuck
0:01:30,Shép DeathWoods,wow chuck has a nice house
0:01:30,Ayyo-bun,tamers! you are the bestest ever!
0:01:32,Commisioned,hmmm
0:01:32,Homeboi,uncle chuck:weary_face:
0:01:36,Jo3a5,me too
0:01:39,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,:hot_face::hot_face::hot_face::hot_face::hot_face:
0:01:39,Kakaokomanden,oh no...
0:01:40,RDMVidya,sweating
