timestamp,author,message
0:00:00,theangelman,I need them Uncle Chuck cheeks
0:00:02,Ron Ragonskivich Media Preservation Hub,Hopefully Tamers has an Arc 2 cooking up for us SU loyalists
0:00:03,THE NO-TAP-MASTER,My son says he gets all his porn from here hope it’s good
0:00:03,Miniature Bigfoot,YES
0:00:04,Christopher Carrion,just in time
0:00:07,Some Toad Idot,Omg
0:00:08,Scall0p,Yes
0:00:09,Swoonis,bartleby will confront his father
0:00:10,Jim Gordon,I would love to voice act for this series for free
0:00:14,SquidBomb,Clap
0:00:15,Fether 180,hype
0:00:16,Youtube was better before Google bought it,YES
0:00:17,KashiKakesVODs,clap
0:00:17,Ruben,Yes
0:00:23,Milo Hoff,Hell yeah
0:00:24,James Black,clap
0:00:26,jingle,ITS TIME
0:00:28,THE NO-TAP-MASTER,Nut
0:00:29,SNOWMAN,ROUND BOI SONIC
0:00:30,Swoonis,cute turtleneck Sonic
0:00:30,wren,please clap
0:00:33,Makoto Ikari,:clapping_hands:
0:00:37,Scall0p,Ding is me rn
0:00:43,Cascaesque,It just started
0:00:44,Davy Dog,HELL YEAH IM
0:00:45,Ron Ragonskivich Media Preservation Hub,Yeah
0:00:50,Makoto Ikari,looks great
0:00:56,Ruben,:woozy_face:
0:00:57,Cascaesque,Mmmmm I want some of that pie
0:00:58,Succulent Turnips,hawt
0:00:59,Cascaesque,:yellow_heart::blue_heart:
0:00:59,Scall0p,Epic
0:01:02,SquidBomb,Pumpkin girls
0:01:02,Davy Dog,UWU
0:01:03,Anomalous Spinal Cord Specimen ΛΔ,niiiice
0:01:03,arachnophobe,Aw yeah
0:01:05,jingle,OH MAN........ PIE.....
0:01:05,KashiKakesVODs,:red_heart:
0:01:08,Pinkerton,fan service
0:01:11,Puff The Magic Daddy,o bby
0:01:12,SNOWMAN,YUMMY
0:01:12,Tamers12345,damn that's hot
0:01:13,Ruben,:woozy_face::woozy_face::woozy_face::woozy_face::woozy_face::woozy_face::woozy_face::woozy_face::woozy_face::woozy_face:
0:01:18,SquidBomb,"Lol, uncle chuck"
0:01:20,Swoonis,BASED
0:01:23,Ringle Dingle,Mmm I like apple pie
0:01:24,wren,"me too, uncle chuck"
0:01:25,Content Consumer,blonde looking pretty jewish
0:01:26,Ron Ragonskivich Media Preservation Hub,Uncle Chuck wants those girls instead of ALEENA???
0:01:28,Shygal SMB,Get em chuck
0:01:34,Succulent Turnips,started off strong
0:01:34,Ruben,:tired_face:𓂸
0:01:36,Zapchon,This is the greatest anime of all time
0:01:38,washaa,CHUCKY
0:01:43,Scall0p,I want uncle chuck or bartleby to spank me tbh
0:02:00,AlanRifter,:yellow_heart::blue_heart:
0:02:00,Ringle Dingle,Hi guac
0:02:04,Jesse Gilbert,"Okay, i'm killing myself now"
0:02:07,For Teens Ate E-8,hard
0:02:07,jingle,hi itsa
0:02:09,Ruben,Yeah
0:02:09,washaa,based Bartleby
0:02:18,Ringle Dingle,"Tamers12345 is right, we should bake some pie when we meet up!"
0:02:19,Zapchon,@Tamers12345 How did you become such a genius writer?
0:02:22,KashiKakesVODs,:astonished_face:
0:02:27,Ruben,Sonic must win
0:02:32,Tamers12345,You can do it sonic!
0:02:36,wren,AAAAAAAA
0:02:36,SquidBomb,"Damn, Sonic"
0:02:37,SegaSaturn Dude,thicc
0:02:38,Miniature Bigfoot,Hot
0:02:38,Cascaesque,:yellow_heart::blue_heart: BARTLEBYS PUDGY BOY
0:02:40,SNOWMAN,HAHAHAHA
0:02:44,Makoto Ikari,lol
0:02:45,Scall0p,Nice
0:02:46,Swoonis,SAVAGE
0:02:48,KashiKakesVODs,I BELIEVE IN YOU SONIC
0:02:48,SquidBomb,Bartleby's pudgy boy
0:02:49,THE NO-TAP-MASTER,Ugggjj les drgexbui
0:02:50,jingle,Bartleby's pudgy boy~
0:02:50,Shygal SMB,Tell him Bartleby!
0:02:51,Ron Ragonskivich Media Preservation Hub,Oh god the wink sound
0:02:52,Ron Ragonskivich Media Preservation Hub,LMAO
0:02:54,Ruben,:woozy_face:
0:02:56,arachnophobe,THICC
0:03:02,Miniature Bigfoot,Is Bartleby a feeder?
0:03:10,KashiKakesVODs,Tamers your sound design is the greatest
0:03:11,arachnophobe,is that the joker?
0:03:15,Succulent Turnips,pumpkin gerlz
0:03:18,SNOWMAN,bartleby is THE ARCHITECT
0:03:24,Tamers12345,I hope uncle chuck wins so a pumpkin girl can spank his ass
0:03:25,Socks Socks,swx
0:03:28,SquidBomb,That's a 12 year old!?
0:03:29,Scall0p,What
0:03:29,jingle,"can i be one of your pumpkin girls, tamers?~"
0:03:31,Swoonis,SAME
0:03:33,SquidBomb,"Damn, what's in her food?"
0:03:35,Ruben,:(
0:03:35,Makoto Ikari,pudgy boy
0:03:36,Nessa,Daaaaaaaaamn
0:03:41,Cascaesque,Tamers is this video before or after the events of the lore?
0:03:42,Socks Socks,NOOO ABUSE
0:03:48,Cascaesque,of the movie I mean
0:03:56,washaa,Knuckles could do it
0:03:56,Cascaesque,before or after the movie events
0:03:57,Tamers12345,"@Makoto Ikari Thanks, makoto. He is. Just pudgy enough for bartleby"
0:03:58,SGE,knuckles would collect stamps
