timestamp,author,message
0:00:00,Transcendent Crane,WOOO
0:00:01,Anthem Animation,here it is
0:00:01,Imperator JoJo,Nah man woody is bottom fr
0:00:02,Chubbs M8,yayyyy
0:00:03,Bonkers Bonk,yaaaaaeeee3e
0:00:07,Tamers12345,"Did you know that the colors in the countdown each represnt a sonic underground character? blue=Sonic Green=Manic, ect. that's why nobody else on youtube has this and only I do"
0:00:08,Fuckles The Enchilada,hyped
0:00:09,Steven Bennett Studios,to infinity and beyond lol
0:00:09,Jack Chu,LET'S GOOOOOOOOOOO
0:00:10,Chubbs M8,shh it's starting
0:00:10,RDMVidya,there he is
0:00:10,Oza,LETSSSS GOOOOOO
0:00:11,Haddock,LETS GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
0:00:12,Tiki2970 (Ginyu),UNCLE CHUCK YES
0:00:12,Kadyrov - village idiot,:blue_circle::blue_circle::waving_hand:
0:00:13,Anthem Animation,ok yeah focus on the animation
0:00:14,nob yesol,if woodsy a bottom he power bottom
0:00:16,Ekin Defy,I'm so excited. Wow. Another great show
0:00:16,monkey1z,:blue_circle::blue_circle::waving_hand:
0:00:15,Soulbrewer,the new exciting chapter in the TCU
0:00:16,̇,LETS GOOOOOOOO
0:00:17,Rootator,Jesse obviously pegs Buzz
0:00:18,Billy Boy,Me nude
0:00:18,†,YESSSS
0:00:19,Tiki2970 (Ginyu),MY FAVORITE CHARACTER CHUCK
0:00:19,SeggyCute,:smiling_face_with_sunglasses: Aw yeah…
0:00:21,Bunnay Boo,KNUCKLES! YAY
0:00:24,Shenanimation,now that's a cool echidna
0:00:24,mememilkyway,Uncle Chuck is so wholesome
0:00:28,sooka,Charles
0:00:29,Kadyrov - village idiot,:blue_circle::blue_circle::waving_hand:
0:00:30,Hugh Mungous,ATHAIR IS DEAD
0:00:32,Tiki2970 (Ginyu),NICE
0:00:32,Scarlet Horse,Old Knuckles voice?
0:00:36,riewo,LETS GOOOOOO
0:00:37,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:39,Fishbowl_onfire,HELL YES
0:00:40,Tamers12345,Where's Athair...? :disappointed_face:
0:00:41,Imperator JoJo,"Uncle Chuck, heir of rome"
0:00:45,VTuber Prince Reinhard Ascart (Stream VODs),knuckles the COOL ACHIDNA
0:00:49,TarahjiToons,Here me go
0:00:49,Tamers12345,:blue_circle::blue_circle::dashing_away::clapping_hands:
0:00:51,Tiki2970 (Ginyu),WHERES THE GREAT SAGE OF THE ECHIDNAS
0:00:57,nob yesol,hotttt
0:00:58,Rootator,Did the ninjas come back for Athair?
0:00:59,PayasoFo,femboy knluckles :tired_face::sweat_droplets::sweat_droplets::sweat_droplets:
0:00:59,Makoto Ikari,where the hell is the superchat button
0:01:00,Jo3a5,kek
0:01:00,Anthem Animation,HAHAHA
0:01:00,Kadyrov - village idiot,Yummy 
0:01:01,ashley elkins,Ooh I kinda ship
0:01:13,Hugh Mungous,"That dough boy, though..."
