timestamp,author,message
0:00:00,Diaro,I can almost taste it in my mouth
0:00:02,Alice Hernandez,How long is this video??? I need to poop again.
0:00:03,Sven “The Mindtaker” Fletcher,BLAST OFFF
0:00:04,Thinking Gamers,:blue_circle::blue_circle: :face-orange-biting-nails:
0:00:04,Wykkyd Mō,ITS SHOWTIME
0:00:04,Adolf Pire qu'Hitler,KINO KINO KINO
0:00:04,Dekania,i skipped my grandma's funeral for this let's gooo
0:00:04,cloudy,ITS TIME BOYS :blue_circle::blue_circle::waving_hand:
0:00:05,a a,:tired_face::tired_face::tired_face:
0:00:05,Scall0p,Let’s gooooooo
0:00:06,VanVeleca,HAPPY HOLIDAYS!!!!!!!!
0:00:06,Friki Tiki,will SU make my dad love me again?
0:00:08,Matthew H,IT'S TIME
0:00:08,The Brown kid,10 seconds beetches haaaheeee
0:00:08,Diaro,IT'S HERE
0:00:10,HEXSIN THE DEMON,This will be great!
0:00:11,DatNeonFox,:blue_circle::blue_circle:
0:00:11,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:11,Tamers12345,:yellow_heart::blue_heart::men_holding_hands: :blue_heart::yellow_heart:
0:00:12,VanVeleca,NO GRINCHES ALLOWED!!!!!!!
0:00:12,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:14,Tired,@tamers12345 would Bartleby fight for HAMAS in this was against Israel?
0:00:16,DatNeonFox,:blue_circle::blue_circle::waving_hand:
0:00:19,Alice Hernandez,Sonic night!
0:00:20,DeShawn Williams,Prepare for holiday blast off!!
0:00:21,MrBlueSprite,:blue_circle::blue_circle::waving_hand:
0:00:22,Mosshroom,:blue_circle::blue_circle::waving_hand:
0:00:23,Scall0p,So excited 
0:00:27,cloudy,:blue_circle::blue_circle::waving_hand:
0:00:27,Haddock,wtf NO CHRISTMAS?
0:00:28,Diaro,damn bartlebys pecs
0:00:28,Makoto Ikari,:kiss:
0:00:29,President Cherry,Lore
0:00:30,Shenanimation,Montclacres
0:00:31,Jerky,Sonia so cute
0:00:31,RDMVidya,0
0:00:32,Anthrazite,:palm_down_hand: :blue_circle: :blue_circle:
