timestamp,author,message
0:00:00,Yellowsnow,HERE WE GOOOOOOOOOOOO!!!!!
0:00:01,Blondie: Electric Boogaloo,1
0:00:05,Tiki2970 (Ginyu),LEEEEADERS OF THE FREEDOM FIGHT
0:00:08,kUko Chad,LETS F GO
0:00:08,zkiller9mm,qsecond
0:00:09,Lenny the Ghoul,AAAAAAHHHHHHH
0:00:11,Sonic underground,@exot i remember seeing stuff about revamp and thinking it looks reslly cool thrn bring dissapointed with the lack of actual sonic underground stuff
0:00:11,Sven “The Mindtaker” Fletcher,1
0:00:12,Blondie: Electric Boogaloo,RUH ROH
0:00:13,leeroy newman,DONT SAY IT
0:00:14,Tiki2970 (Ginyu),HELL YEAH
0:00:17,The Real Estate Estalt,YES
0:00:17,Salactrien,LORE
0:00:19,Yellowsnow,Doodlebops!!!
0:00:19,JackelZXA,basedo
0:00:20,The Real Estate Estalt,:blue_circle::blue_circle::clapping_hands:
0:00:20,Yellowsnow,Hell yeah
0:00:20,zkiller9mm,oh no
0:00:21,chocolatemilque808,WAIT WHAT
0:00:21,2Stapler4U,set playback to 2x speed to catch up to live
0:00:24,RDMVidya,Oh snap
0:00:25,Shamel Thompson,Let's smack some cheeks!
0:00:25,kyr,OMG
0:00:26,Salactrien,THICC
0:00:27,Big Man,NEVER
0:00:28,Silver Feral Thunderbird,OH NO
0:00:28,Sven “The Mindtaker” Fletcher,slep
0:00:28,Tamers12345,Oh fuck. It's rooney doodle himself
0:00:30,JackelZXA,uhoh
0:00:30,zkiller9mm,Robbie rotten
0:00:31,Harry AKD,gonna cry
0:00:36,Ikari,Robin rotten
0:00:37,Makoto Ikari,lol
0:00:40,Shenanimation,these new boys mean business
0:00:44,Tamers12345,I fucking hate rooney and that stupid smile of his...
0:00:44,Silver Feral Thunderbird,Already off to a heart-pounding start D:
0:00:45,Attack Doge,Oh no 
0:00:45,RDMVidya,23...
0:00:46,Tiki2970 (Ginyu),Damn
0:00:47,Yellowsnow,Dooblebop episode is my favorite
0:00:51,The Real Estate Estalt,LOL
0:00:52,Nightmare,watching this on the toilet rn
0:00:54,Ale Titan,oo
0:00:55,JackelZXA,lol
0:00:57,Scrapstone,noooooo :disappointed_face: 
0:00:58,Scarlet Horse,Only 23?
0:01:00,Blondie: Electric Boogaloo,REKT
0:01:02,achap007,lol
0:01:03,Fuckles The Enchilada,someones gotta help him
0:01:08,Sporco Figlio di Puttana,oof 
0:01:08,Sven “The Mindtaker” Fletcher,ouch
0:01:08,Sonic underground,Lord forgive me for what im about to do 
0:01:09,Agitated Riveting,where the cartoon
0:01:12,Tiki2970 (Ginyu),"People dont appreciate SU enough, smh...."
0:01:15,RDMVidya,lmao
0:01:15,achap007,J U S T
0:01:16,Attack Doge,He deserves 23 million 
0:01:17,GreenFilly,let's fix that
0:01:19,chocolatemilque808,Absolutely destroyed Tyley
0:01:20,Newworldblues,lmfao
0:01:23,バオバイバー,true
0:01:23,Memerio,:astonished_face:
0:01:24,Scall0p,All 23 of them are my alternative accounts 
0:01:25,bitc,is red manic involved?
0:01:26,JackelZXA,lol
0:01:29,Tamers12345,Damn. I think we all need to go subscribe to his youtube channel after this premiere just to cheer him up and shit
0:01:33,Blondie: Electric Boogaloo,:blue_circle::blue_circle::waving_hand:
0:01:37,Scrapstone,I think i saw him last on the toilet?
0:01:38,Cheeseandblood,The New Boys have finally made their move
0:01:38,Shenanimation,That's a good idea
0:01:39,Fuckles The Enchilada,already on it
0:01:40,The Real Estate Estalt,WILL DO TAMTAM
0:01:40,Newworldblues,agreed 
0:01:41,Tiki2970 (Ginyu),:clapping_hands:
0:01:41,RDMVidya,Gods love 
0:01:45,Blondie: Electric Boogaloo,I love Flora
0:01:47,Salactrien,NUN FLORA
0:01:48,Memerio,Taking a fat poop right now
0:01:50,Nut Dude,cute
0:01:50,Ikari,"""get's"""
0:01:51,Tamers12345,Hopefully Tyleu can rack up those number and become famous like me
0:01:51,AleenaEnjoyer,FLORA
0:01:52,Sven “The Mindtaker” Fletcher,FLORA
0:01:53,Blondie: Electric Boogaloo,AMEN
0:01:54,Van Darkholme,You right tamers
0:01:55,Hugh Mungous,OH MY GOD
0:01:56,Tiki2970 (Ginyu),My wife...
0:01:57,Hugh Mungous,SHE'S SO CUTE
0:01:57,Lenny the Ghoul,FLORRRRAAAAAAA
0:01:58,Shenanimation,"Uh, cute?"
0:01:58,バオバイバー,cute
0:01:58,Sven “The Mindtaker” Fletcher,swoosh
0:01:58,Starlit Rain,flora lookin cute
0:01:58,Silver Feral Thunderbird,Flora is so cute X'D
0:01:58,Attack Doge,Flora 
0:01:59,Makoto Ikari,:money_bag:
0:02:01,Frank Brocker (M.C. Sausage),pastor
0:02:01,mememilkyway,KINO
0:02:01,Kindlebuck,tamers im pretty sure you are more famous than most if not all of the su voice acting cast 
0:02:04,GreenFilly,so cute
0:02:05,Fuckles The Enchilada,flors anime
0:02:06,Hugh Mungous,KAWAIIIIIIIII DESUUUUUUUUUUUUUU
0:02:11,MIXMAX,EW
0:02:18,Sundew,lol
0:02:19,mememilkyway,lmfao
0:02:19,Van Darkholme,Tamers your more known that Britney Spears nowadays
0:02:20,Tiki2970 (Ginyu),BASED BARTLEBY
0:02:21,Hugh Mungous,Based
0:02:21,Silver Feral Thunderbird,LMAO BASED BARTLEBY
0:02:23,JackelZXA,loll
0:02:28,Frank Brocker (M.C. Sausage),flora scamming people lets go
0:02:28,Starlit Rain,bartleby spittin facts
0:02:29,Hugh Mungous,SLEET YO
0:02:29,FrozenTangerines,"Hey tamers, how's the ww3 movie goin?"
0:02:30,Attack Doge,Dingo:orange_heart::orange_heart::orange_heart:
0:02:30,RDMVidya,Based
0:02:30,Tamers12345,Bartleby without pants...? :hot_face:
0:02:34,Big Man,Dingo is a bad boy
0:02:38,trifixion,BARTLEBY NOOOOO
0:02:40,Sundew,:eyes:
0:02:41,RDMVidya,Sonic pls
0:02:44,Silver Feral Thunderbird,BRUH WTF X'D
0:02:46,Memerio,So based
0:02:47,The Real Estate Estalt,LOL SONIC NO
0:02:47,Tiki2970 (Ginyu),Uh oh...
0:02:49,Sven “The Mindtaker” Fletcher,DAMN
0:02:50,JackelZXA,naryuto
0:02:51,Megaboy in Nob Armour,man robotnik putting in the work in the gay journal :eyes::eyes:
0:02:53,Blondie: Electric Boogaloo,lol
0:02:56,Ikari,no Sonic
0:03:00,JackelZXA,aleena is trying to solve the maze...
0:03:06,Fuckles The Enchilada,eww sonic thats disgusting
0:03:07,Lois Nuggets,I like Sonic's getup he's hella cute
0:03:07,Memerio,:blue_circle::blue_circle:
0:03:07,Tiki2970 (Ginyu),Test failed
0:03:14,Silver Feral Thunderbird,"""having food withdrawals"" he says with a candy bar in hand"
0:03:15,Mervle,"""I don't know"" lol"
0:03:17,Tamers12345,Bartleby knitted him that pink sweater btw. It's made from cotton imported from africa
0:03:17,RDMVidya,Manic moment!
0:03:19,Montythegold,stale cookies
0:03:19,leeroy newman,hes such a bro
0:03:20,Hugh Mungous,You're not you when you're hungry...
0:03:26,Salactrien,Aleena no... nobody can solve that maze it's broken
0:03:28,RDMVidya,:blue_circle::blue_circle::waving_hand:
0:03:28,SeggyCute,Whoa!!! 
0:03:30,Silver Feral Thunderbird,BROMANCE
0:03:30,Hugh Mungous,wha
0:03:30,Blondie: Electric Boogaloo,FLORA!
0:03:32,The Real Estate Estalt,based Bartleby
0:03:43,Stupid Baby,Sonic is so cute in that sweater
0:03:45,Big Man,:star_struck:
0:03:48,Megaboy in Nob Armour,flora looks so cute in that dress :pleading_face::pleading_face::pleading_face:
0:03:48,Tamers12345,Manic looking out for his bro :green_heart:
0:03:48,Polar,Flora Fanatica rise up!
0:03:54,Hugh Mungous,Oh my God she's so unbearably adorable
0:03:56,Attack Doge,:green_heart:
0:03:57,Silver Feral Thunderbird,g u n k y p o o p s
0:04:03,Memerio,:oops:
0:04:04,leeroy newman,WOAH
0:04:05,Yellowsnow,Im already passing out maaan
0:04:10,Scarlet Horse,WAT
0:04:11,Newworldblues,lfao
0:04:13,RDMVidya,lmfao
0:04:14,Scrapstone,wow
0:04:14,Mervle,Manic looked like he had a lil blood on those cheeks
0:04:14,chocolatemilque808,MANIC WTF CANCELLED
0:04:14,SeggyCute,Wow…
0:04:15,Hugh Mungous,WHOA MANIC
0:04:17,Silver Feral Thunderbird,Damn Manic is savage
0:04:19,Attack Doge,Lmao 
0:04:21,Scarlet Horse,"Manic, wtf man"
0:04:21,Fuckles The Enchilada,"whoa manic, whoa"
0:04:21,Ikari,sleet is a nun lol
0:04:23,Starlit Rain,damn.....
0:04:23,GreenFilly,rude
0:04:26,Memerio,Manic is so based
0:04:28,Tiki2970 (Ginyu),Cute Sleet outfit!!!!
0:04:29,Tamers12345,Well he plays xbox
0:04:30,Montythegold,manic is pixieist
0:04:30,Sven “The Mindtaker” Fletcher,that finger
0:04:31,Shenanimation,"hes posessed by the red manic, surely"
0:04:35,washaa,Good point
0:04:37,Hugh Mungous,Oh that makes sense
0:04:37,Makoto Ikari,:red_heart:
0:04:37,The Real Estate Estalt,Sonia is so strong jeez
0:04:39,Lenny the Ghoul,SLEENGOCHAD/FLORABRO ALLIANCE
0:04:40,Mervle,"Ah yes, the hemmerhoids"
0:04:45,Silver Feral Thunderbird,LMAO SONIA WHY
0:04:46,JackelZXA,lol
0:04:48,RDMVidya,SWEET HOME 
0:04:52,Salactrien,BREAKING NEWS
0:04:54,Fuckles The Enchilada,Tyley...
0:04:55,Sven “The Mindtaker” Fletcher,uhhhh
0:04:56,Memerio,Alabama
0:04:55,Montythegold,human bartleby
0:04:56,Ikari,lmao
0:04:57,Tiki2970 (Ginyu),OH MY...
0:05:00,Silver Feral Thunderbird,B r u h...
0:05:02,JackelZXA,lol
0:05:02,Mervle,da bois
0:05:03,Hugh Mungous,Topical...
0:05:07,washaa,cant breathe
0:05:07,Makoto Ikari,Fernando Diego Lopez
0:05:07,Tamers12345,sonia has super strength. You'd know that if you watches SU in the 90s like I did
0:05:09,Megaboy in Nob Armour,Alabama is the heart of news :rolled_up_newspaper:
0:05:16,Blondie: Electric Boogaloo,Fernando Diego Lopez
0:05:21,Tiki2970 (Ginyu),Mr Lopez...
0:05:29,Ale Titan,isn't that Double D
0:05:30,Shenanimation,curse you fernando diego lopez!!
0:05:31,Tamers12345,Oh shit... they're in japan? How will they get all the way there?
0:05:37,leeroy newman,omg...
0:05:37,VaporPony Inc,"shoutout to my mang Rogue, he didn't do nuthin"
0:05:41,Makoto Ikari,impossible demands
0:05:45,Tiki2970 (Ginyu),At least 300? You monsters...
0:05:46,Sven “The Mindtaker” Fletcher,300 DOLLARS?!
0:05:48,Newworldblues,not manic!
0:05:55,GreenFilly,losing hope here bros...
0:05:58,Tamers12345,Rooney doddle isn't holding back
0:05:59,Salactrien,poop crater
0:06:02,Tiki2970 (Ginyu),In-fighting in The New Boys...
0:06:03,Tamers12345,*doodle
0:06:06,Hugh Mungous,I thought he was going to jump through the screen...
0:06:08,JackelZXA,unhinged
0:06:10,Mervle,Rooney got no chill
0:06:12,Memerio,The cheek indent
0:06:12,JackelZXA,flora's dead now
0:06:12,Harry AKD,how come sonic isn’t the speed of sound in these vids
0:06:14,Scrapstone,lol
0:06:15,Shenanimation,hahahahaha
0:06:17,JackelZXA,she's never getting up again
0:06:20,JackelZXA,sonia killed her
0:06:22,Hugh Mungous,HAH
0:06:24,Sven “The Mindtaker” Fletcher,MANIC
0:06:25,Tiki2970 (Ginyu),Cute bike!
0:06:27,Starlit Rain,lmao
0:06:30,Tamers12345,@DigInTheDirt06 He got fat
0:06:38,バオバイバー,yoooo they did it
0:06:39,JackelZXA,lol
0:06:39,Megaboy in Nob Armour,man we three stooges now
0:06:40,SeggyCute,Oh my! 
0:06:44,mememilkyway,SOUL
0:06:47,Shenanimation,woah
0:06:47,The Real Estate Estalt,waw so cool
0:06:48,Sven “The Mindtaker” Fletcher,aw hell
0:06:51,Montythegold,sids dad
0:06:51,Newworldblues,those dang doodlebops
0:06:54,Attack Doge,Wow 
0:06:54,Scrapstone,so sad :crying_face: 
0:06:55,Sven “The Mindtaker” Fletcher,Tamers kino
0:06:55,chocolatemilque808,Neo-noir vibes
0:06:56,Tamers12345,Who the fuck is this now?
0:06:57,JackelZXA,bros 
0:06:58,GreenFilly,kino
0:07:00,Ikari,epic
0:07:00,washaa,suave
0:07:01,Silver Feral Thunderbird,"Whoa, really setting the mood"
0:07:02,JackelZXA,is this bigger than we thought
0:07:06,Tiki2970 (Ginyu),Some Deus ex stuff right there
0:07:09,Scrapstone,is that...?
0:07:12,Hugh Mungous,WHOA
0:07:12,washaa,Knoir
0:07:22,Polar,Plot twist
0:07:23,Starlit Rain,DA KNUX
0:07:23,RogueKaiser,topical
0:07:25,Fuckles The Enchilada,"Knuckles, what a brave detective"
0:07:25,Memerio,Rooney the doodlebop
0:07:26,zkiller9mm,knuckles no get out of there it's it's trap
0:07:29,The Real Estate Estalt,Will the Yakuzas appear ???
0:07:30,Makoto Ikari,such intrigue
0:07:31,Yellowsnow,Cute knux
0:07:31,Tiki2970 (Ginyu),Cute detective knuckles...
0:07:31,Sonic underground,Knuckles is hot
0:07:32,Mervle,Cheeto Doodlebop
0:07:33,Tamers12345,"Damn, Knuckles is getting help from the fucking doodlebops?"
0:07:34,Ale Titan,wait Knuckles is drinking at 15?
0:07:36,Shenanimation,knuckles the COOL echidna
0:07:40,AleenaEnjoyer,OH GOD
0:07:40,Sven “The Mindtaker” Fletcher,MO DOODLE
0:07:43,Megaboy in Nob Armour,WE YAKUZA NOW
0:07:45,Montythegold,more ambitious than any marvel movie
0:07:46,Sven “The Mindtaker” Fletcher,OH FUG
0:07:47,Silver Feral Thunderbird,I can't believe how much lore we're getting
0:07:49,mememilkyway,BASED KNUX
0:07:50,achap007,ayoo
0:07:52,Scrapstone,why?!
0:07:54,JackelZXA,knuckles!!
0:08:02,Tiki2970 (Ginyu),Wait i thought manic's eternal rival was bartleby
0:08:03,Makoto Ikari,The Cool Echidna
