timestamp,author,message
0:00:00,RDMVidya,Here comes the good shit
0:00:01,Tyler Holliday,hope we get 100 viewers i want this to get more attention :grinning_face:
0:00:01,D B,Oh baby
0:00:10,poty,:grinning_face:
0:00:11,Makoto Ikari,yaaaaas
0:00:12,Stu,this is better than infinity war
0:00:14,Arin,AA
0:00:20,Tamers12345,You're all welcome.
0:00:24,DisgaeaFanboy,:grinning_face_with_big_eyes:
0:00:35,Tyler Holliday,:red_heart: :red_heart: :red_heart:
0:00:36,†,THANK U SO MUCH TAMERS YOUVE BLESSED MY DAY
0:00:37,Tamers12345,Ya'll know how I had to start this video with a sick christmas beat
0:00:45,Brian Griffin,Thank you Tamers
0:00:49,Makoto Ikari,pink
0:00:50,Oso,Great choice
0:00:55,D B,Thank you Tamers. You are Jesus and Bartelby is God
0:00:58,Ivy Mike,bros
0:00:58,Tyler Holliday,lol XD
0:01:06,BillyShears,wow did sonic loose weight?
0:01:08,Makoto Ikari,BUD LIGHT
0:01:14,ally smith,Mindy’s dad best character
0:01:25,Arin,i'm crying its amazing
0:01:27,Ivy Mike,"thank you tamers, very cool"
0:01:30,Brian Griffin,Beautifully done reflection
0:01:34,RDMVidya,Sonic please
0:01:44,Tyler Holliday,:disappointed_face:
0:01:47,D B,Heehee
0:01:48,Makoto Ikari,diarrhea
0:01:51,Brian Griffin,Oh my
0:01:53,Stu,jesus christ
0:01:53,DisgaeaFanboy,Really made me think
0:01:54,Oso,Relateable
0:01:55,Tyler Holliday,caring sonic :grinning_face_with_big_eyes:
0:02:00,Tamers12345,Sonic's pink outfit is cute as fuck
0:02:00,Chiggy Diggy,kino
0:02:01,†,same bartleby
0:02:20,Stu,SEND ME TO BROWN TOWN
0:02:23,D B,I want Bartelby to poop on my chest
0:02:36,DisgaeaFanboy,Nice
0:02:36,Brian Griffin,Great view
0:02:43,Makoto Ikari,:heavy_dollar_sign::heavy_dollar_sign::heavy_dollar_sign:
0:02:45,Chiggy Diggy,mmm
0:02:48,poty,OOOOOOHHHHHhhh
0:02:49,RDMVidya,Jesus please
0:02:52,Arin,:tired_face::ok_hand:
0:02:52,Makoto Ikari,ω
0:02:52,Tamers12345,damn bartleby. check out dat ass
0:02:58,poty,:sweat_droplets:
0:03:10,Tyler Holliday,:persevering_face:
0:03:16,RDMVidya,Someone's going to jail
0:03:17,Makoto Ikari,secksi voice
0:03:17,D B,Called it
0:03:21,Tyler Holliday,his ass is a god :smirking_face:
0:03:26,Oso,he forgot to put his pants up haha
0:03:37,DisgaeaFanboy,wew
0:03:43,Makoto Ikari,thicc
0:03:51,Chiggy Diggy,:disappointed_face:
0:03:54,D B,Poor fella
0:03:55,Stu,tamers are you trying to say something
0:03:57,Brian Griffin,This is touching
0:04:00,RDMVidya,Sad boys time
0:04:03,†,bartleby showing us the goods
0:04:08,ally smith,Bartley bee is sexy
0:04:10,Arin,oh yee
0:04:11,Makoto Ikari,beautiful closeup
0:04:12,Tyler Holliday,relatable :grinning_face_with_big_eyes:
0:04:12,†,what a brilliant man
0:04:15,Ivy Mike,sad hours now
0:04:22,Tickis,He still hasnt wiped his ass. Oh my
0:04:41,Tamers12345,Bartleby's baby outfit is cute
0:04:47,Tyler Holliday,poor bartleby.... :disappointed_face: :loudly_crying_face:
0:04:48,Stu,WHAT
0:04:54,RDMVidya,RIP
0:04:56,Makoto Ikari,:ooo
0:04:58,Brian Griffin,"Wow, Jaleel White sounds as good as ever"
0:04:59,Stu,this voice acting is so good
0:05:01,D B,Holy shit that voice acting is god like
0:05:01,Chiggy Diggy,wow
0:05:02,†,OH NO BARTLEBY
0:05:06,Arin,oml
0:05:06,Tickis,perfect 10/10
0:05:06,DisgaeaFanboy,Great voice
0:05:07,poty,whi voice is that?
0:05:08,Oso,You actually got Jaleel White in on this
0:05:09,Arin,noo
0:05:09,poty,who
0:05:19,Brian Griffin,This is Jaleel White
0:05:27,Chiggy Diggy,wow is that jaleel!
0:05:32,bepsi,wtf who is bartleby's dad's voice actor
0:05:33,poty,omg
0:05:33,Stu,jaleel
0:05:43,Tamers12345,You bet your ass that's jaleel white
0:05:55,Tyler Holliday,:disappointed_face:
0:05:57,D B,Good job jaleel
0:05:58,Oso,:smiling_face_with_heart_eyes:
0:06:00,Arin,this is beautiful
0:06:08,Brian Griffin,I am legitimately going to cry
0:06:12,Tyler Holliday,cruel...... :disappointed_face:
0:06:20,Makoto Ikari,(´；ω；`)ｳｩｩ
0:06:26,Chiggy Diggy,this is like a new season of sonic underground
0:06:30,Tamers12345,The scene with bartlebys dad was hard to writre :disappointed_face: but it had to be done
0:06:35,RDMVidya,Snapped
0:06:35,Christian Zelaya,did jaleel white turn into tommy wiseau?
0:06:43,Makoto Ikari,AAHAHAH
0:06:45,Brian Griffin,That's what you get
0:06:48,Tickis,whoa
0:06:48,DisgaeaFanboy,Brilliant
0:06:49,D B,Damn
0:06:52,RDMVidya,Looks like a furry
0:06:54,nexo gamer29,i love this channel
0:07:04,Tyler Holliday,she deserved it
