timestamp,author,message
0:00:00,Friki Tiki,he is a prankster
0:00:01,M,Heck yeah
0:00:03,owen,so excited
0:00:03,birthday skeleton,im koooooomin
0:00:06,Makoto Ikari,yay
0:00:06,OrochiBorgieman,how long does this one last?
0:00:07,MUSE999,:blue_circle::blue_circle::waving_hand:
0:00:07,Wizards0nly,:green_heart:
0:00:07,Mervle,watching this on the living room bigscreen :blue_circle::blue_circle::raised_hand:
0:00:08,Truant,YES
0:00:08,Scall0p,That means uncle Chuck was on the axis powers since we all know mark loves America
0:00:08,Hugh Mungous,@mememilkyway That video is ancient lmao
0:00:09,R.S.,lesgo
0:00:09,bongo,let's go :)
0:00:09,A Journey of Autism with Nyah(Arty),10
0:00:10,Deadman Wonderland,Lets begin.
0:00:11,A Journey of Autism with Nyah(Arty),9
0:00:12,A Journey of Autism with Nyah(Arty),8
0:00:13,BAJAX BAJAX,ok
0:00:13,A Journey of Autism with Nyah(Arty),6
0:00:14,Carson Obama Gaming,GO
0:00:14,Creature Feature,i paused Kenan and Kel to be here
0:00:14,Shenanimation,it's Time
0:00:15,A Journey of Autism with Nyah(Arty),5
0:00:16,A Journey of Autism with Nyah(Arty),4
0:00:17,Terminal Illness,"This episode is going to be so crazy, like Jared Leto's Joker."
0:00:17,IDK,bros
0:00:17,A Journey of Autism with Nyah(Arty),3
0:00:17,Tamers12345,:grinning_face_with_smiling_eyes:yaaaay 
0:00:18,Bunnay Boo,LET’S GO GUNKY POOPS!
0:00:18,A Journey of Autism with Nyah(Arty),2
0:00:19,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:21,OneTrueElihym,yay
0:00:21,marms,cum
0:00:21,Friki Tiki,new va?
0:00:24,leeroy newman,NO WAY HE
0:00:24,†,LETS GOOO
0:00:24,Vagab0ndify,Let's go!
0:00:25,A Journey of Autism with Nyah(Arty),Here we go!
0:00:26,Tiki2970 (Ginyu),Gunky poops
0:00:31,James Andrew,pedos
0:00:32,IDK,wtf is happeningggg
0:00:33,Memerio,it’s joest getting started
0:00:33,James Andrew,blacks
0:00:34,Carson Obama Gaming,thicc
0:00:39,Truant,my man manic getting the bag
0:00:41,The Mighty Xsaros,LES GOO
0:00:45,Makoto Ikari,Farrell...
0:00:46,Wizards0nly,:green_heart: delivery boy:green_heart:
0:00:47,R.S.,lmao
0:00:47,Friki Tiki,kinky
0:00:52,Vagab0ndify,:blue_circle::blue_circle::waving_hand:
0:00:54,Ragas,Lets goo!
0:00:57,Friki Tiki,who could it be? :thinking_face:
0:01:01,Matthew,sonics lover
0:01:05,Carson Obama Gaming,fart incoming
0:01:10,Tamers12345,"Damn, who the fuck is that?"
0:01:21,Tamers12345,TRUE su fans should know already
0:01:23,Makoto Ikari,nooo
0:01:26,James Andrew,Aleena is going to make him pay rent
0:01:27,Tiki2970 (Ginyu),MANIC MY BOY
0:01:29,AleenaEnjoyer,Farrell!
0:01:33,Shenanimation,I am a true SU fan and I know.
0:01:34,Vagab0ndify,It's Manic the Hedgehog!
0:01:35,IDK,"I'm pooping, while watching this live stream"
0:01:35,TheTomol,WAGIE MANIC
0:01:35,Carson Obama Gaming,manic dad moment
0:01:39,Chase Miller,good for him
0:01:46,RDMVidya,There he is
0:01:49,Carson Obama Gaming,joe biden?!
0:01:55,Rancid Sam,"MANIC, MAH BOI"
0:01:57,TurntWolfo,oh Ferrel
0:02:05,manicthehedgehogfannumberonealsoaleenathehedgehog2,feral is pretty sexy actually
0:02:06,Phil Accio,I thought he would be mad over the walmart incident. 
0:02:06,Scall0p,Farrel let him go 
0:02:16,Tiki2970 (Ginyu),I like this whimsical bg music. Reminds me of Flora...
0:02:20,Bunnay Boo,"Uh oh, Farrel"
0:02:21,Truant,manic is nothing like u farrell
0:02:26,jambean,farell Noooooooo!
0:02:28,Carson Obama Gaming,Farel building up a fart rn
0:02:31,Indigoharpy,farrel pls
0:02:33,bongo,love the score :)
0:02:37,calm down.,"i really like his one, long, orange eyebrow"
0:02:37,R.S.,NOT THE JORDANS
0:02:38,Friki Tiki,when is the new SU album gonna drop?
0:02:42,TurntWolfo,lol
0:02:43,jambean,no not da kicks
0:02:43,Tamers12345,"Ferral wouldn't be mad about what happened at walmart because he went to jail for that, so he knows he was in the wrong."
0:02:46,James Andrew,Manic use your powers! Remember you ran fast that one time!
0:02:49,OneTrueElihym,lmfaooo
0:02:59,mememilkyway,Farrel reminds me of when I was walking down the street and encountered a black person...
0:02:59,Haddock,Jesus forgave Ferral so it's all good
0:03:11,Truant,damn ferral called him a wage slave
0:03:13,Makoto Ikari,:rat:
0:03:14,R.S.,im glad they've perfected rehabilitation and penitence in the SUverse
0:03:20,Tamers12345,Man Ferral is a bitch
0:03:22,Truant,GO IN MANIC
0:03:28,Friki Tiki,it really be like that
0:03:28,RDMVidya,Damn roasted
0:03:30,Carson Obama Gaming,Ferral is stinky
0:03:30,Bunnay Boo,Damn Manic!
0:03:33,Scall0p,Farrel is lying
0:03:33,Mimi Nani,lol
0:03:55,Vagab0ndify,"Damn, Ferral."
0:03:57,Carson Obama Gaming,dumpu
0:04:00,Phil Accio,will ferral
0:04:00,Carson Obama Gaming,dumpy
0:04:05,Tiki2970 (Ginyu),Damn those cheeks
0:04:07,Tiki2970 (Ginyu),Thumbnail camoe
0:04:10,Tiki2970 (Ginyu),Cameo
0:04:12,manicthehedgehogfannumberonealsoaleenathehedgehog2,i wish i had my own alley to live in...
0:04:12,James Andrew,Beefed
0:04:15,Phil Accio,deadly farts
0:04:16,Friki Tiki,hot
0:04:19,leeroy newman,OWNED
0:04:20,Makoto Ikari,this feeble earth
0:04:21,Vagab0ndify,Why does Manic keep falling for that
0:04:21,Belicure,theres the thumbnail!
0:04:23,Matthew,Oh God NO Hell NO NO NOOOooo
0:04:24,Truant,damn...
0:04:25,Carson Obama Gaming,fart!
0:04:26,R.S.,manic needs a glock
0:04:28,TheTomol,Kneel Manic
0:04:31,Mimi Nani,sexy
0:04:33,Jo3a5,DAmn
0:04:34,Tiki2970 (Ginyu),Manic always falls behind everyone...
0:04:35,Memerio,a free beef stew?
0:04:39,RDMVidya,Brap
0:04:42,THX9000SC,Feeble cursed one.
0:04:43,Bunnay Boo,"Ignore him, Manic! Keep getting your money up!"
0:04:43,Tamers12345,He's just too strong...
0:04:44,Chase Miller,woah..
0:04:45,Friki Tiki,manic needs a brap training arc
0:04:46,calm down.,who is the hardest farter on mobius
0:04:46,Truant,manicbros its not over yet
0:04:52,AleenaEnjoyer,"Damn, what will Manic do??"
0:04:57,Wizards0nly,:red_heart:
0:04:57,leeroy newman,how do you even fight back...
0:04:57,Carson Obama Gaming,someone had taco bell before this!
0:04:59,Chase Miller,Manic arc!!!
0:05:05,Vagab0ndify,Heck yeah Knuckles!
0:05:05,Jo3a5,Manic just cant stop losing
0:05:05,Wizards0nly,:green_heart::red_heart:
0:05:09,mememilkyway,manic should get some manly tips from Mark
0:05:14,Tamers12345,Haha it's the boys
0:05:22,Carson Obama Gaming,knuckles the cool enchilada
0:05:31,R.S.,i love episodes with bros hanging out
0:05:32,Bunnay Boo,Knux is such a cutie
0:05:34,James Andrew,Use your Bankai 
0:05:36,Carson Obama Gaming,taco bell!
0:05:36,Tiki2970 (Ginyu),*It's My Life by bon jovi starst playing*
0:05:41,SeizureRobot5000,@Tamers12345 Do the chaos emeralds exist in the SU universe?
0:05:41,James Andrew,Such a good bro
0:05:44,Seth Myers (SethMyers001),Hey Tamers I love you this is awesome
0:05:47,Truant,good advice knuckles
0:05:48,Makoto Ikari,:pizza:
0:05:50,Chase Miller,that's why you released this on Tuesday!
0:05:53,Mimi Nani,Knuckles is cool
0:05:58,manicthehedgehogfannumberonealsoaleenathehedgehog2,pjohn p good tho for real
0:05:59,Friki Tiki,where is the master emerald rn anyways?
0:06:06,Jo3a5,lmao
0:06:14,Tamers12345,"@SeizureRobot5000 Um...? Obviously? Have you not watched the show, bitch?"
0:06:14,Truant,hes not wrong
0:06:17,Scall0p,Knuckles got a point 
0:06:19,James Andrew,Was the Master Emerald referenced in SU? 
0:06:20,Haddock,"Manic, you have to do it."
0:06:21,mememilkyway,BASED KNUX
0:06:34,Tamers12345,There is no such thing called a master emerald.
0:06:36,Tiki2970 (Ginyu),"""Manic... you insane bro... but That's what we like about you"""
0:06:38,OneTrueElihym,he just like me fr
0:06:38,Tamers12345,That wans't in SU
0:06:41,Belicure,slap
0:06:41,R.S.,manic incites a home invasion
0:06:44,Friki Tiki,the man!
0:06:44,RDMVidya,Woah
0:06:47,̇,knux us such a bro
0:06:47,Carson Obama Gaming,Manic the maniac!
0:06:51,birthday skeleton,nutteedd
0:06:52,James Andrew,@Tamers12345 Understood
0:06:52,Wizards0nly,:sparkles::blue_heart::yellow_heart::sparkles:
0:06:56,Matthew,slap
0:06:56,Vagab0ndify,A Master Emerald? Bartleby's more of a diamond. 
0:06:59,Jo3a5,lmao
0:07:03,Truant,manic really is the most insane hedgehog
0:07:08,Carson Obama Gaming,:sparkles::yellow_heart:bardonic:blue_heart::sparkles:
0:07:09,cyrus,OH MY GOD BARTLEBY 
0:07:10,Lenny the Ghoul,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:07:10,A Journey of Autism with Nyah(Arty),Oh my God maniac is going to stop that guy!
0:07:11,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:07:12,†,damn :flushed_face:
0:07:13,Tamers12345,Bartleby~! :smiling_face_with_smiling_eyes:
0:07:21,cloudy,:blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart:
0:07:21,Carson Obama Gaming,manic stuck in the window!
0:07:21,Bunnay Boo,Bartlett going crazy 
0:07:23,Truant,omg bartleby
0:07:30,James Andrew,lol
0:07:31,Phil Accio,mouth*
0:07:33,Memerio,They should make an exclusive game of connect 4 where the red pieces are replaced with blue ones
0:07:37,Vagab0ndify,Good start
0:07:38,Makoto Ikari,good music
0:07:43,Jo3a5,lmao
0:07:45,TheTomol,good start
0:07:46,FrozenTangerines,it's aby principle sonic
0:07:48,A Journey of Autism with Nyah(Arty),"Bartleby looks good with sonic it looks like it’s Christmas though, but it doesn’t matter though."
0:07:49,R.S.,Drive (2011)
0:07:51,Tiki2970 (Ginyu),Why doesnt manic ask bartlebee to fart on pherrell... Problem solved
0:07:56,Matthew,Bartleby at least
0:08:00,Truant,you got this manic!
0:08:01,Shenanimation,"let's go, green bro"
0:08:01,WizzardSupreme,COLONEL
0:08:06,James Andrew,The curse of being related to Sonic 
0:08:11,Jo3a5,lmao
