timestamp,author,message
0:00:00,TheShredFaster,more like the gay awards
0:00:01,Haddock,HERE WE GO
0:00:04,ashley elkins,:blue_circle::blue_circle::waving_hand:
0:00:08,Brandon Hedgehog,let Gooooooooooooooo
0:00:08,Tiki2970 (Ginyu),Purple and Pink next to each other = represents Sonia and his mamma
0:00:08,Stupid Baby,TAMERSSS
0:00:09,Starlit Rain,the game awards are nothing compared to this
0:00:09,Kay-Vahn,"game awards, more like lame awards"
0:00:10,chocolatemilque808,This is top priority
0:00:10,Tiki2970 (Ginyu),NICE
0:00:10,Stupid Baby,I LOVE YOU
0:00:13,Makoto Ikari,epic intro
0:00:13,ashley elkins,get your popcorn
0:00:14,Stupid Baby,IM YOUR BIGGESAT FAN
0:00:15,DankG777,yea
0:00:18,Starlit Rain,THERE THEY AREE
0:00:22,sexual jimmy neutron,YES
0:00:24,Tiki2970 (Ginyu),I LOVE THE INTRO WHEN IT SHOWS UP
0:00:26,Sponge Olimar,Here we go bois
0:00:26,Jenny is Dead,YESSSSSSSSS
0:00:27,okUrsus,this is epic
0:00:27,KlonoaPrime,hype
0:00:28,Uh Umm,LETS GOOOOOO
0:00:32,The Mighty Xsaros,It's time
0:00:34,ashley elkins,I’m so excited I’m shaking
0:00:35,Tiki2970 (Ginyu),A TAMERS ORIGINAL
0:00:35,Fuckles The Enchilada,AGGH I'm lagging
0:00:40,Kay-Vahn,what an opening shot
0:00:40,Sergio M. A.,wake up honey. tamers uploaded.
0:00:40,Bootyshaker9000 Walton,Oh my god
0:00:42,Brandon Hedgehog,Sonic in High school
0:00:44,ashley elkins,THICK BOY
0:00:50,Tiki2970 (Ginyu),HOT
0:00:50,• Rosie •,OMG
0:00:51,XmixRaven,Woah Mindy.
0:00:52,Makoto Ikari,Bardonic fan 4 life
0:00:57,Bootyshaker9000 Walton,Best day of my life
0:00:58,TarahjiToons,Tamers ares fall guys kinda thicc
0:01:03,Makoto Ikari,lmao
0:01:05,Tamers12345,Damn those are some large boobies
