timestamp,author,message
0:00:00,TarahjiToons,Yayyyy
0:00:02,Makoto Ikari,shut up
0:00:03,LiveseyKnight,it begins
0:00:04,Kyogre4870,I was here!
0:00:06,Tree boi,I cant wait
0:00:09,The Pearsinator,Family friends for all
0:00:10,StupidTrooper,I love it already!!
0:00:11,Weather Report,ayoo
0:00:14,Ahh-yea-cheese,It’s a go time
0:00:15,No Life Trash,LETS GO BAYBY
0:00:15,Starlit Rain,lesss goooo
0:00:18,Vin M,WITNESS ME TAMERS
0:00:18,Kyogre4870,Kino
0:00:19,Super Heavy Weapons Guy,god content
0:00:21,Tree boi,Lwtsss toooo
0:00:24,Makoto Ikari,purple pits
0:00:25,mememilkyway,CINEMATICCCC
0:00:28,LonnyZone,damn he's hot
0:00:32,Jedgar Newgate,KINO
0:00:32,Tommy Wiseau,When do we get a sonic twerk a thon 
0:00:32,Scarlet Horse,:red_heart: Sleet
0:00:32,Starlit Rain,what an intro
0:00:35,Nicolas,missing texture
0:00:35,Shenanimation,astonishing
0:00:39,StupidTrooper,Sick board
0:00:40,CyberCop008,Edgy and urban. Nice
0:00:42,Choppingboss,man got the missing texture skateboard...
0:00:43,Tree boi,:red_heart:
0:00:47,Weather Report,big noss
0:00:48,StupidTrooper,THICC
0:00:49,TarahjiToons,Tamers is sonic gay I’m a lesbian Christian jee and more
0:00:49,TarahjiToons,Or jew
0:01:02,Piros,these origins make me tear up man
0:01:02,Goldcreeper,Sleet's got moves!
0:01:02,Tree boi,He cute
0:01:11,StupidTrooper,Aww
0:01:14,The Brown kid,high-school high
0:01:18,Memerio,sleet the badass
0:01:20,Nocturno,Sleet is sooo much like me
0:01:21,Zero,Such cinematic story telling
0:01:22,Tamers12345,"@Tarahji Cheatham 2 Of course sonic is gay, he's in love with his beautiful boyfriend bartleby montclair of dresdin"
0:01:22,Nicolas,lol
0:01:26,mememilkyway,based sleet
0:01:27,StupidTrooper,What's the song?
0:01:30,AndyLosHorns,fu wilsom
0:01:34,Soup3dBlast,up yours mr wilson
0:01:35,Redux,smooth damn
0:01:35,Scarlet Horse,lol Sleet doesn't give af
0:01:39,CyberCop008,"Haha..fudge you, Wilson."
0:01:40,D R,"Damn, Sleet is so cool"
0:01:44,Weather Report,damn it feels good to be a gangster
0:01:45,Frank Brocker (M.C. Sausage),Inject tamers into my bloodstream 
0:01:50,Memerio,rip sleet
0:01:51,AndyLosHorns,snutbag
0:01:53,Tree boi,Give him his seet
0:01:58,Steven Bennett Studios,PUSH HIM!
0:02:05,Tommy Wiseau,Morty got edgy
0:02:14,bop mop,ah sheet
0:02:15,Weather Report,b u f f
0:02:17,mememilkyway,poor dingo
0:02:17,Makoto Ikari,a seet for sleet
0:02:20,Scarlet Horse,:crying_face:
0:02:22,Tree boi,Wow
0:02:23,Kyogre4870,ouch
0:02:24,StupidTrooper,So sad
0:02:25,No Life Trash,beans
0:02:29,Steven Bennett Studios,Meanie....
0:02:34,Haddock,He pooped his fricken pants? That's epic.
0:02:38,TarahjiToons,Hey tamers I made a miitopia video of sonic and bartleby
0:02:38,Erm...yeah...,cold
0:02:39,CyberCop008,"I think, Dingo is underrated"
0:02:43,Memerio,BRAP
0:02:47,Puro Pantry,Oh my...
0:02:50,Scarlet Horse,Dingo wtf man
0:02:55,mememilkyway,milkyway
0:02:58,Nicolas,dingo WTf
0:02:59,Nocturno,my old bully was like that
0:03:02,StupidTrooper,Dang. Must've been hungry
0:03:03,Tree boi,Oh my
0:03:07,The Brown kid,a true sigma move
0:03:17,Tommy Wiseau,"Dingos don’t eat babies, they eat sleets magnum dong"
0:03:20,Redux,a true shrigma
0:03:20,Jaci nto,smickmers
0:03:21,TarahjiToons,I made a sleet and dingo mii
0:03:29,Scarlet Horse,:purple_circle::purple_circle: :waving_hand:
0:03:30,mememilkyway,LORE
0:03:31,bop mop,dingo just wants to be nice c'mon sleet
0:03:32,Goldcreeper,real lore
0:03:32,Steven Bennett Studios,THICC
0:03:34,Weather Report,a true ligma
0:03:34,CyberCop008,Why are they still clothed
0:03:36,Joe Hardy,DAMN
0:03:35,StupidTrooper,LORE
0:03:39,Memerio,mobius
0:03:44,Tree boi,LORE
0:03:46,Weather Report,damn boi HE THICC
0:03:52,Memerio,why are his Buttcheeks on the front 
0:03:53,Tree boi,Ikr
0:03:57,No Life Trash,god
0:03:57,Haddock,Why is Sleet letting this nerd follow him around? 
0:04:01,StupidTrooper,Explains so much in so little. Master-work writing.
0:04:02,Nicolas,dingo thats sexual harrasment 
0:04:19,Redux,dingo your game too stronk
0:04:19,Tamers12345,"@Memerio His buttcheeks aren't on the front. They're just so fucking big you can see them, from the side, which is completely normal"
0:04:28,The Brown kid,aren't humans called overlanders in the sonic comics
0:04:29,Mr Fake,wtf racism
0:04:32,Makoto Ikari,:smiling_face_with_smiling_eyes:
0:04:35,Tommy Wiseau,Pull a dio and steal his first kiddo
0:04:38,Tommy Wiseau,Kiss
0:04:39,Goldcreeper,hahahaha
0:04:40,Haddock,AHAHAHAHAHAHA
0:04:40,Nocturno,based
0:04:42,CyberCop008,Oliver is just my type...french:thanksdoc:
0:04:44,No Life Trash,racisim
0:04:45,Tamers12345,"@The Brown kid Not in sonic underground, bitch"
0:04:57,Scarlet Horse,hahahaha
0:04:58,BlitzTheBlock,based racism 
0:05:00,Joe Hardy,lol
0:05:02,Squid,lol
0:05:02,Tommy Wiseau,FBI OPEN UP
0:05:04,Haddock,When will Sneed and Chuck appear in your videos?
0:05:12,Nicolas,@The Brown kid this isnt the comic bro
0:05:17,Weather Report,Oh no
0:05:17,Scarlet Horse,:downcast_face_with_sweat:
0:05:18,DankG777,holy crap i almost missed the permire
0:05:19,Jenny is Dead,front facing sleet
0:05:19,CyberCop008,:washhands::washhands::washhands:
0:05:19,StupidTrooper,DAMN
0:05:22,No Life Trash,Leash
0:05:24,Steven Bennett Studios,EW
0:05:25,Weather Report,:eye::eye:
0:05:27,ginni,SHEESH
0:05:32,Tamers12345,"Damn, Sleet should go wipe his fucking ass"
0:05:33,AndyLosHorns,uh oh
0:05:38,Puro Pantry,William can't take a hint.
0:05:40,mememilkyway,BRAPPPPPPPPPPPPPPPPPPPPPP
0:05:41,Weather Report,Thicc
0:05:44,Scarlet Horse,GENUINE
0:05:44,Carbage,damn sleet try wiping
0:05:46,Erm...yeah...,oh no
0:05:55,CyberCop008,oh no. it's william and morty
0:05:55,Jen Tabor,5 am i have no power
0:05:55,mememilkyway,SLEET NOOOOOOOO
0:06:11,Jen Tabor,5 am i have no power
0:06:21,BlitzTheBlock,the butt has a butt
0:06:22,Nicolas,why is the bat so big
0:06:24,Carbage,big sweat drop
0:06:29,Redux,"raepin time, uh"
0:06:29,The Brown kid,sleet hella outta pocket
0:06:36,Carbage,sleep get outta there
0:06:41,Goldcreeper,????
0:06:42,Mr Fake,french people are not cool unless they make sonic underground
0:06:46,Sennari Cosplay,????????
0:06:47,Weather Report,oh my
0:06:48,Nicolas,wtf
0:06:49,Haddock,Everyone poops their pants in Social Studies...
0:06:52,AndyLosHorns,true
0:06:52,Nicolas,clown?
0:06:53,Squid,LOL
0:06:53,Redux,oh fug
0:06:56,Steven Bennett Studios,Buff Clown
0:07:03,brostinson,lol
0:07:07,Carbage,doo doo the clown
0:07:08,Ayyo-bun,Dodo the clown fffttt
0:07:12,Goldcreeper,lore is too deep
0:07:12,Tommy Wiseau,Is that hisoka
0:07:14,Weather Report,Tricky got ripped
0:07:14,Scarlet Horse,GET OUT OF THERE SLEET
0:07:23,BlitzTheBlock,Top Ten Anime Villians
0:07:26,Sennari Cosplay,Dingo pls save Sleet :loudly_crying_face:
0:07:26,No Life Trash,SLEET RUN
0:07:28,TarahjiToons,You mean dominic from Miitopia 
0:07:31,mememilkyway,BATHROOM EQUALS DANGER
0:07:32,Redux,RUN BOY RUN
0:07:32,Zero,Lore is real deep Goldcreeper
0:07:34,Starlit Rain,knuckles voice?!
0:07:37,mememilkyway,yes
0:07:37,Level Five,"""yes"""
0:07:38,Scarlet Horse,NONONONONO
0:07:38,Steven Bennett Studios,Ow...
0:07:39,StupidTrooper,Does Doo-Doo the Clown get paid for killing people?
0:07:41,Weather Report,Ouch
0:07:41,Steven Bennett Studios,No sleet!
0:07:41,Nicolas,OH MY GOD
0:07:45,Magilouser,D:
0:07:48,Kyogre4870,OH NO
0:07:48,mememilkyway,SLEET NOOOOOOOOOOOOOOOOOOOOOOO
0:07:48,Makoto Ikari,bathrooms are dangerous
0:07:49,Memerio,:pile_of_poo: 
0:07:50,BlitzTheBlock,A jojo moment 
0:07:50,SuicidalCheeseStick,NO
0:07:53,AndyLosHorns,oh f
0:07:54,Ayyo-bun,Bruh
0:07:55,Creature Feature,Dingo!!!!
0:07:55,StupidTrooper,CALL 911
0:07:55,Redux,dingooooooooo
0:07:59,Goldcreeper,OUCH
0:08:00,brerbo,NO SLEET
0:08:01,Tommy Wiseau,WHERES MY MONEY LEBOWSKI
0:08:04,Aaron Wentworth,oh god pls no
0:08:11,Steven Bennett Studios,Run!
0:08:15,Weather Report,THICC
0:08:16,Haddock,"Bullying is always so ugly. Why can't we learn to all love one another, like Sonic and Bartleby."
0:08:20,CyberCop008,Someone prepare a tombstone quick. make it out for Dominic.
