timestamp,author,message
0:00:00,cloudy,:yellow_heart::blue_heart: :yellow_heart::blue_heart::yellow_heart::blue_heart: IT BEGINS
0:00:02,vistagunner,balls!!!
0:00:08,Videos for stuff: Probably mostly unlisted,hey
0:00:08,Coshi,PEAK INCOMING
0:00:11,Sven “The Mindtaker” Fletcher,LET'S GOOOOOO
0:00:11,RainbowHoodie,Let’s go!
0:00:11,Makoto Ikari,yay
0:00:12,Backyard Dad,heck yeah
0:00:12,Vagab0ndify,Let's go!
0:00:13,Mints,only a modern sonic fan deals in absolutes
0:00:13,Tiki2970 (Ginyu),"Fall in love with the three foot tall purple hedgehog, you must"
0:00:13,cloudy,whoa
0:00:14,BioSkrall97,My body is ready!
0:00:14,Wizards0nly,oh yeah
0:00:14,Tamers12345,Bartleby's ass ---->:yellow_circle::yellow_circle::dashing_away::hot_face: <---Sonic
0:00:14,cloudy,classic opening
0:00:17,AnimeGames16,That four had Bartleby's colors.
0:00:19,Wendy Ann ChadWick,SoNaDoW are my favorite two male/boy hedgehog :slightly_smiling_face: 
0:00:20,the awesome man,THE SCROLLING SCREEN
0:00:20,2ds⭐,aaahh
0:00:21,xistbab,twu
0:00:23,Sponk,Using the licensed music lol
0:00:23,Mints,LETS GOOO
0:00:24,Silver Feral Thunderbird,W00T
0:00:26,Coshi,YEEEAAA BABY!
0:00:27,Makoto Ikari,Sonia...
0:00:27,THX9000SC,"Oh no, copyright infringement o'clock!"
0:00:29,Yoshinator,YES!
0:00:31,Friki Tiki,john Williams is performing for you?!
0:00:31,Wendy Ann ChadWick,:slightly_smiling_face: 
0:00:32,Mudkip z,THE EMPEROR!? 
0:00:34,Shép DeathWoods,good
0:00:36,RainbowHoodie,Stupid Sonoa
0:00:36,Backyard Dad,sonia in a slave bikini please. give aleena the chain
0:00:37,vistagunner,:green_circle::green_circle::hand_with_fingers_splayed:
0:00:38,VanVeleca,Dang Sonia sucks
0:00:38,Macc1776,less go
0:00:40,Yoshinator,he he
0:00:40,RainbowHoodie,Sonia
0:00:47,cloudy,I think we know what's going to happen...
0:00:48,Olizal ze Ortolan,lmao
0:00:48,Hans,:blue_circle::blue_circle::dashing_away:
0:00:48,Wendy Ann ChadWick,:slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: 
0:00:49,Mudkip z,"Somehow, Robotnik came back."
0:00:50,Wizards0nly,chuck
0:00:53,Funi Kangaroo,oh HECK
0:00:53,Makoto Ikari,BOTH
0:00:57,BigHam,"Tamers BLESSES us with yet another MASTERPIECE, can my mind HANDLE it? We'll see!"
0:00:58,Mr. Guydude,New lore dropped
0:00:59,VanVeleca,Bartleby is evil?!?!?
0:00:59,cloudy,very cinematic
0:00:59,Shenanimation,.. Unless?
0:01:01,Silver Feral Thunderbird,I'm so excited
0:01:03,Deadbeat Husband,revenge of the shit
0:01:04,Yoshinator,"Somehow, Bartleby returned..."
0:01:07,Tamers12345,Sonic is stuck as a padawan...?
0:01:08,Double J,murder drones crossover when
0:01:08,Sven “The Mindtaker” Fletcher,Obi-Wan Chuckenobi?!
0:01:11,Shamel Thompson,Both is good
0:01:12,Wendy Ann ChadWick,and also the color pink SUCKS!
0:01:13,Backyard Dad,hooray
0:01:16,Shép DeathWoods,master sperm
0:01:17,AndyLosHorns,long neck
0:01:17,Silver Feral Thunderbird,Spoon man
0:01:19,Backyard Dad,i love sonic and star wars
0:01:22,THX9000SC,Yoda pissin' in the corner.
0:01:25,basedocringru,is sonic a star war?
0:01:26,Videos for stuff: Probably mostly unlisted,ppof?
0:01:27,Rewo,Yarl Poof the strongest Jedi
0:01:28,Vagab0ndify,Poor Sonic...
0:01:30,2ds⭐,nope.avi
0:01:30,Tamers12345,Haha that alien looks weird
0:01:31,Silver Feral Thunderbird,B R U H
0:01:31,RainbowHoodie,:flushed_face:
0:01:34,Funi Kangaroo,"58 years .,.,"
0:01:34,Arty,my guy plo koon over there traiing hard
0:01:35,Backyard Dad,this is already the best episode i've seen all day
0:01:37,Wendy Ann ChadWick,i'm to scared to have kids :astonished_face: 
0:01:41,vistagunner,dreamworks face
0:01:44,Rewo,look at that fat thick neck
0:01:45,VanVeleca,"""Blue Milk"""
0:01:50,Backyard Dad,i wish i could be a padawan
0:01:51,Wendy Ann ChadWick,don't blame me :disappointed_face: 
0:01:55,Soulbrewer,the only star wars content i'll gladly watch
0:01:55,Sven “The Mindtaker” Fletcher,Oh boy
0:01:58,cloudy,whoa thats yoda
0:02:01,Shad,Such a strong neck
0:02:03,Mints,is there yellow milk to go with the blue milk
0:02:06,Wizards0nly,kit fisto :green_heart::green_heart::green_heart:
0:02:08,Tiki2970 (Ginyu),Lmaooooo
0:02:09,Wendy Ann ChadWick,and also i have a fear of aliens :astonished_face: 
0:02:10,RainbowHoodie,Omg
0:02:12,Deadbeat Husband,lol
0:02:13,Silver Feral Thunderbird,XD
0:02:14,Backyard Dad,lmfao
0:02:15,the awesome man,these voices...amazing
0:02:16,Friki Tiki,"damn, everyone's here"
0:02:16,Arty,lmao
0:02:16,Anthrazite,LOL
0:02:17,Shép DeathWoods,kek
0:02:18,Funi Kangaroo,lmfao
0:02:21,Mints,LMAO
0:02:22,Backyard Dad,this is 10/10
0:02:22,Rewo,wow I can believe Tamers actually got Yoda to voice his role in this video
0:02:23,Mr. Guydude,"Whoa, it’s really their voices"
0:02:24,Backyard Dad,amazing
0:02:24,Wendy Ann ChadWick,???
0:02:24,Videos for stuff: Probably mostly unlisted,lol
0:02:25,Rewo,so cool
0:02:25,RainbowHoodie,LMAO
0:02:25,Graveyard Smash,kek
0:02:26,SpookyAmmo,:grinning_squinting_face:
0:02:26,Mints,oh hey its obi wan!
0:02:28,Tiki2970 (Ginyu),Holy shit the voice actors in this are all so good
0:02:30,Donny Lurch,I love this
0:02:30,Backyard Dad,hell yes
0:02:31,Double J,chat resume
0:02:33,auvanny,nah
0:02:33,Silver Feral Thunderbird,Lmao
0:02:35,the awesome man,wise...
0:02:39,RainbowHoodie,YODA
0:02:40,El SkywardGonz,wow did you get the actors who played these iconic characters!
0:02:40,AnimeGames16,Can't believe you got THE Frank Oz in this episode to voice Yoda!
0:02:41,Funi Kangaroo,so tru yoda
0:02:42,Backyard Dad,it's been a while since sonic met obi wan kenobi
0:02:43,Friki Tiki,based yoda
0:02:44,Neon Frost,racist
0:02:49,Mints,LMAO
0:02:51,Vagab0ndify,"Damn, Yoda. "
0:02:52,Sven “The Mindtaker” Fletcher,lmao
0:02:55,Wendy Ann ChadWick,but like i said i am a 30 year old adult werewolf pack leader 
0:02:55,Tamers12345,Yoda is a true jedi listening to the will of the force <3
0:02:56,ThankYouForReadingMyName,just tuned in whats going on help 
0:02:56,Silver Feral Thunderbird,DAYUMN
0:02:57,Rewo,daaaaamn
0:02:58,Ikari,"oh my ga, it's the actual Yoda"
0:03:01,Mints,13% of jedi commit 50% of dark side
0:03:02,Connor N,dope
0:03:02,Backyard Dad,the BLACK side of the force
0:03:03,DeShawn Williams,Hi everybody
0:03:03,RDMVidya,YODA NO
0:03:07,Silver Feral Thunderbird,LMFAOOO
0:03:09,Double J,yoda would never
0:03:09,Rewo,OH
0:03:10,Arty,that picture of yoda lmao
0:03:14,Redundant,this is amazing
0:03:15,Friki Tiki,oml
0:03:16,RainbowHoodie,STOP
0:03:16,Videos for stuff: Probably mostly unlisted,lol
0:03:19,SpookyAmmo,Yoda keeps it real
0:03:21,Sven “The Mindtaker” Fletcher,MANIC NO
0:03:22,HotSause,This just shows how much stronger of a jedi yoda is
0:03:25,Wendy Ann ChadWick,and also sonic the hedgehog is MINE! >:)
0:03:26,cloudy,MINDY
0:03:26,Wizards0nly,my nigga kit fisto
0:03:33,Silver Feral Thunderbird,Yoda why X'D
0:03:35,DeShawn Williams,How are y’all doing?
0:03:36,Sven “The Mindtaker” Fletcher,GOD DAMN IT MANIC NO
0:03:38,Makoto Ikari,Mindy
0:03:39,ThankYouForReadingMyName,where is bartelby he is so cool
0:03:39,THX9000SC,Dope.
0:03:39,Rewo,even the younglings........
0:03:40,Tiki2970 (Ginyu),SLAVE MINDY OH MY GOODNESS
0:03:40,RainbowHoodie,Hawt damn
0:03:42,VanVeleca,Manic?????
0:03:46,Funi Kangaroo,"manic ,.,.,:crying_face:"
0:03:46,Tamers12345,Manic... :frowning_face_with_open_mouth:
0:03:48,Coshi,based honestly
0:03:48,El SkywardGonz,that's pretty dark sidey of him...
0:03:50,Mints,i cant believe manic did this
0:03:50,Wizards0nly,MINDY
0:03:50,drawnonteeth,SAVAGEEEEE
0:03:52,VanVeleca,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:03:53,cloudy,I can't believe Manic would do this
0:03:54,Double J,this is why nobody likes manic
0:03:56,DeShawn Williams,Oh my God
0:03:57,Neon Frost,hot mindy
