timestamp,author,message
0:00:00,perceval553,:blue_circle::blue_circle::waving_hand:
0:00:02,Haddock,Sonic and Bartleby 4eva
0:00:02,hotdogfarts,But bardonic is first
0:00:04,Indigoharpy,highlight of my dinners
0:00:04,Spectra,HELL YEA
0:00:04,Javi A secas,5
0:00:05,Montythegold,oh lawdy
0:00:06,Skylarky,some flora would be good
0:00:07,Frank Brocker (M.C. Sausage),this could be us but you dont ship mindic...................:blue_circle::blue_circle::waving_hand:
0:00:07,aSpookySkeleton,sleet and dingo should work for bobby moon beam
0:00:07,Kakaokomanden,BARDONIC TIME
0:00:07,RainbowHoodie,ITS TIME
0:00:09,Lenny the Ghoul, bardonic flag
0:00:09,tgrg jii,HELL YEAH
0:00:10,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:10,Tiki2970 (Ginyu),LETT'S GO
0:00:11,soulburn,here we go!!!
0:00:11,Wykkyd Mō,let's go!
0:00:12,hotdogfarts,No intro
0:00:17,Connor N,showtime
0:00:17,Silver Feral Thunderbird,W00T
0:00:20,Olizal ze Ortolan,:blue_circle::blue_circle::clapping_hands:
0:00:20,Dantioch,Woo!
0:00:22,Piputa,It's starting!
0:00:22,Kroe Waynes,"wait, this ISN'T a my little pony story???"
0:00:23,Javi A secas,premiere time
0:00:23,Wizards0nly,yay
0:00:31,Silver Feral Thunderbird,Omg Sonia's so cute
0:00:32,Tamers12345,:blue_circle::blue_circle::dashing_away::hot_face:
0:00:34,VanVeleca,:blue_circle::blue_circle::waving_hand:
0:00:36,Sgt. Sandwich,damn woman
0:00:36,RainbowHoodie,Ooohh Sonic~
0:00:39,hotdogfarts,I love his cheeks
0:00:39,aSpookySkeleton,stand down sonia
0:00:39,Lenny the Ghoul,bathing suit Flora
0:00:41,robothing,oh dear
0:00:42,Tiki2970 (Ginyu),TRIPLETS BORN
0:00:43,perceval553,Wow
0:00:43,FilmNerd,I can't remember the last time I've ever been to a water park
0:00:43,Silver Feral Thunderbird,Aww loving siblings
0:00:44,Sven “The Mindtaker” Fletcher,Mmm
0:00:44,Friki Tiki,Sonia common L
0:00:45,perceval553,:blue_circle::blue_circle::waving_hand:
0:00:46,tgrg jii,silly Sonia
0:00:49,Dank Meme Wannabe,He so embarra
0:00:49,RainbowHoodie,:blue_circle::blue_circle:
0:00:51,Makoto Ikari,Sonic still can't swim
0:00:54,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:55,Macc1776,lets go
0:00:55,TheAtomicCarrot,:blue_circle::blue_circle:
0:00:56,my dong,more like retardical
0:00:58,Dank Meme Wannabe,Awwwdo tender 
0:01:02,RainbowHoodie,Shut up Sonia 
0:01:03,Dank Meme Wannabe,Tender proximity 
0:01:06,Tiki2970 (Ginyu),FATTY SONIC
0:01:07,Montythegold,sonic looks like a whale because he is blue and fat
0:01:07,Silver Feral Thunderbird,LMAO
0:01:10,Makoto Ikari,:taco:
0:01:11,RognieRaygun,CHOCO TACOS
0:01:13,Haddock,YOU CANT EAT 30 MINUTES BEFORE SWIMMING NOOOOOOOO
0:01:14,tgrg jii,Sonia's cute laugh
0:01:17,Dank Meme Wannabe,Felt that 
0:01:18,Tamers12345,That speedo... damn :kissing_face_with_closed_eyes:
0:01:19,Kroe Waynes,mhmmmm chocolate tacos
0:01:20,Sgt. Sandwich,me neither sonic..
0:01:21,Silver Feral Thunderbird,Jesus-
0:01:21,Friki Tiki,bro love
0:01:21,Dank Meme Wannabe,Awww
0:01:21,Grey-Seer Thanquol,lol
0:01:22,Makoto Ikari,:kiss:
0:01:22,barcom,i hope uncle chuck wears a white t shirt
0:01:22,Connor N,yooooo
0:01:23,John Smith (jklmans),F for choco tacos
0:01:25,tgrg jii,LMAO
0:01:25,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::waving_hand:
0:01:25,Kakaokomanden,Sweet
0:01:26,hotdogfarts,Monic!!!
0:01:28,Dank Meme Wannabe,Why Sonia is hateful 
0:01:31,Wizards0nly,yay
0:01:33,RainbowHoodie,Awww
0:01:35,perceval553,:0
0:01:36,Scarlet Horse,Awwww
0:01:39,Dantioch,:kiss:
0:01:39,Truant,just a nice kiss between bros
0:01:41,Shamino Warhen,Did Sonic learn how to swim yet?
0:01:41,hotdogfarts,I’m like the only monic fan I swear
0:01:42,Shenanimation,Such a sweet family
0:01:43,Truant,nothing weird
0:01:43,JM,Finally some kino
0:01:44,Sven “The Mindtaker” Fletcher,Knuckles
0:01:44,Tamers12345,lol Sonic Underground is always so funny
0:01:45,my dong,that's so sweet
0:01:47,FilmNerd,Manic is a feeder
0:01:47,VanVeleca,KNUX
0:01:48,X,lol
0:01:48,RainbowHoodie,Knux!
0:01:51,Javi A secas,ass blasted Sonia flabbergasted
0:01:52,Connor N,that is gonna be hard to notice on his had when he starts eating thos tacos
0:01:52,Silver Feral Thunderbird,Sonia and Knuckles based so far
0:01:52,Sgt. Sandwich,A digger with an actual job? Huh
0:01:54,Grey-Seer Thanquol,yooooooooooooooo
0:01:56,Dank Meme Wannabe,I like this shot a lot 
0:01:56,Tiki2970 (Ginyu),I kiss my best friend like thatt haha
0:01:59,BAVI,You mfs slow 
0:02:00,tgrg jii,knuckles jumpscare
0:02:03,Skylarky,lol
0:02:04,barcom,he doesnt know about brotherly love
0:02:04,Sven “The Mindtaker” Fletcher,Mmm that cake
0:02:05,Skylarky,knuckles ftw
0:02:06,Wizards0nly,whew..
0:02:09,Silver Feral Thunderbird,JESUS-
0:02:12,Makoto Ikari,he's here
0:02:13,Sven “The Mindtaker” Fletcher,OUR HERO
0:02:13,RainbowHoodie,Shut up Knux
0:02:15,Sven “The Mindtaker” Fletcher,ENTER
0:02:15,VanVeleca,:blue_heart::green_heart::blue_heart::green_heart::blue_heart::green_heart::blue_heart::green_heart::blue_heart:
0:02:15,Tiki2970 (Ginyu),DAYUMMMM DAT CAKE
0:02:17,Dank Meme Wannabe,Oh my nippulous joys
0:02:17,RognieRaygun,love the color lighting
0:02:18,robothing,It's getting real
0:02:18,my dong,zamn
0:02:18,Friki Tiki,knuckles doesn't get it
0:02:19,Dia,DAMN SON
0:02:19,Sgt. Sandwich,THERE HE IS
0:02:20,John Smith (jklmans),Knux is a liar
0:02:20,Wizards0nly,yay bartleby
0:02:21,Montythegold,BARTLEBY
0:02:22,Connor N,dayum
0:02:22,Dantioch,WOOOOO
0:02:22,RainbowHoodie,YES
0:02:23,RognieRaygun,BARTLABEE
0:02:24,cloudy,BARTLEBY
0:02:24,Deadbeat Husband,damn
0:02:24,Shamino Warhen,Finally the main character.
0:02:25,Scarlet Horse,:blue_circle::blue_circle::clapping_hands: :green_circle::green_circle:
0:02:25,hotdogfarts,Damn
0:02:26,cloudy,BARTLEBYY
0:02:26,AgileTurtlez,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:02:27,Silver Feral Thunderbird,Dayumn Bartleby
0:02:28,cloudy,HESSO SEXY
0:02:28,Dank Meme Wannabe,Oh my plump.
0:02:29,X,lol
0:02:29,Vagab0ndify,Let's go!
0:02:29,cloudy,that walk animation
0:02:29,[WONDERLAND],GOD DAMN
0:02:29,Frank Brocker (M.C. Sausage),EVERYBODY CLAP
0:02:31,Grey-Seer Thanquol,yeeeeeeeeaaaaaaaaaah
0:02:32,barcom,HOT
0:02:32,perceval553,:yellow_square:
0:02:32,Indigoharpy,:hot_face::hot_face:
0:02:32,tgrg jii,ENTER
0:02:34,Tiki2970 (Ginyu),THE BLOND MAN HIMSELF
0:02:36,Tamers12345,:money_bag::man_blond_hair:
0:02:37,Truant,damn
0:02:37,Connor N,gaslighting more like ASSLIGHTING
0:02:37,Pret,:hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes:
0:02:37,hotdogfarts,More like bartlecheeks 
0:02:38,Skylarky,i luv when bartleby says yuh-huh
0:02:38,RainbowHoodie,:blue_circle::blue_circle::waving_hand:
0:02:41,Scarlet Horse,YOOOOOOO
0:02:42,aSpookySkeleton,do those shorts even costs 40 billion dollars?
0:02:42,Dantioch,Bartleby lookin good
0:02:43,Backyard Dad,i hope sonia's sexy bathing suit doesn't fall off WINK.
0:02:44,Dank Meme Wannabe,I want to wetten his whistle
0:02:44,Dia,JESUS
0:02:45,AgileTurtlez,THIS IS THE BEST SUMMER EVER!!!!
0:02:46,Levent Laçin,Dayum
0:02:47,Double J,:volcano-green-lava-orange:
0:02:50,[WONDERLAND],bring the whole ice cream store down there
0:02:52,LonnyZone,I think Bartleby wants to do Sonic?
0:02:52,my dong,god bless america
0:02:52,Sven “The Mindtaker” Fletcher,UHM
0:02:54,Dia,HUMMINUH HUMMINUH
0:02:54,Dank Meme Wannabe,YAY ASMR
0:02:57,Jim Gordon,I liked that
0:02:59,Makoto Ikari,:skull:
