timestamp,author,message
0:00:00,Cton95,10
0:00:01,NutJam,will Sally Acorn or Nicole make an appearance?
0:00:01,D R,:blue_circle::blue_circle::waving_hand:
0:00:01,Cton95,9
0:00:02,Cton95,8
0:00:02,Tiki2970 (Ginyu),LETS GOOOOO
0:00:03,Cton95,7
0:00:03,Truant,I’m so excited!
0:00:03,Wykkyd Mō,LETS DO IT
0:00:03,Cton95,6
0:00:04,RainbowHoodie,5
0:00:04,DemonicPretty,:purple_circle::purple_circle:
0:00:05,Lenny the Ghoul,:blue_circle::blue_circle::dashing_away:
0:00:06,bogus,:blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand:
0:00:06,Cton95,4
0:00:06,Cheeseandblood,"dang you guys really want to spank Sleet, don'tcha, can't blame ya"
0:00:07,Cton95,3
0:00:08,Silver Feral Thunderbird,W00T
0:00:08,manicthehedgehogfannumberonealsoaleenathehedgehog2,n
0:00:10,manicthehedgehogfannumberonealsoaleenathehedgehog2,i
0:00:12,manicthehedgehogfannumberonealsoaleenathehedgehog2,etc
0:00:13,AleenaEnjoyer,Hype! :purple_circle::purple_circle::waving_hand:
0:00:13,Scall0p,So excited 
0:00:14,Fergalicious,hell yea
0:00:15,Sgt. Sandwich,i love christmas bros
0:00:15,Haddock,Santa...
0:00:16,Jedgar Newgate,KINOOOOOOOOOOO
0:00:17,RDMVidya,Press 1 is you would clap Aleena cheeks
0:00:17,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:19,DemonicPretty,:purple_circle::purple_circle:
0:00:22,Sven “The Mindtaker” Fletcher,eeeeeyyyyy
0:00:22,Tiki2970 (Ginyu),HECK YEAH UNCLE C BUTTTTT
0:00:22,Shenanimation,I'm jamming
0:00:23,RainbowHoodie,Sick beat
0:00:24,GoodMeals,lets GOOOOOOO
0:00:26,Makoto Ikari,:money_bag::money_bag::money_bag:
0:00:26,Shenanimation,OH YEAH!
0:00:26,Soulbrewer,LES GOOOO :purple_circle::purple_circle::waving_hand:
0:00:29,Sven “The Mindtaker” Fletcher,OH YEAH BOI
0:00:30,Truant,Merry Christmas SU bros
0:00:32,RainbowHoodie,BARTLEBY
0:00:32,Spectra,1
0:00:32,Wendy Ann ChadWick,as Alice cooper once said SCHOOLS OUT FOR SUMMER! >:) 
0:00:35,Cton95,"DAMN, laready carrying the bakery"
0:00:37,JackelZXA,is that bartleby's ass or his nuts
0:00:38,RDMVidya,Aw yea
0:00:38,Phuck Hugh,OH YEAH
0:00:46,Tamers12345,Bartleby is so rich
0:00:46,manicthehedgehogfannumberonealsoaleenathehedgehog2,bet sonics booty smells better tho fr
0:00:58,Yellowsnow,Is this an old video? or just feeling in the Christmas mood Tamers?
0:00:58,Bunnay Boo,Uncle sexy butt
0:01:09,Makoto Ikari,:money_bag::pile_of_poo:
0:01:11,Truant,Bartleby… my love…
0:01:14,AleenaEnjoyer,Haha Bartleby should spank Uncle Chuck's ass
0:01:16,Sven “The Mindtaker” Fletcher,lmao
0:01:16,Belicure,OH YEAH
0:01:21,AleenaEnjoyer,For defying him
0:01:24,JackelZXA,lol
0:01:28,Shenanimation,ahhahaah
0:01:28,Tamers12345,No it's not an old video. I just felt like making a christmas special cause I was bored
0:01:32,Tiki2970 (Ginyu),Damn its May in the video too
0:01:33,RainbowHoodie,Oh he know lmao
0:01:43,Sven “The Mindtaker” Fletcher,ah ha ha
0:01:46,Wendy Ann ChadWick,*takes a deep breath and lets it out* oh yeah from now on NO MORE OF THIS INSANE ASYLUM FOR ME! >:) 
0:01:50,Tamers12345,Bartleby is so sweet...
0:01:53,Shenanimation,"we're already halfway through the year, it's time to start thinking about the holidays"
0:01:57,brostinson,this video be bitchin
0:02:00,Tamers12345,I wish he'd but me up on his muscular shoulders
0:02:00,Cton95,Charles would be a good comedian ngl
0:02:01,RDMVidya,Charles..
0:02:03,Friki Tiki,I want Bartleby d*ck pics for Christmas
0:02:07,Tiki2970 (Ginyu),Modern art
0:02:07,Sven “The Mindtaker” Fletcher,smek
0:02:09,Silver Feral Thunderbird,Poor Chuck :c
0:02:10,X2jzdave," No matter what time of year, tamers always brightens our days with his powerful Christmas spirt"
0:02:10,Freaky Cooper100,Love some good ol Xmas shows 
0:02:11,GoodMeals,barttleby is truly a sweet heart
0:02:15,RainbowHoodie,He took it easy wit that slap
0:02:16,AleenaEnjoyer,Honestly i'm surprised with how patient Bartleby has been with Charles proposing that
0:02:16,JackelZXA,how dare charles do something so selfish
0:02:17,Filip Hosna,DAAMN bartleby looks like that??
0:02:17,Makoto Ikari,much like ours
0:02:18,RDMVidya,D: 
0:02:19,D R,luv that lil slap
0:02:19,Truant,He’s not wrong
0:02:19,Haddock,"Bartleby is harsh, but fair"
0:02:21,Austin T,holy shit the slap though
0:02:22,Wendy Ann ChadWick,*runs away from the insane asylum*
0:02:22,Tamers12345,:(
0:02:23,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::waving_hand:
0:02:30,ZoZo,it takes me 6 or 7 months to save up for a single slice of balongna too
0:02:30,rustic,holy tamers
0:02:34,George Groid,:oncoming_fist:
0:02:34,Sven “The Mindtaker” Fletcher,D:>
0:02:37,Shenanimation,don't care
0:02:38,Makoto Ikari,lol
0:02:39,Bunnay Boo,"true words, bartleby"
0:02:40,Truant,I respect the honesty 
0:02:44,rustic,i have to tell my Boyfruend about This 
0:02:45,Belicure,he deserved it
0:02:45,JackelZXA,BEHEADED
0:02:45,Silver Feral Thunderbird,LMAO
0:02:47,GoodMeals,OH MY GOD
0:02:51,Tiki2970 (Ginyu),Holy shit he got decapitated
0:02:52,Sven “The Mindtaker” Fletcher,LMAO
0:02:52,JackelZXA,he keeps killing
0:02:53,rustic,i love tamers12345
0:02:54,RainbowHoodie,OMG
0:02:56,Wendy Ann ChadWick,*takes off running*
