timestamp,author,message
0:00:00,the awesome man,We did it Sonia-sisters...We DEFEATED the gunky poops
0:00:00,FilmNerd,"Hey, AnimeGames16!"
0:00:01,Cton95,:blue_circle::blue_circle::waving_hand: Lets goooooooooo
0:00:01,Dia,rigged
0:00:03,Tyler Da Melon Dragon,Blue balls
0:00:05,Makoto Ikari,RIP Manic
0:00:05,Truant,alenna gonners its time
0:00:06,Billy Kid,If there is 1 tamers12345 fan I am the one
0:00:06,cloudy,ITS TIME :blue_circle::blue_circle::waving_hand:
0:00:07,Juan Banuelos,got the popcorn ready
0:00:07,VanVeleca,LES GOOOOO
0:00:09,Very Naisu,lost the poll
0:00:09,RainbowHoodie,5
0:00:11,Terminal Illness,IT'S HAPPENING
0:00:11,Gwar Gwar,is aleena about to eat a big poopy out a diaper
0:00:11,Tyler Da Melon Dragon,AMBATUKAM
0:00:11,VIRTUALSHELL,:blue_circle::blue_circle::waving_hand:
0:00:11,Jimmy John Joe Jr.,IT'S TAMERING TIME
0:00:12,Archon,soniiiic underrrground
0:00:13,James Andrew,@Tamers12345 will Knuckles and Manics club house plotline ever come bakc into play? 
0:00:13,Tamers12345,"I'm not surprised Manic lost, it's clearly rigged"
0:00:17,Billy Kid,:red_heart:
0:00:17,Vantaz,I was here
0:00:18,Scall0p,It’s starting 
0:00:20,Friki Tiki,lfg
0:00:23,SeggyCute,Less gooo
0:00:23,The Void,:purple_circle::purple_circle::waving_hand:
0:00:24,CyberCop008,:green_heart::green_heart::green_heart:
0:00:24,Wizards0nly,bradley
0:00:26,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:26,Kakaokomanden,Bradley looking cute
0:00:27,RainbowHoodie,Woah
0:00:29,pino legend,i hope Bartlabee is in it
0:00:29,Double J,manic is lam
0:00:30,cloudy,whoa that guy is really big
0:00:30,Cton95,Bartelbey payed for Sonic to get double the votes
0:00:31,Makoto Ikari,radical dude
0:00:32,Kakaokomanden,:blue_circle::blue_circle::waving_hand:
0:00:33,Sgt. Sandwich,damn he's cool
0:00:33,Truant,the iconic bradley!
0:00:33,ThomasGamer#1 2024 Productions,ALEENABROS JTS TIME
0:00:35,FilmNerd,"Bro, what is with those legs?"
0:00:38,Friki Tiki,buff robbie?!
0:00:39,RDMVidya,CHAD
0:00:40,Dia,Oh shit its cool Bradley
0:00:41,RainbowHoodie,Sick
0:00:43,Movie shadow,Tamers12345 your the best YouTuber
0:00:43,VIRTUALSHELL,:blue_circle::blue_circle::waving_hand:
0:00:47,Tamers12345,This guy looks pretty cool
0:00:48,Scall0p,Why are Bradley’s legs like that 
0:00:51,Truant,classic bradley and manic
0:00:54,Billy Kid,MANIC IS SO HECK'N COAL DOE
0:00:55,Makoto Ikari,Amen
0:00:56,cloudy,He's so cool...
0:00:56,Terminal Illness,What a chad.
0:00:57,RainbowHoodie,Aww the sibs aren’t invited…
0:00:57,Blackcloud288,Hes so cool
0:00:58,Movie shadow,I know
0:00:58,Haddock,Whoa what am I doing in this episode?
0:01:00,BAVI,THERE SHE IS
0:01:00,Juan Banuelos,Bradley is pretty cool
0:01:01,Jimmy John Joe Jr.,OW
0:01:01,Cton95,Bradley got that rizz
0:01:02,El SkywardGonz,BRADLEY IS SO COOL
0:01:02,Montythegold,radley
0:01:02,Wizards0nly,amen
0:01:03,alejokaiser,:green_circle::green_circle::waving_hand:
0:01:04,LarchmontVillageOG,love bradley
0:01:05,the awesome man,chadleyt
0:01:06,Rewo,Bro gonna find out
0:01:06,Ditzy Jo,What a cool guy.
0:01:07,James Andrew,Why would you not invite Sonic just for the off chance Bartelby would come?
0:01:10,ChaosAngel,my queen
0:01:12,AnimeGames16,:purple_circle::purple_circle::waving_hand:
0:01:12,RainbowHoodie,What about Bartleby…
0:01:14,VanVeleca,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:01:15,Double J,and Bartleby
0:01:15,Mr. Guydude,Blasphemy against bartleby 
0:01:17,Billy Kid,MY QUEEN
0:01:20,RainbowHoodie,It’s Ahegao time
0:01:21,Tamers12345,Sonia and Sonic are going anyway. They don't go anywhere alone
0:01:21,CyberCop008,Bradly is dressed like a Fallout
0:01:21,Makoto Ikari,in the trunk
0:01:23,the awesome man,NEW SONIC OUTFIT
0:01:23,Billy Kid,:purple_circle::purple_circle::waving_hand:
0:01:25,Empanada y Gaseosa,finally caught this live
0:01:25,Scall0p,I like Bradley’s confidence 
0:01:25,Jo3a5,LOL
0:01:26,FilmNerd,Why would you go to Goodwill for new clothes?
0:01:27,Kakaokomanden,CUTE OUTFIT
0:01:28,Empanada y Gaseosa,its been a while
0:01:28,Funi Kangaroo,bradley is awesome
0:01:29,Sgt. Sandwich,kek
0:01:30,AnimeGames16,FLORA
0:01:31,RogueKaiser,He's so cool
0:01:34,WizzardSupreme,FLORA
0:01:35,cloudy,FLORA
0:01:36,Ace Commander,who touched you!!!!!!
0:01:36,Movie shadow,lol
0:01:37,Olizal ze Ortolan,Flora
0:01:37,Mr. Guydude,SHE RETURNS
0:01:37,Connor N,caiounlookin ass :blue_circle::blue_circle::waving_hand:
0:01:38,RainbowHoodie,FLORA
0:01:39,Haddock,FLORA :)
0:01:39,VanVeleca,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:01:40,RDMVidya,Drunk
0:01:40,Truant,flora?
0:01:41,Scall0p,Flora
0:01:41,Ditzy Jo,Flora!
0:01:42,Blackcloud288,I just bought some thin mints the other day!
0:01:42,Wizards0nly,howdy doody
0:01:43,Double J,FLORA
0:01:43,Scall0p,Yes
0:01:43,alejokaiser,Flora :loudly_crying_face:
0:01:45,Billy Kid,DISGUSTING BLUE FAIRY
0:01:45,cloudy,bless her she rebuilt her bakery
0:01:45,DeShawn Williams,Flora
0:01:45,Cton95,Why's Sonic wearing those clothes?
0:01:45,RDMVidya,She is here!
0:01:45,Jimmy John Joe Jr.,LOL
0:01:46,El SkywardGonz,BEST GIRL LETS GOOO
0:01:46,VanVeleca,FLORA????
0:01:46,Montythegold,Bradley will never compare to Bartleby
0:01:46,Bunnay Boo,she's back :smiling_face_with_smiling_eyes:
0:01:47,Tamers12345,lol she's poor
0:01:47,Makoto Ikari,Flora's New & Improved Bakery
0:01:48,the awesome man,awww. flora is doing her best
0:01:49,Juan Banuelos,FLORA RUM
0:01:53,Luca,FLORAAAAAA??2?/???
0:01:54,CyberCop008,"Bradley from Vault 69, if you know what I mean "
0:01:54,Anthrazite,Ah yeah they're still homeless
0:01:54,cloudy,flora poor lol
0:01:55,FilmNerd,Is Flora selling Girl Scout cookies?
0:01:56,Connor N,flora
0:01:59,Scall0p,She got them Girl Scout cookies 
0:02:00,Rewo,Vader piggy
0:02:01,Sgt. Sandwich,bet she cant even afford goodwill
0:02:03,Billy Kid,FLora is a blue fairy and deserves to be poor
0:02:03,James Andrew,I had that bank
0:02:04,ChaosAngel,Aleena X Flora
0:02:04,DeShawn Williams,Why is she poor?
0:02:06,RainbowHoodie,Cute!
0:02:07,El SkywardGonz,CUTE
0:02:09,Makoto Ikari,sweeter than honeydew
0:02:09,Belicure,FLORA YES
0:02:11,Haddock,I want to rescue Flora.
0:02:14,VanVeleca,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:02:15,Archon,I had the Qui gon piggy bank
0:02:15,Friki Tiki,flora is my favorite girl failure
0:02:16,Spruudel,YURI??
0:02:23,Makoto Ikari,O _ O
0:02:25,SeggyCute,Ruin her Aleena pls
0:02:25,Blackcloud288,AAAAWWWW<3<3<3
0:02:26,BAVI,oh my god
0:02:27,Scarlet Horse,wtf??????
0:02:27,Rewo,Wtf
0:02:27,Belicure,HYPNO YURI YES
0:02:27,RainbowHoodie,:purple_circle::purple_circle:
0:02:27,Connor N,flora cheeks
0:02:28,BAVI,what she doing
0:02:29,Tamers12345,That's cool Archon I had the vader one
0:02:30,RainbowHoodie,OMG
0:02:30,the awesome man,"uh oh, flora is casting her gay spell"
0:02:31,Puddlesoak,oh wow
0:02:31,ThomasGamer#1 2024 Productions,:money_mouth_face:
0:02:32,Cton95,Ayo???????
0:02:34,FilmNerd,Why did Tamers give Flora cake?
0:02:35,Luca,YURI ????
0:02:35,Scarlet Horse,SONIA LOOK AWAY!!!
0:02:36,Truant,uh
0:02:36,VanVeleca,wtf
0:02:37,Funi Kangaroo,< 3
0:02:37,SeggyCute,No 
0:02:40,Movie shadow,I like this video
0:02:40,Jo3a5,EVIL MAGIC SHIT
0:02:41,ChaosAngel,real
0:02:41,cloudy,wtf
0:02:42,Tamers12345,:thinking_face:
0:02:42,Sgt. Sandwich,she has power...
0:02:43,RainbowHoodie,WHAT 
0:02:44,RDMVidya,Oh god
0:02:45,Spruudel,YEHAHHH YURI
0:02:45,Jimmy John Joe Jr.,WTF
0:02:46,Truant,nah flora snapped
0:02:46,ThomasGamer#1 2024 Productions,WTH :skull:
0:02:46,D R,wtf
0:02:46,AnimeGames16,LOVE TRIANGLE ARC INCOMING???
0:02:47,SeggyCute,Wtf 
0:02:47,cloudy,hypnosis??
0:02:47,James Andrew,wut
0:02:48,Mr. Guydude,Sexual tension
0:02:49,Rewo,THEY TURNED ME GAY LIKE THAT TOO
0:02:49,Henry Holiday,Uh…
0:02:49,Olizal ze Ortolan,what ?
0:02:50,Scall0p,wtf flora doing
0:02:52,Spicy Applesauce,YO
0:02:54,GamerScott,the butts aint big enough
0:02:54,ReconZealot,Things are getting cuhrazee
0:02:54,Tyler Da Melon Dragon,Wot just happened
0:02:54,Bunnay Boo,Flora is so cool now
0:02:55,Ikari,is this how girls communicate?
0:02:55,DrunkServal,gay
0:02:56,Juan Banuelos,oh no the gaydar is going off
0:02:57,WizzardSupreme,say gex
0:03:02,RainbowHoodie,Holy geez
0:03:03,Indigoharpy,lol
0:03:04,Gwar Gwar,woah hes saying hes better than bartelby
0:03:05,Matthew H,BRAINWASHING TIME
0:03:07,James Andrew,Flora is just taking what she wants now 
0:03:10,DeShawn Williams,Lesbian
0:03:12,Tamers12345,Huh that was weird...
0:03:13,Movie shadow,I’m eating goldfish
0:03:13,Luca,YURI SQWEEEPPPPP
0:03:14,Makoto Ikari,scary
0:03:14,Belicure,ALEENA NO
0:03:15,RainbowHoodie,Flora…
0:03:17,Luca,WHAGTTT
0:03:19,cloudy,whoa
0:03:19,El SkywardGonz,I would let Flora brainwash me 
0:03:20,Makoto Ikari,punishment time
0:03:21,Blackcloud288,OH MY GOSH
0:03:21,cloudy,flora's pretty crazy
0:03:22,Spicy Applesauce,Flora can fix me 
0:03:23,AnimeGames16,OH NO
0:03:24,Wizards0nly,oh no
0:03:24,LarchmontVillageOG,SMART
0:03:24,Henry Holiday,Evil flora arc
0:03:26,Scarlet Horse,:purple_circle::purple_circle::clapping_hands:
0:03:27,BAVI,OH MY GOD
0:03:27,Truant,OH
0:03:28,FilmNerd,uh oh
0:03:28,Tyler Da Melon Dragon,very weird indeed
