timestamp,author,message
0:00:00,Shamino Warhen,THREE
0:00:01,Tiki2970 (Ginyu),ITS HERE
0:00:02,LONE PUP,woooo
0:00:03,plaluci,:blue_circle::blue_circle::waving_hand:
0:00:04,Ratspresso,Just finished burning all my modern sonic merch. Good riddance.
0:00:04,Vinícius Gomes,This is gonna be good
0:00:04,Cirvo Zed,2
0:00:04,Shamino Warhen,YOU!
0:00:09,The Ronin,Awww yis
0:00:10,Ratspresso,:blue_circle::blue_circle::waving_hand:
0:00:10,Mark E,Lets GOOOOOOOO
0:00:11,Memerio,hype
0:00:13,That shady Heel Navi,I'M READY
0:00:13,Scarlet Horse,1
0:00:15,̇,ITS TIME
0:00:17,Boonoojootoo,LET'S GOOOOOO
0:00:18,Scarlet Horse,Let's GOOOOOOOOOOOO
0:00:22,Starlit Rain,YES
0:00:22,バオバイバー,bartleby already sexy
0:00:23,Tiki2970 (Ginyu),I LOVE THAT INTRO SO MUCH
0:00:25,brerbo,LTES GO
0:00:25,sooka,Hypee 
0:00:26,brerbo,WO
0:00:25,Somescrub,Yeah boi
0:00:25,Lerima,YEAAAA
0:00:26,Ratspresso,:blue_circle::blue_circle::waving_hand:
0:00:27,Ratspresso,:blue_circle::blue_circle::waving_hand:
0:00:33,Tired,Tamers12345 how is your brother???
0:00:35,brerbo,lmao big blue
0:00:36,Tiki2970 (Ginyu),BIT BLUE BUTTCHEEKS
0:00:38,Nocturno,Oh no theyre in Detroit
0:00:39,̇,:blue_circle::blue_circle::hand_with_fingers_splayed:
0:00:39,Scarlet Horse,"Oh damn, stay safe guys!"
0:00:41,Tiki2970 (Ginyu),BIG*
0:00:43,Maya Tung,bartleby is lookin good
0:00:44,Slaggithor,Not the mexicans
0:00:47,Frank Brocker (M.C. Sausage),UNDERGROUNDERS WE RISE
0:00:48,Somescrub,based
0:00:48,Scarlet Horse,Be careful!
0:00:49,,Yay
0:00:50,Ratspresso,:blue_circle::blue_circle::waving_hand:
0:00:50,Yellowsnow,Bartleby looking sexy as always
0:00:53,Vinícius Gomes,based
0:00:55,バオバイバー,I love Sonic's shirt
0:00:57,Starlit Rain,cool shirt sonic
0:01:00,Tamers12345,Damn bartleby looks like THAT? :face_with_tongue: Sonic is such a lucky boy
0:01:03,Sergio M. A.,finally
0:01:05,Hugh Mungous,Amazing shirt
0:01:06,PhrismDox,sneed
0:01:06,Boonoojootoo,GASP
0:01:08,plaluci,"Wow, Trevor's new voice is super cool!"
0:01:11,Maya Tung,sonic is so lucky....
0:01:12,Ratspresso,:blue_circle::blue_circle::waving_hand:
0:01:12,wiz wizington,sonic is feisty 
0:01:15,arkoirisangel,love sonics shirt
0:01:21,†,:blue_circle::blue_circle:
0:01:22,BG,Trevors voice fits perfectly
0:01:24,Tamers12345,Bartleby bought that shirt for his fucking bitch
0:01:29,ZetsubouJohnny,"I had a really stressful day, thank you so much tamers"
0:01:29,Zero,T shirt change
0:01:31,Tired,@Tamers12345 bartleby's Adonis belt looking good
0:01:33,Hugh Mungous,Bartleby is based
0:01:36,Makoto Ikari,he would.
0:01:37,Scarlet Horse,@Tamers12345 How much did it cost?
0:01:40,hamster,:blue_heart:
0:01:40,Tiki2970 (Ginyu),Wow
0:01:43,,Bartleby is such a good bf 
0:01:44,GoldenKow,bartleby is such a good lover:thanksdoc:
0:01:46,Tiki2970 (Ginyu),Poor trevor
0:01:47,Slime Privilege,keep up the great work tamers you're the only worthwhile person left on youtube LOVE YOU
0:01:49,Slaggithor,Bartleby Making ME THIRSTY :blue_circle::blue_circle::waving_hand:
0:01:53,バオバイバー,lmao
0:01:56,Fuckles The Enchilada,trevor js very fickle
0:01:58,Orson Zedd,I know a Trevor Stan you just made happy
0:01:59,バオバイバー,Bartleby is so accepting
0:02:01,̇,I want sonics sense of fashion
0:02:02,Shamino Warhen,OF COURSE Bartleby owns all the Projects. 
0:02:03,Maya Tung,thanks for being accepting bartleby
0:02:06,Tiki2970 (Ginyu),Lmao
0:02:06,Tamers12345,"Thanks, Slime I appreciate those kind word"
0:02:07,Cirvo Zed,bartleby is so open minded
0:02:11,Hugh Mungous,What a TWEEST
0:02:13,jotaro fatso,hahaha
0:02:13,Makoto Ikari,lmao
0:02:14,Tired,Where is @cybershell13??????
0:02:16,BigMeatyClaws,THIS IS A TRAP
0:02:18,PEPER,lol
0:02:35,PhrismDox,look at this dude
0:02:39,Somescrub,Damn
0:02:39,Harry AKD,this is the most exciting thing ever
0:02:42,バオバイバー,LMAO
0:02:50,Scarlet Horse,Nice :drooling_face:
0:02:51,monolyth421,the room keeps changing
0:02:55,Tiki2970 (Ginyu),Yes they are Manic
0:02:57,Shenanimation,For Trevor's plumbing bills
0:02:58,Sergio M. A.,Trevor should use a dry composti g
0:03:00,Empanada y Gaseosa,OH NICE DOMESTIC VIOLENCE
0:03:00,Cirvo Zed,it ain't a holiday without domestic abuse.
0:03:02,Maya Tung,whoa drumsticks are awesome
