timestamp,author,message
0:00:00,Peebels,AHAHAHA
0:00:01,Ladiesman217,I’ll clap dem cheaks
0:00:02,Nintendo-Related Channel,HERE WE GO
0:00:02,TJ roblox,let go
0:00:03,Bryce The Just Dance Maker,Omg
0:00:05,Nini Panini,Let’s go y’all
0:00:12,SquidBomb,It's happening~
0:00:22,hamster,omg
0:00:23,AndyLosHorns,sid
0:00:24,The Gael,Shout out to my lover pat in Keady.
0:00:29,sam,aw yeah this is happening!
0:00:35,dragsib1,The Boys
0:00:45,WaWa,damn
0:00:48,Hayden Calhoun,PROPHECY
0:00:48,AndyLosHorns,hot
0:00:48,Lipel,THE PROPHECY
0:00:52,Gubble,"Gael, do you call in to a DLive show?"
0:00:57,Nini Panini,I’m gonna cook while watching this
0:01:00,Kindlebuck,the prophecy
0:01:03,Zach,thicc
0:01:04,Lipel,classic
0:01:05,Hayden Calhoun,*smark*
0:01:06,SquidBomb,SLAP
0:01:06,MoonMoonFire,*slap*
0:01:10,Makoto Ikari,u secksi boi
0:01:12,sam,its time boys!
0:01:13,UnsaddledCamel,bert and ernie?
0:01:14,WaWa,hot
0:01:17,Kindlebuck,mmm
0:01:19,Makoto Ikari,very demanding
0:01:19,organfarmer,DAMN
0:01:20,Noo Wun,Shai-huluuud
0:01:20,AndyLosHorns,whoa jiggle physics
0:01:21,wren,sonic would never tell bartleby that they cant have buttsex today
0:01:21,Ladiesman217,Slap dem cheeks oh yeahh
0:01:28,バオバイバー,oh my god
0:01:31,The Gael,@Asparagus The Gunt banned me on twitter.
0:01:33,Lipel,oh no
0:01:33,SquidBomb,Damn Gerald
0:01:33,Jet_SetSonic,WOO!!!
0:01:34,SNOWMAN,JAYSIS CHROIST
0:01:35,バオバイバー,NO
0:01:35,Zach,omg
0:01:35,organfarmer,sexy yellow boy
0:01:36,SquidBomb,F
0:01:36,Cascaesque,This is KINO
0:01:37,Non,NOOOOOOOO
0:01:37,Tamers12345,Damn Gerald is crazy lol
0:01:37,sam,oof
0:01:37,kingsizedmattress,AH
0:01:37,Makoto Ikari,:ooo
0:01:37,Zach,rip
0:01:39,バオバイバー,NOOOOOO
0:01:39,Anomalous Spinal Cord Specimen ΛΔ,WOAH
0:01:41,Zach,F
0:01:41,Hikouma,NO
0:01:42,Nintendo-Related Channel,WTF
0:01:43,Lipel,WTF NO
0:01:44,Stubs,GERALD NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
0:01:44,Regalia,F
0:01:45,Cyborg Koala,YO
0:01:46,Swoonis,NOOOO
0:01:46,Anomalous Spinal Cord Specimen ΛΔ,DUDE
0:01:47,Ladiesman217,Jesus Christ
0:01:48,blackday12341,NOOOooo
0:01:48,SquidBomb,THEY GOT HIM
0:01:48,organfarmer,WHAT
0:01:49,UnsaddledCamel,RIP
0:01:49,WaWa,wow
0:01:49,organfarmer,NO
0:01:50,organfarmer,NO
0:01:51,Sin,NOO
0:01:52,Makoto Ikari,GERALD NO :skull:
0:01:52,DillPickle,OMG
0:01:52,Tamers12345,F
0:01:52,J_God,YAMEROOOO
0:01:55,visian2001,F
0:01:55,visian2001,F
0:01:56,visian2001,F
0:01:56,visian2001,F
0:01:57,organfarmer,NOOOOO
0:01:57,DillPickle,f
0:01:58,organfarmer,:disappointed_face:
0:01:58,Non,F
0:01:58,Ladiesman217,Get dem cheeks
0:01:58,Nini Panini,Omg gareld noooooo
0:01:58,Anomalous Spinal Cord Specimen ΛΔ,F
0:01:59,ColPun,F
0:01:59,hamster,F
0:01:59,Kindlebuck,F
0:01:59,organfarmer,:disappointed_face:
0:02:00,epsteindidntkillhimself69,F
0:02:00,chloricyn,WAAA
0:02:00,DillPickle,F
0:02:00,chloricyn,W
0:02:01,Hikouma,F
0:02:01,DillPickle,F
0:02:01,Ladiesman217,F
0:02:01,Lipel,:disappointed_face:
0:02:01,chloricyn,aA
0:02:01,Tamers12345,:crying_face:
0:02:01,blackday12341,F
0:02:01,brostinson,F
0:02:01,chloricyn,A
0:02:01,DillPickle,F
0:02:02,wren,HE DUG TOO DEEP
0:02:02,Nini Panini,F
0:02:04,kingsizedmattress,F
0:02:03,chloricyn,A
0:02:05,SquidBomb,PUNISHED SID
0:02:05,FrailDog,F
0:02:05,sam,ooooooh nooooooooooooo
0:02:07,JoeDoughBoi,f
0:02:07,AndyLosHorns,the boyys
0:02:07,Non,JUMP
0:02:07,Wenchy Mcbigtits,F
0:02:07,SNOWMAN,F
0:02:08,kingsizedmattress,F
0:02:09,panini,F
0:02:10,sam,rip
0:02:11,Dokkir,F
0:02:13,Bryce The Just Dance Maker,F
0:02:14,Cascaesque,:disappointed_face:
0:02:14,Hayden Calhoun,a bomb?!
0:02:14,ladykey 691,F
0:02:14,Lipel,K I N O
0:02:15,The Gael,F
0:02:15,visian2001,F
0:02:15,dragsib1,"Damn, Wheelchair Green Goblin got him"
0:02:15,organfarmer,F
0:02:16,Tamers12345,Oh god it was the boys
0:02:17,Nini Panini,Epic gamer moment
0:02:17,Non,F
0:02:18,SquidBomb,DAMN
0:02:20,MoonMoonFire,KINO
0:02:22,Makoto Ikari,:bomb:
0:02:23,panini,NOOOOO
0:02:23,Tamers12345,"Rip gerald, damn..."
0:02:24,Hikouma,Absolute kino
0:02:25,Another One Bites The Dust,WHAT
0:02:25,Dav,f
0:02:25,Ladiesman217,F
0:02:26,DillPickle,F
0:02:26,visian2001,NOOOOOO
0:02:31,organfarmer,NOOOO
0:02:36,Sin,omg noo!
0:02:37,Lipel,:crying_face:
0:02:40,organfarmer,FSD
0:02:40,SpoKen Sanity,why was i linked this
0:02:41,Dokkir,RIPPED
0:02:41,Kindlebuck,MMMM DAMN
0:02:43,organfarmer,NOOO
0:02:44,brostinson,dam
0:02:45,Swoonis,HE'S RIPPED
0:02:45,バオバイバー,all part of their plan....
0:02:46,organfarmer,:disappointed_face:
0:02:49,Zach,dem cheeks
0:02:49,バオバイバー,they must be stopped
0:02:50,wren,r i p p e d
0:02:50,Non,damn
0:02:52,sam,time for revenge
0:02:54,SNOWMAN,THE WEDDING RING OH MY GOD
0:02:54,brostinson,thicc
0:02:55,novelty seeking,epic
0:02:57,AndyLosHorns,@Tamers12345 is there an after credits scene?
0:02:57,Nini Panini,Yay tricycle
0:02:57,Lipel,"I can't believe it, the movie just started and I'm already in tears"
0:03:01,UnsaddledCamel,the boys have gone too far
0:03:01,Ladiesman217,Hot af
0:03:03,Makoto Ikari,CHILI
0:03:03,Dav,damn he thick
0:03:05,sam,200 gang here!
0:03:06,Tamers12345,I'm literally crying right now...
0:03:07,Anomalous Spinal Cord Specimen ΛΔ,awww yeah
0:03:07,hamster,:weary_face:
0:03:08,Cascaesque,damn that asss
0:03:09,Nini Panini,Yum
0:03:10,SNOWMAN,an abstract kind of sexy
0:03:12,brostinson,chilidawgs
0:03:17,blackday12341,@Tamers12345 why yore the one who made it
0:03:19,SquidBomb,Sonia eats tofu now?
0:03:22,sam,s e x y
0:03:22,The Gael,@Asparagus The gunt shall consume us all.
0:03:22,Swoonis,MANIC
0:03:24,Makoto Ikari,tofu dog what the hell
0:03:25,Anomalous Spinal Cord Specimen ΛΔ,Sonia is a vegan?
0:03:26,バオバイバー,Sonia is a vegetarian?
0:03:34,Merc,this is art
0:03:35,AndyLosHorns,she should starve
0:03:36,SquidBomb,Guess she took mindy's dad's advice
0:03:36,FishopolisDoc,the voice actors are really selling this dialogue
0:03:36,Zach,i got boiner
0:03:37,Makoto Ikari,gimme gimme gimme
0:03:42,organfarmer,tofu dog sounds kinda gross
0:03:42,DillPickle,Tamers you are a genius storyteller
0:03:44,Nini Panini,Hungry girl
0:03:44,Tamers12345,She eats a tofu dog in the show
0:03:50,Sin,where is mindy?!
0:03:50,Lipel,UNCLE
0:03:50,Zach,no wiper damn
0:03:51,SquidBomb,Based uncle chuck
0:03:52,Nintendo-Related Channel,uncle chuck
0:03:54,Nintendo-Related Channel,knew it
0:03:54,SNOWMAN,UNF
0:03:59,SNOWMAN,YES
0:04:00,Swoonis,UNCLE CHUCK
0:04:02,Dokkir,Ch7ck!
0:04:02,DillPickle,BRAP
0:04:03,Ladiesman217,DAT ASS
0:04:03,Swoonis,YEAH
0:04:04,organfarmer,GOD
0:04:06,Lipel,based
0:04:09,Nini Panini,She loves them tofu dogs with the works
0:04:09,UnsaddledCamel,god i wish i could smell that bathroom
0:04:11,Zach,LMAO
0:04:18,SNOWMAN,based chuck
0:04:26,Swoonis,BAAAAASED
0:04:31,sam,oh no
0:04:31,SquidBomb,Damn Chuck
0:04:31,visian2001,basedddd
0:04:32,Dokkir,lol
0:04:32,Zach,god i wish i was manic
0:04:38,Nini Panini,Disgusting Charles
0:04:40,Non,DAMN
0:04:43,SquidBomb,Nice watch
0:04:44,organfarmer,MANIC
0:04:44,Zach,"nice watch, chuck"
