timestamp,author,message
0:00:00,Haddock,"This screen looks like sonic's buns are being pierced by Bartleby's ahem... well, and the black circle is the censoring."
0:00:00,Lenny the Ghoul,:blue_circle::blue_circle::waving_hand:
0:00:01,Forte,tamers su vids are the only thing keeping me alive
0:00:04,JokerFish,Someone told me Sonic Underground was bad so I made sure they were dealt with
0:00:04,Tamers12345,@Wizards Only Yeah but it's not intended
0:00:05,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:05,danceman dancin to the moon,Battle with the new boys soon???
0:00:06,Highway,LETS GO :blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand:
0:00:06,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:06,Highway,:blue_circle::blue_circle::waving_hand:
0:00:07,Doubles,This is exciting
0:00:07,Daxma,LETS GOOOOOOOOO!
0:00:09,Highway,:blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand:
0:00:10,Seán,YESSS
0:00:10,STS-Jaidn,you can make your own premiere? timer?
0:00:10,dieguito dieguito,WOOOO
0:00:11,Elephant Treacle,LESS GOOOO
0:00:11,Efrain B,:blue_circle::blue_circle:
0:00:12,CrimsonTigerXD,awww ya :blue_circle::blue_circle::waving_hand:
0:00:13,Shép DeathWoods,:slightly_smiling_face:
0:00:13,Craig The Kid,here we go
0:00:13,APE,YEEYEE
0:00:14,Seán,in gonna stfu and pay attention
0:00:17,Blondie: Electric Boogaloo,BENTO
0:00:21,Craig The Kid,real life Hand lol
0:00:21,Highway,trevor the chef
0:00:21,Elephant Treacle,foreign
0:00:22,Yellowsnow,Cute couple
0:00:23,Andy N,its time
0:00:26,Blondie: Electric Boogaloo,lol
0:00:30,CrimsonTigerXD,:heart_suit::heart_suit::heart_suit:
0:00:30,Enter channel name,These two are so wholesome oh my god
0:00:31,Miniature Bigfoot,Trevor is such a weeb
0:00:36,APE,gonna watch this with my friends later but i gotta watch the premier
0:00:40,Highway,"""best friend""?????"
0:00:44,Tamers12345,That bento is the leftovers from the chinese buffet video. Manic gave some of the leftovers to Trevor
0:00:48,Makoto Ikari,and so much more
0:00:51,Enter channel name,FRIEND??????
0:00:51,Bong Lord,everyone!!
0:00:56,Diamond in the Sky,"I love the storyline of their relationship, Tamers you are a master at story telling"
0:00:58,Andy N,awww thats cute
0:01:00,Tamers12345,It doesn't say that in this video though
0:01:05,APE,bro the continuity
0:01:05,Doubles,Awesome continuity
0:01:09,Truant,sonic didnt eat it all?
0:01:11,Yellowsnow,Manic is a good friend
0:01:12,Van Darkholme,Tamers hold me
0:01:14,FilmNerd,"Damn, Trevor got swol"
0:01:15,dieguito dieguito,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
0:01:15,Shép DeathWoods,:kiss:
0:01:15,pwnthemonkeys,wait $2 for the dance? how can the sonic underground family afford to go?
0:01:18,Blondie: Electric Boogaloo,KINDA
0:01:24,CyberCop008,So Trev passed passovers to Cyrus? Stingy!!
0:01:29,Makoto Ikari,lol
0:01:33,Shenanimation,this is what a man who manages looks like
0:01:34,Sex Defender,theses storys are so good
0:01:38,Miniature Bigfoot,His parents are dead :face_with_tears_of_joy:
0:01:39,Craig The Kid,dang that butt tho-
0:01:41,Bunnay Boo,Poor babies :pleading_face::pleading_face::pleading_face:
0:01:45,dieguito dieguito,Trevor paren died:face_with_tears_of_joy:
0:01:45,Blondie: Electric Boogaloo,woo
0:01:47,Seán,Lmao
0:01:47,Yellowsnow,:astonished_face:
0:01:48,Makoto Ikari,Saudi Arabia
0:01:52,Truant,oh my!
0:01:52,Shenanimation,oh my god
0:01:52,LarchmontVillageOG,!!!
0:01:53,Daxma,Oh damn
0:01:54,Forte,:drooling_face:
0:01:54,Makoto Ikari,whaaaa
0:01:56,Memerio,the evil dr robotnik
0:02:00,CrimsonTigerXD,oooo sexy time
0:02:01,Blondie: Electric Boogaloo,Good deal
0:02:01,Highway,robotnik x cyrus' dad???? 
0:02:02,Starlit Rain,omg robotnik
0:02:03,Highway,twists
0:02:04,Scarlet Horse,WHAT????????
0:02:06,Van Darkholme,Lucky
0:02:07,Shép DeathWoods,:kiss_man_man:
0:02:08,Blondie: Electric Boogaloo,NOOO
0:02:08,Makoto Ikari,THIRTY
0:02:09,Jack Chu,OH SNAP
0:02:11,Very Naisu,oh my god lmaoooo
0:02:15,Shenanimation,is robotnik in a diaper
0:02:16,Elephant Treacle,awesome
0:02:17,Doubles,Good deal I suppose
0:02:17,Daxma,ABDL Robotnik
0:02:17,Makoto Ikari,holy fug
0:02:18,Forte,tragic
0:02:20,dieguito dieguito,SO ANGRY
0:02:20,Craig The Kid,omg traumatized-
0:02:21,James Andrew,Think of all the nuggies 
0:02:22,Very Naisu,ROBOTNIK HOW COULD YOU
0:02:23,Kari kora,I finally made it to a premiere
0:02:25,alejokaiser,:flushed_face:
0:02:25,FilmNerd,Why does Cyrus' mom have a male voice?
0:02:25,Elephant Treacle,i think he's angry
0:02:28,Daxma,"Robotnik in a diaper, lol"
0:02:30,APE,you know robotnik stays fully diaped
0:02:31,Tamers12345,"Damn, this is kind of like what happened to Trevors parents"
0:02:31,Shenanimation,oh my god
0:02:32,Bong Lord,lmao
0:02:36,Craig The Kid,oh no
0:02:38,Kari kora,WOAH
0:02:39,JokerFish,Good one
0:02:40,Bong Lord,tragic
0:02:47,dieguito dieguito,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
0:02:48,Makoto Ikari,wow
0:02:51,APE,it's a vicious cycle
0:02:51,Ikari,lmao
0:02:51,dieguito dieguito,SHE DIED
0:02:52,Truant,the parallels
0:02:54,Henry Holiday,It’s like poetry…it rhymes
0:02:55,trifixion,LMFAO HE SHIDDED AND SHOT HER
0:02:55,Blondie: Electric Boogaloo,lol
0:02:56,CyberCop008,Does Eggman even turn fellas i to robos anymore?????
0:02:59,Jack Chu,:pile_of_poo::pile_of_poo::pile_of_poo:
0:02:59,James Andrew,1 shot 1 kill 
0:03:01,Seán,lmao
0:03:02,Bunnay Boo,Wow bro…
0:03:04,Shenanimation,they came over here in their jammies
0:03:04,FilmNerd,I didn't know Robotnik was a neet
0:03:06,Blondie: Electric Boogaloo,dirty crapped briefs
0:03:09,Very Naisu,NOOOOOOOO
0:03:11,RogueKaiser,so topical
0:03:11,Makoto Ikari,:astonished_face:
0:03:12,JokerFish,She bleeds orange
0:03:12,Jo3a5,lmao
0:03:13,Doubles,hahahahaha
0:03:18,Tamers12345,His name isn't eggman it's robotnik
0:03:18,Van Darkholme,Lmao
0:03:18,Tamers12345,haven't you ever watched SU?
0:03:19,Bong Lord,GIRL CAVE
0:03:20,Forte,don't do it
0:03:22,Highway,dude robotnik is just too evil mang
0:03:22,Hanz Killa,sleet with the gun
0:03:23,the awesome man,omg this is dark
0:03:26,Bones Malone,dingo NO
0:03:27,Ikari,it's not eggman
0:03:31,Craig The Kid,I seen it
0:03:31,Daxma,Robotnik is an ABDL confirmed.
0:03:32,Very Naisu,SLEEET DONT DO IT
0:03:32,Shenanimation,fang the sniper has arrived
0:03:32,Craig The Kid,I seen satam too
0:03:34,JokerFish,I heard Dr. Kintobor is like really evil and stuff
0:03:36,Scarlet Horse,NERF OR NOTHING
0:03:40,dieguito dieguito,NERF OR NOTHING
0:03:41,CyberCop008,I hope Dingo kills Cyrus
0:03:43,James Andrew,lol
0:03:44,CrimsonTigerXD,nerf gun hell ya
0:03:50,pwnthemonkeys,@Tamers12345 yeah I've watched steven universe
0:03:50,Lenny the Ghoul,"glad to sleet with his goatee again, hes so badass"
0:03:53,Tamers12345,Shit I forgot the gunshot sound effects
0:03:55,Bong Lord,@pwnthemonkeys get out
0:03:55,Jack Chu,H-HAYAI
0:03:59,Bones Malone,Holt shir
0:04:02,bitc,brrrraaaapppp :DDD
0:04:06,Makoto Ikari,lol
0:04:12,Blondie: Electric Boogaloo,I LOVE TAMERS EXPLODING FARTS
0:04:13,Shenanimation,nice shot
0:04:14,LarchmontVillageOG,oh shi
0:04:15,Craig The Kid,dang
0:04:15,Bong Lord,:grinning_squinting_face:
0:04:19,Elephant Treacle,there's the gunshots
0:04:19,Memerio,BRAPPP
0:04:23,Hanz Killa,this is the most intense episode i've ever seen
0:04:24,dieguito dieguito,:face_with_tears_of_joy::face_with_tears_of_joy:
0:04:25,HoloLynx,BRAAP
0:04:27,Kari kora,He almost had it!
0:04:29,Tamers12345,:disappointed_face:
0:04:29,Very Naisu,Lmaooooooo
0:04:32,Doubles,"Tamers your animation skills keep getting better and better, its crazy"
0:04:32,Tamers12345,I hope Cyrus's dad will be okay
0:04:34,Forte,:crying_face:
0:04:34,Very Naisu,me too tamers
0:04:34,Truant,:sad_but_relieved_face:
0:04:43,Tamers12345,But judging by where he ends up in Sonic underground it doesn't look so good
0:04:43,dieguito dieguito,same
0:04:45,Highway,robotnik has it coming
0:04:47,Van Darkholme,Not good indeed
0:04:53,Makoto Ikari,violence solves everything
0:04:56,FilmNerd,That dancing animation though
0:04:56,Shép DeathWoods,he lookin good without glasses
0:05:00,Bunnay Boo,Sweet moves!
0:05:16,Haddock,They're gonna kill Robotnik!!
0:05:19,Bong Lord,I think cyrus's dad will come home but then die 
0:05:19,James Andrew,"Oh no, they are going to take sonics kill"
0:05:19,Jo3a5,yeas
0:05:20,Bones Malone,that's amazing
0:05:23,Makoto Ikari,nice dancing
0:05:23,grayskyman,awesome dance animation
0:05:23,LarchmontVillageOG,dang they were feeling it
0:05:25,Elephant Treacle,hq animation
0:05:26,Truant,cool moves
0:05:27,CyberCop008,"Woooo, groovy!"
0:05:28,Bong Lord,short lived reunion 
0:05:30,Yellowsnow,Trevor is CUTE
0:05:32,Truant,what were they listening too?
0:05:34,Craig The Kid,nice animation there
0:05:34,Tamers12345,They weren't listening to music they were just so excited that they were dancing early
0:05:34,Truant,oh ok
0:05:34,Blondie: Electric Boogaloo,lol
0:05:36,Tamers12345,Damn Cyrus is a badass
0:05:46,Hanz Killa,i love trevor's voice
0:05:46,Highway,oh of course
0:06:03,dieguito dieguito,so deep....
0:06:09,Hanz Killa,AWWW
0:06:16,Bong Lord,Uwa>
0:06:19,Truant,need me someone like that fr fr
0:06:20,Shenanimation,no...
0:06:23,LarchmontVillageOG,:loudly_crying_face:
0:06:23,Kari kora,woah
0:06:36,Henry Holiday,He DOES care
0:06:37,dieguito dieguito,:nerd_face::nerd_face:
0:06:38,Forte,:crying_face:
0:06:38,Daxma,Sugoi
0:06:40,Very Naisu,awwwww
0:06:41,FilmNerd,I knew Robotnik was a Nazi
0:06:41,Jo3a5,bros...
0:06:44,Scarlet Horse,:crying_face:
0:06:44,Shép DeathWoods,kawaii
0:06:45,Makoto Ikari,:crying_cat:
0:06:45,Doubles,"oh no, this is tragic"
0:06:46,Elephant Treacle,:blue_circle::blue_circle::waving_hand:
0:06:47,Kari kora,I'm gunna cry
0:06:48,Bong Lord,CHAOTIC
0:06:48,Miniature Bigfoot,cute!
0:06:49,CyberCop008,"ooooh, so much love"
0:06:49,Starlit Rain,i love how dramatic this is....
0:06:51,Forte,nazi falg
0:06:52,Very Naisu,CHAOTIC
0:06:52,Bong Lord,:astonished_face:
0:06:53,GoldenKow,Trevor must've worked hard on that bento
0:06:53,Madame Rad,:crying_face:
0:06:54,Forte,flag
0:06:55,Ikari,woah
0:06:55,Yellowsnow,Who of Cyrus and Trevor is the top?
0:06:56,Locky,"Tamers your work is so inspiring, I wish one day I can make such beautiful animations like you!"
0:06:56,trifixion,Chaotic!!!!!
0:06:57,tricked flick,Bakugan Brawl!
0:06:59,Seán,@cybershell I know you're watching
0:07:00,dieguito dieguito,BASED
0:07:02,grayskyman,nazi flag in the BG
0:07:02,Jo3a5,hell yeah cahotic
0:07:04,dragoninstall,14
0:07:05,Shenanimation,these guys can't even afford duel masters cards
0:07:06,APE,i love sandies
0:07:07,APE,they're dry as hell but delicious
0:07:09,pwnthemonkeys,oh I didn't know robotnik was a Buddhist!
0:07:10,Bones Malone,dingo NO
