timestamp,author,message
0:00:00,Mudkip z,I hope Uncle Chuck hugs Robuttnik
0:00:00,cloudy,:blue_heart: :yellow_heart::blue_heart: :yellow_heart::blue_heart: :yellow_heart::blue_heart: :yellow_heart:
0:00:02,Josh,:blue_circle::blue_circle::waving_hand:
0:00:03,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:04,Starlit Rain,OHHH SHIIITT
0:00:05,Silver Feral Thunderbird,:blue_circle::blue_circle::waving_hand:
0:00:07,Cton95,Sonic Undergound is now real
0:00:07,Makoto Ikari,:jack_o_lantern::jack_o_lantern::jack_o_lantern:
0:00:07,fleshbang,:blue_circle::blue_circle::waving_hand:
0:00:08,RainbowHoodie,YEAAAAHHH
0:00:08,whamoblamo,Oh boy I’m finally here
0:00:08,Mace-Yoshiman,just in time!
0:00:09,Mark E,lets gooooooooooooo
0:00:09,Sven “The Mindtaker” Fletcher,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:09,cloudy,LETS GOOOO :blue_heart: :yellow_heart::blue_heart: :yellow_heart::blue_heart: :yellow_heart:
0:00:10,dreamwonderin,:blue_circle::blue_circle::waving_hand:
0:00:11,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:11,hudzap,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:13,Terminal Illness,g
0:00:14,Lenny the Ghoul,:blue_circle::blue_circle::waving_hand:
0:00:14,Starlit Rain,YESSSSS SU!!!!!
0:00:15,RDMVidya,LET'S GOOOOO
0:00:16,carmine dawg,YYOOOOOOO
0:00:17,SomePinkCow,yay
0:00:18,Diaro,spooky
0:00:19,carmine dawg,LETS GO
0:00:20,Joey Hamboles,YAAAAAAAAAAAAAH
0:00:20,AnimeGames16,KINO ALREADY 
0:00:21,Donny Lurch,It's juice and jam time
0:00:22,Joey Hamboles,BOOOOO
0:00:23,Friki Tiki,cool op
0:00:24,Jenny is Dead,AWWW YESSSS :blue_circle::blue_circle::waving_hand:
0:00:24,Joey Hamboles,BOOOOO
0:00:24,Adequate,blue
0:00:25,carmine dawg,EPIC
0:00:26,Diaro,holy kino
0:00:26,Joey Hamboles,BOOOOOOOOOOOOOOOOOOOOOO
0:00:26,Silver Feral Thunderbird,W000T!
0:00:27,Tamers12345,I hope this episode isn't to scary.... :sad_but_relieved_face:
0:00:30,Joey Hamboles,IM A GHOST BOOOOOOOOOOOO
0:00:31,Ikari,EPIC
0:00:31,Josh,EPC
0:00:32,Sgt. Sandwich,kino
0:00:33,Bones Malone,:blue_circle::blue_circle::flexed_biceps::waving_hand:
0:00:33,Mudkip z,Was that Rick Sanchez!?
0:00:33,Wendy Ann ChadWick,my 29 year old adult werewolf pack leader name is W.majestic A.white C.howler :slightly_smiling_face: 
0:00:34,Cton95,Oh btw Tamers congratultion on 20K subscribers
0:00:35,Spectra,Tamers do you think there will be a Discord server for your Channel
0:00:36,Kroe Waynes,yugioh costume! :D
0:00:36,R.S.,cinematic
0:00:37,RainbowHoodie,WOOW
0:00:38,Scall0p,Let’s gooo
0:00:39,DopeBone,yeeeeeeaaaaaa!
0:00:39,Diaro,this music is awesome
0:00:39,Joey Hamboles,BOOOOO IM A GHOST
0:00:40,Joey Hamboles,BOOOOOOOOOOO
0:00:42,Snack Shaman,YOOO
0:00:42,Cton95,*congratulations
0:00:42,Starlit Rain,mindy is so sxy
0:00:43,Tamers12345,Woah that was a cool intro!
0:00:43,VanVeleca,:jack_o_lantern::jack_o_lantern::jack_o_lantern:
0:00:44,Scall0p,:blue_circle::blue_circle::waving_hand:
0:00:45,Josh,AWOOOGA
0:00:46,Cheeseandblood,SHOUT OUTS TO HERSHEY'S COOKIES 'N' CREME
0:00:48,whamoblamo,WE’RE LIVE BOIS
0:00:51,Scall0p,Made it just in time
0:00:52,AleenaEnjoyer,"Don't worry, if it is scary, Bartleby will be there for us all Tamers"
0:00:52,junotonium,this is so awesome that i pissed my pants
0:00:52,jak harkness,dont worry tamers if it gets too scary ill look away :)
0:00:52,Makoto Ikari,she's going as herself again
0:00:55,A Goat Head Baby,yahshhrhaha
0:00:56,Kakaokomanden,HELL YEAH MINDY
0:00:58,A Goat Head Baby,vzyrvr
0:00:58,RainbowHoodie,Burn!
0:01:01,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:01:02,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:01:03,VanVeleca,Haha good one Sonic
0:01:03,Tamers12345,:orange_heart:
0:01:04,Diaro,hehehe
0:01:06,AnimeGames16,Sonic speaks the truth.
0:01:06,Kakaokomanden,Dang...
0:01:07,Friki Tiki,burn!
0:01:07,Wendy Ann ChadWick,i rather stick with werewolves and WereHogs :slightly_smiling_face: 
0:01:09,Mudkip z,That was the trailer line
0:01:09,RDMVidya,BURN
0:01:10,Makoto Ikari,a walking sack of boobies
0:01:11,Sven “The Mindtaker” Fletcher,shredded
0:01:13,carmine dawg,classic
0:01:16,Starlit Rain,god i love knuckles sm
0:01:17,Sgt. Sandwich,owned
0:01:17,Silver Feral Thunderbird,BUUURN
0:01:18,Kakaokomanden,:orange_heart:
0:01:18,Cton95,Knuckles OWNING that fraud
0:01:21,Josh,Knuckles spitting facts
0:01:22,Scall0p,Very funny sonic as always
0:01:22,Diaro,DAMN
0:01:23,Adequate,:blue_circle::blue_circle::waving_hand:
0:01:27,Scall0p,Based knuckles 
0:01:30,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:01:33,Tamers12345,:face_with_rolling_eyes:
0:01:33,washaa,zing
0:01:34,Makoto Ikari,Fire Chief
0:01:35,Diaro,thats your problem
0:01:36,Lenny the Ghoul,poor mindy
0:01:36,Wendy Ann ChadWick,well at least i have adult werewolf autism :slightly_smiling_face: 
0:01:37,Ponk,les gooo
0:01:37,5 Percent,LOL
0:01:38,Silver Feral Thunderbird,"Damn, off to a great start"
0:01:41,Shenanimation,imagine being lower on the totem pole than sonia
0:01:42,Mudkip z,Based Mark
0:01:43,Sven “The Mindtaker” Fletcher,"damn, sonia bringing the heat"
0:01:44,fleshbang,sonic is thicc as always
0:01:45,Josh,woah
0:01:48,KE,Thot patrolled lol
0:01:49,RainbowHoodie,Get out of there!!!!
0:01:50,RDMVidya,BAKED BEANS
0:01:50,Wendy Ann ChadWick,i don't eat beans
0:01:52,Scall0p,The rare based Sonia 
0:01:53,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:01:54,Silver Feral Thunderbird,Lmao
0:01:54,polywuf,kino time
0:01:57,Tamers12345,This guy is pretty sexy haha
0:01:59,jak harkness,0
0:02:00,Starlit Rain,lmao is that guy gay? 
0:02:02,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:02:02,carmine dawg,wish I lived in Sonic's neighborhood
0:02:05,Jenny is Dead,nobody likes no damn tootsie rolls
0:02:05,memejohn86,lol
0:02:07,RainbowHoodie,Cute!!!
0:02:08,jak harkness,3some?
0:02:08,Cton95,Honestly the fireman was so real for that
0:02:11,Vagab0ndify,"Damn, he was sexy"
0:02:11,Kroe Waynes,there's candy sonic DOESNT like???
0:02:14,Mudkip z,that dude's a freak!
0:02:14,Silver Feral Thunderbird,I'll take those tootsie rolls
0:02:14,whamoblamo,@tamers12345 what are your thoughts on AI art and the future?
0:02:15,Joey Hamboles,AHAHA
0:02:15,†,respectful man
0:02:16,SomePinkCow,sonics neighborhood sounds fun
0:02:17,Bones Malone,manics hair looks weird
0:02:17,JackelZXA,"flora's in, mindy's out?"
0:02:18,AnimeGames16,Sonia’s costume is adorable.
0:02:18,Diaro,manig looking goofy
0:02:19,Kakaokomanden,Sonia is looking cute
0:02:21,hudzap,cant blame him for trying
0:02:23,Makoto Ikari,Good Girl Card
0:02:23,Tamers12345,Tootsie rolls....? UGH! :face_with_rolling_eyes:
0:02:26,Sgt. Sandwich,cute
0:02:26,AnikiPlay,sonia costume is cute
0:02:26,Mark E,knuckles is too mad
0:02:28,Silver Feral Thunderbird,Sonia so kawaii
0:02:29,Makoto Ikari,Sexual Master
0:02:29,Wendy Ann ChadWick,my favorite Sega monster is sonic the WereHog :slightly_smiling_face: 
0:02:29,Scall0p,At least he’s respectful 
0:02:30,Friki Tiki,good girl card?
0:02:31,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:02:32,Coshi,That was a good one from Manic
0:02:33,Sven “The Mindtaker” Fletcher,BARTLEBY
0:02:34,Cton95,BARETLEBEY LETS GO
0:02:34,Diaro,IT'S BARTLEBY
0:02:35,Kroe Waynes,BARTLEBYYYYYY
0:02:36,Coshi,THERE HE IS
0:02:37,cloudy,bartleby
0:02:37,Diaro,BARTLEBY IS HERE
0:02:37,Shenanimation,hahah
0:02:37,fleshbang,BARTLEBYYYYYY
0:02:38,Andy N,EW Tootsie Rolls
0:02:38,Josh,tootsie rolls look like poop and thats not cool
0:02:39,AnimeGames16,THERE HE IS
0:02:39,Starlit Rain,Bartleby doesnt celebrate poor mans holidays...
0:02:39,cloudy,BARTLEBY :blue_heart: :yellow_heart::blue_heart: :yellow_heart::blue_heart: :yellow_heart::blue_heart: :yellow_heart:
0:02:40,RDMVidya,Sexual Master
0:02:41,Cton95,*bartelbey
0:02:41,Joey Hamboles,I HATE TOOTSIE ROLLS
0:02:41,Scall0p,Yes Bartleby 
0:02:43,Jenny is Dead,BARTLEBY
0:02:43,Silver Feral Thunderbird,BARTLEBY
0:02:46,Tamers12345,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes: AAAA HE'S HERE!!!
0:02:46,RainbowHoodie,Stupid poor people!
0:02:46,SomePinkCow,BARTLEBY
0:02:47,Ikari,THEN I WISH I WAS IN DIXIE
0:02:48,carmine dawg,sexual master
0:02:49,Scall0p,Best part is here
0:02:50,Haddock,Cute looking cactus
0:02:50,Coshi,I LOVE HIS WIFE BEATER
0:02:50,Wendy Ann ChadWick,don't blame me
0:02:51,AleenaEnjoyer,Bartleby!!
0:02:52,Andy N,BART LE BY
0:02:53,The Knuckmin,I like tootsie rolls
0:02:54,Tamers12345,it's just like bartleby the prisoner~!
0:02:55,Mark Zuckerberg,"Harsh but fair, as always"
0:02:58,RainbowHoodie,Jared! Go away Sarah!!!!!
0:03:03,AnimeGames16,Not her…
0:03:03,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:03:05,Silver Feral Thunderbird,"Wait, are Jared and Sarah back together???"
0:03:06,Mark E,that butt tho
0:03:07,Friki Tiki,Sarah is a trap queen
0:03:07,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:03:08,A Goat Head Baby,WHAT
0:03:08,Haddock,WHY IS SHE BACK! AAAAAAAAAAAAAAH!
0:03:08,DopeBone,WHAT they 're together again!?
0:03:08,†,TINKERBELL AND PETER PAN
0:03:09,Sven “The Mindtaker” Fletcher,OH LORD SARAH'S BACK
0:03:09,Diaro,lol she calls herself black now
0:03:10,Joey Hamboles,:blue_circle::blue_circle::waving_hand:
0:03:10,RainbowHoodie,New voice!
0:03:11,Andy N,i thought these two broke up
0:03:11,Scall0p,Why is she back
0:03:13,JackelZXA,his poor dead paw
0:03:16,Lenny the Ghoul,JARED RUN
0:03:17,Cton95,Jared the man
