timestamp,author,message
0:00:00,SquidBomb,IT'S HAPPENING
0:00:00,sycne,I donated 0.99$
0:00:07,バオバイバー,AAAAAAAAHHHHH
0:00:08,Ronald Bovell (MamaWeegieSwag),Yep and im shocked that he’s not in your videos
0:00:15,Tamers12345,thanks for the donation monstar. that 0.99 cents will really help me bring back su
0:00:19,dragsib1,It's go time
0:00:24,Arin,AA
0:00:25,SquidBomb,juicy
0:00:25,バオバイバー,damn sonics butt looks bigger than mindy's
0:00:31,Phantazap,oh my
0:00:40,THEPIRATEKINGGLOW,manic looks like a differnt shade of green
0:00:54,Tamers12345,@Ascender Pastel for bartleby
0:00:57,THEPIRATEKINGGLOW,must be a bad rip
0:01:01,Tamers12345,Damn uncle chuck you crazy 
0:01:01,sycne,I love this
0:01:03,Makoto Ikari,SU:yellow_heart::blue_heart:SU
0:01:08,SNOWMAN,uncle chuck is a real american
0:01:16,Phantazap,firawas being lit in the lawn
0:01:23,バオバイバー,i haven't had a caprisun in ages
0:01:43,Icie ,this movie is
0:01:45,AndyLosHorns,too bad he didnt get caprice on his butt-cheeks
0:01:47,SNOWMAN,based
0:02:04,Tamers12345,Yeah sonic and manic are true bros
0:02:09,Shygal SMB,Dat ass
0:02:10,Icie ,fortnite gaming
0:02:14,SNOWMAN,ITS JOJO
0:02:15,CEVU5 Kol0,bob
0:02:15,Makoto Ikari,DOODLEBOPS
0:02:24,Tamers12345,"I will add Cyrus if I can find a place for him, unfortunatly there isn't much of a spot for him"
0:02:26,RDMVidya,Bob pls
0:02:34,バオバイバー,oh man it's happening
0:02:51,RDMVidya,Doodle bops
0:02:52,sycne,Uh oh
0:03:01,バオバイバー,IT'S HIM
0:03:03,Naru,bus driver bob does not have a better ass than sonic
0:03:06,InvestigatorMelodytchi,aroused
0:03:10,Makoto Ikari,ROONEY DOODLE
0:03:15,Tamers12345,The Doodlebops...
0:03:20,Makoto Ikari,BAND WAR
0:03:24,Makoto Ikari,MOE
0:03:27,Makoto Ikari,DEEDEE
0:03:30,Shygal SMB,$13
0:03:31,Tamers12345,Thanks for the donation investigator
0:03:37,sycne,:flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face:
0:03:38,バオバイバー,sonia is so much better than deedee
0:03:41,Tamers12345,I appreciate that shit
0:03:54,Ronald Bovell (MamaWeegieSwag),Do you know what Tails and Cyrus have in common?
0:04:01,Makoto Ikari,"""it's the 12-year-olds that really get me going"""
0:04:13,Ronald Bovell (MamaWeegieSwag),They are both tech geeks!
0:04:16,Tamers12345,No one caresabout tails ronald
0:04:25,Makoto Ikari,DiC!
0:04:27,Shygal SMB,THICC entertainment
0:04:46,Makoto Ikari,this is amazing
0:04:57,Ronald Bovell (MamaWeegieSwag),DiC became DHX Media
0:05:00,dragsib1,Rich backstories coming in thick and fast
0:05:07,RDMVidya,No pants at a meeting
0:05:11,RDMVidya,True alpha
0:05:21,Tamers12345,They don't need pants. They're the doodlebops
0:05:23,SquidBomb,Sonic Underground > Doodlebops
0:05:28,The Gael,Take my shekels you glorious mad man!
0:05:52,THEPIRATEKINGGLOW,more like doodlebags
0:06:01,RDMVidya,Oh no
0:06:04,バオバイバー,oh my god......................................................
0:06:04,InvestigatorMelodytchi,Oh no.
0:06:07,Makoto Ikari,:astonished_face:
0:06:14,SquidBomb,Save him Sonic!
0:06:18,Tamers12345,Thanks for the donate Gael!
0:06:22,Tamers12345,Damn...
0:06:27,Ronald Bovell (MamaWeegieSwag),Sonic! RESCUE THAT POOR CHILD!
0:06:33,InvestigatorMelodytchi,I bet they gave him a free show alright
0:06:39,Arin,o h god
0:06:40,Makoto Ikari,DOODLEGATE
0:06:44,SquidBomb,Oh God! How could the Doodlebops do this?
0:06:47,AndyLosHorns,no...
0:07:05,Shygal SMB,That’s some A+ sound design
0:07:06,バオバイバー,has he been chasing them for two months?
0:07:15,RDMVidya,RIP
0:07:16,bumbo,shethic
0:07:18,Makoto Ikari,RIP
0:07:24,THEPIRATEKINGGLOW,"that's tragic, the stole his clothes and son"
0:07:24,SNOWMAN,OH YEEEEAAAHHH
0:07:24,Tamers12345,Here we go bitches
0:07:26,InvestigatorMelodytchi,He's a dedicated father.
0:07:31,Makoto Ikari,BARTLEBY
0:07:35,THEPIRATEKINGGLOW,OMG bartleby
0:07:36,SquidBomb,BARTLEBYYYYYY
0:07:40,バオバイバー,THE TIME MAGAZINE!!!
0:07:43,Siobhan de la Mata,damn the animation on bartleby's face when he turned was great
