timestamp,author,message
0:00:00,American Goblin,LETS GO BOYS
0:00:01,John Smith (jklmans),:blue_circle::blue_circle::clapping_hands:
0:00:02,Shenanimation,its okay the video will make up for it
0:00:02,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:04,Devon,thats hot
0:00:04,John Smith (jklmans),HERE IT IS
0:00:05,Devon,thats hot
0:00:06,American Goblin,KINO TIME BABY
0:00:07,Salactrien,U N C L E C H U C K 
0:00:07,Highway,:blue_circle::blue_circle::waving_hand:
0:00:07,nob yesol,i was here first 
0:00:09,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::waving_hand:
0:00:13,Layman,LETS GOOOO
0:00:13,John Smith (jklmans),ATTENTION CLASS
0:00:13,Semioval,LETS GO
0:00:15,Tiki2970 (Ginyu),WOA
0:00:17,Gorkadon,gentlemen I hope you're all looking forward to this next marvelous instalment in the SU kinography as I am
0:00:20,Tiki2970 (Ginyu),Handsome guy
0:00:20,Jenny is Dead,"My husband is going to come home to this, it's perfect"
0:00:25,Scarlet Horse,"Zamn, that teacher's THICC"
0:00:27,Sex Defender,yesssss
0:00:27,bionlg,:blue_circle::blue_circle::waving_hand: #StandWithUkraine get it
0:00:27,Goldcreeper,LET'S GOOOOO !
0:00:29,ZeldaFanMan,SENDING LOVE TO TAMERS12345 :virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug::virtualhug:
0:00:30,Brvideo322,:blue_circle::blue_circle::waving_hand:
0:00:30,SnorlaxBud,just in time
0:00:33,JackelZXA,yay
0:00:33,Devon,MANIC
0:00:37,Salactrien,:blue_circle::blue_circle::waving_hand:
0:00:37,Highway,:blue_circle::blue_circle::waving_hand:
0:00:39,xistbab,horknee
0:00:39,Tamers12345,Damn did the teacher dye his hair to look like Bartleby? LMAOOO
0:00:41,Shenanimation,Math/Science/Poetry
0:00:42,Clone Danied Zag,have you ever tried knuckles' chaotix Tams
0:00:45,Tiki2970 (Ginyu),"Big booba, like Mindy!!!"
0:00:46,Sucker of toes,Legolas is their teacher?
0:00:50,Salactrien,DAMNNNNN
0:00:57,Tiki2970 (Ginyu),Yea he copied Bartleby's hair
0:00:57,Frank Brocker (M.C. Sausage),tamers what do you think about making a visual novel
0:01:01,Jo3a5,damn
0:01:01,Salactrien,:dashing_away::dashing_away::dashing_away::dashing_away::dashing_away:
0:01:04,Kaleb Casas,dumpy?!
0:01:05,Shenanimation,He is sending a message.
0:01:06,Bones Malone,lol sonic
0:01:07,Bunnay Boo,me rn
0:01:09,Jenny is Dead,I should dye my hair to look like Bartleby!
0:01:09,CalamariBoop,That fart was so hot
0:01:09,Tiki2970 (Ginyu),YUMMY
0:01:11,Goldcreeper,lmao
0:01:12,Tiki2970 (Ginyu),FLORA MY WIFE
0:01:15,Pinkerton,uh oh stinky
0:01:15,Silver Feral Thunderbird,DAYUMN
0:01:16,Highway,god damn
0:01:17,Clone Danied Zag,who the hell is that character I never heard of him I like Sonic Underground anyways I never heard of that episode yes I was Sonic Underground
0:01:19,Sucker of toes,HAWT
0:01:20,ZeldaFanMan,DAMN
0:01:21,mememilkyway,based jared
0:01:23,Frank Brocker (M.C. Sausage),flora
0:01:23,JackelZXA,hahaha
0:01:26,Tamers12345,tbf he's not the first guy to dye his hair like Bartleby's
0:01:26,Makoto Ikari,damn
0:01:34,Salactrien,based and brownpilled
0:01:36,Jenny is Dead,based
0:01:38,AlexLikesToDraw 45,Hiii
0:01:42,mememilkyway,highschool kino
0:01:44,Devon,yeah remember that guy from panda express
0:01:45,Ninjya44,is this chris-chan's successor?
0:01:48,Clone Danied Zag,I don't know what the f*** is that character tell me who he is
0:01:52,Tiki2970 (Ginyu),God Knuckles is so cute
0:02:04,RainbowHoodie,Barely made it to the premiere 
0:02:04,Devon,@Clone Danied Zag thats the teacher
