timestamp,author,message
0:00:00,バオバイバー,oh dangggggg oh goshhhhhh
0:00:07,Ryan S. (Rran),it's coming and so am i
0:00:25,Makoto Ikari,BEAUTIFUL intro
0:00:30,xX_Kawaii_Neko_Xx,hewo tamers
0:00:30,Tamers12345,Thanks bitch
0:00:39,Tamers12345,Sup
0:00:39,xX_Kawaii_Neko_Xx,i wuv u
0:00:44,Ronald Bovell (MamaWeegieSwag),Sonic underground Sega genesis remix is so fitting!
0:01:12,Makoto Ikari,nice domestic action
0:01:21,xX_Kawaii_Neko_Xx,Chuck looking thicc
0:01:25,バオバイバー,hot dang
0:01:27,yuna,dammmmn uncle chuck!
0:01:38,Tamers12345,Uncle chuck has a big ass wow
0:01:39,THEPIRATEKINGGLOW,remind me of fighting with my brothers except they just kicked my ass
0:02:08,xX_Kawaii_Neko_Xx,F
0:02:09,THEPIRATEKINGGLOW,godamn look at those frames of animation
0:02:12,Makoto Ikari,nice butt outline
0:02:17,yuna,mmm
0:02:19,Espeon,ike
0:03:04,Makoto Ikari,sounds gud
0:03:13,Espeon,this is so sad
0:03:16,xX_Kawaii_Neko_Xx,this is so sad gamers
0:03:27,Tamers12345,It had to be done
0:03:40,Espeon,"wow the frame didn't even break, that must be some pretty durable glass"
0:03:56,Makoto Ikari,loving all the action in this one
0:04:25,yuna,unfair!
0:04:30,xX_Kawaii_Neko_Xx,butt crac
0:04:36,yuna,nice girl!!
0:04:37,バオバイバー,i want a spoon
0:04:44,Pinkerton,"sonic, you fat boy"
0:04:49,yuna,he thiiiick mmm and juicy
0:04:50,Espeon,dummy thicc
0:05:05,Makoto Ikari,a real man
0:05:51,Tamers12345,"Damn, they snuck out lol"
0:06:00,Makoto Ikari,ninja
0:06:02,yuna,O_O
0:06:03,バオバイバー,uncle chuck is pretty grumpy today
0:06:06,Tamers12345,lol wtf that ain't manic
0:06:11,Hey Hackurs,HOW
0:06:24,THEPIRATEKINGGLOW,aww
0:06:27,Espeon,it's him!!
0:06:29,バオバイバー,wow cute!
0:06:41,yuna,totes adorbz!
0:07:12,xX_Kawaii_Neko_Xx,that's so hot
0:07:14,THEPIRATEKINGGLOW,this is what i came for
0:07:24,yuna,oooh yeaaas
0:07:24,Tamers12345,It's cute how protective bartleby is for sonic :red_heart:
0:07:30,Espeon,this is what we all came for
0:07:30,Makoto Ikari,I hope Bartleby punches some people
0:07:32,Hey Hackurs,Merry christmas
0:07:41,Makoto Ikari,"""your sexy uncle"""
0:08:00,Drzuul,Now this is epic
0:08:03,xX_Kawaii_Neko_Xx,Wow that's rlly good animation
0:08:03,THEPIRATEKINGGLOW,manic been eatin BEANS
0:08:12,yuna,holy crap!
0:08:16,Espeon,HRRNGGHH COLONEL
0:08:24,Espeon,DUMMY THICC
0:08:39,THEPIRATEKINGGLOW,knuckles is so cool
0:09:01,バオバイバー,wow they're finally interacting
0:09:06,xX_Kawaii_Neko_Xx,Jared letp= mindy
