timestamp,author,message
0:00:00,Wizards0nly,oh my god
0:00:00,Makoto Ikari,oh well
0:00:01,Cornelius Bogfrollup Fitzgerald,10
0:00:01,Hedgehog,i love how everyones butt is so prominent
0:00:01,riewo,GIVE UP YOUR CHILDERN SEPERATE
0:00:02,Tiki2970 (Ginyu),OH YEAH UNCLE CHUCK
0:00:02,Shenanimation,the haters will pay for this
0:00:02,The Void,SHHHHHH IT'S STARTING
0:00:03,Makoto Ikari,hype
0:00:04,Marty “MartyD” D.,lets goo
0:00:05,Fuckles The Enchilada,i made it hehe
0:00:05,Cornelius Bogfrollup Fitzgerald,5
0:00:06,Magilouser,thats what my momma told me
0:00:08,Daxma,:blue_circle::blue_circle::waving_hand: EUGH!
0:00:08,Woogle,this is gonna be good
0:00:08,TightPinkPanties,LETS GOOOOOOOOO
0:00:08,Cornelius Bogfrollup Fitzgerald,3
0:00:09,Dork Bötter,aww yeah!
0:00:10,Netbody,Let's goooo
0:00:12,Piros,LET'S GO
0:00:13,LiveseyKnight,"GIVE UP YOUR CHILDREN, SEPERATE, BIDE YOUR TIME, LIE IN WAIT"
0:00:13,Dadflaps,:blue_circle::blue_circle::waving_hand:
0:00:14,Makoto Ikari,:blue_circle::blue_circle::waving_hand:
0:00:15,Daxma,:blue_circle::blue_circle::waving_hand: EUGH!
0:00:15,"Not So Smart, Smarty",:blue_circle::blue_circle: :waving_hand:
0:00:15,LiveseyKnight,SONIC UNDERGROUND
0:00:15,Tree boi,1
0:00:16,ashley elkins,:blue_circle::blue_circle::waving_hand:
0:00:16,Luci,ITS GO TIME
0:00:18,mememilkyway,LET'S GOOOOOOOOO
0:00:17,Jenny is Dead,AWWWW YISS
0:00:17,Tamers12345,Time to start the party :slightly_smiling_face:
0:00:18,Youkalottaseeya,Sonic and Bartleby colors complementing each other nice
0:00:20,Simon Hansen,sanik undergrooooound
0:00:22,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:23,riewo,LETS GOOOOOOOOO
0:00:24,Dusk 🍅,God tier intro
0:00:25,Marty “MartyD” D.,:elbowcough:
0:00:25,TitanFrold888,THEY MADE A VOE THEIR MOTHER WILL BE FOUND
0:00:25,Justin Kuan,YEEEESSSSS
0:00:26,dantas0z,literally shaking and crying right now
0:00:26,mememilkyway,:blue_circle::blue_circle::waving_hand:
0:00:27,Tree boi,Oh boyyyy
0:00:30,Ruben Guzman,ANIMATION?!
0:00:30,ashley elkins,LETS GO!!!!!! :blue_circle::blue_circle::waving_hand:
0:00:30,Somescrub,I've made it
0:00:30,Nini Panini,Bruh let’s go
0:00:30,cherr1esandwine,LETS GOOO
0:00:33,Hugh Mungous,THIS PARTY'S GETTING CRAZY
0:00:34,Shenanimation,love it
0:00:38,PEPER,YUHH
0:00:38,Tree boi,:nerd_face::thumbs_up:
0:00:39,Makoto Ikari,nice
0:00:40,Dingalingboy from the Simpsons,THESE FAT CHEEKS MMMH
0:00:40,riewo,TREVOR
0:00:40,AngryRex,:blue_circle::blue_circle::waving_hand:
0:00:41,Youkalottaseeya,:blue_circle::blue_circle::waving_hand:
0:00:42,Jenny is Dead,baby sonic!
0:00:42,mememilkyway,TREVORR
0:00:42,Wizards0nly,:sparkles::sparkles:UNCLE CHUCK:sparkles::sparkles:
0:00:43,Dadflaps,I LOVE U TAMMERS
0:00:43,Slimy Farts,:blue_circle::blue_circle: :waving_hand: 
0:00:44,Makoto Ikari,nipple
0:00:44,Hugh Mungous,poor aleena
0:00:45,ashley elkins,IM SO EXCITED
0:00:46,Tiki2970 (Ginyu),Comfy song
0:00:47,Vagab0ndify,Yesss!
0:00:49,mememilkyway,Uncle Chuck and Markkkkk
0:00:49,Shenanimation,everyone is here!
0:00:51,Dork Bötter,omg flora is so cute
0:00:52,Haddock,THIS ANIMATION IS AMAZING
0:00:52,Somescrub,:blue_circle::blue_circle: :waving_hand:
0:00:52,Shenanimation,GREAT alena
0:00:52,TitanFrold888,My wife Aleena...
0:00:54,Puro Pantry,wut
0:00:54,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:55,mememilkyway,:blue_circle::blue_circle::waving_hand:
0:00:58,Tamers12345,Bartleby slaps sonics ass to this song
0:00:58,Tree boi,There shirts are nice
0:00:59,Piros,trevor QuQ
0:00:59,Woogle,THE BUS DRIVER HAS MAD CAKE!!!!!!!
0:01:01,Hugh Mungous,BASED MINDY
0:01:02,Makoto Ikari,flora!
0:01:02,riewo,FLORAAAA
0:01:03,Luci,THE WHOLE CAST IS HERE
0:01:03,Youkalottaseeya,Ew Flora
0:01:05,TitanFrold888,Dammit Mindy
0:01:06,Makoto Ikari,TWERK
0:01:06,Youkalottaseeya,:blue_circle::blue_circle::waving_hand:
0:01:07,monkey1z,:blue_heart::waving_hand:
0:01:08,Somescrub,lmao
0:01:08,mememilkyway,Flora is so cute
0:01:09,Dingalingboy from the Simpsons,QUEEN
0:01:09,riewo,FLORA!!!!
0:01:09,Vagab0ndify,Woah.
0:01:10,Tree boi,Omg
0:01:11,Slimy Farts,i wish bartleby would slap me
0:01:13,Dan Ramatan,uncle chuck needs budlight
0:01:13,Shenanimation,Max looks like the guy from Poy Poy
0:01:13,Ruben Guzman,Sexy Mindy 
0:01:18,mememilkyway,HEY MANDY
0:01:19,Fuckles The Enchilada,what the fuuu
0:01:20,Marty “MartyD” D.,based Jareds da
0:01:20,Tree boi,That’s. a nice butt
