timestamp,author,message
0:00:00,Ron Ragonskivich Media Preservation Hub,HELL yeah
0:00:03,Tamers12345,:red_heart:
0:00:05,J L,5
0:00:05,J L,4
0:00:06,J L,3
0:00:06,J L,2
0:00:07,J L,1
0:00:08,Kondore,hot
0:00:08,adrianday3,SNEED
0:00:10,2Stapler4U,4
0:00:10,I LOVE SONIC UNDERGROUND,I am so ready for this.
0:00:12,2Stapler4U,5
0:00:11,2Stapler4U,2
0:00:12,Harryy,its me baby kaka
0:00:16,Tamers12345,i hope bartleby and sonic have sex lol
0:00:17,AlanRifter,:yellow_heart::blue_heart:
0:00:17,Makoto Ikari,goooo
0:00:18,BleekKitten,we ready
0:00:19,Agitated Riveting,not a good time
0:00:23,Benetism ,ims so ready
0:00:29,KashiKakesVODs,:red_heart:
0:00:38,Haddock,Sonic is looking as sexy as ever tbh
0:00:40,divorceselfiie,Tamers you madman I love this
0:00:47,Tamers12345,Bartleby WOULD NEVER cheat on sonic dumbass
0:00:58,J L,Earth rockers
0:01:04,Stig Archives,Tamers homie for life yo
0:01:04,UnsaddledCamel,damn
0:01:05,J L,DAYUM
0:01:13,VGfan2012,@tamers will you ever make a Sonic fan game?
0:01:14,beastteen,sonic lookin thiucc
0:01:15,Based Ramen,:thinking_face:
0:01:17,BleekKitten,oh DAMN
0:01:23,Haddock,Wow is that really her? How did Tamers get her to actually voice in this
0:01:24,Tamers12345,Thanks alot stig. I appreciate that shit
0:01:25,Makoto Ikari,VOICE ACTING
0:01:28,g_norm_us,BASED
0:01:32,beastteen,abuse??
0:01:36,Simplyystacyy,Damn he thiccccccc
0:01:36,Liquid Lad,LOL i love the voice acting
0:01:36,Ruben Guzman,Bartleby is too much of a gentleman.
0:01:40,Tamers12345,That's hatsune mikus real voice actor. I paid her so much to star in my video and shit
0:01:41,J L,Poetic cinema
0:01:43,VGfan2012,BASED
0:01:48,AndyLosHorns,miku looks like a tasty treat
0:01:49,Simon Hansen,They all have mustaches?
0:01:50,Stevert,6w6
0:01:57,J L,feed and seed
0:01:57,divorceselfiie,"you smell so good, like a ham and cheese sandwich my wife makes me"
0:01:58,William Hannah,yo tameres do a video soinc and doomguy
0:02:00,2Stapler4U,my sides are in orbit
0:02:01,Benetism ,awe uncle is so cute
0:02:03,Craig The Kid,Uncle Chuck's in love
0:02:03,Liquid Lad,WHOA
0:02:04,Haddock,That kid got pwned
0:02:04,KashiKakesVODs,<3<3
0:02:04,RainbowHoodie,:red_heart:
0:02:05,AlanRifter,You're so cool tamers!
0:02:07,AndyLosHorns,wow special
0:02:10,Liquid Lad,LOOOL
0:02:14,VGfan2012,F
0:02:14,64,that saitama...
0:02:15,J L,ded
0:02:15,Tamers12345,:disappointed_face:
0:02:15,Benetism ,kid deserved it
0:02:15,Miniature Bigfoot,Chuck's getting lucky
0:02:17,RainbowHoodie,F
0:02:18,Tamers12345,Oh no...
0:02:19,Spruudel,F
0:02:20,KashiKakesVODs,f
0:02:22,g_norm_us,F
0:02:23,Durfer,):
0:02:24,Tamers12345,damn...
0:02:24,AndyLosHorns,billy?
0:02:25,Liquid Lad,POOR KID
0:02:26,William Hannah,f
0:02:29,Haddock,That kid was not a real gamer or he would have dodged.
0:02:29,Tamers12345,F
0:02:29,Based Ramen,f
0:02:31,Simon Hansen,child murder
0:02:31,Benetism ,im gonna cry
0:02:31,Stig Archives,F
0:02:33,VGfan2012,NOOOOOOO
