timestamp,author,message
0:00:00,cloudy,HERE WE GO :yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:01,Lenny the Ghoul,facts
0:00:03,Sven “The Mindtaker” Fletcher,LFG
0:00:05,Ronnie !!,tamers what do you think of the ps1 games parappa the rapper and um jammer lammy it's vital to my life
0:00:07,Silver Feral Thunderbird,W00T
0:00:10,Yoshinator,:blue_circle::blue_circle::clapping_hands:
0:00:11,Sven “The Mindtaker” Fletcher,CUTE SONIA OUTFIT
0:00:13,Corbijn Lewis,Dr. Robotnik versus Skibi Creeper
0:00:15,The Knuckmin,Aleena <3
0:00:16,Scarlet Horse,Let's Goooooooo!
0:00:16,Makoto Ikari,nice
0:00:17,Wizards0nly,cute
0:00:18,VanVeleca,CUTE
0:00:19,Silver Feral Thunderbird,Aww
0:00:21,Yoshinator,:blue_circle::blue_circle::clapping_hands:
0:00:23,yooo wth,manic
0:00:24,Friki Tiki,Sonia is half assing it
0:00:26,Scall0p,Already a good start 
0:00:29,Jenny is Dead,Their outfits are so cute!!! :sparkles::pink_heart:
0:00:32,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:37,Tamers12345,That dance is pretty cute ha ha. I bet Bartleby would ahve lvoed to see it
0:00:38,Dark Lord,cute
0:00:38,Scall0p,They hittin that shit
0:00:38,BAVI,Where is her green
0:00:44,Sven “The Mindtaker” Fletcher,UH OH
0:00:46,cloudy,oh my god
0:00:46,Agent_Mothman_SE,LMAO
0:00:47,cloudy,leprechaun?!!?
0:00:49,Shenanimation,my people
0:00:49,Makoto Ikari,leprechaun
0:00:50,D B,Butt is clenched tighter than Sonic trying to hold in a massive shit after a chili dog spree
0:00:50,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:51,ceraphim,A FOOKIN LEPRECHAUN
0:00:53,Silver Feral Thunderbird,Uncle Chuck lmao
0:00:55,VanVeleca,YO WHAR
0:00:56,Montythegold,lucky charms
0:00:57,Tamers12345,Huh?!
0:01:02,VanVeleca,A FUCKIN LEPRECHAUN???
0:01:05,yooo wth,gold
0:01:07,Tamers12345,These god damn cryptids
0:01:07,Scall0p,Lucky the Leprechaun?
0:01:09,Friki Tiki,he's green like manic
0:01:10,Silver Feral Thunderbird,Omg
0:01:17,TheUnorthodoxHawk,Blinky would have loved this 
0:01:19,cloudy,LMAOOO
0:01:23,ceraphim,WTF
0:01:23,Wizards0nly,yo man
0:01:25,Silver Feral Thunderbird,RIP Blinky...
0:01:26,BAVI,Classic Bartleby line
0:01:29,Double J,yo
0:01:32,Agent_Mothman_SE,Yo man wassup
0:01:32,lucasm,What
0:01:32,Montythegold,hey @Tamers12345 have you ever seen Sitting Ducks
0:01:33,Friki Tiki,blinky... :disappointed_face:
0:01:33,Jenny is Dead,omg BARTLEBY :blue_circle::blue_circle::waving_hand:
0:01:34,D B,WASUUUUP
