timestamp,author,message
0:00:00,Makoto Ikari,:blue_circle::blue_circle::waving_hand:
0:00:00,Jenny is Dead,:blue_circle::blue_circle: :waving_hand:
0:00:00,Wykkyd Mō,HERE WE GOO LADS
0:00:00,Yellowsnow,How many movies do you work on at one time Tamers?
0:00:00,Haddock,I love BARDONIC
0:00:01,AleenaEnjoyer,:blue_circle::blue_circle::waving_hand:
0:00:05,Kroe Waynes,tamers has his priorities straight!
0:00:06,Archaics,let’s goooo
0:00:07,Dokkir,"hell yeah, Flora a cute"
0:00:08,Remimi dot org,HERE IT COMES
0:00:08,MIXMAX,YESSS
0:00:09,Kakaokomanden,:blue_circle::blue_circle::waving_hand:
0:00:13,washaa,LETS GO CHUCK
0:00:13,Jedgar Newgate,INCOMING KINO
0:00:14,Wykkyd Mō,3 2 1 LETS GO
0:00:14,Blondie: Electric Boogaloo,"BEST INTRO, KINO INCOMING"
0:00:15,Kroe Waynes,SONIC UNDERGROUND!!!!
0:00:16,Mark Zuckerberg,:blue_circle::blue_circle::waving_hand:
0:00:18,Cheeseandblood,RIP
0:00:18,Kakaokomanden,YES!
0:00:19,Nils Hansen,yeeeessssss
0:00:21,Silver Feral Thunderbird,WOOT!
0:00:21,Blondie: Electric Boogaloo,RIP
0:00:22,Kroe Waynes,:blue_circle::blue_circle::dashing_away:
0:00:24,Larrinho,their mother will be found
0:00:24,Sgt. Sandwich,ROBERT
0:00:25,Tamers12345,I always work on 1 video at a time. That way I know they can be the best they can be
0:00:26,Remimi dot org,very good start
0:00:27,RainbowHoodie,IM HERE
0:00:27,Shenanimation,deserved
0:00:29,Jenny is Dead,:blue_circle::blue_circle::waving_hand:
0:00:30,FilmNerd,Gotta love that Sonic Underground cover
0:00:31,Dokkir,lol
0:00:31,Indigo Kid,we love youj tamers!
0:00:33,Snack Shaman,Lol
0:00:35,Silver Feral Thunderbird,lol
0:00:35,MIXMAX,RANDYYYYY
0:00:37,Blondie: Electric Boogaloo,HE LIVES
0:00:38,AleenaEnjoyer,haha pee
0:00:44,Nils Hansen,RANDY
0:00:44,Friki Tiki,this is why Ken Penders will never release his work.
0:00:46,Nils Hansen,YES
0:00:46,Tamers12345,Randy won... 
0:00:49,Diamond in the Sky,Based
0:00:51,AleenaEnjoyer,RANDY IS ALIVE
0:00:51,RainbowHoodie,Kid
0:00:56,Silver Feral Thunderbird,I cant believe Randy's alive
0:00:57,Kroe Waynes,WHOS SONIC THE HEDGEHOG? XD
0:00:58,Dokkir,damn
0:00:59,Wizards0nly,YAR HARRR
0:01:03,Vagab0ndify,Let's go!!
0:01:05,Blondie: Electric Boogaloo,YEE HAW
0:01:08,Haddock,YEE HAW
0:01:12,Kroe Waynes,whip it good!
0:01:13,Tamers12345,ngl Randy's son is pretty sexy lol
0:01:14,Makoto Ikari,:hot_pepper:
0:01:16,Blondie: Electric Boogaloo,ITS HIM
0:01:17,Kroe Waynes,:blue_circle::blue_circle::waving_hand:
0:01:19,†,YEEHAW
0:01:20,Nils Hansen,damn
0:01:23,Sgt. Sandwich,look at that little lesbian
0:01:24,Silver Feral Thunderbird,LMAO
0:01:27,washaa,YEE HAW
0:01:27,Wizards0nly,oh damn...
0:01:34,JPSwim,BOOBA
0:01:34,Makoto Ikari,shading
0:01:37,RainbowHoodie,Beast
0:01:38,Nils Hansen,johnson...damn
0:01:42,Tamers12345,"God that whip made me imagine it was Bartleby whipping sonic on the ass(in a sex way, not the slavery way)"
0:01:45,Kroe Waynes,his son really grew up!
0:01:48,AleenaEnjoyer,lmao the emo son
0:01:53,Andy N,lmao based
0:01:53,Silver Feral Thunderbird,"""E m O p H a S E"""
0:01:53,真 黒人 -GIGA,kek
0:01:58,KajaBuuBuu,emo
0:02:06,washaa,that shading
0:02:07,Larrinho,how much do the voice actors get paid?
0:02:09,washaa,damn
0:02:10,Blondie: Electric Boogaloo,"Hair color is no black, now brown"
0:02:14,Shenanimation,ghahahaha
0:02:17,KajaBuuBuu,:bread:flora:bread:
0:02:18,Kroe Waynes,DEFAULT LEGO MINIFIGURE
0:02:19,Since When,Damn
0:02:20,Yellowsnow,"Glad some of the Tamers original characters are still alive, love them!!!"
0:02:21,Wizards0nly,i dont like this guy :(
0:02:23,FilmNerd,He looks like he shops at GAP
0:02:24,Makoto Ikari,smol face
0:02:25,Andy N,DAMN
0:02:25,Puddlesoak,oof
0:02:29,Kroe Waynes,the best son!
0:02:33,Silver Feral Thunderbird,Does that kid shop at Hot Topic?
0:02:40,Haddock,Uncle Chuck is naked!
0:02:47,Tamers12345,Mister johnson's son is so sweet :smiling_face:
