timestamp,author,message
0:00:00,Хэллдик / MF Helldick™,i ship boomindy
0:00:00,Anomalous Spinal Cord Specimen ΛΔ,YESS
0:00:05,Stig Archives,HYPE
0:00:06,Abdulla - N I N E,"Heh yeah, good work on making this video"
0:00:06,Tamers12345,here comes the good shit
0:00:09,Makoto Ikari,omg
0:00:15,Arin,omg
0:00:19,RDMVidya,Dios mio
0:00:21,David Schmidt,bruh
0:00:23,バオバイバー,im writing this down
0:00:27,Zahinsky,bruh
0:00:28,Joshing Ya,This is based.
0:00:28,Stig Archives,cute
0:00:30,Makoto Ikari,crazy amigo
0:00:33,Abdulla - N I N E,Sexxxy teacher
0:00:33,Zahinsky,based
0:00:44,Tamers12345,Damn that pic is CUTE
0:00:53,Stig Archives,yes!
0:00:54,Tamers12345,damn sonic dat ass
0:01:10,バオバイバー,awwwww
0:01:14,Anomalous Spinal Cord Specimen ΛΔ,this episode is awsome already
0:01:14,Abdulla - N I N E,Pffffffff
0:01:14,Makoto Ikari,lmao
0:01:28,Abdulla - N I N E,Ohhhh there he is
0:01:29,Arin,this is already super cute
0:01:30,Stig Archives,insane effects
0:01:50,Zahinsky,yo theres a poop stain
0:01:51,Zahinsky,shoot it
0:01:54,Abdulla - N I N E,DAAAAMM XD
0:01:56,Makoto Ikari,yessss
0:02:14,RDMVidya,Nice work
0:02:14,Anomalous Spinal Cord Specimen ΛΔ,epic
0:02:17,バオバイバー,how could they let this happen
0:02:19,David Schmidt,damn
0:02:21,Tamers12345,beautiful
0:02:24,Tamers12345,lol actually thinking about disobeying bartleby
0:02:35,Abdulla - N I N E,"I like em Big, i like em Chunky :0"
0:02:35,RDMVidya,"Ha, gay"
0:02:55,Arin,ooooo
0:03:07,Abdulla - N I N E,Kill it
0:03:11,バオバイバー,billy back off
0:03:12,Joshing Ya,"""It's pink like baloney"""
0:03:15,RDMVidya,Git outta here Billy
0:03:18,バオバイバー,yeah tell him
0:03:21,Abdulla - N I N E,Dump that sicko
0:03:30,Arin,come on knux
0:03:45,Abdulla - N I N E,Wohooooo Yessss
0:03:45,Stig Archives,oof
0:03:47,RDMVidya,No love for Billy
0:03:48,Tamers12345,damn sonia you're such a savage LOL
0:04:07,Tamers12345,billy's got a fine ass tho
0:04:13,Starlit Rain,it’s about Bartleby
0:04:23,バオバイバー,not near as good as sonics
0:04:24,Makoto Ikari,amazing
0:04:27,crazybingo,Tamers please notice me I love you
0:04:24,Abdulla - N I N E,The teacher: “Let me teach how love works”
0:04:24,Anomalous Spinal Cord Specimen ΛΔ,nilly butterface
0:04:25,Stig Archives,oh my
0:04:28,Anomalous Spinal Cord Specimen ΛΔ,billy*
0:04:35,GROSS,tamers i love you
0:04:37,RDMVidya,He's got a piece
0:04:46,Tamers12345,"haha, I notice you bingo"
0:04:47,Zahinsky,punch him
0:04:49,Zahinsky,punch billy
0:05:03,Abdulla - N I N E,His face
0:05:03,Stig Archives,UUUH
0:05:12,Good_Wall533,jesus
0:05:13,Anomalous Spinal Cord Specimen ΛΔ,holy shit
0:05:15,RDMVidya,Nani
0:05:16,David Schmidt,god i wish that were me
0:05:17,Joshing Ya,oh no
0:05:17,Stig Archives,lmao
0:05:23,Abdulla - N I N E,Victory Royale on his booty
0:05:24,Starlit Rain,that’s a lot of piss
0:05:26,RDMVidya,Epic pp
0:05:27,GROSS,mm yes
0:05:28,Good_Wall533,jej
0:05:31,Stig Archives,epic victory royale
0:05:32,Mitchmat518,good video Tamers!
0:05:36,Some Ordinary Memer,Drink ur pee chat
0:05:46,バオバイバー,guys im starting to feel bad for billy
0:05:55,Anomalous Spinal Cord Specimen ΛΔ,dayuuuum
0:05:58,Zahinsky,damn
0:06:00,RDMVidya,Sext
