timestamp,author,message
0:00:00,Shenanimation,tell the thread i said hi and that i'm sorry i didn't draw Aleena yet
0:00:03,Tamers12345,:couple_with_heart_man_man:
0:00:04,RainbowHoodie,ITS TIME
0:00:04,Indigoharpy,:blue_circle::blue_circle::waving_hand:
0:00:05,Sven “The Mindtaker” Fletcher,That blue shape in the background kind of reminds me of Sonic's cheeks
0:00:05,Friki Tiki,lfg
0:00:07,Wykkyd Mō,HERE WE GO
0:00:09,mitch jones,I live for these cartoons tamers
0:00:10,Shenanimation,!!!
0:00:12,Sven “The Mindtaker” Fletcher,:blue_circle::blue_circle::waving_hand:
0:00:13,Scall0p,:blue_circle::blue_circle::waving_hand:
0:00:18,Filip Hosna,:blue_circle::blue_circle::waving_hand:
0:00:23,Tamers12345,Oh shit I forgot the intro lol
0:00:23,Sven “The Mindtaker” Fletcher,beech
0:00:27,Wizards0nly,bartleby <3
0:00:29,Virgin-CalaMaria,Bardonic 4evur :yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:29,Tiki2970 (Ginyu),Amazingggg
0:00:30,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:34,RainbowHoodie,That’s a tiny loan
0:00:36,Snack Shaman,DRUMPF BUT SEXY
0:00:38,Alice Hernandez,is that the new apple googles?
0:00:41,Dekania,it's okay i can imagine the intro
0:00:45,Tamers12345,"Woah that chair looks expensive, like a Roku TV"
0:00:53,Snack Shaman,Ye
0:00:56,FilmNerd,Is that Einstein in the background?
0:01:07,DeShawn Williams,Hello everyone! 
0:01:08,Alice Hernandez,this lab looks like from the future
0:01:08,Friki Tiki,the best and brightest
0:01:11,Tamers12345,No that's a scientist who works for Bartleby
0:01:14,Kroe Waynes,oswald is so thicc!!!
0:01:15,Snack Shaman,Tamers reminds me of a mangaka author
0:01:16,stenny stripjoint,tamers is epstein canon in thus universe
0:01:16,Wizards0nly,oswald was kind of sexy
0:01:18,AleenaEnjoyer,Damn that's an awesome gaming setup
0:01:21,RainbowHoodie,Oswald the goat
0:01:27,Sven “The Mindtaker” Fletcher,ahhahaheha
0:01:28,Kroe Waynes,:white_circle::white_circle::waving_hand:
0:01:30,Plaguv,"Thats Einsteins Brother, Zweistein"
0:01:30,Truant,oswald bros eating
0:01:31,AleenaEnjoyer,Only Bartleby has enough money to get it
0:01:32,Shenanimation,DATA... LOADING...
0:01:33,sooka,Oswald kinda bad 
0:01:37,Friki Tiki,next gen
0:01:42,DeShawn Williams,How’s everything going?
0:01:44,Truant,WOAH
0:01:48,AleenaEnjoyer,Unf
0:01:49,Truant,hes in minecraft
0:01:52,stenny stripjoint,HOLYYYYY
0:01:53,Spicy Applesauce,Metcraft
0:01:53,Wizards0nly,WOW
0:01:53,Alice Hernandez,sexy pants
0:01:56,RDMVidya,CHEEKED OUT
0:01:58,Shenanimation,this can only happen in the videogame world
0:01:58,Tiki2970 (Ginyu),Niceeeeeeeee
0:02:01,Snack Shaman,Hot
0:02:02,Sven “The Mindtaker” Fletcher,Yeaaaaaaah
0:02:05,Snack Shaman,Owo
0:02:05,weirdbear,VR MINECRAFT??
0:02:05,Kroe Waynes,"looking so much better than apple! because bartleby has so much more money, i'm sure"
0:02:06,Spicy Applesauce,:pride-fan-rainbow-open:
0:02:07,tricked flick,>implying the regular world isn't also under his control
0:02:09,Alice Hernandez,lol he flushed
0:02:13,d33TALE,its like the holodeck
0:02:13,Tiki2970 (Ginyu),D-Damn.....
0:02:19,El SkywardGonz,"Sonic: Babe, we’re in minecraft…"
0:02:19,weirdbear,DOUBLE CHEEKED UP !!!!
0:02:23,Tamers12345,Sonic is a lucky boy 
0:02:25,Tiki2970 (Ginyu),Totally hetero
0:02:26,Scall0p,Oswald just like me ngl
0:02:31,Kroe Waynes,mhmmm beef wellington
0:02:36,Tiki2970 (Ginyu),Beef wellington's
0:02:38,Friki Tiki,Hol up
0:02:39,FilmNerd,"Totally straight, bro"
0:02:40,RainbowHoodie,Uhhh
0:02:42,El SkywardGonz,TRUE
0:02:43,RDMVidya,BASED
0:02:43,Wizards0nly,hmm
0:02:47,Kroe Waynes,wait IS the earth flat???
0:02:51,Alice Hernandez,lucky apple
0:02:52,Kroe Waynes,i'm not sure anymore
0:02:53,Sven “The Mindtaker” Fletcher,LMAO
0:02:57,AleenaEnjoyer,So many options...
0:03:00,Friki Tiki,if Bartleby says it is...
0:03:09,RainbowHoodie,"Who did that?,"
0:03:11,Truant,NOOOOOOOO
0:03:11,sooka,Who is it!!!
0:03:12,DeShawn Williams,"He sure is, tamers."
0:03:15,Truant,apple bros....
0:03:17,Shenanimation,this is now the scariest thing i've ever seen
0:03:18,El SkywardGonz,Herobrine???!!!
0:03:22,tricked flick,Sonia?
0:03:25,Alice Hernandez,who could it be???
0:03:28,RainbowHoodie,Is it Oswald?
0:03:28,AleenaEnjoyer,Scary...
0:03:33,Truant,bartleby vs herobrine incoming?
0:03:35,Shenanimation,hahahah
0:03:36,d33TALE,oh no not herobrine
0:03:36,weirdbear,HEROBRINE>>>>>
0:03:38,Kroe Waynes,"bartleby's hair looks like FULL FRONTAL's, from gundam!"
0:03:38,Shenanimation,AAAAA
0:03:39,Forrest Thacker,ayo
0:03:41,Sven “The Mindtaker” Fletcher,BARTLEBY'S DAD
0:03:43,sooka,HEROBRINE
0:03:44,Alice Hernandez,spoooopy!
0:03:45,Tamers12345,"Damn, this is getting weird! :anguished_face:"
0:03:50,Wizards0nly,wtf
0:03:51,AleenaEnjoyer,OH NO
0:03:54,FilmNerd,It's Notch! He's trying to take Minecraft back
0:03:54,Alice Hernandez,I'm scared
0:03:56,stenny stripjoint,im scared...
0:03:56,sooka,HEROIN
0:03:57,tricked flick,Heroic Brian!
0:03:58,Friki Tiki,pull the plug!
0:04:05,Sven “The Mindtaker” Fletcher,OH NO
0:04:06,Filip Hosna,"damn tamers, dont drop this kind of horror on us out of nowhere, scary af"
0:04:06,RDMVidya,science child
0:04:07,Shenanimation,if you die in minecraft you die in real life
0:04:08,weirdbear,NO WYA
0:04:10,DeShawn Williams,Too weird
0:04:12,Tiki2970 (Ginyu),S-Someones taking control... of The simulation...
0:04:13,Truant,hes getting trolled
0:04:15,sooka,MINDY!!!
0:04:15,D R,GET OUT OF THERE BARTELBY!
0:04:16,RainbowHoodie,:blue_circle::blue_circle::waving_hand:
0:04:17,Kroe Waynes,knuckles is here too!
