timestamp,author,message
0:00:00,@XxZ0MB1E_K1TTYxX,YAYYYYYYYY
0:00:01,@Strong_sadfan,IM SO HYPE
0:00:04,@XxZ0MB1E_K1TTYxX,YAYYYYYY
0:00:05,@joycadet7064,Yaaaay
0:00:07,@NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::racehorse::horse::racehorse:
0:00:08,@AnimeGames16,BARTLEBY
0:00:08,@OrpheusHart,WE'RE SO BACK
0:00:09,@matius851,yew near
0:00:10,@Tamers12345MLP,:blue_circle::blue_circle::waving_hand: <<< bartkleby slapping sonic's fat ass
0:00:10,@alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:10,@XxZ0MB1E_K1TTYxX,:party_popper::party_popper:
0:00:10,@jennythebean9117,Zamn
0:00:11,@C0llecter-513,:eye: :mouth: :eye:
0:00:12,@elskywardgonz9929,ITS THEM 
0:00:13,@chmess3,YESSSSSSSS
0:00:13,@frankbrocker2963,HAAH SONIC IS SO FAT
0:00:15,@agoatheadbaby3512,IT'S THEM!!!
0:00:16,@de-meister6437,YEEES
0:00:16,@gummy8440,THEY'RE BAAAAACK
0:00:18,@jo3a548,LOLOL
0:00:18,@Memerio,ofc it starts with Sonic eating something
0:00:21,@jennythebean9117,:blue_circle::blue_circle:
0:00:21,@TheMTwinny,BEANS?
0:00:21,@jo3a548,beans
0:00:22,@hughren,Mmmm cookies!
0:00:22,@blankgrl,THERE HE IIIIIS
0:00:23,@matius851,omg unc chuck
0:00:23,@VVraeth,"Damn, sonic losing weight"
0:00:24,@CatzBell,Same!
0:00:26,@XxZ0MB1E_K1TTYxX,YAYYYY
0:00:26,@elektrowalzer,IT'S A MIRACLE
0:00:28,@GlimmyGOD,Ain't no way
0:00:30,@jennythebean9117,Beans
0:00:31,@haileykitty6993,I like gingerbread too :face_savoring_food:
0:00:34,@hughren,Sonic got some cake
0:00:35,@dominicunderwood4911,fucking nice
0:00:39,@TigerPimp666,back to Sonic underground! hell ya
0:00:39,@JorArg-c7s,D:
0:00:39,@matius851,i want him
0:00:41,@duffel_brr,woa the dumpy trucks are lookin extra dumpy today
0:00:43,@frankbrocker2963,CROOK
0:00:43,@jo3a548,OH SHIT
0:00:43,@liberty5923,god i've missed this
0:00:43,@elektrowalzer,tears in my eyes
