timestamp,author,message
0:00:00,Scall0p,I’ve noticed that
0:00:10,sooka,YES
0:00:10,Scall0p,Very epic if you ask me
0:00:11,Alex L,Everyone shup up its starting
0:00:13,Coti,"im watching this on two screens tamers, i hope you're proud"
0:00:17,Eric Robert Bradley,it is an hobor
0:00:18,Makoto Ikari,let's gooo
0:00:19,Tamers12345,"@Tragic Comedy Yeah, I told him that josh peck would also guest star and he got int he car. I was lying thuogh and tricked him"
0:00:25,Boneybones,YEEEEEESSSS
0:00:25,Hateful Monk,hey tamers are you aware of that guy kajabuubuu that made a playlist of your vids in chronological order and if you have do you give it your stamp of approval
0:00:30,Deocks,No one wants to see bartelby need chemo
0:00:33,AndyLosHorns,epic
0:00:34,KashiKakesVODs,been waiting for this
0:00:48,Scall0p,Oof
0:01:04,Alex L,YESSS
0:01:07,Tamers12345,:disappointed_face:
0:01:12,Alex L,I LOVE YOU BARTELBY
0:01:13,Scall0p,Omg bartleby we love you
0:01:17,Boneybones,ohhhh GODDD
0:01:25,Makoto Ikari,pimpin
0:01:26,Tamers12345,Damn bartleby is sexy in that pink cowboy hat
0:01:26,Deocks,WOAH HE Went to the doctor and got them removed!
0:01:28,sooka,BARTLEBY I LOVE YOU
0:01:40,Deocks,He’s sexier than eva!
0:01:45,Boneybones,i need a bartleby bae
0:01:53,Makoto Ikari,lol
0:01:55,Coti,OH MY GOD
0:01:58,Tamers12345,It's so cute how bartleby has sonic on a leash
0:01:58,Deocks,Yes bartelby hurt me harder
0:02:00,sooka,FLORA
0:02:08,Makoto Ikari,tough love
0:02:10,boigahs stream archives,is this consensual
0:02:12,Scall0p,Sonic you know not to do that smh
0:02:21,Boneybones,HES STILL GOING
0:02:24,Boneybones,FOR GODS SAKE
0:02:31,sooka,LMAO
0:02:40,KashiKakesVODs,LOL
0:02:40,AndyLosHorns,lol
0:02:42,Boneybones,BARTLEBY LAY OFF
0:02:44,Alex L,LOL
0:02:47,Tamers12345,You know sonic loves that shit :winking_face:
0:02:49,Bones Malone,LOL
0:02:57,Makoto Ikari,bartleby has epic stamina
0:03:09,Makoto Ikari,"""no"""
0:03:10,Scall0p,Oh yeah he does sonic like that
0:03:57,Mudkip z,gay people am I right?
0:04:02,Scall0p,Best dad 2020
0:04:03,Boneybones,is bartleby okay with this guy being anti gay?
0:04:03,sooka,LMAO
0:04:09,Tamers12345,Oh shit I just realized I missspelled underground in the title lmao
0:04:11,AndyLosHorns,wtf
0:04:13,sooka,wow powerful fart
0:04:23,KashiKakesVODs,oh my god
0:04:28,Makoto Ikari,:U
0:04:32,Scall0p,Uh oh
0:04:41,Deocks,"Oh no, bartelby is poop off his panties"
0:04:42,Hateful Monk,:yougotthis:
0:04:44,sooka,FLORA
0:04:50,sooka,BABY GIRL
0:04:51,Boneybones,ughhhh flora my wife
0:04:53,Hateful Monk,praise be
0:04:53,KashiKakesVODs,wasn't expecting Flora to come back already
0:04:55,Scall0p,Flora she’s back
0:04:55,Alex L,flora is actually hot
0:04:59,Makoto Ikari,haha
0:04:59,sooka,I love ..
0:05:02,64,dang cutie
0:05:04,Mudkip z,haha
0:05:07,Deocks,Haha fart on face haha
0:05:17,Scall0p,Ya manic
0:05:25,AndyLosHorns,mmmmmmmmmmm
0:05:29,Tiki2970 (Ginyu),"Hey I just got here. Thanks for another episode Tamers, I love your videos. This is gonna be great"
0:05:33,boigahs stream archives,oh my lord
0:05:34,sooka,Mindy and flora are my waifus
0:05:40,Tamers12345,Damn mindy!
0:05:47,Deocks,Bartel by’s butt is best booty. You could grate cheese on those glutes
0:05:54,Tamers12345,@Tiki 2970 Your welcome bitch
0:06:09,Tiki2970 (Ginyu),Niceee
0:06:17,JM,Mindy is hot as hell
0:06:29,Makoto Ikari,the authority
0:06:35,Mudkip z,Leviticus 18:23 man may not shid himself at a funeral
0:06:38,Boneybones,god is great
0:06:40,Hateful Monk,that's a big butt
0:06:47,KashiKakesVODs,YEAH TELL HIM BARTLEBY
0:06:48,AndyLosHorns,18:22
0:07:00,Tamers12345,The dads got a big ass though
0:07:04,sooka,HES TRYING TO KILL BARTLEBY
0:07:05,Bones Malone,oh daaaaaamn
0:07:06,Makoto Ikari,:astonished_face:
0:07:09,Boneybones,damn tamers sick cg
0:07:31,AndyLosHorns,he did it on purpose
0:07:33,Makoto Ikari,based
0:07:34,KashiKakesVODs,that poor muscular child
0:07:48,Boneybones,damn dingo looks good
0:07:52,Bones Malone,bartleby is the greatest
0:07:57,Scall0p,Dingo :flushed_face:
0:07:58,Deocks,Bartelby make pooperful enemy but he too swoll for a bullet hole
0:07:59,KashiKakesVODs,yeah Dingo lookin fine
0:08:08,Boneybones,that bulge....
0:08:17,Tamers12345,Dingo made stitched those clothes himself
0:08:22,Hateful Monk,shiieeet
0:08:31,Scall0p,:flushed_face:
0:08:31,Tamers12345,btw guys the dad was voiced by drake bell. I'm not sure if anybody noticed but that was him
0:08:36,Makoto Ikari,everyone's bloodthirsty
0:08:37,boigahs stream archives,cute
0:08:42,Boneybones,i knew he sounded familiar
0:08:45,boigahs stream archives,yeah i noticed
0:08:49,AndyLosHorns,"nice, very kind of u to give drake this big role"
0:09:00,Deocks,Tamers is sonic do ever top bartelby for the sexy time?
0:09:14,Scall0p,Robotnik pooped his pants
0:09:25,Boneybones,damn sonic is extra fiesty today
0:10:19,sooka,Sleet looks sexy
0:10:40,Scall0p,Look at all those eggs
0:10:58,Alex L,woah mindy
0:11:01,Tamers12345,There's no proof there's bombs in them. He could be lying
0:11:04,Alex L,:winking_face:
0:11:10,boigahs stream archives,mindy is absolutely out of control today
0:11:18,Boneybones,i love trevor
0:11:20,AndyLosHorns,man look at this fasg threvor should have died
0:11:40,KashiKakesVODs,:crying_face:
0:11:46,Tamers12345,:disappointed_face:
0:11:52,Vanned Montoya,pure pottery
0:11:54,AndyLosHorns,woody :disappointed_face:
0:11:54,Mudkip z,mm
0:11:56,Plus,Were is tails
0:12:03,sooka,Damn
0:12:08,Tamers12345,tails doesnt exist in sonic undergruond
0:12:09,sooka,That’s sad
0:12:10,boigahs stream archives,who is tails
0:12:12,KashiKakesVODs,awww
0:12:14,KashiKakesVODs,that's sweet
0:12:14,Scall0p,You tell her boi
0:12:19,Deocks,Tails die as baby?
0:12:29,Boneybones,whoa.....
0:12:39,Deocks,Or tails son of preggo sonic
0:12:47,Deocks,By bartelby
0:12:47,Scall0p,Oh no
0:12:48,Alex L,NOO CYRUS
