timestamp,author,message
0:00:00,Indigoharpy,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:00,DeShawn Williams,How’s everything going?
0:00:02,teamtash,I hope 7-Eleven is in this one
0:00:02,Scott Vertical ,YES
0:00:03,Elijah Grey,LETS GOOOOOOOOOOOOO
0:00:03,Wykkyd Mō,LEEEEEEEEETTTTSSSS GOOOOOOOOO
0:00:04,Tamers12345,I never saw it myself
0:00:06,Memerio,:blue_circle::blue_circle::waving_hand:
0:00:07,Scall0p,I’m so excited 
0:00:10,kenan orucov,654321
0:00:11,D. Driver,:blue_heart::yellow_heart:
0:00:11,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:12,AleenaEnjoyer,:purple_circle::purple_circle: HYPE
0:00:14,FoxNewsEUROPE ,WOOOOO
0:00:14,Scott Vertical ,"Ended on white, r/yikers"
0:00:14,leeroy newman,WE WON
0:00:15,Kroe Waynes,yessss that song gets me in the mood every time
0:00:17,AnimeGames16,LETS GOOOOO
0:00:18,Sven “The Mindtaker” Fletcher,SONIC UNDERGROOOOOUND
0:00:19,Frank Brocker (M.C. Sausage),thank you tamers for being a true representative of the american dream :blue_circle::blue_circle::waving_hand:
0:00:19,Jimmy John Joe Jr.,AAAHYYAYAYAAAA
0:00:19,Tiki2970 (Ginyu),classic intro
0:00:19,Jerky,"Stay inside, play gamecube"
0:00:22,RDMVidya,LET'S GOOO
0:00:23,kenan orucov,yessss
0:00:26,Donny Lurch,Love this intro
0:00:27,Crunchy the Goblin,I LOVE SONIC UNDERGROUND!!!
0:00:28,Slightly warm Water,this is awesome 
0:00:28,Tamers12345,You're welcome frank
0:00:29,Walta,YAY
0:00:31,DatNeonFox,YEAHHHHHH
0:00:32,Kroe Waynes,bartleby's naughty jokes!
0:00:34,Shenanimation,robots for everyone!
0:00:38,AnimeGames16,HA HA HA HEE HW
0:00:39,Slightly warm Water,tamers notice me
0:00:40,Rootator,Is that cubix?
0:00:41,Daxma,Knuckles is a fake gamer
0:00:41,RainbowHoodie,GET THE BATTERY
0:00:48,Scall0p,Epic gameplay 
0:00:49,Shép DeathWoods,hmmm
0:00:49,Jerky,Cute
0:00:50,Makoto Ikari,KNUXONIA
0:00:50,Memerio,the greatest 3d platformer of all time
0:00:50,AleenaEnjoyer,Nuzzle :3
0:00:51,DeShawn Williams,"Wow, classic game!! :beaming_face_with_smiling_eyes::thumbs_up::thumbs_up:"
0:00:53,Shép DeathWoods,o-o
0:00:54,Silver Feral Thunderbird,Sonia so kawaii
0:00:54,Kroe Waynes,awwwwwww
0:00:55,Scott Vertical ,That tv looks more expensive than anything they should own 
0:00:55,Sven “The Mindtaker” Fletcher,LMAO
0:00:58,Slightly warm Water,notice me
0:00:58,Kroe Waynes,knuckonia!
0:01:00,Slightly warm Water,notice me
0:01:00,Tamers12345,Knuckles is NOT a fake gamer. The game just sucks balls
0:01:00,DatNeonFox,Aw
0:01:01,Shenanimation,ahahahaha
0:01:01,RainbowHoodie,Awwwwww
0:01:01,Mr. Guydude,Awww
0:01:02,Sven “The Mindtaker” Fletcher,daaaaw
0:01:03,AnimeGames16,AWWWW
0:01:03,Truant,manic with the bandana sheesh
0:01:03,Kroe Waynes,i need a gif of that!
0:01:03,Vagab0ndify,"Awwww, Knuxonia!"
0:01:04,Slightly warm Water,daniel driver 
0:01:05,RDMVidya,AWW
0:01:06,Memerio,:red_heart:
0:01:07,MuhammadWorldwide ,Yoooooooo
0:01:08,Shép DeathWoods,no
0:01:09,D. Driver,:blue_heart::yellow_heart:
0:01:10,D. Driver,:blue_heart::yellow_heart:
0:01:11,Slightly warm Water,18a high street
0:01:12,Shamel Thompson,Cute
0:01:15,DatNeonFox,MINDY
0:01:15,Tiki2970 (Ginyu),Cute KNUXONIA MOMENT OH MY GODDDD
0:01:15,Wizards0nly,Mindy :orange_heart::sparkles::orange_heart::sparkles:
0:01:16,Truant,"very cute, thank you tamerd"
0:01:16,Silver Feral Thunderbird,Bruh Mark tiny
0:01:17,Dragunilla,Hes so small
0:01:18,Sven “The Mindtaker” Fletcher,MARK TIME
0:01:19,Shép DeathWoods,based
0:01:24,Friki Tiki,white
0:01:25,D. Driver,:blue_heart::yellow_heart:
0:01:25,RainbowHoodie,Smoll Mark
0:01:26,leeroy newman,woman OWNED
0:01:26,D. Driver,:blue_heart::yellow_heart:
0:01:26,Miniature Bigfoot,Tiny mark
0:01:29,Scall0p,Why he so small
0:01:29,Sven “The Mindtaker” Fletcher,SQUAT MARK
0:01:30,AnimeGames16,He tiny.
0:01:30,Donny Lurch,smoldad
0:01:32,Tamers12345,Woah Mindy has a cubix video game?
0:01:33,DatNeonFox,Mark :smiling_face_with_heart_eyes:
0:01:34,Mr. Guydude,>manlets
0:01:35,Indigoharpy,bartleby looking snazzy
0:01:36,Tiki2970 (Ginyu),Bartleby looking dapper
0:01:37,FoxNewsEUROPE ,canon torbjorn
0:01:39,Slightly warm Water,"18a high street kilburn, derby uk"
0:01:40,Memerio,sonics stupid friends
0:01:42,JackelZXA,bartleby's here too
0:01:43,Henry Holiday,Mark making a sandwich…HAHAHAHA
0:01:43,Shép DeathWoods,women
0:01:44,kenan orucov,soniaaaaaaa
0:01:45,Truant,bartleby looks so cool
0:01:48,Kroe Waynes,thicc marc
0:01:50,Silver Feral Thunderbird,Lmao
0:01:51,AleenaEnjoyer,lmao
0:01:51,Makoto Ikari,mark pls
0:01:51,Mervle,manly mess
0:01:52,Jimmy John Joe Jr.,WOMAN MOMOENT
0:01:52,RDMVidya,shidded
0:01:53,Shép DeathWoods,hes right
0:01:58,MuhammadWorldwide ,Mindys Dad is the goat
0:01:58,Daxma,Poot
0:02:01,Shép DeathWoods,true
0:02:01,leeroy newman,based...
0:02:02,Tamers12345,"He wasn't small, it was just the angle"
0:02:02,Shenanimation,enjoying the view??
0:02:05,Kroe Waynes,"right you are, marc"
0:02:06,Truant,"it was an accident, its ok]"
0:02:06,Wizards0nly,Mindy~:orange_heart::orange_heart:
0:02:08,Mr. Guydude,Alpha move tbh
0:02:09,D. Driver,based
0:02:15,AnimeGames16,Based.
0:02:18,Silver Feral Thunderbird,B R U H
0:02:20,DonkPockets,do it
0:02:21,Mervle,common manhood struggles
0:02:22,grumpologington,hi matt
0:02:22,Memerio,keep spitting
0:02:24,JackelZXA,mindy looks cute sometimes
0:02:26,Shép DeathWoods,zoomer
0:02:26,DonkPockets,be the alpha
0:02:28,Wally Cheung,MARK :smiling_face_with_sunglasses::cowboy_hat_face::male_sign:
0:02:30,Miniature Bigfoot,Based Mark
0:02:34,Friki Tiki,typical
0:02:35,kenan orucov,suuuuuuuu
0:02:35,Truant,boomer mark
0:02:42,Henry Holiday,Based boomer
0:02:48,Tamers12345,Mindy's dad is such a bully :face_with_rolling_eyes:
0:02:49,JackelZXA,lol
0:02:53,Scall0p,Based Mark as always 
0:02:53,Silver Feral Thunderbird,This episode is amazing already
0:02:59,RainbowHoodie,It’s time to go on a trip!
0:02:59,DeShawn Williams,"He is, isn’t he?"
0:03:00,Sven “The Mindtaker” Fletcher,NO
0:03:01,RDMVidya,noh
0:03:05,AnimeGames16,NO
0:03:05,JackelZXA,manic is holding sonic back
0:03:08,Kroe Waynes,no wonde rmindy has such daddy issues
0:03:11,FoxNewsEUROPE ,WOWOWOW
0:03:11,Makoto Ikari,LOUD
0:03:12,JackelZXA,she's dead
0:03:14,Mervle,poor people frostwater
0:03:15,Dragunilla,Manic wtf
0:03:15,Silver Feral Thunderbird,JESUS-
0:03:17,DonkPockets,SIGMA ENERGY
0:03:17,Daxma,Brap attack
0:03:18,Kroe Waynes,manic with the sneaky grab
0:03:18,Truant,sonia smiling makes me smile :)
0:03:18,JackelZXA,bleeding
0:03:22,Sven “The Mindtaker” Fletcher,poor Mindy
0:03:24,Wizards0nly,yay
0:03:24,Jimmy John Joe Jr.,brap
0:03:24,Shép DeathWoods,>tiktok
0:03:24,Tiki2970 (Ginyu),RIP Mindy
0:03:25,leeroy newman,i got my snacks for this kino
0:03:28,RainbowHoodie,:blue_circle::blue_circle:
0:03:31,RDMVidya,:blue_circle::blue_circle::waving_hand:
0:03:34,Indigoharpy,sonia zoomer
0:03:35,Vagab0ndify,Bartleby is way more than any Chad/Sigma could be
0:03:36,Shép DeathWoods,wat
0:03:36,Jade Id,Tamers is the Ralph Bakshi of our time
0:03:42,Tamers12345,Oh shit lol I didn't notice I put 7-Eleven in the title I thought I wrote QuikTrip
0:03:43,JackelZXA,live hack
0:03:44,AnimeGames16,One of the few times I feel bad for Mindy.
0:03:44,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,:hot_face::hot_face::hot_face::hot_face::hot_face::hot_face::hot_face:
0:03:46,SpvcedOut,Oke
0:03:50,Silver Feral Thunderbird,X'D
0:03:51,FoxNewsEUROPE ,oh no!
0:03:52,Truant,hahaha
0:03:57,Wizards0nly,she's nuts :star_struck:
0:03:57,Shép DeathWoods,thats Qt
0:04:06,Truant,hold up mindy is kinda funny
0:04:07,DatNeonFox,Hi FoxNewsEurope
0:04:07,Henry Holiday,Facts
0:04:07,DeShawn Williams,That was unexpected.
0:04:07,Memerio,sonic basically did the same thing in the Valentine’s Day episode 
0:04:09,TeeBar,lmao
0:04:09,Mr. Guydude,Bartleby is so powerful he morphs 7/11 into quiktrip.
0:04:11,DonkPockets,big boy pot
0:04:14,Makoto Ikari,Manic based
0:04:19,Kroe Waynes,sonia and mindy are cute together. such good friends!
0:04:23,Silver Feral Thunderbird,Fair point tbh
0:04:24,Makoto Ikari,pretty colors!
0:04:25,Shép DeathWoods,"wtf this is quirk trip, not 7/11"
0:04:26,JackelZXA,hahhaa
0:04:27,RDMVidya,BASED 
0:04:27,JackelZXA,bartleby
0:04:28,Miniature Bigfoot,So true
0:04:29,Daxma,Bartleby is the best
0:04:30,PorygonFTW,based
0:04:31,バオバイバー,holy cow
0:04:32,Indigoharpy,bartleby
0:04:32,RainbowHoodie,:yellow_heart::blue_heart::yellow_heart::blue_heart:
0:04:34,Scall0p,Based Manic 
0:04:34,Makoto Ikari,O _ O
0:04:34,Rootator,Manic should buy a beer
0:04:35,AnimeGames16,MANIC SPEAKING TRUTH
