timestamp,author,message
0:00:00,JAYmarcus DEE'angelo ,I'm shidding and farting
0:00:00,Makoto Ikari,:pizza:
0:00:02,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:03,Dragonball Almanac,glad tamers is a man of integrity
0:00:04,cloudy,HERE WE GO!!!!! :blue_circle::blue_circle::waving_hand:
0:00:04,Wykkyd Mō,LEEEEEEEEEEETTTTTTSSSSS DOOOOOOOO THISSSS
0:00:04,President Cherry,TIME FOR KINO
0:00:05,Mr. Guydude,ITS TIME
0:00:07,VanVeleca,PIZZA TIME
0:00:08,Makoto Ikari,0_0
0:00:08,BAVI,HERE IT IS
0:00:08,Tamers12345,Damn I forgot the intro lol
0:00:09,Silver Feral Thunderbird,NOM
0:00:09,RedGunt,"let's see who gets to eat pizza the most, sonic or manic"
0:00:11,Sven “The Mindtaker” Fletcher,GET HYPED
0:00:13,Adolf Pire qu'Hitler,KINO
0:00:15,Makoto Ikari,starting strong!
0:00:17,Slimy Farts,:blue_circle::blue_circle::waving_hand:
0:00:17,Sven “The Mindtaker” Fletcher,MMMMMM
0:00:19,President Cherry,cheesy
0:00:21,Makoto Ikari,DORITO
0:00:21,Truant,STARTED OFF STRONG
0:00:21,Agent_Mothman_SE,OH NO
0:00:23,Silver Feral Thunderbird,"Dear god, Manic is already savage af"
0:00:24,VanVeleca,Manic why would you do that???
0:00:24,Scall0p,Lmao
0:00:25,boogerblast29,SUGARY SPIRE SAYS HI
0:00:25,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:26,JackelZXA,lmao
0:00:27,Adolf Pire qu'Hitler,kek
0:00:28,JackelZXA,hell yeah
0:00:28,Wizards0nly,sexy
0:00:28,Shenanimation,sweet prank
0:00:30,Spicy Applesauce,lets goooo
0:00:31,Neon Frost,damn
0:00:33,JackelZXA,sonic loves making dudes kill themselves
0:00:35,Kdude2704,starting off with a banger prank
0:00:38,Tamers12345,Sonic and Manic are so funny with their pranks
0:00:39,Deadbeat Husband,thsats Dingo
0:00:39,cloudy,the bros doing a little bit of trolling huh
0:00:43,Fooper899,Hot line
0:00:45,President Cherry,Minesweeper
0:00:46,AleenaEnjoyer,"damn, they're pretty good pranksters"
0:00:54,harry boothole,mine sweeper is a gentleman's game 
0:00:54,Kakaokomanden,GOTTEM
0:00:55,VanVeleca,So stinky
0:01:02,Silver Feral Thunderbird,Jesus-
0:01:04,Frank Brocker (M.C. Sausage),pwned
0:01:05,Tamers12345,That guys shirt looks like green beans
0:01:10,Mr. Guydude,We do a little trolling
0:01:13,Fooper899,NO DONT DO IT
0:01:15,President Cherry,OH LAWD
0:01:16,Silver Feral Thunderbird,MANIC WTF DID YOU EXPECT? XD
0:01:16,Sven “The Mindtaker” Fletcher,:O
0:01:17,Tiki2970 (Ginyu),NOOOO
0:01:20,JackelZXA,gun
0:01:22,Masada,this is how the brawl starts
0:01:23,washaa,damn
0:01:24,BananaRepublican,is there poopy in this video?
0:01:26,Truant,manicbros...
0:01:27,Scall0p,Damn
0:01:27,Kakaokomanden,OH GOD
0:01:29,Tiki2970 (Ginyu),THUMBNAIL SCENE
0:01:29,washaa,true
0:01:31,cloudy,BARTLEBY
0:01:31,Makoto Ikari,lol
0:01:31,Agent_Mothman_SE,F
0:01:31,Conner,Lol
0:01:32,Mr. Guydude,F
0:01:32,Silver Feral Thunderbird,O-oh...
0:01:33,President Cherry,He did it
0:01:33,JackelZXA,hi bartleby
0:01:33,Coshi,DESERVED
0:01:33,Shenanimation,HAHAH
0:01:34,Kakaokomanden,NOOO
0:01:35,Sgt. Sandwich,it was inevitable
0:01:35,JackelZXA,damn
0:01:35,AnimeGames16,OH NO
0:01:37,Sven “The Mindtaker” Fletcher,LMAO
0:01:37,Spicy Applesauce,F
0:01:38,Fooper899,HOLU POOP
0:01:38,Miniature Bigfoot,F
0:01:38,Calary Man,Was he dead
0:01:38,Neon Frost,whoops
0:01:39,cloudy,oh rip
0:01:39,Adolf Pire qu'Hitler,KEKEKEK
0:01:40,Truant,NOOOOOOOOOOOOOO
0:01:41,AleenaEnjoyer,lmao
0:01:41,BAVI,God damn Tamers
0:01:41,Coshi,F
0:01:42,Makoto Ikari,Aleena...
0:01:42,Nightman,:hand-orange-covering-eyes:
0:01:42,alejokaiser,F
0:01:43,Dr. Oswald,f
0:01:43,Silver Feral Thunderbird,F
0:01:43,Ayyo-bun,oh damn
0:01:43,Scarlet Horse,F
0:01:45,washaa,lmao
0:01:46,AnimeGames16,:purple_circle::purple_circle::waving_hand:
0:01:46,President Cherry,ALEENA WOOO
0:01:47,VanVeleca,Saucey
0:01:48,Shenanimation,NO
0:01:48,Ace4573,LOOOOL
0:01:49,JackelZXA,yay
0:01:49,Truant,I CAN HELP HER
0:01:50,Nightman,:hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes:
0:01:50,Mr. Guydude,Lel perfect timing
0:01:50,BAVI,NOT ALEENA TOO
0:01:50,Shenanimation,WE GOTTA SAVE HER
0:01:51,Silver Feral Thunderbird,CODE LYOKO
0:01:51,AnimeGames16,ALEENA
0:01:52,AleenaEnjoyer,:purple_circle::purple_circle:
0:01:55,Ayyo-bun,lmao
0:01:55,Ikari,suicide hotlines are useless anyway
0:01:59,Scall0p,Woah 
0:02:00,Shenanimation,HELL YEAH
0:02:01,JackelZXA,aleena and sonia are gonna kill themselves but in a cute way
0:02:02,Truant,THE LYOKO WARRIORS
0:02:04,Ayyo-bun,nooooooooo!
0:02:05,Sven “The Mindtaker” Fletcher,CODE LYOKO?!
0:02:05,cloudy,oh hey its those ugly guys
0:02:05,El SkywardGonz,FINALLY AFTER ALL THE TEASING 
0:02:05,Tiki2970 (Ginyu),Are those zatch bell characters
0:02:06,Ikari,they just repeat what you say
0:02:06,RogueKaiser,code lyoko?
0:02:07,Scarlet Horse,Yoooooo! Code Lyoko!
0:02:07,AnimeGames16,CODE LYOKO
0:02:09,AleenaEnjoyer,We demand the sauce
0:02:10,VanVeleca,CODE LYOKO?!??
0:02:14,Kdude2704,who is this
0:02:14,harry boothole,are those stickers and tattoos 50 cents or 75 cents
0:02:14,Fooper899,:cat-orange-whistling:
0:02:15,President Cherry,Big cheeks
0:02:16,Ace4573,"""It's ok bro he was probably gonna do it anyway."" -Sonic"
0:02:16,Truant,odd the GOAT
0:02:17,washaa,great beat
0:02:20,Tamers12345,Are those the mother fucking Lyoko warrior?
0:02:22,Scarlet Horse,:purple_circle::purple_circle::clapping_hands:
0:02:22,Deadbeat Husband,li-o-ko warriors
0:02:25,Mr. Guydude,The 6head gang
0:02:26,Rat Man,XANA IN THIS PIZZA HUT
0:02:26,Shenanimation,where's the other girl
0:02:28,Miniature Bigfoot,Shut up woman
0:02:30,Silver Feral Thunderbird,"It's been ages since I watched Code Lyoko, Tamers made me wanna rewatch it again"
0:02:36,Tamers12345,Damn Ulrich's kinda sexy lol
0:02:40,Nightman,:neutral_face: who
0:02:43,Fooper899,good one
0:02:47,Winter Waifu,got me acting up fr fr
0:02:49,James Andrew,What about the black haired 5 head one? Umi I think her name was?
0:02:52,President Cherry,Hi Jeremy
0:02:52,Frank Brocker (M.C. Sausage),LARPers... 
0:02:54,washaa,t-pose for dominance 
0:02:54,VanVeleca,Wait where is the asian girl?
0:02:59,Truant,fun fact all of code lyoko is up on youtube for free
0:03:00,Makoto Ikari,worry-free delivery
0:03:00,Ayyo-bun,yesssss
0:03:01,JackelZXA,do code lyoko characters have bigger foreheads or bigger asses
0:03:03,Hobo & Meatball @ The Movies,Finally the crossover I have always wanted
0:03:06,President Cherry,OH NO
0:03:10,Scarlet Horse,OH SHI-
0:03:11,Shenanimation,this is why i don't use apps
0:03:11,Fooper899,creey
0:03:15,Tamers12345,Yumi is probably back at school or something. I'm sure that will be explained
0:03:20,Days Of The Weak,ITS HIM
0:03:22,washaa,Manic is so cool
0:03:23,Tiki2970 (Ginyu),DAMNNN these guys are not playing around
0:03:24,Kakaokomanden,RUN
0:03:25,President Cherry,BLACK MAN
0:03:25,Tamers12345,Run Manic!
0:03:25,Sven “The Mindtaker” Fletcher,MANIC NO\
0:03:26,Silver Feral Thunderbird,XD
0:03:27,JackelZXA,loll
0:03:28,Frank Brocker (M.C. Sausage),hover boarding
0:03:29,cloudy,OH NO
0:03:30,Scall0p,Manic nooooooooo
0:03:31,The Brown kid,I haven't thought about code lyoko in years lol
0:03:32,Calary Man,Is he black
0:03:33,bongo,AAA A BLACK MAN
0:03:33,Fooper899,NOOO
0:03:33,AnimeGames16,YOU KILLED SPORTACUS
0:03:35,JackelZXA,whos that black guy
0:03:36,Scarlet Horse,WTF Xana's black?
0:03:36,Sgt. Sandwich,FAK
0:03:38,Masada,real ulrich
0:03:39,Tamers12345,Xana...
