timestamp,author,message
0:00:00,Makoto Ikari,:blue_circle::blue_circle::waving_hand:
0:00:02,Videos for stuff: Probably mostly unlisted,Bardopnix!
0:00:04,cloudy,:blue_circle::blue_circle::waving_hand: LETS GO
0:00:06,BAVI,BRUH my internet went out as soon as it premiered I'm so pissed. I gotta watch it on my phone now
0:00:07,hotdogfarts,5
0:00:08,Sven “The Mindtaker” Fletcher,LET'S GOOOOOO
0:00:08,D R,:blue_circle::blue_circle::waving_hand:
0:00:09,doomman,matthew do you have any snoic undergorund games
0:00:10,FaDoodle,green poop= too much Gatorade
0:00:10,molwood,:blue_circle::blue_circle::waving_hand:
0:00:11,King Rolly Polly VII,I WAS HERE
0:00:13,cloudy,bartleby...
0:00:13,ChaosAngel,let's hope we get some aleena
0:00:14,Makoto Ikari,BARTLEBY
0:00:14,doomman,its starting woooo!!!
0:00:15,Frank Brocker (M.C. Sausage),KINO INCOMING
0:00:15,Worldly Mistake,lest go
0:00:15,Ikari,my toilet paper gets red when I wipe
0:00:17,cloudy,new intro awesome
0:00:17,VanVeleca,WOOOOOOOOOOT
0:00:18,RainbowHoodie,I love Bartleby!
0:00:18,hudzap,:yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart::yellow_heart:
0:00:19,junotonium,:blue_circle::blue_circle::waving_hand:
0:00:20,v101damnations,woah was bartleby just doing work
0:00:23,Silver Feral Thunderbird,Love the new intro
0:00:24,UndercoverFreakazoid,YAAAAAA
0:00:24,Wizards0nly,oh yes
0:00:24,Jimmy John Joe Jr.,IT'S TIME
0:00:27,cloudy,Damn hes sexy
0:00:28,Friki Tiki,classy
0:00:29,King Rolly Polly VII,NEW INTRO
0:00:29,hudzap,yessssssssss
0:00:29,tgrg jii,bartleby's buns....
0:00:31,FaDoodle,:blue_circle::blue_circle: :raised_hand:
0:00:32,King Rolly Polly VII,NEW INTRO
0:00:32,Macc1776,new OP lets go
0:00:33,Spectra,:blue_circle::blue_circle::waving_hand:
0:00:34,Bollard,I left work early for this
0:00:38,Jo3a5,jamming intro
0:00:40,Worldly Mistake,A classic already.
0:00:41,Haddock,KINO ALERT!
0:00:41,cloudy,really cool intro
0:00:42,Makoto Ikari,nice intro (●´ω｀●)
0:00:44,VanVeleca,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:00:44,RainbowHoodie,FLORA
0:00:45,El SkywardGonz,BANGER INTRO 
0:00:48,RognieRaygun,IM PUMPED
0:00:49,TheUnorthodoxHawk,anyone got any Sonic underground OCs? 
0:00:50,Tamers12345,I wanted to makes an opening like what if sonic underground came out in the 80s lol
0:00:52,tgrg jii,knuckles is the coolest echnida
0:00:53,oskarmoped,Damn this shit look gooood
0:00:54,Anonymous Anonymous,kino
0:00:55,Tamers12345,*make
0:00:56,cloudy,Mindy!!!
0:00:57,Sven “The Mindtaker” Fletcher,nice
0:01:01,Wizards0nly,mindy
0:01:06,RainbowHoodie,HIM
0:01:08,Deadbeat Husband,autism panties lol
0:01:09,RDMVidya,autism panties
0:01:10,Mudkip z,yo 2b
0:01:14,Anonymous Anonymous,that ass slap lmao
0:01:15,Catz Bell,Sonia X knuckles :red_heart:
0:01:19,Makoto Ikari,:fallen_leaf::fallen_leaf::fallen_leaf:
0:01:20,Sven “The Mindtaker” Fletcher,"Sick intro, man"
0:01:26,NaeNaerVvipen,:blue_circle::blue_circle::waving_hand:
0:01:29,cloudy,aw yeah bardonic ramen time
0:01:29,Lusterburn,Keep up the good work my niga
0:01:32,cloudy,:blue_circle::blue_circle::waving_hand:
0:01:32,RDMVidya,we classy today bois
0:01:33,FaDoodle,needs more jello puddin'
0:01:35,Silver Feral Thunderbird,Bardonic ramen!
0:01:35,RainbowHoodie,Amazing animation tamers
0:01:37,VanVeleca,wtf knuckles????
0:01:37,Makoto Ikari,Bardonic Ramen???
0:01:37,v101damnations,bardonic ramen
0:01:41,Chase Miller,"yo, that budget"
0:01:43,hotdogfarts,Damn that’s why it’s out late
0:01:43,Macc1776,bardonic ramen
0:01:44,Jo3a5,THE BARDONIC RAMEN
0:01:45,tgrg jii,ramen in crush...
0:01:45,ChaosAngel,real?
0:01:45,Veloci Raptor,Delicious
0:01:47,Ikari,oh no
0:01:48,Double J,bardonic ramen
0:01:48,Frank Brocker (M.C. Sausage),cuisine
0:01:48,Jimmy John Joe Jr.,i can't believe he animated this
0:01:49,CyberCop008,cup noodles. culturally relevant
0:01:49,Worldly Mistake,"A24 Kino, but better."
0:01:51,RainbowHoodie,Athair…
0:01:52,Makoto Ikari,it IS Bardonic Ramen
0:01:52,BAVI,oh my god
0:01:54,Agent_Mothman_SE,Making that Bardonic ramen TMDWU
0:01:54,Sven “The Mindtaker” Fletcher,Oh no
0:01:57,Rat Man,HOW DOES TAMERS MAKE FOOD LOOK SO GOOD??
0:01:59,El SkywardGonz,"Hmmm, now I'm hungry "
0:01:59,Friki Tiki,ayo
0:02:01,Tamers12345,Oh shit! Bardonic ramen?! :smiling_face:
0:02:01,RognieRaygun,"I was gonna make some manic and cheese today, but I'll have to make this instead"
0:02:03,Deadbeat Husband,the elvis special ramen
0:02:04,Dark Lord,divine ramen
0:02:05,Spectra,@Tamers12345 our Lord and savior is here
0:02:05,Catz Bell,food asmr
0:02:09,OneTrueElihym,lfg
0:02:10,bongo,this is gonna be a good one
0:02:10,Lusterburn,Hope to see some pants destroying flatulence 
0:02:12,Silver Feral Thunderbird,X'D
0:02:19,Jimmy John Joe Jr.,bardonic ramen!
0:02:21,The Host,The opening of Minuet and the autumn leaf transition goes so hard
0:02:24,Chase Miller,fridge is open
0:02:26,Juan Banuelos,exquisite food
0:02:28,doomman,this is so chill 
0:02:36,RainbowHoodie,He needs his bib…
0:02:36,Tamers12345,Athair has some pretty good good taste :face_savoring_food:
0:02:39,Silver Feral Thunderbird,LMAO
0:02:42,UndercoverFreakazoid,NIPPLE
0:02:42,Anonymous Anonymous,he really does
0:02:47,CyberCop008,Bardonic Ramen?? There's nothing blue in it
0:02:47,FaDoodle,Bardonicabanara
0:02:47,Chase Miller,"close the fridge, Knuckles"
0:02:49,tgrg jii,i'd pay for a bardonic bib
0:02:52,RainbowHoodie,Foodgasm
0:03:01,Makoto Ikari,:yellow_heart::blue_heart::steaming_bowl::face_savoring_food:
0:03:01,Sven “The Mindtaker” Fletcher,Ok
0:03:04,Wizards0nly,wow!
0:03:08,Silver Feral Thunderbird,D-dayumn..
0:03:10,ChaosAngel,I gotta make me some
0:03:11,Friki Tiki,blasphemy
0:03:11,CyberCop008,there is the blue
0:03:12,Jo3a5,damn
0:03:14,Makoto Ikari,:pill:
0:03:15,RainbowHoodie,KNUX
0:03:16,Sven “The Mindtaker” Fletcher,OH NO
0:03:17,Skooma,damn
0:03:17,Frank Brocker (M.C. Sausage),can i please be athair
0:03:18,Chase Miller,The Unknown!
0:03:21,Silver Feral Thunderbird,OMG
0:03:23,Shenanimation,WHAT IS THAT
0:03:23,VanVeleca,:blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:03:27,Jimmy John Joe Jr.,bruhhhh
0:03:28,Agent_Mothman_SE,SOME OJ SIMPSON
0:03:28,King Rolly Polly VII,WOAH UNIQUE ART
0:03:28,Double J,??
0:03:32,RognieRaygun,moist eyes
0:03:33,Blue Berry,my ramen turned green :(
0:03:34,RDMVidya,F
0:03:39,Silver Feral Thunderbird,This ep is brilliant thus far
0:03:40,Dylan Mackmyre,Finally made it for a live viewing
0:03:45,Rat Man,the juice is loose!
0:03:47,Agent_Mothman_SE,HE RACIST
0:03:50,tgrg jii,LMAO
0:03:51,Wizards0nly,a what////\
0:03:51,Chase Miller,!
0:03:53,VanVeleca,WHOA
0:03:55,Makoto Ikari,he said the h-word 0_0
0:03:56,Jimmy John Joe Jr.,THE HARD R
0:04:00,RDMVidya,WOAH
0:04:02,Double J,D: Racism
0:04:03,Dylan Mackmyre,"DINGO, GET AWAY FROM ME DINGO! DINGO GET AAAAAA"
0:04:04,UndercoverFreakazoid,!!!!
0:04:05,Topdod,Whew
0:04:07,nautist,the art style range in these videos is mind boggling
0:04:09,Silver Feral Thunderbird,Good to know the echidnas and hedgehogs are mutually racist
0:04:13,Tamers12345,:slightly_frowning_face:
0:04:15,ChaosAngel,based
0:04:16,Rat Man,Sonic is one of the good ones
0:04:22,v101damnations,Knux is strong for this
0:04:22,Jo3a5,LOL
0:04:25,oskarmoped,:broken_heart:
0:04:25,Rat Man,:sad_but_relieved_face::sad_but_relieved_face::sad_but_relieved_face:
0:04:26,Archon,my higgas in chat
0:04:28,RainbowHoodie,:red_heart::two_hearts::red_heart::two_hearts:
0:04:29,Videos for stuff: Probably mostly unlisted,lol
0:04:31,FaDoodle,:grinning_squinting_face::grinning_squinting_face:
0:04:31,GoldenJohn70,H****r :face_with_open_mouth:
0:04:32,cloudy,cute sonia
0:04:33,Ikari,terabitchia
0:04:34,Agent_Mothman_SE,Aww :red_heart::pink_heart:
0:04:34,Chase Miller,cute
0:04:36,Silver Feral Thunderbird,Lmao
0:04:37,VanVeleca,cute sonia
0:04:40,RDMVidya,cute
0:04:40,tgrg jii,sonia is so kawaii...
0:04:40,Jo3a5,cute
0:04:40,Makoto Ikari,cute sonia
0:04:43,Videos for stuff: Probably mostly unlisted,pff
0:04:44,Richard O'Brien,"It's pretty sad, but to be fair he's right about Bartleby being a better grandson"
0:04:45,Anonymous Anonymous,:face_with_spiral_eyes:
0:04:46,Wizards0nly,sad
0:04:47,Worldly Mistake,cute
0:04:50,Double J,:(
0:04:51,Macc1776,cute sonia
0:04:52,Tamers12345,This is pretty sad. Athair's a bitch
0:04:56,Double J,why he so rude
0:04:56,Sven “The Mindtaker” Fletcher,Athair deserves to be bullied
0:04:58,Anonymous Anonymous,:expressionless_face:
0:05:04,Silver Feral Thunderbird,Poor Knuckles...
0:05:05,El SkywardGonz,poor knuckles :crying_face:
0:05:05,Qe,Knuckles needs to stop bullying Athair
0:05:05,King Rolly Polly VII,I didnt know Althair was so cruel...
0:05:06,Shenanimation,"athair, what tainted your heart so..."
0:05:06,Friki Tiki,no wonder knuckles beats him so often
0:05:07,tgrg jii,knuckles isn't a disappointment
0:05:10,Silver Feral Thunderbird,"""Shitcomings"""
0:05:12,Chase Miller,Bartleby will put him in his place
0:05:12,Spectra,born in here play Archero
0:05:17,BAVI,This is truly a Romeo and Juliet story 
0:05:19,UndercoverFreakazoid,:loudly_crying_face:
0:05:20,CyberCop008,athair is a biggot. Am I supposed to be surprised?? Sanctimonius mummy!!
0:05:24,BAVI,2 families that dont approve of their love
0:05:25,RainbowHoodie,Poor knux
0:05:26,Jimmy John Joe Jr.,damn athair!
0:05:31,ehoskii,knux grind.
0:05:32,Makoto Ikari,shiny
0:05:35,Spectra,also does anyone here also play ninja must die
0:05:47,Tamers12345,@BAVI Yah bartleby is like romeo and sonic is like juliet
0:05:48,Chase Miller,Zohar phone
0:05:57,tgrg jii,right on the dining room table...
0:05:59,Silver Feral Thunderbird,Bruh X'D
0:06:02,Sven “The Mindtaker” Fletcher,nope
0:06:05,Friki Tiki,sonic has it all
0:06:05,Jo3a5,nope
0:06:07,Tamers12345,ha ha
0:06:12,El SkywardGonz,it's the titular bus! 
0:06:13,Frank Brocker (M.C. Sausage),bartleby using iphone??? someone get him an android right away
0:06:14,Jo3a5,lol
0:06:18,Anonymous Anonymous,bruh
0:06:29,cloudy,he brought eggs!
0:06:29,Catz Bell,saltine bones
0:06:31,Anonymous Anonymous,:expressionless_face:
0:06:33,Chase Miller,:egg2::egg2::egg2::egg2:
0:06:38,Jo3a5,boiled eggs again
0:06:39,RognieRaygun,YES BOILED EGGS
0:06:39,Silver Feral Thunderbird,Eggs?
0:06:40,FaDoodle,:egg2:
0:06:45,Catz Bell,like glass bones and paper skin from spongebob
0:06:51,El SkywardGonz,haha knuckles iconic boiled eggs 
0:06:54,Agent_Mothman_SE,LOL
0:06:55,VanVeleca,Is Athair gonna die this episode?
0:06:56,RainbowHoodie,OMG
0:06:58,Double J,funny
0:07:02,Silver Feral Thunderbird,X'D
0:07:04,Wizards0nly,LOL
0:07:04,Frank Brocker (M.C. Sausage),when did athair think he was the alpha
0:07:08,RognieRaygun,REVENGE
0:07:09,Sven “The Mindtaker” Fletcher,ATHAIR WATCH OUT
0:07:09,tgrg jii,based knuckles
0:07:09,Worldly Mistake,lol
0:07:10,Friki Tiki,"go knuckles, send him to blinky in hell"
0:07:12,FaDoodle,ride on the magic schooool bus :musical_note:
0:07:13,Sven “The Mindtaker” Fletcher,oh damn
0:07:14,Jimmy John Joe Jr.,LOL
0:07:15,Chase Miller,0
0:07:15,El SkywardGonz,DESERVED 
0:07:15,Shenanimation,knuckles was right to do this
0:07:16,oskarmoped,Damn son
0:07:17,RDMVidya,death
0:07:17,Silver Feral Thunderbird,Knuckles is savage
0:07:18,BAVI,Knuckles god damn
0:07:19,Double J,rip
0:07:19,Veloci Raptor,RIP
0:07:20,Rat Man,ice cold
0:07:22,UndercoverFreakazoid,:bus:
0:07:25,Frank Brocker (M.C. Sausage),HONESTLY
0:07:25,Graveyard Smash,based
0:07:32,Sven “The Mindtaker” Fletcher,uh oh
0:07:33,Agent_Mothman_SE,OH NO
0:07:33,Chase Miller,!!!
0:07:34,RainbowHoodie,BARTLEBY WOULD NEVER
0:07:34,Jo3a5,lol
0:07:36,VanVeleca,what............
0:07:37,BAVI,NO
0:07:38,Videos for stuff: Probably mostly unlisted,pff
0:07:42,tgrg jii,NO
0:07:42,ChaosAngel,real?
0:07:43,UndercoverFreakazoid,OMG
0:07:43,Silver Feral Thunderbird,WHO TF IS CINDY?!
0:07:43,Catz Bell,cherry pie :pie: :cherries:
0:07:43,Jo3a5,NO WAY
0:07:45,Anonymous Anonymous,Bartleby Rizzy
0:07:45,RognieRaygun,wat
0:07:45,Agent_Mothman_SE,HE WOULD NEVER
0:07:47,VanVeleca,This....This can't be real........
0:07:47,RognieRaygun,WAT
0:07:47,Jimmy John Joe Jr.,OH NO
0:07:47,Anonymous Anonymous,Gyatt
0:07:48,nautist,OH MY GODDDD
0:07:49,Rat Man,:astonished_face::astonished_face::astonished_face:
0:07:50,Catz Bell,dorime
0:07:50,King Rolly Polly VII,BARTELBY'S STRAIGHT!?!?!?!?!?!
0:07:52,Ikari,Bartleby is bi
0:07:53,VanVeleca,:eyes-purple-crying::eyes-purple-crying::eyes-purple-crying:
0:07:55,Jo3a5,IMPOSSIBLE
0:07:55,King Rolly Polly VII,NO WAY!
0:07:55,i3TVinc,lets goo
0:07:55,Anonymous Anonymous,Fugggggg
0:07:56,Dark Lord,he underestimates his gramps
0:07:56,Shenanimation,this can't be real...
0:07:57,Archon,this must be a mistake guys.
0:07:57,tgrg jii,THIS CANT BE HAPPENING
0:07:57,Tamers12345,:face_with_open_mouth: What the-!!
0:07:58,Double J,f:
0:08:00,Veloci Raptor,BARTLEBY WOULD NEVER
0:08:00,ChaosAngel,Bartleby would never
0:08:02,Double J,NOOO
0:08:02,bongo,cindy from jimmy neutron?
0:08:05,Jimmy John Joe Jr.,BARTLEBY WOULD NEVER
0:08:06,FaDoodle,they're always JUST friends
0:08:07,Friki Tiki,nothing is worth living for anymore...
0:08:08,Richard O'Brien,No way
0:08:08,Rat Man,the end of Bardonic?!
0:08:11,nautist,FROM THE DOLLAR STORE INTERACTION IT ALL MAKES SENSE NOW
0:08:11,Anonymous Anonymous,Bartleby is a polygamist
0:08:12,Macc1776,it's a donkey
0:08:14,trifixion,Fake news
0:08:17,Agent_Mothman_SE,BARTLEBY NOT STRAIGHT NOT NEVER
0:08:19,RDMVidya,FAKE
0:08:21,Chase Miller,that's my house in the back
0:08:22,Sgt. Sandwich,ITS NOT TRUE
0:08:24,Makoto Ikari,:crying_face:
0:08:24,trifixion,FAKE NEWS BARTLEBY WOULD NEVER
0:08:26,VanVeleca,Tamers...not like this.....
0:08:27,Tamers12345,Clearly there's a misunderstanding going on here. Bartleby would never cheat on his bitch
0:08:31,CyberCop008,I#m Team Bartindy
0:08:31,oskarmoped,It's a setup gotta be
0:08:31,VanVeleca,:eyes-purple-crying::eyes-purple-crying::eyes-purple-crying:
0:08:31,Friki Tiki,Brad was right to unalive himself
0:08:32,Silver Feral Thunderbird,THERE BETTER BE AN EXPLANATION FOR THIS OR I'M COMMITTING SUDOKU
0:08:37,tgrg jii,sonic is actually 3999 pounds
0:08:38,Big Shoes,:frowning_face:
0:08:40,Wizards0nly,its bartleby!!!
0:08:43,RainbowHoodie,LOL
0:08:45,Sven “The Mindtaker” Fletcher,No...Bardonic couldn't be broken...right?
0:08:50,Frank Brocker (M.C. Sausage),i trust in bartleby
0:08:52,tgrg jii,LOL
0:08:56,FaDoodle,Eat your feelings in chili dogs
0:08:56,cloudy,Damn cute bartleby
0:08:57,Sven “The Mindtaker” Fletcher,Deserved
0:09:01,Jo3a5,POUTY
0:09:02,Videos for stuff: Probably mostly unlisted,lol
0:09:02,Chase Miller,that hair... damn
0:09:03,Tamers12345,XD
0:09:03,Veloci Raptor,:face-green-smiling:
0:09:05,Catz Bell,Go yandere or ask questions hmm
0:09:07,Double J,good boy
0:09:07,Silver Feral Thunderbird,"Dayumn, got paddleballed"
0:09:17,v101damnations,that pout
0:09:21,RainbowHoodie,CINDY?!
0:09:23,Tamers12345,Aww Bartleby is so sweet
