timestamp,author,message
0:00:00,Accostrophe,pancakes 
0:00:00,Montythegold,I am watching The Heroes of Color City while eating Graham Crackers and Apple Juice
0:00:08,Sven “The Mindtaker” Fletcher,HERE WE GO
0:00:12,Wizards0nly,sonic underground!!
0:00:13,Jo3a5,minecrap
0:00:14,Cheeseandblood,:blue_heart::yellow_heart::red_heart::pink_heart::purple_heart::orange_heart::green_heart::orange_heart:
0:00:14,Eric Sol,hearts:yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:14,Kroe Waynes,:blue_circle::blue_circle::collision::waving_hand:
0:00:14,APE,when are we gettin' an official tamers12345 discord server?
0:00:15,Densa,Tamers is there a universe where Sonic and Bartleby aren’t in love?
0:00:16,HyperBomb,I WAS HERE
0:00:16,Frank Brocker (M.C. Sausage),one of my friends was talking to me about getting sonic x shadow generations and i just blocked him because he was a modern sonic fan lmao lucky i didnt beat his ass
0:00:16,Fonzinator573,wwwwwwweeeeeewwwww
0:00:17,jambean,Im:yellow_heart: ready :blue_heart:
0:00:19,APE,the fan ones are kinda mid
0:00:22,JackelZXA,lol
0:00:23,Tamers12345,@ChaosAngel Why would queen aleena be in this video? She'd old as fuck and this episode takes place at school
0:00:23,Squiggly line,kino is back on the menu Bois!! :clapping_hands::clapping_hands::clapping_hands:
0:00:29,Mecool2787 Ehfjdhgh,lol
0:00:32,Makoto Ikari,:brick:
0:00:34,Jo3a5,lol
0:00:39,VanVeleca,:green_circle::green_circle::waving_hand:
0:00:40,APE,SO TRUE MANIC
0:00:42,RDMVidya,No girls
0:00:44,Miriam,Where is that big guy got butt?t
0:00:44,leeroy newman,owned
0:00:44,Mecool2787 Ehfjdhgh,XD
0:00:47,ChaosAngel,:purple_circle::purple_circle::waving_hand:
0:00:50,JackelZXA,they ruined minecraft when they added alex
0:00:52,Haddock,Whoa stinky
0:00:59,Mervle,quality braps
0:01:04,Neon Frost,gurls smh
0:01:06,Diaro,ugh... girls..
0:01:07,leeroy newman,based
0:01:10,Mervle,manskids
0:01:10,El SkywardGonz,TRUE
0:01:13,Double J,where sonic underground get money for console and videogames?
0:01:14,Makoto Ikari,manga
0:01:14,Diaro,who??
0:01:16,APE,manic spitting facts this episode
0:01:16,Tamers12345,:face_with_rolling_eyes:
0:01:20,Jo3a5,yugi
0:01:21,jambean,das rite steve
0:01:24,Montythegold,they should add poop to minecraft
0:01:26,Wizards0nly,LOL
0:01:27,JackelZXA,lmao
0:01:30,Scall0p,Uncle Chuck is such an artist 
0:01:31,VanVeleca,CHUCK???
0:01:32,Diaro,damn uncle chuck draws almost as good as tamers himself
0:01:33,ChaosAngel,weeb
0:01:34,Shenanimation,Sonic is correct.
0:01:35,Bunnay Boo,Uncle Chuck :smiling_face_with_hearts::smiling_face_with_hearts:
0:01:35,Taylor,"""no"""
0:01:36,SpookyMagazine,why is Sonia such a woman?
0:01:37,Friki Tiki,leave it to Sonia to ruin minecraft
0:01:46,meeweehehehe,daddy <3
0:01:50,Makoto Ikari,:crying_face:
0:01:50,Diaro,sonic looking cute
0:01:51,Busters,can't wait to see uncle chucks manga
0:01:55,Jo3a5,yes
0:02:00,JackelZXA,middle school?
0:02:02,Kdude2704,uncle chuck would be great he loves kids
0:02:03,Cudda.☆,Sonia you are pooping on my butt
0:02:03,Double J,oh no
0:02:04,Jo3a5,chuck needs the rocgnition
0:02:04,RDMVidya,Fat
0:02:05,doomman,"sonia would kick they ass in minecraft though , she ruins the game for efficiantcy "
0:02:06,Wizards0nly,Mr. Uncle Chuck
0:02:08,Flyingoverthetrees,I thought he wasn’t allowed near children after Halloween
0:02:13,Tamers12345,This is so sweet
0:02:13,JackelZXA,i don't know if uncle chuck should be around that many middle schoolers....
0:02:17,El SkywardGonz,I would assume uncle chuck isn't allowed near a school zone
0:02:20,Mecool2787 Ehfjdhgh,bro what
0:02:20,Sven “The Mindtaker” Fletcher,Chonicbros...
0:02:24,THX9000SC,Too fat to graduate.
0:02:24,UndercoverFreakazoid,the emotions right out of the gate goddamn
0:02:26,RDMVidya,LOL
0:02:30,Agent_Mothman_SE,o7
0:02:30,Neon Frost,so sad
0:02:30,JackelZXA,especially in a school as sexy as sonic's 
0:02:32,Tamers12345,Uncle Chuck isn't a pedophile
0:02:34,Kroe Waynes,chuck would instill some discipline in those kids!
0:02:35,Bobby Boon,this is so good
0:02:38,Miriam,Bro couldn’t hold it in
0:02:39,jambean,kawaii draft desu
0:02:41,Shenanimation,"Don't worry,we'll never have to worry about a draft again."
0:02:43,Makoto Ikari,menacing
0:02:43,MAGADallasCowboysFan69,make more Queen Aleena she's sexy
0:02:44,Wizards0nly,oh no...
0:02:45,Neet Chan,subtitles didnt match smh
0:02:45,Sven “The Mindtaker” Fletcher,OH NO
0:02:46,meeweehehehe,uncle chuck is so patriotic
0:02:48,Scall0p,Do wholesome 
0:02:51,Diaro,that face..
0:02:51,doomman,"im graduating highschool , this comes perfectly in sync with my life , im crying"
0:02:52,Deadbeat Husband,nefee
0:02:53,Double J,i don't believe you
