timestamp,author,message
0:00:00,Very Naisu,3
0:00:01,DogTierJade,im so pumped
0:00:01,Nut Dude,:blue_circle::blue_circle::clapping_hands:
0:00:01,Very Naisu,2
0:00:02,K C,:blue_circle::blue_circle::open_hands:
0:00:04,Content Consumer,i cannot contain myself
0:00:05,AgileTurtlez,0
0:00:05,Mimi Nani,oooohhhh shit
0:00:06,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,69
0:00:08,Scall0p,So excited :blue_circle::blue_circle::waving_hand:
0:00:08,Nut Dude,:blue_circle::blue_circle::clapping_hands:
0:00:08,Scar Drago,:blue_circle::blue_circle::water_wave:
0:00:09,Spaghetti The Enforcer ,Mindy's dad x Sonic's mom??????
0:00:10,Tamers12345,Bartleby would have his own youtube intro. He's just that rich
0:00:11,Mark Zuckerberg,:blue_circle::blue_circle::waving_hand:
0:00:11,Shenanimation,let's goooo
0:00:12,Dokkir,:hot_dog:
0:00:13,fryderweeniepopo,Oh no
0:00:13,Wykkyd Mō,WOOHOO!
0:00:13,AleenaEnjoyer,:blue_circle::blue_circle::waving_hand:
0:00:14,AleenaEnjoyer,:blue_circle::blue_circle::waving_hand:
0:00:14,AgileTurtlez,im going super sonic
0:00:15,AleenaEnjoyer,:blue_circle::blue_circle::waving_hand:
0:00:16,Makoto Ikari,Egypt!
0:00:17,Adequate,This is gonna be good
0:00:22,AndyLosHorns,badass
0:00:23,Fridge,:blue_circle::blue_circle::waving_hand:
0:00:24,K C,audio quiet
0:00:25,Succulent Turnips,here we go fellas!
0:00:27,bittermoo,LET'S GO
0:00:28,Tiki2970 (Ginyu),JUST IN TIME
0:00:29,Dokkir,Bartleby should just buy youtube
0:00:32,Shenanimation,that's what egypt sounds like
0:00:33,Tamers12345,Bartleby isn't just rich in money. He's rich in happiness and friends as well
0:00:35,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,Oh damn
0:00:35,Deadman Wonderland,Where bartleby?
0:00:46,/ᐠ。ꞈ。ᐟ\,I think of bartleby always
0:00:49,Fkealmatter.,bros black fr
0:00:49,K C,duh
0:00:57,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,:hot_face:
0:00:57,Truant,yo they got drip
0:00:58,Tiki2970 (Ginyu),H-haha...
0:00:59,bittermoo,KNUCKSONIA 4 LIFE!! 
0:01:01,AleenaEnjoyer,I wonder how Jared is doing with his Pa gone
0:01:04,Dokkir,lmao
0:01:04,Henry Holiday,LMAO
0:01:07,Very Naisu,KEK
0:01:09,CrackSmokingWarlock x,KEK
0:01:09,Lenny the Ghoul,lmao
0:01:11,Very Naisu,NOOOO CYRUS
0:01:11,Wykkyd Mō,lmao
0:01:12,Mervle,based
0:01:13,Smudge,I sure hope Trevor does a BIG FARTYEEEEAAAAAH
0:01:13,AndyLosHorns,lool
0:01:16,Tiki2970 (Ginyu),Sexy
0:01:21,Carter Chadwell,lol
0:01:21,the awesome man,HA
0:01:22,Spaghetti The Enforcer ,ahh
0:01:23,The Real Estate Estalt,I DON'T GET IT
0:01:23,Truant,cant waste perfectly good food
0:01:24,The Real Estate Estalt,OH
0:01:25,Makoto Ikari,:mouth::sandwich:
0:01:25,DogTierJade,shid santwich
0:01:25,The Real Estate Estalt,KEKEKEKEKEEK
0:01:34,Scar Drago,FUNNNYYYY
0:01:34,Tiki2970 (Ginyu),Bartleby <3
0:01:37,Cton95,Common Manic W
0:01:39,Wykkyd Mō,BARTLEBY!!!
0:01:39,AndyLosHorns,uhuh
0:01:40,Very Naisu,jacob
0:01:40,Tamers12345,Jared seems to be holding up well now that pa is dead. Hanging out with the boys and drinking cola:slightly_smiling_face:
0:01:40,AgileTurtlez,THE ANIMATION IS SO GOOD
0:01:40,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,lmao
0:01:41,Videos for stuff: Probably mostly unlisted,LOL
0:01:43,Dokkir,Based Jacob
0:01:46,Henry Holiday,Jacob the hedgehog 
0:01:48,Tamers12345,:red_heart: bartleby
0:01:49,Wizards0nly,mindy is so hot
0:01:50,Tiki2970 (Ginyu),Hot Mindy
0:01:50,Videos for stuff: Probably mostly unlisted,why doesn't Bartleby know his US politics though?
