timestamp,author,message
0:00:00,@Sprout.lov3rr,ITS STARTINGGMFNFNFNF
0:00:00,@astrosbigbehind,1
0:00:00,@Abit2silly123films,do you know who else has dementia?
0:00:01,@The_Moon_Nighty,Oneeeee
0:00:01,@XxZ0MB1E_K1TTYxX,I better see Teagan or I'm going to cry
0:00:01,@LilNiceDudeYT,IM WAITING 
0:00:02,@VulpineOnlineYT,DAAAAAAAAAAAAANDDDDY
0:00:02,@sofie_therian_life,omg
0:00:02,@KaiLeeMarieWaters,11 seconds 
0:00:03,@sharky1727,hi
0:00:03,@Ash3r_Dandy,AGHH
0:00:03,@Abit2silly123films,do you know who else has dementia?
0:00:03,@applebloom2307,OGHHHHHHH
0:00:04,@Angelilockedaway,COSMOOOOOO
0:00:04,@camilahayliecuadrosmartine7827,OMGG
0:00:04,@Twilight_Animatess,OWAAAAH
0:00:04,@neophila_form_neptune,AWWWWwWWwW
0:00:04,@Marce-s9g7x,dandddyydyx
0:00:05,@Ariesdevil010,let's go
0:00:05,@randomperson_smth,"ITS AT FUCKING 3 AM FOR ME ,I HAVE PRIORITIES!!!!!!!!"
0:00:05,@OG_SH4P3SH1FT3R,HI DANDY
0:00:06,@Serial_Designation_N111,TAMERS KISS ME
0:00:06,@Cosmocosmicbear,YAY
0:00:06,@karmamartin6045,yeeeeeeeeeeees
0:00:06,@Travis-n5e,YEASSSS
0:00:06,@GIGITHESTAR,HIIII
0:00:06,@Lunas_KewlEdits,AHHHHH
0:00:07,@Abit2silly123films,do you know who else has dementia?
0:00:07,@XxZ0MB1E_K1TTYxX,YEAHHHHHH
0:00:08,@Those_Robloxgamersz,DANDYYYYYYYYYYY
0:00:08,@TonyTheTalkingClock-DHMIS,DANDYYYY
0:00:08,@OtgoOchir,k
0:00:09,@GREMLINWATER,YESSS
0:00:09,@saratakromah5246,:smiling_face_with_hearts::smiling_face_with_hearts:
0:00:09,@JakesFavorites,Good thing I'm already on the toilet
0:00:09,@M0szDaFoxx,HI DANDY
0:00:09,@sprout-seedly_cosmos,AAAAHHHHHHHH
0:00:10,@Caprisuns-c8t,OH MY GODDDDDDD
0:00:10,@xnxexoxmxax,OMGOMGOMF
0:00:10,@STR48ERRY,2
0:00:10,@Bluudude-123-o8q,Hi
0:00:10,@Twilight_Animatess,UWAAAH
0:00:10,@4CE_25,DANYD DNAYD DANDY DANDY DANDY DANDY DANDY DANDY DANYD DANDY DANDY DANDY DANDY DANDY DANDY DANDY DANDY DANDY DANDY DANDY DANDY DADDY DANDY DANDY DANDY DANDY DANDY DADNDY DANDY DANDY DANDY DANDY DANDY
0:00:10,@PanCakGaming,TAMERS TAMERS TAMERS WOOOOO
0:00:10,@Abit2silly123films,do you know who else has dementia?
0:00:10,@Marshimelow123ofc,HI BALD
0:00:11,@1Frostbyte11,OMGGG
0:00:11,@cattleyaotto6721,YAAAAAYYYY
0:00:12,@Majestic_My4,YATAYAYAYAYAA
0:00:12,@Flamingos1FAN-p5o,DANDY HIIII
0:00:12,@sammy2kiss,I swear tamers is so family friendly
0:00:13,@Abit2silly123films,do you know who else has dementia?
0:00:13,@OG_SH4P3SH1FT3R,YAYAYAY
0:00:13,@Caprisuns-c8t,AHHHHHHHHH
0:00:14,@XxZ0MB1E_K1TTYxX,WOAHHHHHH
0:00:14,@SH3LLY2.0,YAYAYAYAYY
0:00:14,@Bolt_y_sus_aventuras,omg vamooooooooooooooooss
0:00:15,@Cosmocosmicbear,COSMO 
0:00:15,@Twilight_Animatess,UWAAAH
0:00:16,@jellybean123-hai,DANDYCUS DANSIFER
0:00:16,@djdjdjjwjs,FINNNNNNN PLEASE
0:00:16,@sofie_therian_life,MGMGMG
0:00:16,@Those_Robloxgamersz,HIIIIIIIIII OKG
0:00:16,@Purple_FromAmongUs,1
0:00:17,@Mazevr-i9o,Yesss
0:00:17,@HGGamerGirl-mlpm8,PART 2
0:00:17,@sprout-seedly_cosmos,AAAHHHHHH
0:00:17,@MonkeyButtOfficial,Hhhjjjjh
0:00:17,@GREMLINWATER,YAY
0:00:17,@Majestic_My4,HIIIIII
0:00:17,@LilNiceDudeYT,YASSSSSS
0:00:18,@Caprisuns-c8t,IM SHIVERING
0:00:18,@PanCakGaming,WOOOO TAMERS WOOOO YAY 
0:00:18,@BFDI_Lover564,it’s starting
0:00:18,@CRYSTALPLAYZZZ-t7u,YESS
0:00:18,@XxZ0MB1E_K1TTYxX,WOOOOOOOO
0:00:18,@Flowers526-o7y,YES
0:00:18,@Those_Robloxgamersz,OMG
0:00:19,@1Frostbyte11,ITS DA GAYS
0:00:19,@WAFFLE-t4w,hiiii
0:00:19,@Cosmocosmicbear,PLS
0:00:19,@gamertuberonmask,PART 2?!
0:00:19,@Cartoonkyanimation,:D
0:00:21,@Caprisuns-c8t,ASTRO
0:00:21,@Flamingos1FAN-p5o,BERRYFLOWER I LOVEEE
0:00:21,@Abit2silly123films,DANDY DO YOU LET IT CRUST
0:00:21,@Oldmandoingadance,OMG OMG OMG
0:00:22,@STR48ERRY,DANDY
0:00:22,@MonkeyButtOfficial,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-orange-frowning::face-fuchsia-wide-eyes::face-orange-frowning:
0:00:22,@Twilight_Animatess,OOH
0:00:22,@kianiik1325,DANDDYYY
0:00:22,@Angelilockedaway,OMG
0:00:22,@M0szDaFoxx,PART TWO!!!!
0:00:23,@Purple_FromAmongUs,ITS STARting
0:00:23,@Those_Robloxgamersz,OH
0:00:23,@gamertuberonmask,YESSIR
0:00:24,@Caprisuns-c8t,ASTOES
0:00:24,@applebloom2307,No probably
0:00:24,@karmamartin6045,woooooooooooh whoooooooo
0:00:25,@LilNiceDudeYT,YOOOOOOOOO
0:00:26,@PWUDDING_1,MOONFLOWERMOONFLOWERMOONFLOWER
0:00:26,@Yourlocalexpiredmilk,YES
0:00:27,@xuanlam6925,1
0:00:27,@Peejaylew,LEIOESLEHEHH
0:00:28,@kianiik1325,I LOVE UU
