timestamp,author,message
0:00:00,cloudy,"Tamers is right, every other SU character pales in comparison to Bartleby"
0:00:01,Wykkyd Mō,HERE WE GO
0:00:02,Tamers12345,:blue_circle::blue_circle::waving_hand:
0:00:03,Truant,ITS TIME SU FANS
0:00:04,Blondie: Electric Boogaloo,:blue_circle::blue_circle::waving_hand:
0:00:04,Haddock,"I love Flora, Charlie! I love Flooooora!"
0:00:05,Ditzy Jo,LET'S GO
0:00:05,AleenaEnjoyer,"Oh god i'm genuinely so sorry, I was just making a funny joke lol"
0:00:06,cloudy,ITS TIME!!!!
0:00:07,cloudy,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:08,Makoto Ikari,$3
0:00:09,Wykkyd Mō,LEEEEEEEEETTTSSSSS GOOOOOO
0:00:09,Ditzy Jo,TIME FOR KINO
0:00:10,Sven “The Mindtaker” Fletcher,WOOOO
0:00:10,Tamers12345,Lol it's like Bartleby spanking Sonic :blue_circle::blue_circle::waving_hand:
0:00:12,Bunnay Boo,"You're right Tamers, Chuck is better"
0:00:12,SonicMatrix64,Bartleby>Aleena>everyone else
0:00:13,BioSkrall97,Bartleby is a Gay Icon
0:00:13,Fan-Doodle,Woooooo!
0:00:15,Belicure,ALEEEN AYES
0:00:15,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:16,Scall0p,It’s starting 
0:00:16,Kroe Waynes,give aleena a beer or 4!
0:00:18,Wizards0nly,:rolling_on_the_floor_laughing:
0:00:20,alejokaiser,:blue_circle::blue_circle::waving_hand:
0:00:21,RDMVidya,3 dollars
0:00:22,DatNeonFox,Oh my god
0:00:22,Silver Feral Thunderbird,YAY
0:00:23,VanVeleca,aw yeah alcoholic Aleena
0:00:23,Tiki2970 (Ginyu),ALEENA MY BELOVED
0:00:25,Polar,:blue_circle::blue_circle::waving_hand:
0:00:25,Blondie: Electric Boogaloo,HOT
0:00:26,Pitshoster,yes aleena!
0:00:27,AnimeGames16,:purple_circle::purple_circle::waving_hand:
0:00:29,Jerrel-O,YAAY ALEENA
0:00:30,JackelZXA,hell yeah
0:00:30,bitc,:blue_circle::blue_circle::waving_hand:
0:00:32,AnikiPlay,oh gid
0:00:32,cloudy,sonia is so cute
0:00:33,Truant,love the outfits!
0:00:33,JackelZXA,woah 
0:00:34,Shenanimation,zoowee mama
0:00:36,Chase Miller,There are people who wish they were that cup
0:00:38,Pitshoster,hot...
0:00:43,Tamers12345,I hope we get to see Sonic joust somebody~:crossed_swords:
0:00:46,Blondie: Electric Boogaloo,:purple_circle::purple_circle::waving_hand:
0:00:48,Ace4573,cool look
0:00:49,Belicure,Aleena looks perfect
0:00:49,BioSkrall97,Ooh shish Aleena lookin :flushed_face:
0:00:51,VanVeleca,omg mini Sonia shoulder angel
0:00:53,DatNeonFox,Their fits are so good ^_^
0:00:55,Silver Feral Thunderbird,lmao
0:00:57,AleenaEnjoyer,My liege....
0:00:57,Sven “The Mindtaker” Fletcher,LMAO
0:00:59,Javacoolman ,Hahaha!
0:01:02,Jerrel-O,BRO
0:01:02,SonicMatrix64,DAAAAAAAAAAAmn
0:01:03,Wizards0nly,:purple_heart:
0:01:03,Neon Frost,lmao
0:01:08,Makoto Ikari,lol
0:01:08,Truant,SHEEEESH
0:01:09,cloudy,BARTLEBY
0:01:09,JackelZXA,aleena should kiss sonia on the mouth to reward her loyalty
0:01:09,Kroe Waynes,golden speedo bartleby!
0:01:12,Steven Bennett Studios,sup again tames
0:01:13,Shenanimation,sonic lookin suave
0:01:17,AnimeGames16,BARTLEBY
0:01:17,Wizards0nly,UNCLE C
0:01:18,cloudy,HES SO SEXY
0:01:18,Tamers12345,Sonia is so nice even if she's stupid 
0:01:19,bitc,damn bartleby'
0:01:19,Tiki2970 (Ginyu),She's so cute omgggggggg
0:01:20,James Andrew,Bartelby the barbarian!
0:01:21,Wendy Ann ChadWick,:slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :red_heart: :red_heart: :red_heart: :red_heart: 
0:01:21,bitc,'s hot
0:01:23,Javacoolman ,KOL
0:01:24,Pitshoster,lmao
0:01:25,Silver Feral Thunderbird,Bartleby spittin facts lol
0:01:25,Bunnay Boo,lol
0:01:26,VanVeleca,TIDUS????
0:01:26,Scall0p,Good advice Aleena 
0:01:27,Makoto Ikari,Titus
0:01:27,Belicure,ITS HOM
0:01:27,Alice Hernandez,uncle chuck lore
0:01:27,Kroe Waynes,tidus???
0:01:28,Steven Bennett Studios,oh how much I hate pedophiles...
0:01:29,Friki Tiki,where in the su universe where there isn't pedos?
0:01:29,Belicure,THE HEALER
0:01:30,Tamers12345,Woah... Bartleby looks like THAT?!
0:01:30,Tiki2970 (Ginyu),Titus
0:01:31,Kroe Waynes,from ffx???
0:01:33,Javacoolman ,LMAO
0:01:33,DatNeonFox,LMAO
0:01:35,JackelZXA,i'm surprised bartleby was listening to what aleena said
0:01:36,American Goblin,lore
0:01:36,Cheeseandblood,oh it's the scamming guy
0:01:37,SomePinkCow,everyone looks great here
0:01:40,Belicure,wait didnt he get robotocise?
0:01:42,Silver Feral Thunderbird,Whoa lore!
0:01:43,The Mighty Xsaros,:blue_circle::blue_circle::waving_hand:
0:01:45,Scall0p,Based knuckles 
0:01:48,Chase Miller,he looks like that one Nebula cartoon
0:01:48,Wendy Ann ChadWick,:slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: 
0:01:49,Belicure,bullshit bartleby didnt save the day that time
0:01:49,Jerrel-O,I remember this guy
0:01:50,Bunnay Boo,LORE
0:01:51,AnimeGames16,Uh oh..
0:01:53,Wizards0nly,damn
0:01:53,ChortlesJ,"Damn, what a callback to a classic episode"
0:01:54,bitc,"enough of this joker, show us more BARTLEBY"
0:01:54,Fan-Doodle,Evil bartle twin 
0:01:55,Belicure,i sawthat episode
0:01:56,Tamers12345,Was that clip from insie of Bartleby's house?!
0:01:56,Steven Bennett Studios,I trolled zoophiles on X (formally twitter)
0:01:57,Pitshoster,based Bartleby
0:01:59,Nini Panini,gay people also make me mad
0:01:59,AleenaEnjoyer,Reminder he almost got Sonia robotisized
0:02:00,Truant,this guy is donezo
0:02:02,A Dream Called Eternity,lil cheeks
0:02:05,VanVeleca,Faygo
0:02:11,Truant,damn
0:02:13,RDMVidya,WOAH
0:02:13,Tiki2970 (Ginyu),Oh i remember the robopichu ep
0:02:14,JackelZXA,he said it!
0:02:15,Belicure,well yeah but still
0:02:19,Alice Hernandez,kino hair
0:02:19,DatNeonFox,Woag that’s not cool donezo
0:02:19,Deadman Wonderland,Lol
0:02:20,Belicure,how is he not a robot?
0:02:21,Scall0p,Damn his cheeks are small
0:02:23,Tamers12345,Tidus up to his old tricks again...
0:02:24,The Shruggernaut,He just said a bad word
0:02:24,Pitshoster,the lore
0:02:25,Friki Tiki,i remember that ep
0:02:26,Biggedup Chucks,THAT BOMB
0:02:26,aSpookySkeleton,how is knuckles a cool echinida and a homophobe?
0:02:27,Belicure,Wait thats the bomb from that episode!!!
0:02:28,Kroe Waynes,hardly more expensive than beer
0:02:32,Stonefang,@Tamers12345 You make the world a better place 
0:02:35,JackelZXA,sonia's shoulders are pretty good for a femoid
0:02:36,Friki Tiki,lore!
0:02:38,Kroe Waynes,tamers going for the deep lore
0:02:38,Wendy Ann ChadWick,i am a 29 year old adult werewolf pack leader and i have adult werewolf autism :slightly_smiling_face: 
0:02:38,Sven “The Mindtaker” Fletcher,OH LORD
0:02:42,Silver Feral Thunderbird,Wow lotta lore
0:02:46,AleenaEnjoyer,LMAO
0:02:47,jak harkness,oh baby
0:02:49,JackelZXA,lol
0:02:50,ChortlesJ,KNUCKLES LORE?
0:02:50,Jrode,He said that!
0:02:51,Ditzy Jo,MORE LORE LET'S GO
0:02:52,Haddock,Okay this is hot
0:02:53,Silver Feral Thunderbird,LMFAO
0:02:53,Scall0p,Let’s go lore time
0:02:53,Lichzim The Great,Lmao
0:02:53,Pitshoster,lol
0:02:55,cloudy,toothpick the echidna??
0:02:57,SomePinkCow,man
0:02:59,Steven Bennett Studios,puch
0:03:00,Wizards0nly,Chicken salad?!!?
0:03:00,Wendy Ann ChadWick,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
0:03:02,alejokaiser,Oh no
0:03:03,Mr. Guydude,PENDER'S GONNA FREAK
0:03:03,Steven Bennett Studios,punch*
0:03:04,Tiki2970 (Ginyu),Toothpick the echidna
0:03:08,Kroe Waynes,"priorities, toothpick!"
0:03:09,BioSkrall97,Ooh we gettin hot now
0:03:09,VanVeleca,peener
0:03:10,cloudy,LMAOOO
0:03:10,American Goblin,Chad 
0:03:13,Javacoolman ,HAHAHAHA
0:03:17,Alice Hernandez,too intense for me
0:03:18,Silver Feral Thunderbird,X'D
0:03:22,jak harkness,theres always time for rake
0:03:23,Pitshoster,priorities are in order
0:03:24,Tamers12345,Damn these Echidnas are crazy
0:03:26,VanVeleca,Nobody let Ken Penders see this
0:03:28,JackelZXA,lmao
0:03:35,Kroe Waynes,"damn, thats a real catastrophe"
0:03:36,Wizards0nly,LOL
0:03:37,Tamers12345,I hope the echidnas don't die
0:03:38,AleenaEnjoyer,The Floating Islands are falling all over again :(
0:03:43,Bunnay Boo,Lil Knux :smiling_face_with_smiling_eyes:
0:03:44,JackelZXA,goddamn
0:03:45,Blondie: Electric Boogaloo,Blackface echidna
0:03:47,Truant,where will they go tho? its an island
0:03:47,Steven Bennett Studios,end of the landscape
0:03:47,JackelZXA,all the echidnas are dying
0:03:50,Sven “The Mindtaker” Fletcher,poor Echidnas...:tired_face:
0:03:50,Tiki2970 (Ginyu),Wait what does penders have to do with this
0:03:51,AleenaEnjoyer,i've still got ptsd from that episode
0:03:53,AnimeGames16,BLACKFACE?!
0:03:55,Mr. Guydude,Deep echidna lore
0:03:55,cloudy,noo the echidnas :(
0:03:56,VanVeleca,"Oh who are we kidding, Bartleby would just beat up Ken if he ever dared threaten Tamers"
0:04:00,Dr. Oswald,lore
0:04:02,Andy N,damn im 5 minutes late and now we got a LORE DUMP
0:04:06,Javacoolman ,LOL
0:04:08,Scall0p,Damn this how they become the last two echidnas 
0:04:10,Makoto Ikari,:shark::shark::shark:
0:04:11,The Shruggernaut,Grouping and pooping
0:04:16,Silver Feral Thunderbird,I'm choking rn
0:04:16,Kroe Waynes,succulent salsbury steaks
0:04:18,James Andrew,Just jump before you hit the ground dummys 
0:04:20,just some random guy named sam,yooo what's up TAMERS
0:04:20,cloudy,That yellow echidna is kinda hot
0:04:23,Makoto Ikari,:shark:
0:04:26,Shenanimation,"knuckles could take a shark, low diff"
0:04:31,RDMVidya,17 DAYS
0:04:32,Belicure,OH MY GOD
0:04:35,jak harkness,rip
0:04:35,Neon Frost,damn
0:04:36,ChortlesJ,Now I want some delicious Salisbary Steak
0:04:36,Javacoolman ,Nice butt!
0:04:37,Sven “The Mindtaker” Fletcher,Oh lord
0:04:37,JackelZXA,lmao
0:04:38,SomePinkCow,rip
0:04:39,Friki Tiki,they really jumped the shark in this one
0:04:39,RogueKaiser,RIP
0:04:41,Alice Hernandez,brutal
0:04:41,Pitshoster,rip
0:04:42,Shenanimation,hahahahahah
0:04:42,James Andrew,Well now the shark is full
0:04:43,alejokaiser,F
0:04:43,EpicFifaGameplay,OH NO
0:04:43,Sturgis,NOOOOOOOOO!
0:04:43,Sven “The Mindtaker” Fletcher,WHOOO
0:04:45,James Andrew,so now try
0:04:45,VanVeleca,@cloudy I agree
0:04:45,Lichzim The Great,Rip
0:04:47,Wendy Ann ChadWick,like i just said i am a 29 year old adult werewolf pack leader and i have adult werewolf autism
0:04:47,Silver Feral Thunderbird,LMFAO
0:04:48,AnimeGames16,F
0:04:48,Truant,NOOOOO they died
0:04:49,Tamers12345,f
0:04:50,Belicure,this is horrible!! D:
0:04:51,JackelZXA,all the echidnas got eaten by sharks...
0:04:51,mitch jones,Nooooooo
0:04:53,Alice Hernandez,kino
0:04:53,RogueKaiser,I'd jump too
0:04:53,Ditzy Jo,No they're going to die
0:04:54,jak harkness,so may f
0:04:55,Javacoolman ,LOLLL
0:04:55,G VAN,f
0:04:55,Sturgis,F
0:04:56,Fan-Doodle,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
0:04:57,Truant,what a way to go
0:04:57,Wizards0nly,NOOOOOOO
0:04:57,Mr. Guydude,F
0:04:58,Nightman,Wtf
0:04:58,Haddock,Oh my gosh.
0:04:58,The Mighty Xsaros,f
0:05:01,cloudy,rip the echidnas
0:05:01,Sven “The Mindtaker” Fletcher,F
0:05:02,Haddock,So many died.
0:05:02,Pitshoster,f
0:05:04,Wendy Ann ChadWick,and also do not blame me
0:05:05,Wally Cheung,f
0:05:08,VanVeleca,It's like that one story with the guinea pigs or something
0:05:09,Alice Hernandez,where is the fair?
0:05:10,Dr. Oswald,:red_circle::red_circle::waving_hand:
0:05:10,LiveseyKnight,Ken Penders wishes he could create such awesome echidna lore
0:05:10,RDMVidya,F
0:05:10,DatNeonFox,"No way,."
0:05:12,Deadman Wonderland,f
0:05:12,Tamers12345,This is so sad... :sad_but_relieved_face:
0:05:12,Makoto Ikari,lmao
0:05:13,Paul Nihill,Millions must die
0:05:14,Sturgis,pool’s closed
0:05:15,Scall0p,The yellow one reminds me of Bartleby 
0:05:16,Fan-Doodle,Duces!
0:05:19,Javacoolman ,HAHAHHAA
0:05:22,Shenanimation,the famous Tidus laugh
0:05:22,EpicFifaGameplay,this is terrbile oh god
0:05:23,Dr. Oswald,tragic
0:05:25,Silver Feral Thunderbird,OMG
0:05:26,EpicFifaGameplay,oh no
0:05:27,Nightman,Oh shit
0:05:30,Wendy Ann ChadWick,and also i'm just waiting for fall to get here
0:05:30,JackelZXA,exactly for moments like this
0:05:30,RDMVidya,lmao 
0:05:31,VanVeleca,Dora cameo omg
0:05:31,James Andrew,lol
0:05:32,cloudy,lovely balloon
0:05:32,EpicFifaGameplay,the pain
0:05:33,Mr. Guydude,It's okay we all make mistakes
0:05:33,Shenanimation,hahahahahaha
0:05:34,Wizards0nly,yay
0:05:35,RDMVidya,DORA
0:05:35,Alice Hernandez,kek dora
0:05:37,Truant,rip to all those enchidnas
0:05:39,Stonefang,Tidus might be the next great villain of our generation.
0:05:41,Pitshoster,kek
0:05:44,Tiki2970 (Ginyu),What happened to knuckles' parents. Arent they technically still alive
0:05:44,Tamers12345,I can't believe the echidna race is gone..
0:05:46,Makoto Ikari,O _ O
0:05:47,Pitshoster,:balloon:
0:05:48,WizzardSupreme,KEK
0:05:50,AnimeGames16,DORA 
0:05:50,Blondie: Electric Boogaloo,BASED
0:05:50,Truant,BRO
0:05:50,Sturgis,Wicked ass ballon ngl
0:05:51,Yagi Karoo,LOLOLOL
0:05:54,Sven “The Mindtaker” Fletcher,AAAAAAAAAHAHAHAHAHAHA
0:05:55,aSpookySkeleton,Dora confirmed for next battle.of the boys?
0:05:55,RDMVidya,OH NO
0:05:56,Belicure,spittin fax
0:05:58,Shenanimation,JONTRON NO
0:05:58,Sgt. Sandwich,KEK
0:05:58,Mr. Guydude,LOL
0:05:58,Pitshoster,LMAOOOOO
0:05:59,ChortlesJ,TAMERS PLEASE
0:05:59,JackelZXA,DAMN
0:05:59,jak harkness,facts
0:06:00,Silver Feral Thunderbird,"Damn, Athair is self-racist"
0:06:01,Truant,COME ON LOL
0:06:01,Lichzim The Great,Real
0:06:01,Cheeseandblood,"come on, Tamers"
0:06:03,Dr. Oswald,kek
0:06:03,achap007,NOOOOOOOOOO
0:06:04,SonicMatrix64,DAmn
0:06:05,Bunnay Boo,dang
0:06:05,Alice Hernandez,statistics
0:06:06,alejokaiser,Lol
0:06:06,Pitshoster,based
0:06:07,UUUU,based alert
0:06:08,AnimeGames16,LMAO BASED
0:06:10,Friki Tiki,echidnas stole my tv
0:06:10,Wendy Ann ChadWick,and also i do not have any grandparents :disappointed_face: 
0:06:11,General Puff,"woooooooo, RENAISSANCE"
0:06:11,Haddock,So... Tidus is a HERO!
0:06:12,Chase Miller,Next episode: Knuckles hunts for Shark Fins 
0:06:16,Cirvo Zed,He did it
0:06:16,Kroe Waynes,"wait, tidus solved the crime crisis"
0:06:16,Pitshoster,DESPITE
0:06:19,JackelZXA,knuckles' girlfriend sonia is sad...
0:06:19,James Andrew,@Shenanimation LOL
0:06:23,Tiki2970 (Ginyu),F-F-F-F-LORA
0:06:23,Makoto Ikari,FLORA
0:06:23,VanVeleca,oh hey Mindy
0:06:23,Truant,true...
0:06:25,jak harkness,0
0:06:25,Stonefang,Makes sense the red echidnas would be redpilled
0:06:27,Blondie: Electric Boogaloo,FLORA
0:06:28,VanVeleca,FLORA
0:06:29,Belicure,FLORAAAAa
0:06:31,Wizards0nly,MINDY :orange_heart::sparkles::orange_heart::sparkles::sparkles::orange_heart::sparkles:
0:06:32,cloudy,FLORA
0:06:32,Kroe Waynes,"og pendent, not a ballgag"
0:06:33,cloudy,FLORAAA
0:06:34,Tamers12345,Tidus won
0:06:34,Shenanimation,aw cute
0:06:35,JackelZXA,FLORA
0:06:36,Haddock,FLORA IS SO CUTE
0:06:37,Truant,flora bros got a win
0:06:37,AnimeGames16,FLORA
0:06:37,Silver Feral Thunderbird,This episode is awesome
0:06:38,James Andrew,It's flora the blue 
0:06:38,SonicMatrix64,CUTE
0:06:39,Polar,Flora bros we win again
0:06:39,alejokaiser,Flora
0:06:42,AleenaEnjoyer,Deepest lore that you remembered the pendant
0:06:42,SomePinkCow,mindy and flora are here yay
0:06:42,Jerrel-O,Yaaaay Flora
0:06:46,Scall0p,Facts Tidus
0:06:46,Friki Tiki,my waifu
0:06:49,VanVeleca,Tidus you are such a bad man!!!!!!!!!
0:06:52,AnimeGames16,EVERYONE IS HERE
0:06:53,Wendy Ann ChadWick,and also my 29 year old adult werewolf pack leader name is W.majestic A.white C.howler
0:06:55,DatNeonFox,"Woag,.. what has Tidus been doin"
0:06:56,Tamers12345,Damn Tidus stole EVERYTHING
0:06:56,Haddock,RUN TIDUS!
0:06:59,Sven “The Mindtaker” Fletcher,"Jesus, this guy's a better thief than Manic..."
0:07:01,Belicure,FLORA
0:07:02,Scall0p,Damn he stealing from everyone 
0:07:03,Kroe Waynes,the face of no shame
0:07:09,AleenaEnjoyer,UNF Bartleby in the background
0:07:11,Pitshoster,he can't keep getting away with it
0:07:11,Makoto Ikari,w i d e
0:07:11,Mr. Guydude,The EVIL Dr robotnik
0:07:13,DatNeonFox,He’s thinkin abt it
0:07:14,Blondie: Electric Boogaloo,...
0:07:18,Tiki2970 (Ginyu),uNCLE C. OHM MY GOD HE'S SO CUTE IN THAT GNOME OUTFIT
0:07:18,James Andrew,I hope Dingo and Sleet are working a stand 
0:07:19,Scall0p,Obviously not sonic 
0:07:20,Chase Miller,he's really giving it some thought
0:07:21,cloudy,whoa uncle chuck looking adorable
0:07:21,Wizards0nly,CHUCK :blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
0:07:22,Kroe Waynes,handsome gnome mustache!
0:07:22,Pitshoster,dayum
0:07:23,Haddock,Trevor looking SWOLE
0:07:24,Mr. Guydude,W I D E
0:07:24,RDMVidya,....
0:07:24,JackelZXA,ew trevor
0:07:26,Truant,praying for sleet and dingo
0:07:26,Polar,Trevor looks like Dr Robotnik 
0:07:27,ChortlesJ,DAMN my man is REALLY thinking about it
0:07:27,Steven Bennett Studios,he jumped
0:07:28,Silver Feral Thunderbird,Trevor got s t a c k e d
0:07:28,Wendy Ann ChadWick,does anyone has fear of underwater sharks?
0:07:30,Pitshoster,he thicc
0:07:31,Shenanimation,"hey gnomey, don'cha know me?"
0:07:31,DatNeonFox,Chuck :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
0:07:37,VanVeleca,That gnome looks familiar.....
0:07:42,Scall0p,Woah Trevor looking dripped 
0:07:45,RDMVidya,LEWD
0:07:46,Tiki2970 (Ginyu),I miss Trevor's old voice...
0:07:50,Silver Feral Thunderbird,BRUH
0:07:51,AleenaEnjoyer,haha uncle chuck looks cute there
0:07:51,Tamers12345,Trevor isn't buff. he's just wearing one of those old fashioned puffy outfits
0:07:51,Sven “The Mindtaker” Fletcher,mmmmmm hot
0:07:55,Pitshoster,SMACK
0:07:59,Steven Bennett Studios,That must've gave knuckles ptsd
0:08:02,Wendy Ann ChadWick,:slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face: 
0:08:03,Makoto Ikari,80% OFF :o
0:08:03,Belicure,the evil robotnik!!!
0:08:04,Blondie: Electric Boogaloo,TEMU
0:08:08,Silver Feral Thunderbird,Dayumn
0:08:08,Truant,robotnik!
0:08:09,Sven “The Mindtaker” Fletcher,THE EVIL DR ROBOTNIK
0:08:10,Pitshoster,temu
0:08:13,Mr. Guydude,Damn everyone's in this episode
0:08:16,bitc,damn robotnik's sexy too
0:08:18,Alice Hernandez,based temu enjoyer
