timestamp,author,message
0:00:00,sooka,:blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:00,Sven “The Mindtaker” Fletcher,BEECH
0:00:02,cloudy,:blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand:ITS STARTING:blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand:
0:00:03,VanVeleca,5
0:00:03,VanVeleca,4
0:00:04,jamberri,:blue_circle::blue_circle::hand_with_fingers_splayed:
0:00:04,VanVeleca,3
0:00:04,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:04,Snack Shaman,Cum time
0:00:05,VanVeleca,2
0:00:05,VanVeleca,1
0:00:06,Friki Tiki,lfg
0:00:07,Steven Bennett Studios,sup timothee
0:00:07,Scall0p,No problem Timothee you the best
0:00:09,Mark Zuckerberg,:blue_circle::blue_circle::waving_hand:
0:00:09,Frank Brocker (M.C. Sausage),HNNGGGGG
0:00:09,Goat,HERE WE GO
0:00:11,GoodMeals,LETS GOOOO
0:00:11,AnimeGames16,:purple_circle::purple_circle::waving_hand:
0:00:11,Wykkyd Mō,HERE WE GO BOYS LEEEEEEEEETTTTTSSSS ROOOOOOOLLLL
0:00:11,FilmNerd,Gotta love that intro
0:00:12,Sgt. Sandwich,ERE WE GO
0:00:14,Deadman Wonderland,Yes!
0:00:16,Spectra,Justin Time
0:00:19,HotSause,yooo
0:00:19,Steven Bennett Studios,anime intro
0:00:19,Silver Feral Thunderbird,W00T
0:00:22,RDMVidya,LET'S GOOOO
0:00:23,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:25,Belicure,kino time!
0:00:25,Ponk,les get it
0:00:26,cloudy,BARTLEBY!!!!!
0:00:28,Wizards0nly,:sparkles::yellow_heart::sparkles::yellow_heart::sparkles::yellow_heart:
0:00:29,Days Of The Weak,INTRO
0:00:30,VanVeleca,BARTLEBY
0:00:30,RainbowHoodie,I wish I could be his servant…
0:00:31,S C,just made it let's gooooo
0:00:33,Sgt. Sandwich,that smile...
0:00:37,Steven Bennett Studios,chair slaves
0:00:39,Diaro,DAMN look at BARTLEBY
0:00:45,Ponk,he be poppin' bottles
0:00:46,Cton95,10/10?
0:00:46,AnimeGames16,Johnny Depp!
0:00:47,Cton95,Nah mate
0:00:48,Scall0p,Best start ever
0:00:50,Cton95,This is an 11 already
0:00:50,Makoto Ikari,Not at all.
0:00:53,Ayyo-bun,the king on his throan
0:00:56,Steven Bennett Studios,the chad
0:00:56,AleenaEnjoyer,BARTLEBY :yellow_heart:
0:00:58,Snack Shaman,Owo
0:00:59,Silver Feral Thunderbird,This is going to be amazing
0:01:00,FilmNerd,Kinda wish it was Gene Wilder
0:01:01,Makoto Ikari,SKILL ISSUE
0:01:04,RDMVidya,Based
0:01:05,バオバイバー,true
0:01:05,RainbowHoodie,Bartleby is always rights
