timestamp,author,message
0:00:00,Joshua Rocha,DERPY
0:00:01,HungryBroom01,ONE
0:00:02,Dz,PEAK
0:00:04,Morflow,DAAPI
0:00:04,NubMcMoofin,:face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:00:04,Glumbly,YEAHHHH
0:00:05,My star,what
0:00:05,Fizzy,it begins...
0:00:05,Marfin42,Uno
0:00:09,Bonnie Loveland,first time being here for a premiere. may god have mercy on my soul
0:00:09,gig,ASSD
0:00:09,Jenny The Bean,Derpy
0:00:11,TJ,Derpy
0:00:12,Miss Meowington,I SO HAPPY TO SEE YOU BACK ON YOUTUBE
0:00:13,Dz,YAYAYAYAYAYAYAYYAYATAYAYAYAAYAAYAYAYAAYY
0:00:14,My star,cute
0:00:15,Makoto Ikari,No.
0:00:17,TheTwinny,Derpy can stay alive...this time
0:00:17,JereCatPro,ya empez+//3//Q-
0:00:21,Double J,Yoo
0:00:21,Joshua Rocha,the truck
0:00:22,Sweat And Temptation,AAAAHHHH+ACEAIQAhACEAIQ-
0:00:24,Reine,No
0:00:26,Fraude,OMg the thumbnail
0:00:26,Anony Moose,lol
0:00:27,My star,:loudly-crying-face:
0:00:28,Marfin42,so cute
0:00:28,Claire Lobelia,I forgot my tractor
0:00:29,Jo3a5,LMAO
0:00:29,Glimmy,hloy shit derpy is strong
0:00:29,Hyloaf,CORN+ACEAIQAhACEAIQ-
0:00:31,MrConredsX,its HER
0:00:32,Jenny The Bean,Please spread Derpy
0:00:35,TamersOfficial,I bet celestia's magic smells like shit
0:00:35,The Lizard Queen,she's so strong
0:00:36,Rihno,Img she is cute
0:00:38,HungryBroom01,strong amre
0:00:41,MrConredsX,Its Posey Bloom
0:00:41,TheTwinny,...4 hours later
0:00:42,Joshua Rocha,4 hours later
0:00:43,TheKalimanMX,nerd
0:00:49,Makoto Ikari,lol
0:00:50,Bonnie Loveland,derpy could kill celestia if she wanted to. but she's too good-natured for it
0:00:55,Jenny The Bean,4 hours wow
0:00:59,Joshua Rocha,(porta potty)
0:01:00,Vanya Idiot,Looks like I+IBk-m a bit tardy to the party
0:01:04,Jenny The Bean,Pop box
0:01:11,Jenny The Bean,Poop box
0:01:12,Blocknight,porta potty
0:01:12,Aromaticgrassitem,Celestia is back and ruling hard UNH Just the way I like it : 3
0:01:15,Rocket Lawn Chair,manna hatten
0:01:16,DingusKhan,porta potty
0:01:16,Bonnie Loveland,they... they just put it somewhere else
0:01:25,Claire Lobelia,derpy is the mostinnocent character in tamers mlp
0:01:26,Blocknight,aw she didnt say it again
0:01:28,Dragonborne91,Poop box
0:01:29,Joshua Rocha,THAT ONE BABY
0:01:36,Unlived,Lmao
0:01:37,Vagab0ndify,That one baby
0:01:39,Jenny The Bean,Baby
0:01:39,Joshua Rocha,WOOOOOOAH
0:01:41,TheTwinny,Her what
