timestamp,author,message
0:00:00,brostinson,#Teamchuck
0:00:00,Jenny is Dead,#TeamBartleby tho
0:00:01,Orson Zedd,"#TeamMark, we like winners"
0:00:01,SaltyOctopus,oh boy
0:00:02,Dantendo Style,let's flicking go
0:00:02,MARVDAGREAT 2x,UNCLE CHUCK
0:00:02,Lenny the Ghoul,"my mexican neighbors are having a big get together, wonder if their also watching"
0:00:06,Diaro,DAMN manic
0:00:10,Dew,:blue_circle::blue_circle::waving_hand:
0:00:11,Tiki2970 (Ginyu),Finally
0:00:12,monolyth421,side butt
0:00:13,Andy N,AAW YEAH
0:00:14,Arthur Defreyn,:blue_circle::blue_circle::raised_back_of_hand:
0:00:14,Andy N,oh baby
0:00:15,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:16,Tamers12345,Oh shit I forgot the intro.
0:00:16,Tails Doll 04,:wheelchair_symbol:
0:00:20,Silver Feral Thunderbird,:sparkling_heart:
0:00:21,Orson Zedd,the last time was the PS5
0:00:21,Dantendo Style,:flushed_face:
0:00:23,Tiki2970 (Ginyu),Yummy
0:00:24,Fkealmatter.,I LOVE UNCLE CHUCK
0:00:34,Daxma,:blue_circle::blue_circle::waving_hand: (but it's Uncle Chuck's butt)
0:00:36,Cheeseandblood,man now i want an ice cream sandwich
0:00:38,Sven “The Mindtaker” Fletcher,Lmao Sonia
0:00:42,American Goblin,cute
0:00:43,Carter Chadwell,:blue_heart::yellow_heart:
0:00:43,Wizards0nly,this is already unreasonably sexy
0:00:44,Larrinho,is chuck mexican?
0:00:45,Andy N,also Sonic's fin
0:00:45,Tamers12345,Manic is a good nephew.
0:00:47,The Real Estate Estalt,Uncle Chuck has great lines
0:00:52,Silver Feral Thunderbird,Aww off to a wholesome start
0:00:56,Daxma,Uncle Chuck already brought the cake.
0:00:56,SaltyOctopus,LET ME HAVE A PIECE OF THAT CAKE
0:00:56,CyberCop008,Cold open. Nice…
0:00:57,Orson Zedd,@larrinho What domingo you mean?
0:00:58,Tamers12345,I wish I had a nephew that would buy me shit
0:01:01,Tiki2970 (Ginyu),Uhhh
0:01:03,Diaro,Sonic is so fat
0:01:09,Dakkan,I need the intro to tell me this is official Tamers12345 video
0:01:14,Ikari,bud light?
0:01:15,Makoto Ikari,:bikini:
0:01:16,Tiki2970 (Ginyu),Its Ken
0:01:16,Videos for stuff: Probably mostly unlisted,LOL
0:01:18,The Real Estate Estalt,lmao
0:01:18,Jenny is Dead,string cheese
0:01:24,Sven “The Mindtaker” Fletcher,|:{
0:01:25,Makoto Ikari,:soft_ice_cream::delivery_truck:!!!
0:01:25,Simon Hansen,the van
0:01:27,RDMVidya,lmO
0:01:27,Blissed,Tamers you unretweeted my Mindy Fanart a couple years ago
0:01:27,Chillis,Uncle Chuck is so based
0:01:28,Videos for stuff: Probably mostly unlisted,why does he want to see his sister in a bikini though?
0:01:31,Videos for stuff: Probably mostly unlisted,OH
0:01:31,Tifa wolf!,HELLOO
0:01:32,Tamers12345,@Orson Zedd domingo is what mexican people say instead of the do.
0:01:32,Videos for stuff: Probably mostly unlisted,wow
0:01:33,Tiki2970 (Ginyu),Tetris music
0:01:37,Wizards0nly,CHUCK VAN :sparkles::sparkles::blue_heart:
0:01:39,Scarlet Horse,Snazzy
0:01:40,Shenanimation,damn.. uhhh... maybe they shoulda got him aleena in a bikini...
0:01:44,Andy N,an ice cream truck for only 3 weeks worth of allowance
0:01:44,Tails Doll 04,:blue_circle::blue_circle::waving_hand::waving_hand::waving_hand:
0:01:45,Andy N,oh baby
0:01:47,Bread,"can't wait for them to carve ""Free candy"" on the side"
0:01:47,Retired,This is pure art
0:01:49,Cheeseandblood,"this even has bobs, i'm so glad"
0:01:52,Silver Feral Thunderbird,This episode is already amazing as expected
0:01:53,Dantendo Style,:blue_circle::blue_circle::waving_hand:
0:01:55,Tiki2970 (Ginyu),I thought it was yugii moto's hand
0:01:57,Tifa wolf!,oh baby
0:02:03,Videos for stuff: Probably mostly unlisted,oh wow that was so thoughtful of bartleby
0:02:04,Tifa wolf!,:chillwcat:
0:02:05,CyberCop008,Bartleby can‘t have a nephew. He killed his brother:hot_face:
0:02:05,Sadie Tea,We need to make a sign
0:02:10,Lizzie McGarry,Hey that’s not an ice cream truck
0:02:10,Shenanimation,hahahaha
0:02:12,Fkealmatter.,bro why does the paint sound like stinky poopy :grinning_squinting_face:
0:02:14,Diaro,classy
0:02:17,Makoto Ikari,domingo it
0:02:19,Sven “The Mindtaker” Fletcher,oh hell
0:02:22,RDMVidya,This can only go so well
0:02:25,humanlike dog creature,best ice cream design ever!
0:02:25,SaltyOctopus,this is so hot
0:02:26,Jenny is Dead,I would totally buy ice cream from Uncle Chuck!
0:02:28,Tiki2970 (Ginyu),Its blood from professor majorchord
0:02:30,Orson Zedd,oh my god
0:02:31,Silver Feral Thunderbird,X'D
0:02:33,Cheeseandblood,oh no!
0:02:35,Videos for stuff: Probably mostly unlisted,Oh no
0:02:38,Owen Kaufman,:blue_circle::blue_circle: :waving_hand: 
0:02:40,Sven “The Mindtaker” Fletcher,GOD DAMMIT SONIA
0:02:42,SaltyOctopus,uh oh
0:02:44,badbessie,lol
0:02:45,Owen Kaufman,OH YEAH BABY
0:02:46,Dantendo Style,dang it sonia
0:02:46,Andy N,based
0:02:47,Makoto Ikari,she deserved that
0:02:47,Fkealmatter.,BRO UNCLE CHUCK IS SUCH A CHILD ABUSER!!!
0:02:52,KE,ffs Sonia
0:02:53,Tamers12345,Females am I right?
0:02:54,Tifa wolf!,darn sonia
0:02:55,Tiki2970 (Ginyu),Aleena help oyour daighter
0:02:57,Shenanimation,how sad would you be if that happened to your ice cream sandwiches
0:03:01,Silver Feral Thunderbird,Dammit woman
0:03:03,Ikari,"Tamers12345, is it okay if I make a Brazilian dub of Sonic Underground?"
0:03:06,Fkealmatter.,females more like felosers UP TOP
0:03:06,The Real Estate Estalt,you are right Tamers
0:03:08,Shenanimation,woah
0:03:10,Cheeseandblood,i love their low detail designs
0:03:15,Sven “The Mindtaker” Fletcher,:growing_heart::left_facing_fist:
0:03:18,Level Five,haha hell yeah
0:03:19,Edwin Locke,Would Uncle Chuck give me one of those Sonic popsicles with the misaligned gumball eyes if I ask for it? I'll share one of the gumballs with him.
0:03:22,SaltyOctopus, that mustache tho
0:03:22,Truant,So true tamers
0:03:23,Tamers12345,@Ikari I don't care
0:03:26,Sadie Tea,:folded_hands::folded_hands::folded_hands:
0:03:27,Fkealmatter.,@Ikari ummmm brazilian???? get out of here sonic underground is only for true americans
0:03:28,Phil Accio,Uncle chuck showing them how it dun
0:03:28,Jenny is Dead,:cherry_blossom::cherry_blossom::waving_hand:
0:03:29,The Real Estate Estalt,lmao dat lines
0:03:34,Cheeseandblood,did mark get here already
0:03:34,Videos for stuff: Probably mostly unlisted,lol
0:03:35,Devi Kali Tara,:virtualhug:
0:03:36,Silver Feral Thunderbird,Lmao
0:03:36,RDMVidya,:eyes:
0:03:38,CyberCop008,Manic‘s butt….
0:03:47,TitanFrold888,Sonic would still eat it
0:03:53,Orson Zedd,@ikari yes but you have to use the same english speech to text programs.
0:03:54,Golden,m
0:03:54,Fkealmatter.,HES SO RIPPED
0:03:56,Diaro,Mindy's dad!!!
0:03:57,Makoto Ikari,hair
0:03:59,Cheeseandblood,Mark's hair looks so good today
0:03:59,Videos for stuff: Probably mostly unlisted,oh hey its Mindy's dad
0:04:00,American Goblin,HOT DILF
0:04:00,Silver Feral Thunderbird,I can tell this is going to be a manly episode
0:04:03,Tiki2970 (Ginyu),Cute mark!
0:04:13,Dew,@Ikari erhm brazillian dont you mean brazillian portuguese
0:04:15,Orson Zedd,Tupelo represent
0:04:16,Videos for stuff: Probably mostly unlisted,Nice dude
0:04:23,Truant,mark got that drip
0:04:35,Tiki2970 (Ginyu),Wait Jose...
0:04:36,The Real Estate Estalt,NOOO MARK
0:04:43,Shenanimation,woah
0:04:44,Videos for stuff: Probably mostly unlisted,pff
0:04:45,Makoto Ikari,face
0:04:46,Cheeseandblood,oh damn
